timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
15,[-0.27047411 -0.13051337],"[ 0.74155606 -0.4522064  -1.05154183 -0.82370132 -1.60487571  0.27885009
 -0.12315553 -0.41558124  0.88095881 -0.61711231  0.        ]",[ 0.50071543 -2.02297987],-1.38502,-0.175841375874,"[[-0.65214834 -2.5978901  -0.18565757  0.03277637]
 [ 6.90791709 -5.48704112  0.          0.        ]]",[-0.0337894  -0.96578181]
16,[-0.27047411 -0.13051337],"[ 0.86194151 -0.54206655 -0.84928083 -0.44365493 -1.60486794  0.27884968
 -0.00860577 -0.94828629  0.94259304 -0.51401773  0.        ]",[-0.12268926 -1.2772553 ],-1.3712,-0.178218718748,"[[-0.49547172 -2.74626729 -0.18565757  0.03277637]
 [ 8.75359855 -9.33783631  0.          0.        ]]",[-0.21322206 -1.02811539]
17,[-0.27047411 -0.13051337],"[ 0.95724517 -0.62592876 -0.61196467  0.17511346 -1.60486018  0.27884927
 -0.04951193 -1.47045426  0.99773519 -0.33246102  0.        ]",[-0.85933362 -0.67658312],-1.39222,-0.17822185007,"[[ -0.32701243  -2.97089619  -0.18565757   0.03277637]
 [  8.09449842 -13.11248919   0.           0.        ]]",[-0.32331941 -1.04957104]
18,[-0.27047411 -0.13051337],"[ 1.00384435 -0.64381399 -0.42470117  0.52366226 -1.60485241  0.27884887
 -0.27058477  0.26876269  1.02211538 -0.22809206  0.        ]",[-0.182683   -0.71943029],-1.38589,-0.178564085047,"[[-0.20086077 -3.09294821 -0.18565757  0.03277637]
 [ 4.53246825 -0.54014975  0.          0.        ]]",[-0.22265886 -1.09592843]
19,[-0.27047411 -0.13051337],"[ 1.02241421 -0.64224909 -0.2994174   0.4664777  -1.60484465  0.27884846
 -0.3210378   0.57168038  1.02269664 -0.25812665  0.        ]",[ 0.56977951 -0.66971523],-1.35163,-0.179382346162,"[[-0.11836736 -3.07302223 -0.18565757  0.03277637]
 [ 3.7195399   1.64956634  0.          0.        ]]",[-0.19207321 -1.11476135]
20,[-0.27047411 -0.13051337],"[ 1.03198061 -0.6387945  -0.15168382  0.37840941 -1.60483688  0.27884805
 -0.18559707  0.52213803  1.02897921 -0.29598163  0.        ]",[ 0.18659341 -1.11701365],-1.40395,-0.181242991193,"[[-0.02208106 -3.04227837 -0.18565757  0.03277637]
 [ 5.90181155  1.29144513  0.          0.        ]]",[-0.20570186 -1.12605834]
21,[-0.27047411 -0.13051337],"[ 1.02493047 -0.63593115  0.03926345  0.32235264 -1.60482912  0.27884765
 -0.14699853  0.44078427  1.04259366 -0.32344369  0.        ]",[-1.2912032  -1.16841922],-1.51314,-0.183846458999,"[[ 0.10219499 -3.02266219 -0.18565757  0.03277637]
 [ 6.52372275  0.70336745  0.          0.        ]]",[-0.19757323 -1.12758434]
22,[-0.27047411 -0.13051337],"[ 1.00637837 -0.63425587  0.17537743  0.29352787 -1.60482135  0.27884724
 -0.40074453  0.39093612  1.05448634 -0.33778975  0.        ]",[-0.47133636 -1.69745549],-1.47781,-0.185851395374,"[[ 0.1916486  -3.01255806 -0.18565757  0.03277637]
 [ 2.4352652   0.34303438  0.          0.        ]]",[-0.15913565 -1.11562216]
23,[-0.27047411 -0.13051337],"[ 0.99781038 -0.63341475  0.21980047  0.27989365 -1.60481359  0.27884683
 -0.51955788  0.36524785  1.05921265 -0.3434221   0.        ]",[-0.46820255 -2.12846194],-1.49231,-0.186648527587,"[[ 0.22114634 -3.00777428 -0.18565757  0.03277637]
 [ 0.52088928  0.15734576  0.          0.        ]]",[-0.13596481 -1.1056211 ]
24,[-0.27047411 -0.13051337],"[ 1.00033521 -0.63302539  0.20735102  0.27375644 -1.60480582  0.27884643
 -0.63524855  0.35308224  1.05880864 -0.34489145  0.        ]",[ 0.53087705 -1.30600645],-1.41762,-0.186641759618,"[[ 0.21286134 -3.00562003 -0.18565757  0.03277637]
 [-1.34317601  0.0694083   0.          0.        ]]",[-0.06721434 -1.06275868]
