timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.340585993788,"[[-0.07158783  0.08124718 -0.12484388 -0.0697556 ]
 [ 0.00266169 -0.00034292  0.          0.        ]]",[-2.93621922  0.03120294],-2.79614,"[ 0.95918723  1.51993779  0.01014799 -0.93261746 -1.0795287  -0.60112201
  0.41665663 -0.32158643  2.57373457  0.66018537  0.        ]",[-0.38489819 -0.46784073],[-2.8929746  -0.67538561]
1,-0.338136729529,"[[-0.11121525  0.05442419 -0.12484388 -0.0697556 ]
 [-3.95223663 -2.6730543   0.          0.        ]]",[-2.37585378  0.62724602],-2.67923,"[ 0.95363558  1.52234396 -0.04998647 -0.99562912 -1.07952714 -0.60112146
  0.13250229 -0.75798547  2.56892236  0.5250118   0.        ]",[-0.38489819 -0.46784073],[-2.52540829  1.22518967]
2,-0.331352732839,"[[-0.22918178  0.041237   -0.12484388 -0.0697556 ]
 [-7.83149637  1.3409516   0.          0.        ]]",[-2.00183678  0.75622666],-2.61872,"[ 0.92298834  1.52317619 -0.22706217 -1.02664387 -1.07952559 -0.60112092
 -0.14621751 -0.10257904  2.53511777  0.21336422  0.        ]",[-0.38489819 -0.46784073],[-2.62642651  0.2596321 ]
3,-0.319596796564,"[[ -0.42395202   0.07811892  -0.12484388  -0.0697556 ]
 [-11.63287191   2.34388724   0.           0.        ]]",[-1.47914743  1.19726658],-2.43599,"[ 0.82725205  1.52025771 -0.50775232 -0.93995629 -1.07952403 -0.60112037
 -0.41934138  0.06118023  2.43784003 -0.20910734  0.        ]",[-0.38489819 -0.46784073],[-1.50559904  1.11973189]
4,-0.300786683975,"[[ -0.69400706   0.16427268  -0.12484388  -0.0697556 ]
 [-15.36023319   6.25841627   0.           0.        ]]",[-1.00721645  1.42717397],-2.24443,"[ 0.6081314   1.50645451 -0.85560552 -0.73863947 -1.07952247 -0.60111983
 -0.68714722  0.70034417  2.23236373 -0.70332714  0.        ]",[-0.38489819 -0.46784073],[-0.26835027  0.259369  ]
5,-0.275490082063,"[[ -1.00881941   0.29850274  -0.12484388  -0.0697556 ]
 [-16.11849694   7.16155052   0.           0.        ]]",[-0.71050847  1.52790236],-1.88868,"[ 0.24621433  1.46568584 -1.17042479 -0.43122179 -1.07952091 -0.60111928
 -0.74162683  0.84780708  1.91653755 -1.14563909  0.        ]",[-0.38489819 -0.46784073],[-0.96891647  1.92059201]
6,-0.242784688277,"[[ -1.36646607   0.48004772  -0.12484388  -0.0697556 ]
 [-19.63453061  10.98013446   0.           0.        ]]",[ 0.58268356  1.22590852],-1.68985,"[-0.26014412  1.37449642 -1.37309936 -0.03626257 -1.07951935 -0.60111873
 -0.99424855  1.47130302  1.49511405 -1.46772918  0.        ]",[-0.38489819 -0.46784073],[ 0.38025069  1.4548279 ]
7,-0.206665046431,"[[ -1.74018712   0.73718213  -0.12484388  -0.0697556 ]
 [-17.74387076  14.72082705   0.           0.        ]]",[ 1.07619715  0.14383656],-1.51538,"[-0.8302589   1.1801972  -1.38298801  0.4591266  -1.07951779 -0.60111819
 -0.85840578  2.08207607  1.06748651 -1.56580727  0.        ]",[-0.38489819 -0.46784073],[ 1.5322916  -0.23357102]
8,-0.176242103275,"[[ -2.05185102   1.01937304  -0.12484388  -0.0697556 ]
 [-13.43676769  13.50240598   0.           0.        ]]",[ 0.89869195 -0.47861341],-1.4015,"[-1.28165005  0.89331611 -1.23183933  0.88197291 -1.07951623 -0.60111764
 -0.54894477  1.88312696  0.77809754 -1.46705762  0.        ]",[-0.38489819 -0.46784073],[-0.75966862 -0.17744893]
9,-0.145553780849,"[[ -2.34808339   1.27968874  -0.12484388  -0.0697556 ]
 [-16.17745943  12.53230016   0.           0.        ]]",[ 1.65129876 -0.61568141],-1.30755,"[-1.64786743  0.57937162 -0.96714406  1.13191589 -1.07951467 -0.6011171
 -0.74585972  1.72472408  0.53265597 -1.28192162  0.        ]",[-0.38489819 -0.46784073],[ 0.3190189  -1.26359991]
