Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward
1000.0,-10.1169233322,0.128350903382,1000.0,-9.91000080109,0.726832331479,1000.0,-10.1209440231,1.0,1000.0,-11.1189146042,0.0,1000.0,-9.97436618805,0.991530773946,1000.0,-9.15789031982,0.0,1000.0,-11.4860877991,0.847619855066,1000.0,-9.1610660553,0.212798326122,1000.0,-10.5712509155,0.823920863425,1000.0,-10.1407051086,0.747097577856,1000.0,-10.3881130219,0.808330214627,1000.0,-10.9970502853,0.119188731652,1000.0,-10.9620981216,0.0,1000.0,-10.6913414001,0.0,1000.0,-9.6174287796,0.370907623357
2000.0,-10.5148439407,0.172032858373,2000.0,-10.1916589737,0.718614185171,2000.0,-9.77137851715,0.774266960163,2000.0,-10.4205217361,0.221006089784,2000.0,-10.2183837891,0.991584492594,2000.0,-10.3518285751,0.0908888096893,2000.0,-10.3054533005,0.839276064503,2000.0,-9.71928977966,0.233784068417,2000.0,-10.1062469482,0.653460605577,2000.0,-10.3950901031,0.663065410611,2000.0,-10.0510749817,1.0,2000.0,-9.99091911316,0.29687356974,2000.0,-10.5765838623,0.413560408689,2000.0,-10.0183238983,0.171042403543,2000.0,-9.95266246796,0.478807108297
3000.0,-10.1848688126,0.216332672901,3000.0,-10.1983203888,0.657312145593,3000.0,-10.0385379791,0.631171872536,3000.0,-10.1710290909,0.363141902426,3000.0,-10.1790790558,0.904041868721,3000.0,-10.0734777451,0.159569434376,3000.0,-10.360461235,0.811438694447,3000.0,-9.7810344696,0.277727022113,3000.0,-9.87108325958,0.638323606063,3000.0,-10.3198204041,0.641455560308,3000.0,-9.84743309021,0.878752400588,3000.0,-10.2104921341,0.394390718394,3000.0,-10.8441390991,0.540655035787,3000.0,-10.1531867981,0.253783823555,3000.0,-9.90386867523,0.541640259538
4000.0,-10.4892530441,0.252698534728,4000.0,-10.1927843094,0.64425350491,4000.0,-10.0113506317,0.557536523518,4000.0,-10.132730484,0.429099462564,4000.0,-10.1586227417,0.868955973441,4000.0,-10.0722370148,0.223986041289,4000.0,-10.3545026779,0.805974597938,4000.0,-9.67518615723,0.308085276742,4000.0,-9.96193408966,0.628024438784,4000.0,-10.1772537231,0.622822458689,4000.0,-10.1016159058,0.810301731731,4000.0,-10.1492414474,0.451172004316,4000.0,-10.821267128,0.624415267054,4000.0,-10.2633466721,0.31593586172,4000.0,-10.0417079926,0.549215099556
5000.0,-10.2046813965,0.274918696042,5000.0,-10.1806764603,0.639972765449,5000.0,-9.9054813385,0.515030699279,5000.0,-10.1335639954,0.485070939974,5000.0,-10.2583255768,0.845893235049,5000.0,-10.0234384537,0.274850497783,5000.0,-10.0061817169,0.824601989912,5000.0,-9.75474739075,0.30792444005,5000.0,-9.95242500305,0.631927805965,5000.0,-10.2568340302,0.613039834958,5000.0,-10.02409935,0.761950105544,5000.0,-10.1036310196,0.48435088908,5000.0,-10.5454149246,0.676705309559,5000.0,-10.2203483582,0.368343743185,5000.0,-9.97922515869,0.549556155098
6000.0,-9.92666912079,0.318281700319,6000.0,-10.0775499344,0.616652441024,6000.0,-9.89666652679,0.385760217048,6000.0,-10.0098695755,0.627389538981,6000.0,-10.3308782578,0.794783114614,6000.0,-10.1533164978,0.382768255751,6000.0,-9.92498970032,0.830296946933,6000.0,-10.062669754,0.336980900933,6000.0,-9.85517311096,0.600138668573,6000.0,-10.0556993484,0.585226833515,6000.0,-9.99646377563,0.713036209345,6000.0,-9.90059375763,0.584839136023,6000.0,-10.4824810028,0.850865922782,6000.0,-10.1067562103,0.495003934814,6000.0,-10.1588287354,0.590244866106
7000.0,-9.73352146149,0.341373925326,7000.0,-9.94122886658,0.598329972794,7000.0,-10.0322675705,0.345121636778,7000.0,-9.95753288269,0.683323022433,7000.0,-10.1275558472,0.744465946625,7000.0,-9.74749279022,0.456169379528,7000.0,-9.99856948853,0.850097240856,7000.0,-9.98524475098,0.385184052309,7000.0,-10.0841827393,0.634790100661,7000.0,-9.88628482819,0.591843065272,7000.0,-9.92916202545,0.588903040028,7000.0,-10.1688833237,0.604501479601,7000.0,-10.6082363129,0.861282948401,7000.0,-10.1828298569,0.556221739624,7000.0,-9.9827299118,0.585369662646
8000.0,-9.82442569733,0.345703401842,8000.0,-9.91211414337,0.609980797873,8000.0,-9.88954544067,0.344459668479,8000.0,-9.9207277298,0.701052811358,8000.0,-10.0127506256,0.743536096386,8000.0,-9.955991745,0.503044571961,8000.0,-9.84066867828,0.889951754208,8000.0,-9.85390377045,0.417352823197,8000.0,-9.99744606018,0.649029832934,8000.0,-9.83670520782,0.593752415677,8000.0,-10.1129903793,0.574842399146,8000.0,-9.8051700592,0.60643957909,8000.0,-10.414522171,0.880318267132,8000.0,-10.0092344284,0.600408264322,8000.0,-10.0462713242,0.56924528975
9000.0,-9.54200077057,0.339916778364,9000.0,-9.70098304749,0.613168619662,9000.0,-10.0652551651,0.344630425564,9000.0,-9.85183906555,0.72290170731,9000.0,-9.89669895172,0.736620231309,9000.0,-10.025349617,0.525004091926,9000.0,-9.77513599396,0.918456561535,9000.0,-10.0712308884,0.448264868683,9000.0,-10.0160999298,0.665648360057,9000.0,-10.0799388885,0.60297152574,9000.0,-9.83069992065,0.568922057452,9000.0,-9.85639858246,0.597068374651,9000.0,-10.3493509293,0.881956675579,9000.0,-9.97683906555,0.626680487032,9000.0,-10.0012960434,0.573645700015
10000.0,-9.77792263031,0.334745059191,10000.0,-9.51055526733,0.617005060974,10000.0,-10.3525104523,0.343218406769,10000.0,-9.90003204346,0.728430915501,10000.0,-9.76089477539,0.728166834753,10000.0,-10.1927881241,0.536912420738,10000.0,-10.1553487778,0.924745659324,10000.0,-9.96267127991,0.505294988585,10000.0,-10.0057621002,0.673430594797,10000.0,-9.89414978027,0.611491742559,10000.0,-9.91158103943,0.569458048911,10000.0,-9.87556934357,0.594748570779,10000.0,-10.5357599258,0.882152195835,10000.0,-10.0416994095,0.635581911674,10000.0,-10.0439777374,0.583231733149
11000.0,-10.0434150696,0.333128866725,11000.0,-9.72748088837,0.617786666174,11000.0,-10.2164354324,0.342072362463,11000.0,-9.79083919525,0.735043989918,11000.0,-9.8009519577,0.721994106861,11000.0,-10.3132658005,0.537893307939,11000.0,-9.90110683441,0.934513263715,11000.0,-9.81530857086,0.549021815557,11000.0,-9.88704681396,0.6775283089,11000.0,-10.3109741211,0.611725503723,11000.0,-10.0128421783,0.570076493595,11000.0,-9.91278839111,0.587163326783,11000.0,-10.5277681351,0.885328865098,11000.0,-10.0035076141,0.636432727502,11000.0,-9.99065303802,0.586237686459
12000.0,-10.2465467453,0.333697293205,12000.0,-9.74096393585,0.619276648551,12000.0,-10.2251062393,0.342384502348,12000.0,-9.77944660187,0.742495423622,12000.0,-9.93466281891,0.715421635853,12000.0,-10.5358791351,0.537655266401,12000.0,-10.0845537186,0.933706752157,12000.0,-9.89641189575,0.563624695285,12000.0,-9.83236885071,0.682527522975,12000.0,-10.1739025116,0.613569503733,12000.0,-10.2029800415,0.57145981479,12000.0,-9.86717414856,0.592819335515,12000.0,-10.2771835327,0.888565540759,12000.0,-10.3305196762,0.632085728112,12000.0,-10.1437749863,0.595607973422
13000.0,-10.3322181702,0.335767302672,13000.0,-9.87934589386,0.624789740208,13000.0,-10.3537054062,0.342798506966,13000.0,-10.0618524551,0.744736016513,13000.0,-10.0363121033,0.711497700055,13000.0,-10.535859108,0.538912928598,13000.0,-10.1915149689,0.925686349672,13000.0,-10.0373945236,0.574731061227,13000.0,-10.0551404953,0.682831920904,13000.0,-10.2350006104,0.615566835606,13000.0,-10.2917890549,0.573259998008,13000.0,-10.0179653168,0.592913043037,13000.0,-10.0652637482,0.889324164734,13000.0,-10.3485450745,0.635767150194,13000.0,-10.1485776901,0.59954077014
14000.0,-10.2661390305,0.337781538749,14000.0,-10.2176790237,0.622467781909,14000.0,-10.2885770798,0.343871369665,14000.0,-10.0230579376,0.748919603319,14000.0,-10.0548200607,0.70713136317,14000.0,-10.4406986237,0.543959653651,14000.0,-10.1384305954,0.924876004183,14000.0,-10.1745090485,0.579475395161,14000.0,-10.1277837753,0.680276965528,14000.0,-9.90366458893,0.616956790218,14000.0,-10.5303602219,0.573232013057,14000.0,-9.82636737823,0.59813981524,14000.0,-9.91952514648,0.891660531892,14000.0,-10.3337478638,0.639879634521,14000.0,-10.168800354,0.603813061607
15000.0,-10.4457902908,0.334819907294,15000.0,-10.3206214905,0.618268487149,15000.0,-10.149892807,0.344773475278,15000.0,-9.93114280701,0.752083168408,15000.0,-10.2117338181,0.703245590927,15000.0,-10.3056182861,0.547008456209,15000.0,-10.0202579498,0.923847146596,15000.0,-10.443983078,0.57949204412,15000.0,-10.1655921936,0.679259173063,15000.0,-9.93164730072,0.616608220868,15000.0,-10.6443815231,0.573230101889,15000.0,-9.75408363342,0.594800128006,15000.0,-9.66168117523,0.894151789237,15000.0,-10.1100740433,0.645326455372,15000.0,-10.3342294693,0.605679145577
16000.0,-10.3880786896,0.333297960036,16000.0,-10.3734550476,0.617590561477,16000.0,-10.4869289398,0.342236289264,16000.0,-9.94007396698,0.753647664313,16000.0,-10.1960411072,0.701308731999,16000.0,-10.24700737,0.546899823903,16000.0,-10.1173143387,0.923477501314,16000.0,-10.3304443359,0.590250098344,16000.0,-10.2141275406,0.678651489193,16000.0,-9.49902534485,0.619508608759,16000.0,-10.7269954681,0.573613837009,16000.0,-9.57415008545,0.597035359936,16000.0,-9.35696029663,0.896340003646,16000.0,-9.9495639801,0.647918053197,16000.0,-10.4936532974,0.608189480256
17000.0,-10.2009801865,0.331216989325,17000.0,-10.2999973297,0.616181227032,17000.0,-10.3970594406,0.342349639444,17000.0,-9.93122673035,0.753711386655,17000.0,-10.1240100861,0.697536333317,17000.0,-10.2603549957,0.544155718275,17000.0,-10.0272436142,0.924197293228,17000.0,-10.280711174,0.60150816341,17000.0,-10.1962661743,0.677135454065,17000.0,-9.7315864563,0.616327544731,17000.0,-10.7233486176,0.573862925832,17000.0,-9.69424438477,0.59095056693,17000.0,-9.67226982117,0.894970667569,17000.0,-9.83732700348,0.649452333804,17000.0,-10.4308023453,0.609083814578
