Pretrain Labels,Total Labels,Environment,Experiment Name,Run Time,Run Name,Pretrain Iterations,Network Type,Label Schedule
10 ,600 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511659325 ,10000 ,MLP ,Annealing 
10 ,1800 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510693388 ,10000 ,,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511452050 ,10000 ,Tiny ,Annealing 
10 ,500 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511567097 ,10000 ,MLP ,Annealing 
10 ,200 ,reacher ,toyhumanrecorddata_48 ,3600 ,reacher/ToyHumanRecordData_48-1510941496 ,10000 ,,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,7200 ,reacher/ToySyntheticRecordData-1511466358 ,10000 ,MLP ,Annealing 
10 ,800 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511577074 ,10000 ,MLP ,Annealing 
10 ,200 ,reacher ,toyhumanrecorddata_50 ,3600 ,reacher/ToyHumanRecordData_50-1512185506 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511209596 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,900 ,reacher/ToySyntheticRecordData-1511460313 ,10000 ,MLP ,Annealing 
10 ,400 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511230820 ,10000 ,MLP ,Annealing 
10 ,700 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511573600 ,10000 ,MLP ,Annealing 
100 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510802849 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511527129 ,10000 ,MLP ,Annealing 
250 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510810310 ,10000 ,MLP ,Annealing 
25 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511588339 ,10000 ,MLP ,Annealing 
50 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511515235 ,10000 ,MLP ,Annealing 
100 ,1000 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510654424 ,10000 ,,Annealing 
10 ,300 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511227453 ,10000 ,MLP ,Annealing 
75 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511519591 ,10000 ,MLP ,Annealing 
100 ,1000 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510650972 ,10000 ,,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511535047 ,10000 ,Deep ,Annealing 
10 ,400 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511563273 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,1800 ,reacher/ToySyntheticRecordData-1511461149 ,10000 ,MLP ,Annealing 
10 ,200 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511224091 ,10000 ,MLP ,Annealing 
10 ,500 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511652428 ,10000 ,MLP ,Annealing 
50 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510798761 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,1800 ,reacher/ToySyntheticRecordData-1511539369 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511531101 ,10000 ,Tiny ,Annealing 
75 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511595597 ,10000 ,MLP ,Annealing 
10 ,300 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510725920 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,900 ,reacher/ToySyntheticRecordData-1511286924 ,10000 ,MLP ,Annealing 
10 ,300 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510734513 ,10000 ,Deep ,Annealing 
100 ,1000 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510658664 ,10000 ,,Annealing 
50 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511591994 ,10000 ,MLP ,Annealing 
10 ,100 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511472766 ,10000 ,MLP ,Annealing 
100 ,1000 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510662732 ,10000 ,,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511457238 ,10000 ,Deep ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511428465 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,900 ,reacher/ToySyntheticRecordData-1511206890 ,10000 ,MLP ,Annealing 
25 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511680665 ,10000 ,MLP ,Annealing 
75 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511439990 ,10000 ,MLP ,Annealing 
100 ,1000 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510666220 ,10000 ,,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511541033 ,10000 ,MLP ,Annealing 
10 ,700 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511330915 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511507184 ,10000 ,MLP ,Annealing 
10 ,200 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511311901 ,10000 ,MLP ,Annealing 
10 ,800 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511666724 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,900 ,reacher/ToySyntheticRecordData-1511721817 ,10000 ,MLP ,Annealing 
50 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511688536 ,10000 ,MLP ,Annealing 
10 ,700 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511662756 ,10000 ,MLP ,Annealing 
10 ,500 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511488127 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511584272 ,10000 ,MLP ,Annealing 
10 ,100 ,reacher ,toyhumanrecorddata_47 ,3600 ,reacher/ToyHumanRecordData_47-1510781193 ,10000 ,,Annealing 
10 ,60 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510681835 ,10000 ,,Annealing 
10 ,500 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511323471 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511613989 ,10000 ,Deep ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510689364 ,10000 ,,Annealing 
10 ,300 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511481091 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,7200 ,reacher/ToySyntheticRecordData-1511545080 ,10000 ,MLP ,Annealing 
10 ,700 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511241398 ,10000 ,MLP ,Annealing 
