Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward
1000.0,-9.7104434967,1.0,1000.0,-10.9696159363,0.0,1000.0,-12.0194797516,0.0,1000.0,-9.43287563324,1.0
2000.0,-9.37275886536,0.778096065886,2000.0,-10.8816757202,0.212116503731,2000.0,-11.4950838089,0.3243959431,2000.0,-10.19784832,0.839212476069
3000.0,-9.70040893555,0.636560225398,3000.0,-10.854300499,0.349771624763,3000.0,-11.0980024338,0.460626483817,3000.0,-9.90447330475,0.744498276094
4000.0,-9.51138973236,0.561954825536,4000.0,-10.5775194168,0.418616709158,4000.0,-10.6525650024,0.527883908821,4000.0,-9.98269367218,0.700771062558
5000.0,-9.71172618866,0.51421742271,5000.0,-10.4806756973,0.461078891151,5000.0,-10.5964727402,0.570923265489,5000.0,-10.0097379684,0.678425130238
6000.0,-9.81542491913,0.378730842197,6000.0,-10.306429863,0.591778954515,6000.0,-10.3260784149,0.715224990399,6000.0,-10.2327470779,0.596473104204
7000.0,-9.97648334503,0.332316867949,7000.0,-10.2052116394,0.636778394769,7000.0,-10.0562210083,0.734634995155,7000.0,-9.81420326233,0.583780529478
8000.0,-10.0559396744,0.329307696012,8000.0,-10.099313736,0.640755273067,8000.0,-10.0952959061,0.737880101849,8000.0,-10.0946779251,0.595313532862
9000.0,-10.1185026169,0.331009581006,9000.0,-10.0878829956,0.64576814351,9000.0,-10.2916984558,0.745273808935,9000.0,-10.0487241745,0.604845006527
10000.0,-10.2436504364,0.332681223626,10000.0,-10.1935157776,0.648051479178,10000.0,-10.2466945648,0.74679124837,10000.0,-9.93493366241,0.608906449871
11000.0,-10.1587257385,0.337742721031,11000.0,-10.1698999405,0.646317657096,11000.0,-10.0231876373,0.753751328874,11000.0,-9.83647823334,0.613077551131
12000.0,-10.1260709763,0.344741418791,12000.0,-10.1655826569,0.644686640213,12000.0,-9.99678134918,0.757648879714,12000.0,-10.3085708618,0.611660932604
13000.0,-10.0966672897,0.344527885361,13000.0,-10.1974782944,0.644563255454,13000.0,-9.9169216156,0.760282396714,13000.0,-10.2056045532,0.610269198712
14000.0,-10.0488595963,0.34614943325,14000.0,-10.4803590775,0.643263849581,14000.0,-9.76498889923,0.763029281959,14000.0,-10.1376399994,0.609967855746
15000.0,-9.78787136078,0.35265974449,15000.0,-10.2841176987,0.646267261482,15000.0,-9.70685100555,0.765728817268,15000.0,-10.3921012878,0.610489116441
16000.0,-9.80710315704,0.353637185459,16000.0,-10.1665763855,0.648394248058,16000.0,-9.78326129913,0.767359395889,16000.0,-10.4906368256,0.608863809305
17000.0,-9.83967781067,0.352215330011,17000.0,-10.1332035065,0.650915672328,17000.0,-9.81865310669,0.768476553307,17000.0,-10.5327939987,0.60912913256
18000.0,-9.65617465973,0.355774950274,18000.0,-9.98936843872,0.652597408911,18000.0,-9.80080318451,0.771978894167,18000.0,-10.5208587646,0.608354530101
19000.0,-9.7966375351,0.354457737153,19000.0,-9.81614685059,0.656281126873,19000.0,-9.9486656189,0.767736215638,19000.0,-10.6654129028,0.605196683041
20000.0,-9.90409469604,0.353826988829,20000.0,-10.0022974014,0.655765434138,20000.0,-10.0241041183,0.76957666213,20000.0,-10.8213310242,0.604785456448
21000.0,-9.98380088806,0.356025590912,21000.0,-10.1107997894,0.656609728498,21000.0,-10.0247831345,0.771702517144,21000.0,-10.7988185883,0.605833733468
22000.0,-10.1410255432,0.356201998579,22000.0,-10.1427755356,0.655587417477,22000.0,-10.4396829605,0.766283976441,22000.0,-10.5001583099,0.603927171644
23000.0,-10.2293586731,0.357091847984,23000.0,-10.2071914673,0.654399196782,23000.0,-10.4861183167,0.762005237354,23000.0,-10.704082489,0.600705843371
24000.0,-10.5065336227,0.358332453274,24000.0,-10.1338815689,0.650990305061,24000.0,-10.4653959274,0.763831056741,24000.0,-10.8576946259,0.600294372257
25000.0,-10.4951515198,0.357177101794,25000.0,-10.120054245,0.650604918668,25000.0,-10.4027299881,0.761419956816,25000.0,-10.5093345642,0.598175849015
26000.0,-10.6163158417,0.354680547384,26000.0,-10.1040506363,0.64953311485,26000.0,-10.5085344315,0.756929680994,26000.0,-10.5577173233,0.596150582025
27000.0,-10.4822664261,0.356692240459,27000.0,-10.2026958466,0.648707339778,27000.0,-10.0591583252,0.760496322216,27000.0,-10.5031661987,0.59585599158
28000.0,-10.3234243393,0.356389556962,28000.0,-10.2531480789,0.650531350795,28000.0,-10.4783363342,0.7538080539,28000.0,-10.3401985168,0.598195579916
29000.0,-10.1849555969,0.354566850898,29000.0,-10.2515058517,0.650371598783,29000.0,-10.4249315262,0.752082529988,29000.0,-10.0355100632,0.599410544494
30000.0,-10.2777805328,0.351731637553,30000.0,-10.2281799316,0.648215675819,30000.0,-10.3928852081,0.752683566569,30000.0,-9.98478317261,0.597180557647
31000.0,-10.2269697189,0.350362826859,31000.0,-10.2720746994,0.651611349398,31000.0,-10.4015741348,0.753790988944,31000.0,-9.749376297,0.598217342216
32000.0,-10.3164739609,0.346051581542,32000.0,-10.0277233124,0.654079299223,32000.0,-10.5735607147,0.750229534291,32000.0,-9.91421985626,0.593472540077
33000.0,-10.5307025909,0.342656086461,33000.0,-10.1676454544,0.652994485605,33000.0,-10.1180553436,0.755621651309,33000.0,-9.89983558655,0.592683943537
34000.0,-10.2308855057,0.345404598814,34000.0,-10.2556123734,0.65340165531,34000.0,-10.3541650772,0.751262774011,34000.0,-10.0077495575,0.591246390316
