Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward
1000.0,-11.1527872086,0.0,1000.0,-9.82566642761,1.0,1000.0,-9.9246006012,0.0,1000.0,-9.5149974823,0.550501724009,1000.0,-10.7008886337,0.0
2000.0,-10.5393629074,0.134766003626,2000.0,-10.3040161133,0.895234943186,2000.0,-10.4936294556,0.359384813289,2000.0,-9.57078075409,0.560432466192,2000.0,-10.079574585,0.286221869487
3000.0,-10.5947465897,0.253079506957,3000.0,-10.2114782333,0.735677653353,3000.0,-10.2571001053,0.496449377757,3000.0,-9.91061115265,0.314672634088,3000.0,-10.2820262909,0.352460576377
4000.0,-10.4111719131,0.331557388161,4000.0,-10.1140584946,0.619758984693,4000.0,-10.2828769684,0.559145915731,4000.0,-10.117351532,0.248555595826,4000.0,-10.2556562424,0.434450908947
5000.0,-10.355047226,0.382882311775,5000.0,-10.2055959702,0.54416229022,5000.0,-10.1556358337,0.59530001927,5000.0,-10.1515636444,0.214500687941,5000.0,-10.2980308533,0.478906721453
6000.0,-10.0609350204,0.505651796759,6000.0,-10.2380523682,0.391634762183,6000.0,-10.4182815552,0.744755624914,6000.0,-10.3377761841,0.104954587584,6000.0,-10.2848052979,0.600238235869
7000.0,-10.1648654938,0.573683550442,7000.0,-10.1158885956,0.277876892892,7000.0,-10.3549432755,0.752265778433,7000.0,-10.542755127,0.0,7000.0,-10.3888969421,0.615101015972
8000.0,-10.1745586395,0.601265908141,8000.0,-10.2025871277,0.237363137378,8000.0,-10.5467100143,0.749721595682,8000.0,-10.6084537506,0.0465074831901,8000.0,-10.1447153091,0.645901510485
9000.0,-10.2238645554,0.61591195668,9000.0,-10.3003845215,0.224131015464,9000.0,-10.6031494141,0.751577261483,9000.0,-10.4594039917,0.0637806798389,9000.0,-10.2264719009,0.640022163893
10000.0,-10.0738687515,0.630107618311,10000.0,-10.0632066727,0.217628810543,10000.0,-10.570561409,0.755276614393,10000.0,-10.4247503281,0.0692137323231,10000.0,-10.0372991562,0.640765461497
11000.0,-10.2313680649,0.639173340615,11000.0,-10.0712594986,0.209887757442,11000.0,-10.2553720474,0.756070847609,11000.0,-10.2566814423,0.102223967395,11000.0,-9.77290916443,0.651444537946
12000.0,-10.3374195099,0.646824256649,12000.0,-9.94144535065,0.20407999658,12000.0,-10.1103153229,0.753523025399,12000.0,-10.0518045425,0.129608013752,12000.0,-9.80158901215,0.651549635786
13000.0,-10.2487573624,0.65560489017,13000.0,-9.74897670746,0.197954265811,13000.0,-9.96640014648,0.750555977581,13000.0,-9.91942882538,0.143336418979,13000.0,-9.97204589844,0.654224600882
14000.0,-10.2610731125,0.659536273851,14000.0,-9.73569011688,0.193184512261,14000.0,-9.85144042969,0.748474980522,14000.0,-10.038228035,0.138795218319,14000.0,-9.93798351288,0.653652982217
15000.0,-10.5403556824,0.660810446899,15000.0,-9.76686096191,0.188508729573,15000.0,-9.90612983704,0.746091478473,15000.0,-10.1864442825,0.140117754923,15000.0,-10.0862236023,0.652015340962
16000.0,-10.1773815155,0.665770796985,16000.0,-9.74436473846,0.184544810816,16000.0,-10.1283664703,0.74314598084,16000.0,-10.339507103,0.129405372302,16000.0,-10.528169632,0.64908640704
17000.0,-9.96394824982,0.671019192757,17000.0,-9.76080703735,0.182241686882,17000.0,-10.2004423141,0.742025944361,17000.0,-10.7626028061,0.103289125595,17000.0,-10.4037294388,0.651215854229
18000.0,-10.1174879074,0.671128453952,18000.0,-10.1116952896,0.178733541868,18000.0,-10.1736354828,0.741147029233,18000.0,-10.6601428986,0.111946086394,18000.0,-10.2583360672,0.651303551564
19000.0,-10.1246414185,0.674107245885,19000.0,-10.1415710449,0.176843576286,19000.0,-10.2542915344,0.739945921645,19000.0,-10.6245908737,0.1184465095,19000.0,-10.3463373184,0.651408709823
20000.0,-9.9472951889,0.678628640021,20000.0,-10.2753334045,0.174887571912,20000.0,-10.3572683334,0.739129565101,20000.0,-10.4914636612,0.123563759252,20000.0,-10.4000396729,0.649717688894
21000.0,-10.3487939835,0.677942854736,21000.0,-10.2937049866,0.175282623241,21000.0,-10.1997175217,0.740260433987,21000.0,-10.4700050354,0.124366376727,21000.0,-10.0998153687,0.649896920135
22000.0,-10.5295972824,0.67973993095,22000.0,-10.5010576248,0.175570888953,22000.0,-10.3728675842,0.739447745559,22000.0,-9.92452716827,0.144468195657,22000.0,-10.3028497696,0.647366415479
23000.0,-10.4245843887,0.682712520597,23000.0,-10.4322662354,0.178587034124,23000.0,-10.5383195877,0.739389113008,23000.0,-9.66177272797,0.144501463926,23000.0,-10.5660572052,0.643880756033
24000.0,-10.4437561035,0.68437967335,24000.0,-10.254360199,0.180195412616,24000.0,-10.2719392776,0.741945532366,24000.0,-9.53301334381,0.140386113498,24000.0,-10.3781814575,0.642776639629
25000.0,-10.5023508072,0.684088959239,25000.0,-10.1861381531,0.181275372283,25000.0,-10.358707428,0.741322869573,25000.0,-9.35601234436,0.139997710553,25000.0,-10.2805194855,0.641816893038
26000.0,-10.5429458618,0.684569960917,26000.0,-10.3422002792,0.181023320614,26000.0,-10.27729702,0.743248086304,26000.0,-9.45675086975,0.131885005524,26000.0,-10.2752981186,0.641503291233
27000.0,-10.5847835541,0.68240121634,27000.0,-10.2691364288,0.179981672608,27000.0,-10.1026315689,0.745192961848,27000.0,-10.0060720444,0.11202147262,27000.0,-10.1780748367,0.639799068879
28000.0,-10.5491638184,0.68164958586,28000.0,-10.0282583237,0.180479326374,28000.0,-9.96521663666,0.748189956399,28000.0,-10.3810367584,0.0985591316031,28000.0,-10.1685972214,0.638595987105
29000.0,-10.4286565781,0.682179412508,29000.0,-10.0443191528,0.18162543333,29000.0,-9.96759986877,0.749576103276,29000.0,-10.5083885193,0.092068131776,29000.0,-10.3736352921,0.635031481622
30000.0,-10.3173999786,0.682685944525,30000.0,-10.1488714218,0.17986693051,30000.0,-9.87468242645,0.75044292508,30000.0,-10.800863266,0.0852112629311,30000.0,-10.3366518021,0.634444275004
31000.0,-10.2567224503,0.682512893542,31000.0,-9.91470146179,0.179631587451,31000.0,-10.3070755005,0.745419811934,31000.0,-10.6826934814,0.0953020369606,31000.0,-10.2596740723,0.633323845628
32000.0,-10.2076845169,0.684051276748,32000.0,-9.97881221771,0.178123123069,32000.0,-10.1851024628,0.745114355256,32000.0,-10.3915576935,0.111809407891,32000.0,-10.2143297195,0.632249062366
33000.0,-10.3082170486,0.684163458787,33000.0,-10.2963991165,0.172099850073,33000.0,-10.1367816925,0.742737644953,33000.0,-10.396730423,0.113892116249,33000.0,-10.242067337,0.630548465119
34000.0,-10.5256671906,0.682809088743,34000.0,-10.5346632004,0.167434278202,34000.0,-10.0310401917,0.740896250418,34000.0,-10.4044342041,0.112238535783,34000.0,-10.1363229752,0.631230740118
35000.0,-10.6474161148,0.681276943883,35000.0,-10.5904893875,0.164566207962,35000.0,-9.97548866272,0.73941261188,35000.0,-10.2487831116,0.119393344102,35000.0,-10.1314239502,0.630188945314
36000.0,-10.604432106,0.680316995936,36000.0,-10.823759079,0.160827554055,36000.0,-9.56728839874,0.740622832444,36000.0,-10.2921676636,0.112643081212,36000.0,-10.1935281754,0.627633064922
37000.0,-10.5183677673,0.679755184245,37000.0,-10.7631950378,0.161766177689,37000.0,-9.77698230743,0.738844913521,37000.0,-10.3105573654,0.110417958442,37000.0,-10.6382246017,0.619362206249
38000.0,-10.471411705,0.677041179427,38000.0,-10.6676588058,0.163396557057,38000.0,-9.93688011169,0.735691651471,38000.0,-10.3681459427,0.110399685476,38000.0,-10.471581459,0.61757638882
