Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward,Time Steps,True Reward,Estimated Reward
1000.0,-10.2314567566,0.0,1000.0,-9.8745470047,0.0,1000.0,-10.0090675354,0.0,1000.0,-9.83233165741,1.0
2000.0,-10.348197937,0.587355024454,2000.0,-9.81118774414,0.0725549152188,2000.0,-10.1373844147,0.138358335958,2000.0,-9.64846897125,0.957103265892
3000.0,-10.057097435,0.564033037303,3000.0,-9.75228500366,0.114939782715,3000.0,-10.0857915878,0.309074686253,3000.0,-9.20915031433,0.783000596039
4000.0,-10.4332475662,0.556505940462,4000.0,-10.0788173676,0.151289810586,4000.0,-10.0582227707,0.392052108816,4000.0,-9.54658985138,0.70335811372
5000.0,-10.3492898941,0.491605841454,5000.0,-9.93312549591,0.167876894178,5000.0,-9.94503593445,0.443331745789,5000.0,-9.70593070984,0.594723201389
6000.0,-10.4016885757,0.525930849084,6000.0,-9.94675445557,0.197752070184,6000.0,-10.1133890152,0.574078437139,6000.0,-9.86715126038,0.413311063962
7000.0,-10.1840610504,0.318844680756,7000.0,-10.0172138214,0.21402038545,7000.0,-10.0845861435,0.664018361234,7000.0,-9.86679172516,0.251795264166
8000.0,-10.1788492203,0.248719088013,8000.0,-9.84451007843,0.213018299589,8000.0,-9.95846652985,0.672755166131,8000.0,-10.2171430588,0.182766605704
9000.0,-10.0839443207,0.171426138775,9000.0,-9.71680545807,0.198936587867,9000.0,-10.1147699356,0.684730775415,9000.0,-9.97465610504,0.0880489948345
10000.0,-10.170044899,0.147284360507,10000.0,-9.73336696625,0.191421729986,10000.0,-10.1466522217,0.695361440508,10000.0,-9.85929584503,0.0577230256057
11000.0,-10.2586288452,0.137739981985,11000.0,-9.76469516754,0.199629212509,11000.0,-9.91991996765,0.70909723296,11000.0,-9.95837974548,0.0346673962176
12000.0,-10.3889703751,0.130513909464,12000.0,-10.026679039,0.189035275244,12000.0,-9.8364648819,0.707412000839,12000.0,-10.0957660675,0.0110138879802
13000.0,-10.5176382065,0.110512588121,13000.0,-10.3021478653,0.187462814815,13000.0,-9.78401565552,0.713519888531,13000.0,-10.0541563034,0.0
14000.0,-10.1133527756,0.0991343340802,14000.0,-10.2008371353,0.189147715126,14000.0,-9.65258598328,0.713663809276,14000.0,-10.3815412521,0.00248813465493
15000.0,-10.0518608093,0.0972968295207,15000.0,-10.3107328415,0.188249013587,15000.0,-9.6071100235,0.716921855718,15000.0,-10.2098941803,0.00784210601333
16000.0,-9.74019241333,0.0925585113118,16000.0,-10.1466159821,0.191520083441,16000.0,-9.66543102264,0.716200953985,16000.0,-9.85447788239,0.0100569893231
17000.0,-9.92946243286,0.090839276276,17000.0,-9.94098091125,0.197100258453,17000.0,-9.72850418091,0.717703149788,17000.0,-9.99517726898,0.0169804103504
18000.0,-9.98019504547,0.0958608458087,18000.0,-9.86044025421,0.204687560821,18000.0,-9.75548362732,0.720234207903,18000.0,-9.99670028687,0.0194611853348
19000.0,-10.253695488,0.0965287755052,19000.0,-9.95426082611,0.214565479911,19000.0,-9.90698242188,0.721022009542,19000.0,-9.85467815399,0.0243929192047
20000.0,-10.0885648727,0.0995671205143,20000.0,-9.95190525055,0.223399305399,20000.0,-9.84884929657,0.72542405489,20000.0,-10.2538509369,0.0248720054277
21000.0,-10.1624279022,0.100145068598,21000.0,-10.080950737,0.23253315923,21000.0,-10.1384553909,0.725718649518,21000.0,-10.2061567307,0.0364340473063
22000.0,-9.74570274353,0.0999304899018,22000.0,-10.3252630234,0.241490869823,22000.0,-10.3215198517,0.723136758702,22000.0,-10.1503152847,0.0385968467959
23000.0,-9.65471172333,0.0990394206935,23000.0,-10.2320137024,0.253636955391,23000.0,-10.4375343323,0.72216092167,23000.0,-10.2875442505,0.0355279586792
24000.0,-9.74633312225,0.0975077791756,24000.0,-10.4230861664,0.252354398684,24000.0,-10.3245134354,0.72839654012,24000.0,-10.2518615723,0.0339338352438
25000.0,-9.89795780182,0.0937372053033,25000.0,-10.5286617279,0.25841357514,25000.0,-10.6381540298,0.725442665483,25000.0,-10.0656061172,0.0361256488189
26000.0,-10.2676334381,0.0930670423502,26000.0,-10.6047735214,0.261450143696,26000.0,-10.2168321609,0.729734380362,26000.0,-10.1121339798,0.036005488049
27000.0,-10.2747879028,0.0962820937517,27000.0,-10.1939001083,0.269631088393,27000.0,-9.93692302704,0.734154457462,27000.0,-9.89099502563,0.0373229161922
28000.0,-10.4014358521,0.0996066677579,28000.0,-10.299328804,0.26891852894,28000.0,-9.90478897095,0.736386553336,28000.0,-9.95419883728,0.0353517511907
29000.0,-10.297539711,0.1032964722,29000.0,-9.90578460693,0.278407876425,29000.0,-9.83173942566,0.735928497717,29000.0,-9.95307540894,0.0384742328033
30000.0,-10.3180570602,0.104273335666,30000.0,-9.83924102783,0.281296034399,30000.0,-9.75384235382,0.73735076094,30000.0,-9.87486839294,0.0352698512717
31000.0,-9.86375331879,0.10551260673,31000.0,-9.80909824371,0.284705641757,31000.0,-9.97248363495,0.73843012268,31000.0,-9.94509220123,0.033338362441
32000.0,-10.1227216721,0.104998864761,32000.0,-9.98003864288,0.283852155137,32000.0,-10.005607605,0.741516639448,32000.0,-9.94076251984,0.0337526741313
33000.0,-10.278547287,0.100681794495,33000.0,-10.0941028595,0.283340767486,33000.0,-9.99555301666,0.745760784179,33000.0,-9.60999298096,0.0367975489652
