timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[-0.00216438 -0.06232606 -0.06190172  0.19660736]
 [-0.00239813  0.00398884  0.          0.        ]]",[ 3.37197137  3.0178113 ],-0.339685976285,[-0.34135273 -0.39134118],-3.47254,"[ 1.0916754   2.0969186   0.03204304 -1.08327325 -0.53444841  1.71097902
 -0.22293041 -0.37592673  1.95370296 -1.93337403  0.        ]",[ 3.65461022  2.41836005]
1,"[[ 0.03746321 -0.02253466 -0.06190172  0.19660736]
 [ 3.95199423  3.96196546  0.          0.        ]]",[ 2.68800831  2.39103079],-0.332344463461,[-0.34135273 -0.39134118],-3.41231,"[ 1.0906987   2.0992246   0.09187912 -0.95861377 -0.53444812  1.71097622
 -0.11171217  0.19198763  1.95491793 -1.82092972  0.        ]",[ 3.1363175  3.9286135]
2,"[[ 0.15539426  0.09563033 -0.06190172  0.19660736]
 [ 7.82822356  7.84160484  0.          0.        ]]",[ 1.78927529  1.46088099],-0.308351786774,[-0.34135273 -0.39134118],-3.27508,"[ 1.07486518  2.09331186  0.26905957 -0.58853043 -0.53444783  1.71097341
 -0.00269227  0.7486615   1.91692322 -1.48936366  0.        ]",[ 1.74410481  1.01349784]
3,"[[  0.35008295   0.29061729  -0.06190172   0.19660736]
 [ 11.62808487  11.64440397   0.           0.        ]]",[ 0.56200951  0.31211543],-0.262433517911,[-0.34135273 -0.39134118],-2.96181,"[ 1.00704806  2.04215203  0.55330622  0.01059931 -0.53444755  1.71097061
  0.10417975  1.294309    1.7237919  -0.98199314  0.        ]",[-0.5624632   1.05054959]
4,"[[  0.55800497   0.56092755  -0.06190172   0.19660736]
 [  9.17241019  15.37417436   0.           0.        ]]",[ 0.18576892 -0.29237205],-0.199826850191,[-0.34135273 -0.39134118],-2.50051,"[ 0.88003944  1.88975856  0.83500481  0.78022142 -0.53444726  1.7109678
  0.03511323  1.82947588  1.31420718 -0.52236944  0.        ]",[-0.51389588  0.71987032]
5,"[[  0.71923971   0.89396172  -0.06190172   0.19660736]
 [  6.95854714  17.92074036   0.           0.        ]]",[ 0.18598112 -0.7594462 ],-0.1340955693,[-0.34135273 -0.39134118],-2.05578,"[ 0.74608948  1.58795709  1.03031255  1.55661285 -0.53444697  1.710965
 -0.02715227  2.194867    0.79623666 -0.31080061  0.        ]",[-0.04898207 -0.08543935]
6,"[[  0.85510726   1.24542167  -0.06190172   0.19660736]
 [  6.62932737  17.22755811   0.           0.        ]]",[ 0.19886374 -1.09087777],-0.0765613497474,[-0.34135273 -0.39134118],-1.72575,"[ 0.61191228  1.16809642  1.17504071  2.08334023 -0.53444669  1.71096219
 -0.03641166  2.09540053  0.29288295 -0.35861635  0.        ]",[-0.51523657  0.16222982]
7,"[[  0.96594143   1.59299904  -0.06190172   0.19660736]
 [  4.46123595  17.5291612    0.           0.        ]]",[ 0.34799314 -1.17687106],-0.060176788589,[-0.34135273 -0.39134118],-1.70631,"[ 0.48983783  0.70004374  1.27765386  2.2470955  -0.5344464   1.71095939
 -0.09738984  2.13867123 -0.08142917 -0.60323861  0.        ]",[-0.19837344 -1.58378158]
8,"[[  1.04642611   1.90037295  -0.06190172   0.19660736]
 [  3.58991371  13.2225785    0.           0.        ]]",[ 0.24870539 -1.06266856],-0.088845786313,[-0.34135273 -0.39134118],-1.90803,"[ 0.39499811  0.28733519  1.3426778   2.0790919  -0.53444611  1.71095659
 -0.121896    1.52073778 -0.27155514 -0.91280245  0.        ]",[ 0.78500872 -1.45229654]
9,"[[ 1.14870133  2.12246671 -0.06190172  0.19660736]
 [ 6.6274381   9.00087159  0.          0.        ]]",[ 0.36282235 -0.56467164],-0.119759585206,[-0.34135273 -0.39134118],-2.0905,"[ 0.26803961  0.01287109  1.41304561  1.78266209 -0.53444583  1.71095378
 -0.03646462  0.91498449 -0.35682977 -1.18615669  0.        ]",[-0.43292077 -0.95869627]
