timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[ 0.00326603 -0.09418881  0.0742197  -0.1668718 ]
 [-0.0025168  -0.00127031  0.          0.        ]]",[-2.63625622  1.19989133],-0.207432294071,[-0.19034953 -0.22548442],-1.76327,"[ 1.16613296  2.33963826  0.01150187 -1.11398193  0.63407685 -1.43985823
 -0.22394471 -0.37419694  0.84541306  1.23163741  0.        ]",[-3.72490736  1.94080544]
1,"[[-0.03648978 -0.0544707   0.0742197  -0.1668718 ]
 [-3.95988109  3.95987577  0.          0.        ]]",[-2.5610652   1.10555959],-0.204390533039,[-0.19034953 -0.22548442],-1.69642,"[ 1.16521541  2.34389301 -0.04745003 -0.97657883  0.63407624 -1.43985518
 -0.34706611  0.16983513  0.84490264  1.19825406  0.        ]",[-1.68954158  2.11866368]
2,"[[-0.15460718  0.06368322  0.0742197  -0.1668718 ]
 [-7.83894168  7.84256801  0.          0.        ]]",[-2.33201909  1.01902497],-0.194961910067,[-0.19034953 -0.22548442],-1.71859,"[ 1.1495969   2.34309595 -0.22173575 -0.56691783  0.63407563 -1.43985214
 -0.46775127  0.70309193  0.83625913  1.09965828  0.        ]",[-2.83191639  0.97506442]
3,"[[ -0.34953586   0.25772824   0.0742197   -0.1668718 ]
 [-11.64128723  11.54954829   0.           0.        ]]",[-1.90318644  0.93538547],-0.178122412863,[-0.19034953 -0.22548442],-1.65173,"[ 1.08228726  2.29825311 -0.50126525  0.09655303  0.63407502 -1.4398491
 -0.58604958  1.21221491  0.79892462  0.94065998  0.        ]",[-2.34791342  1.62037821]
4,"[[ -0.61975937   0.52616444   0.0742197   -0.1668718 ]
 [-15.36872306  15.28155428   0.           0.        ]]",[-1.52553666  0.90938723],-0.152719409289,[-0.19034953 -0.22548442],-1.61377,"[ 0.90824391  2.15040193 -0.85481527  0.95461773  0.6340744  -1.43984606
 -0.70201716  1.72477216  0.70242134  0.73894175  0.        ]",[-3.76912995  0.69466095]
5,"[[ -0.96379312   0.85636294   0.0742197   -0.1668718 ]
 [-19.02263094  17.72999111   0.           0.        ]]",[-1.02607548  0.89771348],-0.117555446734,[-0.19034953 -0.22548442],-1.20552,"[ 0.57044415  1.84735524 -1.2115446   1.83317631  0.63407379 -1.43984302
 -0.81569697  2.061038    0.51421521  0.52436201  0.        ]",[-0.0996939  -0.16393182]
6,"[[ -1.3444375    1.20091532   0.0742197   -0.1668718 ]
 [-19.04179942  16.72853723   0.           0.        ]]",[-0.67162132  0.89126229],-0.0783719295838,[-0.19034953 -0.22548442],-1.00028,"[ 0.09069669  1.42264048 -1.43865562  2.44689124  0.63407318 -1.43983997
 -0.81629241  1.92349038  0.24475949  0.36277392  0.        ]",[-0.70389564  0.84447816]
7,"[[ -1.74946362   1.56570133   0.0742197   -0.1668718 ]
 [-21.45289483  19.739904     0.           0.        ]]",[-0.50017285  0.78509098],-0.0509904837136,[-0.19034953 -0.22548442],-0.815595,"[-0.46693995  0.90721898 -1.452878    2.681453    0.63407257 -1.43983693
 -0.89130558  2.33706552 -0.06952846  0.31806327  0.        ]",[-0.46022412  0.84116141]
8,"[[ -2.1925623    1.98997722   0.0742197   -0.1668718 ]
 [-22.8523227   22.67785905   0.           0.        ]]",[-0.6425935  0.6251092],-0.0680971186964,[-0.19034953 -0.22548442],-0.850682,"[-1.02818709  0.31125104 -1.19891516  2.38113268  0.63407196 -1.43983389
 -0.93484353  2.7405513  -0.38334257  0.44471888  0.        ]",[-0.21962045 -0.16467051]
9,"[[ -2.6538119    2.43246867   0.0742197   -0.1668718 ]
 [-23.27117419  21.57504705   0.           0.        ]]",[-1.11044443  0.50261986],-0.110634274268,[-0.19034953 -0.22548442],-1.11399,"[-1.44543005 -0.19767737 -0.68843622  1.47132202  0.63407135 -1.43983085
 -0.94787365  2.58907691 -0.61770087  0.71667824  0.        ]",[-0.41868624 -0.7989018 ]
