timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[  6.74629421e-02   7.86658019e-02  -9.40993065e-02  -5.06297272e-02]
 [  1.30642183e-05   4.64582167e-03   0.00000000e+00   0.00000000e+00]]",[ 0.55771178  0.78978825],-0.311468708271,[ 0.01132724 -0.04956014],-1.43426,"[ 1.10031538  1.38155037  0.04151876 -0.22113306 -0.81419296 -0.4356164
 -0.53545967 -0.16754967  1.73137908  0.44938831  0.        ]",[ 0.95218202 -0.10120586]
1,"[[ 0.10525739  0.07472242 -0.09409931 -0.05062973]
 [ 3.76688882 -0.39763971  0.          0.        ]]",[ 0.54033989  0.77562928],-0.312405758841,[ 0.01132724 -0.04956014],-1.44203,"[ 1.09580033  1.38189593  0.09872404 -0.22850303 -0.81418417 -0.43561303
 -0.23761948 -0.22010264  1.72528274  0.50266755  0.        ]",[ 0.8648881 -0.7360645]
2,"[[ 0.21418678  0.03759323 -0.09409931 -0.05062973]
 [ 7.11489795 -3.30558366  0.          0.        ]]",[ 0.50630277  0.74604583],-0.31443373457,[ 0.01132724 -0.04956014],-1.45447,"[ 1.07188387  1.38443312  0.26203877 -0.29799938 -0.81417538 -0.43560967
  0.02710166 -0.59999264  1.70296357  0.6349628   0.        ]",[ 0.22425066 -0.31335416]
3,"[[ 0.36397796 -0.04031365 -0.09409931 -0.05062973]
 [ 7.8617337  -4.48118248  0.          0.        ]]",[ 0.46700233  0.71329433],-0.316008476578,[ 0.01132724 -0.04956014],-1.45222,"[ 1.01298434  1.38427659  0.47997684 -0.44402458 -0.81416659 -0.4356063
  0.0861525  -0.75356644  1.66056113  0.79206794  0.        ]",[ 0.09313484 -0.7729168 ]
4,"[[ 0.52336078 -0.1597541  -0.09409931 -0.05062973]
 [ 8.07583702 -7.45295238  0.          0.        ]]",[ 0.4152112   0.66480625],-0.316084402973,[ 0.01132724 -0.04956014],-1.43174,"[ 0.91863763  1.3695869   0.69845696 -0.66670356 -0.8141578  -0.43560294
  0.10308082 -1.14178562  1.60641528  0.92474662  0.        ]",[-0.03591381  1.14116599]
5,"[[ 0.68183406 -0.26760314 -0.09409931 -0.05062973]
 [ 7.77250975 -3.3456366   0.          0.        ]]",[ 0.37427115  0.63295233],-0.31490098856,[ 0.01132724 -0.04956014],-1.41723,"[ 0.79477883  1.34144386  0.89661179 -0.86420466 -0.81414901 -0.43559957
  0.07909628 -0.60519572  1.53426226  1.0550888   0.        ]",[ 0.07563008  0.24910198]
6,"[[ 0.83874006 -0.32395481 -0.09409931 -0.05062973]
 [ 7.91760824 -2.29303549  0.          0.        ]]",[ 0.32835159  0.59492409],-0.313029493904,[ 0.01132724 -0.04956014],-1.43782,"[ 0.64567421  1.321218    1.06917482 -0.96524471 -0.81414022 -0.43559621
  0.09056867 -0.46767842  1.43171209  1.20729607  0.        ]",[-2.18703704 -1.0936927 ]
7,"[[ 0.95584462 -0.40907172 -0.09409931 -0.05062973]
 [ 3.8065134  -6.20563532  0.          0.        ]]",[ 0.30162904  0.56222034],-0.310332332756,[ 0.01132724 -0.04956014],-1.36727,"[ 0.51939603  1.2836865   1.18007165 -1.11416963 -0.81413143 -0.43559284
 -0.2344974  -0.97881728  1.36054502  1.28135897  0.        ]",[-0.11608181  1.37144211]
8,"[[ 1.02659704 -0.49222168 -0.09409931 -0.05062973]
 [ 3.2705239  -2.12296942  0.          0.        ]]",[ 0.28527513  0.54841399],-0.307898701848,[ 0.01132724 -0.04956014],-1.33969,"[ 0.43769664  1.23913082  1.23891357 -1.25444164 -0.81412264 -0.43558948
 -0.27687686 -0.44544453  1.32660076  1.30067873  0.        ]",[ 1.30158918 -0.70760335]
9,"[[ 1.13106156 -0.56238456 -0.09409931 -0.05062973]
 [ 7.16298419 -4.8840904   0.          0.        ]]",[ 0.22377571  0.4804247 ],-0.304542737994,[ 0.01132724 -0.04956014],-1.28611,"[ 0.3106569   1.19569165  1.31383001 -1.36807179 -0.81411385 -0.43558612
  0.03090673 -0.80615726  1.25383527  1.35902349  0.        ]",[ 3.1147939  -0.01915949]
10,"[[  1.31259445  -0.65986905  -0.09409931  -0.05062973]
 [ 10.9776372   -4.86437869   0.           0.        ]]",[ 0.14260337  0.39824817],-0.29783715658,[ 0.01132724 -0.04956014],-1.3071,"[ 0.07550498  1.12689763  1.40798283 -1.51767004 -0.81410506 -0.43558275
  0.33253773 -0.80357347  1.10848415  1.45766151  0.        ]",[-0.25808365  0.08293641]
11,"[[ 1.51972464 -0.75288818 -0.09409931 -0.05062973]
 [ 9.73949719 -4.43896279  0.          0.        ]]",[ 0.07936467  0.33686236],-0.288585094773,[ 0.01132724 -0.04956014],-1.25103,"[-0.20649017  1.05264218  1.45633819 -1.65024979 -0.81409627 -0.43557939
  0.23463297 -0.74798799  0.92231833  1.54864505  0.        ]",[-0.39789593  0.3546695 ]
12,"[[ 1.69678369 -0.82668709 -0.09409931 -0.05062973]
 [ 7.97227746 -2.94592245  0.          0.        ]]",[ 0.0367907   0.29680488],-0.279215731271,[ 0.01132724 -0.04956014],-1.16065,"[-0.45040193  0.9881737   1.44624794 -1.74758734 -0.81408749 -0.43557602
  0.09489256 -0.55292647  0.75338939  1.59945229  0.        ]",[ 1.68377211 -0.59824081]
13,"[[  1.89435237  -0.90879636  -0.09409931  -0.05062973]
 [ 11.77198187  -5.25724375   0.           0.        ]]",[-0.04498267  0.21003903],-0.267169241457,[ 0.01132724 -0.04956014],-1.11358,"[-0.71582028  0.91113481  1.37942663 -1.84703629 -0.8140787  -0.43557266
  0.39534647 -0.85487861  0.56217697  1.62244688  0.        ]",[ 0.22545083  0.33934231]
14,"[[  2.13640413  -0.99941253  -0.09409931  -0.05062973]
 [ 12.43100157  -3.80918169   0.           0.        ]]",[-0.09711606  0.15254888],-0.25037338861,[ 0.01132724 -0.04956014],-1.04634,"[-1.0167131   0.82022525  1.22162734 -1.94519394 -0.81406991 -0.43556929
  0.44745443 -0.66569049  0.32578454  1.60615991  0.        ]",[ 0.26494846 -0.40809673]
15,"[[  2.3930826   -1.0910486   -0.09409931  -0.05062973]
 [ 13.23419352  -5.34927059   0.           0.        ]]",[-0.14079657  0.10102341],-0.230239053193,[ 0.01132724 -0.04956014],-0.954376,"[-1.2883133   0.72274609  0.97287771 -2.03128605 -0.81406113 -0.43556593
  0.51096233 -0.86688607  0.08693678  1.53353724  0.        ]",[-0.1453434   1.10506179]
16,"[[  2.64936183  -1.1572348   -0.09409931  -0.05062973]
 [ 12.39647474  -1.28291452   0.           0.        ]]",[-0.14151737  0.09703442],-0.208062495478,[ 0.01132724 -0.04956014],-0.896375,"[-1.49337302  0.64932664  0.65691964 -2.08480041 -0.81405234 -0.43556257
  0.44471628 -0.33563231 -0.14355233  1.4103607   0.        ]",[ 0.05028899  1.14371598]
17,"[[  2.89681666  -1.14290418  -0.09409931  -0.05062973]
 [ 12.3490982    2.70269136   0.           0.        ]]",[-0.13573822  0.10637429],-0.184457941752,[ 0.01132724 -0.04956014],-0.873039,"[-1.61606381  0.66541075  0.30708426 -2.07375676 -0.81404355 -0.4355592
  0.44096654  0.18507114 -0.38799843  1.23462919  0.        ]",[ 0.07147633  0.28436738]
18,"[[  3.14417874  -1.07808403  -0.09409931  -0.05062973]
 [ 12.38696285   3.77574522   0.           0.        ]]",[-0.13129079  0.11185737],-0.158237127886,[ 0.01132724 -0.04956014],-0.804976,"[-1.65716463  0.73682605 -0.06504096 -2.01972084 -0.81403477 -0.43555584
  0.44395727  0.3252602  -0.61726887  0.97759084  0.        ]",[-0.75198362  0.70350513]
19,"[[ 3.35959374 -0.9753565  -0.09409931 -0.05062973]
 [ 9.16525225  6.4879284   0.          0.        ]]",[-0.11287727  0.13543093],-0.133796719834,[ 0.01132724 -0.04956014],-0.738387,"[-1.62446093  0.84488653 -0.3897125  -1.92002541 -0.81402598 -0.43555247
  0.18919533  0.67959475 -0.78178832  0.67248729  0.        ]",[-0.25398726  0.46225772]
20,"[[ 3.53098578 -0.82851591 -0.09409931 -0.05062973]
 [ 7.97790136  8.19044356  0.          0.        ]]",[-0.0920314   0.16259503],-0.11459479908,[ 0.01132724 -0.04956014],-0.655399,"[-1.55376543  0.98645349 -0.63789246 -1.749445   -0.8140172  -0.43554911
  0.09530291  0.90201491 -0.87621429  0.34907172  0.        ]",[-1.80187765 -0.41977137]
21,"[[ 3.64926604 -0.68299574 -0.09409931 -0.05062973]
 [ 3.86392359  6.3676318   0.          0.        ]]",[-0.06822649  0.1967231 ],-0.103789617931,[ 0.01132724 -0.04956014],-0.623288,"[-1.4829782   1.10909602 -0.79972459 -1.55106717 -0.81400841 -0.43554575
 -0.23001743  0.66386108 -0.89978467  0.07511541  0.        ]",[-0.18433023 -0.30813639]
22,"[[ 3.71846348 -0.56914642 -0.09409931 -0.05062973]
 [ 3.05852709  5.0217829   0.          0.        ]]",[-0.04777261  0.22493292],-0.0998281846607,[ 0.01132724 -0.04956014],-0.601758,"[-1.43366722  1.19109419 -0.88974987 -1.3781986  -0.81399963 -0.43554238
 -0.29370426  0.48802339 -0.88749305 -0.1108854   0.        ]",[ 0.58948189  0.11996488]
23,"[[ 3.80242246 -0.46495019 -0.09409931 -0.05062973]
 [ 5.32979318  5.39659525  0.          0.        ]]",[-0.02781157  0.24909671],-0.0981621293488,[ 0.01132724 -0.04956014],-0.568999,"[-1.3664357   1.25440107 -0.99361418 -1.2084708  -0.81399084 -0.43553902
 -0.11409594  0.53698799 -0.84213878 -0.30715917  0.        ]",[ 0.52229308  1.43771533]
24,"[[ 3.92867494 -0.31836906 -0.09409931 -0.05062973]
 [ 7.28889802  9.24868107  0.          0.        ]]",[ 0.01987578  0.30261022],-0.10224517855,[ 0.01132724 -0.04956014],-0.673006,"[-1.25106801  1.32314283 -1.1372153  -0.95472573 -0.81398206 -0.43553566
  0.04082721  1.04024979 -0.72424586 -0.57752122  0.        ]",[-0.04758038 -0.57121812]
25,"[[ 4.07112503 -0.157924   -0.09409931 -0.05062973]
 [ 6.95725019  6.80396596  0.          0.        ]]",[ 0.08185256  0.36769307],-0.115179022416,[ 0.01132724 -0.04956014],-0.753465,"[-1.10238901  1.36962467 -1.27856132 -0.66276629 -0.81397327 -0.43553229
  0.01460067  0.72084028 -0.52861002 -0.83774456  0.        ]",[-0.46578354  0.10861939]
