timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[ 0.07648416 -0.01033675  0.18341205  0.1193785 ]
 [-0.00195878 -0.00261061  0.          0.        ]]","[ 1.15926876  2.08912611  0.08429222 -0.69465763  1.59048356  1.02888121
 -0.30329647 -0.34737064 -0.01292277 -0.91695941  0.        ]",-0.107666808245,[-0.11541957 -0.16000807],-0.768277,[-0.11551854  1.33274436],[ 0.74174846 -0.20625467]
1,"[[ 0.10588893 -0.01859395  0.18341205  0.1193785 ]
 [ 2.93266338 -0.82038026  0.          0.        ]]","[ 1.15556543  2.08894768  0.12790583 -0.71917345  1.59047529  1.02887809
 -0.17952511 -0.45933835 -0.01621318 -0.87471731  0.        ]",-0.102472931369,[-0.11541957 -0.16000807],-0.794705,[-0.225115    1.31319141],[-0.96005136  3.00336694]
2,"[[ 0.12583978  0.00490431  0.18341205  0.1193785 ]
 [-0.92473026  3.15694507  0.          0.        ]]","[ 1.15237489  2.08914923  0.15742196 -0.64939635  1.59046703  1.02887497
 -0.34221482  0.08523516 -0.02175609 -0.82047061  0.        ]",-0.0957676975496,[-0.11541957 -0.16000807],-0.733428,[-0.24318369  1.19465256],[-0.54876538  0.46905195]
3,"[[ 0.08574091  0.08605893  0.18341205  0.1193785 ]
 [-3.07798526  4.95252975  0.          0.        ]]","[ 1.15822059  2.08413158  0.09803372 -0.40871888  1.59045876  1.02887185
 -0.43303033  0.33108565 -0.02365311 -0.81663093  0.        ]",-0.0952408363111,[-0.11541957 -0.16000807],-0.70954,[-0.14454544  1.18377674],[ 0.01100124  2.02081719]
4,"[[ 0.02521371  0.22385315  0.18341205  0.1193785 ]
 [-2.97506478  8.81402171  0.          0.        ]]","[ 1.16285285  2.05530516  0.0080327  -0.00475522  1.59045049  1.02886873
 -0.42868878  0.85979869 -0.0342723  -0.79839358  0.        ]",-0.09268506785,[-0.11541957 -0.16000807],-0.674393,[-0.09727785  1.07110739],[ 0.67482735  2.42315395]
5,"[[ -6.92602292e-03   4.38100160e-01   1.83412046e-01   1.19378501e-01]
 [ -2.47918863e-01   1.25980801e+01   0.00000000e+00   0.00000000e+00]]","[ 1.16325483  1.96107688 -0.03983442  0.5957802   1.59044222  1.02886561
 -0.31366714  1.37790606 -0.08330269 -0.67242524  0.        ]",-0.0759207228218,[-0.11541957 -0.16000807],-0.578434,[-0.17765157  0.90140259],[ 0.37739305  0.56543329]
6,"[[  3.14147886e-03   7.10017324e-01   1.83412046e-01   1.19378501e-01]
 [  1.24978225e+00   1.45870168e+01   0.00000000e+00   0.00000000e+00]]","[ 1.16327712  1.76148236 -0.02483919  1.27172589  1.59043396  1.02886249
 -0.25049906  1.65022185 -0.20683593 -0.45499239  0.        ]",-0.0471018132123,[-0.11541957 -0.16000807],-0.493695,[-0.29359296  0.78200281],[-0.52164351  0.59353398]
7,"[[  7.18317877e-03   1.02244664e+00   1.83412046e-01   1.19378501e-01]
 [ -8.38636894e-01   1.66490229e+01   0.00000000e+00   0.00000000e+00]]","[ 1.16324426  1.44005861 -0.01881923  1.87019374  1.59042569  1.02885937
 -0.33858069  1.93253715 -0.40264937 -0.27199842  0.        ]",-0.0361911810872,[-0.11541957 -0.16000807],-0.501403,[-0.33285314  0.67411751],[-0.9622714   1.00428214]
8,"[[ -0.04762579   1.39185755   0.18341205   0.1193785 ]
 [ -4.62967522  20.27990196   0.           0.        ]]","[ 1.16170926  0.97462352 -0.10042898  2.25813531  1.59041742  1.02885625
 -0.49847267  2.42964846 -0.63931573 -0.21217682  0.        ]",-0.0612093435814,[-0.11541957 -0.16000807],-0.628446,[-0.1879348   0.55327368],[ 0.11395964 -1.07869329]
9,"[[ -0.13475907   1.75369752   0.18341205   0.1193785 ]
 [ -4.08558275  15.91864048   0.           0.        ]]","[ 1.15074569  0.48671912 -0.22963183  2.25599788  1.59040916  1.02885313
 -0.47552385  1.83250183 -0.86662087 -0.26043409  0.        ]",-0.0925039697709,[-0.11541957 -0.16000807],-0.772119,[-0.16043806  0.55778933],[-2.12740974  1.1986207 ]
10,"[[ -0.25537169   2.1086391    0.18341205   0.1193785 ]
 [ -7.96285473  19.56329523   0.           0.        ]]","[ 1.11846117  0.03876607 -0.40576771  1.88626913  1.59040089  1.02885001
 -0.63905282  2.33149656 -1.07106689 -0.38972645  0.        ]",-0.123626731752,[-0.11541957 -0.16000807],-0.989932,[-0.03195276  0.39680693],[ 0.26381227  1.4369772 ]
11,"[[ -0.40256662   2.53574442   0.18341205   0.1193785 ]
 [ -6.76052727  23.13536601   0.           0.        ]]","[ 1.0528152  -0.38116749 -0.61306703  1.02702502  1.59039262  1.02884689
 -0.58834148  2.82053499 -1.31271483 -0.60313186  0.        ]",-0.163728239368,[-0.11541957 -0.16000807],-1.12773,[-0.121359    0.21052484],[ 0.94445375  0.4885208 ]
12,"[[ -0.49891197   3.01326429   0.18341205   0.1193785 ]
 [ -2.8870952   20.33881919   0.           0.        ]]","[ 0.99484622 -0.6113219  -0.74218792 -0.28395493  1.59038436  1.02884378
 -0.4249721   2.43762044 -1.56811683 -0.90243636  0.        ]",-0.211282444925,[-0.11541957 -0.16000807],-1.23804,[-0.33343837  0.09844607],[ 0.85808448 -0.31989063]
13,"[[-0.52200438  3.1584768   0.18341205  0.1193785 ]
 [ 0.5665761  -0.2354487   0.          0.        ]]","[ 0.97925559 -0.62227575 -0.77219653 -0.7141138   1.59037609  1.02884066
 -0.27930697 -0.37928744 -1.63305229 -1.01680821  0.        ]",-0.226021039551,[-0.11541957 -0.16000807],-1.30481,[-0.3145      0.46575305],[ 0.43474758  2.07821731]
