timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.413713118427,"[[-0.0298868   0.07710768 -0.16984647 -0.1621195 ]
 [-0.0025121  -0.00438669  0.          0.        ]]",[-6.10185432 -4.73801756],-5.89861,"[ 1.0510198   1.87738932  0.32866553  1.25266028 -1.47270938 -1.40564296
 -0.65648706  0.3544588   3.05219515  2.06515832  0.        ]",[-0.82217449 -0.6056779 ],[-5.99374594 -5.40432656]
1,-0.408709653764,"[[-0.06961164  0.03730839 -0.16984647 -0.1621195 ]
 [-3.95680846 -3.96235653  0.          0.        ]]",[-5.31093121 -4.18139315],-5.91807,"[ 1.04795219  1.88043026  0.26758483  1.14337702 -1.47270823 -1.40564194
 -0.76825373 -0.2187329   3.05103514  1.93502966  0.        ]",[-0.82217449 -0.6056779 ],[-5.83536614 -4.21762998]
2,-0.391217353024,"[[-0.18763796 -0.08086436 -0.16984647 -0.1621195 ]
 [-7.8329348  -7.84199022  0.          0.        ]]",[-4.53487253 -3.51094103],-5.82046,"[ 1.0244588   1.87698874  0.08747728  0.81860581 -1.47270709 -1.40564091
 -0.87781087 -0.78057986  3.00394906  1.55277899  0.        ]",[-0.82217449 -0.6056779 ],[-4.97309974 -3.01320464]
3,-0.35433951334,"[[ -0.38241973  -0.27585899  -0.16984647  -0.1621195 ]
 [-11.63267843 -11.64478555   0.           0.        ]]",[-3.53798771 -2.34826517],-5.51531,"[ 0.93955268  1.83079456 -0.19985449  0.29161273 -1.47270594 -1.40563988
 -0.98520898 -1.33129857  2.79009794  0.97137783  0.        ]",[-0.82217449 -0.6056779 ],[-3.74081642 -2.34793143]
4,-0.289314914171,"[[ -0.65245014  -0.54615281  -0.16984647  -0.1621195 ]
 [-15.35819257 -15.37213101   0.           0.        ]]",[-1.41304231 -0.02088398],-5.17028,"[ 0.73278813  1.6868129  -0.56007231 -0.38784931 -1.47270479 -1.40563885
 -1.09050892 -1.8710894   2.26375494  0.37155585  0.        ]",[-0.82217449 -0.6056779 ],[-0.92816373  0.23718058]
5,-0.197728161237,"[[ -0.99343141  -0.8411004   -0.16984647  -0.1621195 ]
 [-18.72887441 -14.12670442   0.           0.        ]]",[ 1.35920954  2.12253928],-4.36698,"[ 0.3465103   1.43554667 -0.91536343 -1.00939497 -1.47270365 -1.40563783
 -1.18577951 -1.69072565  1.44748903  0.0970427   0.        ]",[-0.82217449 -0.6056779 ],[ 1.73070636  2.14918588]
6,-0.113008566024,"[[ -1.32462769  -1.08110328  -0.16984647  -0.1621195 ]
 [-14.40490517  -9.88773296   0.           0.        ]]",[ 2.11803126  2.7943728 ],-3.61156,"[-0.12259892  1.17304479 -1.11851207 -1.38649137 -1.4727025  -1.4056368
 -1.0635633  -1.07683935  0.72263326  0.29333786  0.        ]",[-0.82217449 -0.6056779 ],[ 1.52344949  3.52979674]
7,-0.0709426185547,"[[ -1.5701884   -1.2371705   -0.16984647  -0.1621195 ]
 [-10.16507253  -5.73287329   0.           0.        ]]",[ 2.15153694  2.68332624],-3.23697,"[-0.50002829  0.98196178 -1.16492511 -1.5580786  -1.47270136 -1.40563577
 -0.94372531 -0.47513452  0.31534981  0.64905287  0.        ]",[-0.82217449 -0.6056779 ],[ 1.98694303  2.75903651]
8,-0.0687738088545,"[[-1.73178308 -1.31096799 -0.16984647 -0.1621195 ]
 [-6.00811835 -1.66047998  0.          0.        ]]",[ 1.66936123  2.14654541],-3.35235,"[-0.74985525  0.88760439 -1.1450171  -1.61741392 -1.47270021 -1.40563475
 -0.82622994  0.11462751  0.12655358  0.92066485  0.        ]",[-0.82217449 -0.6056779 ],[ 2.06959537  1.74279644]
9,-0.071817001582,"[[-1.81105867 -1.30412824 -0.16984647 -0.1621195 ]
 [-1.932995    2.33113114  0.          0.        ]]",[ 0.95500314  1.16502333],-3.35013,"[-0.87044438  0.89643584 -1.12070002 -1.61251705 -1.47269907 -1.40563372
 -0.71104757  0.69269062  0.05444651  1.01825632  0.        ]",[-0.82217449 -0.6056779 ],[ 0.54764213  1.39489348]
10,-0.0650689733253,"[[-1.82760133 -1.21824593 -0.16984647 -0.1621195 ]
 [ 0.27133354  6.24405152  0.          0.        ]]",[ 0.32398599 -0.16450924],-3.27584,"[-0.89534003  1.00579352 -1.11443452 -1.5405645  -1.47269792 -1.40563269
 -0.64874266  1.25935729  0.0445233   0.94446576  0.        ]",[-0.82217449 -0.6056779 ],[-0.49016279  0.02600609]
11,-0.0558876020171,"[[-1.84168985 -1.09356706 -0.16984647 -0.1621195 ]
 [-1.67367439  6.22391148  0.          0.        ]]",[ 0.65811121 -0.37718466],-3.20609,"[-0.91645745  1.15828466 -1.10877706 -1.4024209  -1.47269677 -1.40563167
 -0.70371747  1.25643982  0.04863737  0.82509228  0.        ]",[-0.82217449 -0.6056779 ],[-0.04210957 -0.44392241]
12,-0.0499632910911,"[[-1.87649805 -0.98796073 -0.16984647 -0.1621195 ]
 [-1.80668708  4.34299003  0.          0.        ]]",[ 0.91943502 -0.10313514],-3.20564,"[-0.96827001  1.28007928 -1.09354031 -1.25563677 -1.47269563 -1.40563064
 -0.70747678  0.98404518  0.03577938  0.75781278  0.        ]",[-0.82217449 -0.6056779 ],[ 1.3574195  -0.72322885]
13,-0.0472208198629,"[[-1.87256678 -0.93070775 -0.16984647 -0.1621195 ]
 [ 2.18650086  1.39214114  0.          0.        ]]",[ 0.47805947  0.25381768],-3.1328,"[-0.96244496  1.34276272 -1.09534997 -1.16524724 -1.47269448 -1.40562961
 -0.59461029  0.55670443  0.0568171   0.69095453  0.        ]",[-0.82217449 -0.6056779 ],[ 0.88853317 -0.33137275]
14,-0.0512811317288,"[[-1.79399452 -0.91631632 -0.16984647 -0.1621195 ]
 [ 5.65916176  0.05148754  0.          0.        ]]",[-0.25772381  0.13478428],-3.04338,"[-0.84465557  1.35811467 -1.12673058 -1.14137683 -1.47269334 -1.40562859
 -0.49645638  0.36255146  0.15648138  0.57305817  0.        ]",[-0.82217449 -0.6056779 ],[-0.38949494 -0.63629712]
15,-0.0616694542275,"[[-1.69738855 -0.94056957 -0.16984647 -0.1621195 ]
 [ 4.00693909 -2.46842603  0.          0.        ]]",[-0.13991296  0.68975157],-3.03682,"[-0.69700237  1.33214448 -1.15260039 -1.1813393  -1.47269219 -1.40562756
 -0.54315581 -0.00238139  0.27076198  0.48307824  0.        ]",[-0.82217449 -0.6056779 ],[-0.61976596  0.70759515]
16,-0.0684523527603,"[[-1.64265665 -0.9613286  -0.16984647 -0.1621195 ]
 [ 1.47467629  0.38300685  0.          0.        ]]",[-0.15484911 -0.02161467],-3.04799,"[-0.61244932  1.30954698 -1.16094629 -1.21450688 -1.47269105 -1.40562653
 -0.61472931  0.41056194  0.33448453  0.4443483   0.        ]",[-0.82217449 -0.6056779 ],[-0.42305947 -0.68043668]
17,-0.0693482349643,"[[-1.6302424  -0.98077174 -0.16984647 -0.1621195 ]
 [-0.22759157 -2.31832118  0.          0.        ]]",[ 0.30283234  0.81687492],-3.06603,"[-0.59321534  1.28808255 -1.16219954 -1.24469077 -1.4726899  -1.4056255
 -0.66284321  0.01935653  0.34186469  0.45031024  0.        ]",[-0.82217449 -0.6056779 ],[-0.00334692 -0.17320487]
18,-0.0666533287709,"[[-1.63488034 -1.03355868 -0.16984647 -0.1621195 ]
 [-0.23617825 -2.95824033  0.          0.        ]]",[ 0.39512774  1.15950942],-3.08894,"[-0.60040267  1.22841473 -1.16175811 -1.32225074 -1.47268875 -1.40562448
 -0.66308567 -0.07331634  0.31130352  0.50732053  0.        ]",[-0.82217449 -0.6056779 ],[-0.08217356  1.74082072]
19,-0.0651513567639,"[[-1.64283072 -1.05240712 -0.16984647 -0.1621195 ]
 [-0.55777581  1.06000443  0.          0.        ]]",[ 0.1493749   0.20835763],-3.11123,"[-0.61271829  1.20663817 -1.16092501 -1.3483599  -1.47268761 -1.40562345
 -0.6721753   0.50860461  0.29296465  0.53494441  0.        ]",[-0.82217449 -0.6056779 ],[ 0.85540722  0.77878174]
20,-0.0699374613578,"[[-1.61992566 -1.00048783 -0.16984647 -0.1621195 ]
 [ 2.836938    4.12172247  0.          0.        ]]",[-0.75839686 -1.02558303],-3.04114,"[-0.57721975  1.26602813 -1.16305938 -1.27441428 -1.47268646 -1.40562242
 -0.57622442  0.95200142  0.34628356  0.45893923  0.        ]",[-0.82217449 -0.6056779 ],[-1.57553725 -0.41971449]
21,-0.0759614598605,"[[-1.60344382 -0.93553454 -0.16984647 -0.1621195 ]
 [-1.17535028  2.37941365  0.          0.        ]]",[-0.03747129 -0.60021126],-3.04676,"[-0.55165012  1.33756943 -1.16409597 -1.17314484 -1.47268532 -1.4056214
 -0.68963046  0.69968043  0.40233295  0.38059227  0.        ]",[-0.82217449 -0.6056779 ],[ 0.20241259 -1.57875721]
22,-0.0739534945625,"[[-1.61867013 -0.92814922 -0.16984647 -0.1621195 ]
 [-0.35003485 -1.62752785  0.          0.        ]]",[ 0.19729242  0.43189532],-3.05251,"[-0.57527224  1.3454966  -1.16315176 -1.16103015 -1.47268417 -1.40562037
 -0.6663029   0.11939603  0.38479471  0.3885267   0.        ]",[-0.82217449 -0.6056779 ],[-0.33026873  0.37550187]
23,-0.0698357073274,"[[-1.63871688 -0.94545466 -0.16984647 -0.1621195 ]
 [-1.65030693 -0.10808078  0.          0.        ]]",[ 0.39221698  0.22125632],-3.0623,"[-0.60634569  1.32685037 -1.16136518 -1.18922514 -1.47268303 -1.40561934
 -0.7030545   0.33944197  0.34780721  0.42500933  0.        ]",[-0.82217449 -0.6056779 ],[ 0.51029266 -0.16299111]
24,-0.0675557363227,"[[-1.65113612 -0.9540762  -0.16984647 -0.1621195 ]
 [ 0.40155069 -0.75192629  0.          0.        ]]",[ 0.15107286  0.34196216],-3.05689,"[-0.62557558  1.31747257 -1.1599484  -1.20302274 -1.47268188 -1.40561832
 -0.64505903  0.2462003   0.32648581  0.44620093  0.        ]",[-0.82217449 -0.6056779 ],[ 0.10402002  0.83857507]
25,-0.0703063768139,"[[-1.63906544 -0.93565178 -0.16984647 -0.1621195 ]
 [ 0.80417067  2.58325322  0.          0.        ]]",[-0.24707949 -0.65809429],-3.04928,"[-0.60688522  1.33743958 -1.16132733 -1.17333341 -1.47268073 -1.40561729
 -0.63367886  0.72920031  0.35232599  0.41603695  0.        ]",[-0.82217449 -0.6056779 ],[ 0.08898437 -0.49799088]
26,-0.0753092537873,"[[-1.61960331 -0.90428495 -0.16984647 -0.1621195 ]
 [ 1.1409258   0.56017298  0.          0.        ]]",[-0.23195285 -0.30631289],-3.02826,"[-0.57671865  1.37081002 -1.16307965 -1.12106564 -1.47267959 -1.40561626
 -0.62416034  0.43621792  0.39651877  0.36735106  0.        ]",[-0.82217449 -0.6056779 ],[-0.31249289 -1.76222524]
27,-0.0751565398603,"[[-1.60940418 -0.93291672 -0.16984647 -0.1621195 ]
 [-0.11684027 -3.41012116  0.          0.        ]]",[ 0.27649784  0.88119978],-3.09027,"[-0.5608976   1.3403791  -1.16376508 -1.16886058 -1.47267844 -1.40561524
 -0.65971057 -0.13875973  0.39531024  0.38391693  0.        ]",[-0.82217449 -0.6056779 ],[ 0.44425271  1.09776778]
28,-0.0759247697,"[[-1.59409417 -0.96071918 -0.16984647 -0.1621195 ]
 [ 1.64199972  0.61646089  0.          0.        ]]",[-0.41432738 -0.2429769 ],-3.05664,"[-0.53713738  1.31020468 -1.16449388 -1.21353804 -1.4726773  -1.40561421
 -0.60999716  0.44436957  0.40192506  0.3951443   0.        ]",[-0.82217449 -0.6056779 ],[-0.39900704 -0.30280883]
29,-0.0786262405253,"[[-1.57741624 -0.96053751 -0.16984647 -0.1621195 ]
 [ 0.03115829 -0.59426225  0.          0.        ]]",[-0.12167299  0.11561167],-3.05785,"[-0.51124478  1.31040291 -1.16487729 -1.21325098 -1.47267615 -1.40561318
 -0.655527    0.2690326   0.42557767  0.37912949  0.        ]",[-0.82217449 -0.6056779 ],[-0.60335075 -0.63866716]
30,-0.0728801406098,"[[-1.60074381 -0.99767048 -0.16984647 -0.1621195 ]
 [-2.35599096 -3.11064988  0.          0.        ]]",[ 0.61960185  1.11441898],-3.0978,"[-0.54745819  1.2691878  -1.16422    -1.27021424 -1.47267501 -1.40561216
 -0.72299897 -0.09539068  0.37376166  0.43676107  0.        ]",[-0.82217449 -0.6056779 ],[ 0.90877996  0.17977657]
31,-0.0691074731913,"[[-1.61132139 -1.05213382 -0.16984647 -0.1621195 ]
 [ 1.28613326 -2.3382516   0.          0.        ]]",[-0.00928038  0.91058606],-3.09208,"[-0.56387143  1.20694532 -1.16364562 -1.34797838 -1.47267386 -1.40561113
 -0.62005492  0.01646807  0.33399556  0.50108881  0.        ]",[-0.82217449 -0.6056779 ],[-0.29701257  0.91451887]
32,-0.0705763417969,"[[-1.59765541 -1.06209915 -0.16984647 -0.1621195 ]
 [ 0.08446848  1.32949276  0.          0.        ]]",[-0.14842087 -0.00280687],-3.08375,"[-0.54266445  1.19533773 -1.1643537  -1.36144613 -1.47267272 -1.4056101
 -0.65401948  0.54763096  0.34757295  0.49691081  0.        ]",[-0.82217449 -0.6056779 ],[-0.81265594  0.87407844]
33,-0.0687377864863,"[[-1.62825422 -1.00103903 -0.16984647 -0.1621195 ]
 [-3.13361721  4.76507882  0.          0.        ]]",[ 0.20157284 -0.82773167],-3.07066,"[-0.59013064  1.26539642 -1.16236761 -1.27522263 -1.47267157 -1.40560907
 -0.74497771  1.04517239  0.33485244  0.46806157  0.        ]",[-0.82217449 -0.6056779 ],[ 0.05155705 -1.10603332]
34,-0.062672448005,"[[-1.68824562 -0.94641227 -0.16984647 -0.1621195 ]
 [-2.86641365  0.71110626  0.          0.        ]]",[ 0.71369588  0.22595769],-3.0675,"[-0.68290854  1.32580229 -1.15430101 -1.19075762 -1.47267042 -1.40560805
 -0.73742498  0.4580755   0.28020287  0.47868598  0.        ]",[-0.82217449 -0.6056779 ],[ 0.87704283  0.02541642]
35,-0.0603139948068,"[[-1.71018865 -0.93133214 -0.16984647 -0.1621195 ]
 [ 0.66035976  0.79661912  0.          0.        ]]",[ 0.19337276  0.02106661],-3.06465,"[-0.71669776  1.34207379 -1.14997387 -1.16625614 -1.47266928 -1.40560702
 -0.63774123  0.47045934  0.25801211  0.48836738  0.        ]",[-0.82217449 -0.6056779 ],[ 0.81882212 -0.42138015]
36,-0.0666284940017,"[[-1.66460233 -0.93230817 -0.16984647 -0.1621195 ]
 [ 3.88752903 -0.8885937   0.          0.        ]]",[-0.37782443  0.15016234],-3.03804,"[-0.64640278  1.34102513 -1.15813742 -1.16785648 -1.47266813 -1.40560599
 -0.54652576  0.22640648  0.31887568  0.43938133  0.        ]",[-0.82217449 -0.6056779 ],[-0.39654855  0.32208933]
