timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.442665155959,[-0.80134916 -0.59488249],[-0.23251176 -9.46521378],-5.01074,"[ 1.04792771  1.90020652  0.44703553  0.83769456 -1.71279237  1.50145568
 -0.65995458  0.3556763   3.27322651 -1.359509    0.        ]","[[ 0.04960589 -0.06869589 -0.19907564  0.17234796]
 [ 0.00397248  0.00449168  0.          0.        ]]",[ 0.58845097 -9.97384756]
1,-0.442273828592,[-0.80134916 -0.59488249],[-0.41275114 -9.7634573 ],-4.95182,"[ 1.04570329  1.89550157  0.48310379  0.72861457 -1.71279064  1.50145443
 -0.59374396 -0.21493242  3.27155425 -1.35384965  0.        ]","[[ 0.07305592 -0.10834386 -0.19907564  0.17234796]
 [ 2.33326969 -3.95608553  0.          0.        ]]",[ -0.56229178 -10.50038009]
2,-0.444396609931,[-0.80134916 -0.59488249],[ -0.54455811 -10.02732182],-5.15924,"[ 1.04256316  1.86912607  0.51979971  0.40726661 -1.71278891  1.50145317
 -0.65824156 -0.77398835  3.26241706 -1.43411578  0.        ]","[[ 0.09695549 -0.22639875 -0.19907564  0.17234796]
 [ 0.06422135 -7.83647606  0.          0.        ]]",[-1.27734884 -9.32219693]
3,-0.451265952164,[-0.80134916 -0.59488249],[ -0.87127477 -10.18302536],-4.95173,"[ 1.0471781   1.78604559  0.46079655 -0.10225785 -1.71278719  1.50145192
 -0.77069083 -1.32188573  3.21100905 -1.72410444  0.        ]","[[  0.05854906  -0.42128435  -0.19907564   0.17234796]
 [ -3.89177909 -11.63941933   0.           0.        ]]",[ -0.83598963 -10.66426712]
4,-0.455881940415,[-0.80134916 -0.59488249],[ -1.4577415  -10.06803989],-5.07503,"[ 1.04776224  1.59516374  0.29100226 -0.73408971 -1.71278546  1.50145067
 -0.86249653 -1.85897442  3.02224996 -2.19375299  0.        ]","[[ -0.05168964  -0.69147626  -0.19907564   0.17234796]
 [ -7.12153699 -15.36734887   0.           0.        ]]",[ -1.96266961 -10.7184107 ]
5,-0.445641774802,[-0.80134916 -0.59488249],[-2.05686259 -9.48039913],-5.17187,"[ 1.00822916  1.24603746  0.01568919 -1.34849712 -1.71278374  1.50144942
 -0.9709795  -2.38539199  2.58308664 -2.6837765   0.        ]","[[ -0.2324083   -1.0354839   -0.19907564   0.17234796]
 [-10.93800765 -19.02122638   0.           0.        ]]",[-1.70380299 -9.65438091]
6,-0.406091953539,[-0.80134916 -0.59488249],[-2.21734858 -8.52655602],-5.02298,"[ 0.86869209  0.72081603 -0.35289289 -1.71538207 -1.71278201  1.50144817
 -1.07739455 -2.90136752  1.87693304 -2.90124236  0.        ]","[[ -0.48872512  -1.45184228  -0.19907564   0.17234796]
 [-14.68173243 -22.60265056   0.           0.        ]]",[-2.63644561 -8.36664793]
7,-0.330825256264,[-0.80134916 -0.59488249],[-1.22101617 -7.21527481],-4.26149,"[ 0.55903709  0.07847577 -0.75525949 -1.54964932 -1.71278028  1.50144691
 -1.18179078 -3.40710549  1.16476789 -2.54388836  0.        ]","[[ -0.81920456  -1.93911637  -0.19907564   0.17234796]
 [-18.35443934 -26.11305059   0.           0.        ]]",[-1.12779775 -7.52014805]
8,-0.249934378166,[-0.80134916 -0.59488249],[ 0.60777336 -6.87529325],-3.39362,"[ 0.03073771 -0.51007695 -1.07784076 -0.63485476 -1.71277856  1.50144566
 -1.28416602 -3.90284799  0.95414141 -1.73256646  0.        ]","[[ -1.22242934  -2.49590199  -0.19907564   0.17234796]
 [-21.95605291 -29.55411768   0.           0.        ]]",[ 0.44600085 -6.47629251]
9,-0.255577945845,[-0.80134916 -0.59488249],[ 1.70732856 -7.65109968],-3.43145,"[-0.60368676 -0.779909   -1.16677052  0.96995983 -1.71277683  1.50144441
 -1.2217026  -3.48761098  1.44297015 -1.28612434  0.        ]","[[ -1.63951484  -3.12083265  -0.19907564   0.17234796]
 [-19.75860355 -26.67202389   0.           0.        ]]",[ 1.45048819 -7.02953519]
