timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.311562061703,[-3.06482353  1.03663444],-1.66218,"[[ 0.01741012 -0.08766811 -0.09608842 -0.06561436]
 [-0.0043145  -0.00286103  0.          0.        ]]","[ 1.20049926  2.29008255  0.11060781 -1.02514047 -0.83928081 -0.56523377
  1.12232368 -0.36535966  2.00946549  0.53685502  0.        ]",[-3.02976751  0.99877608],[-0.17803699 -0.28621516]
1,-0.310812784844,[-2.68484305  0.59069266],-1.65278,"[[-0.02238128 -0.04798149 -0.09608842 -0.06561436]
 [-3.96164296  3.95831681  0.          0.        ]]","[ 1.20036116  2.29389227  0.05147679 -0.88667553 -0.83927986 -0.56523327
  1.01242167  0.16569041  2.00938101  0.50289706  0.        ]",[-2.96763515  0.8942436 ],[-0.17803699 -0.28621516]
2,-0.307583834569,[-2.00823378  0.83637116],-1.62953,"[[-0.14052726  0.05388066 -0.09608842 -0.06561436]
 [-7.84004053  6.22035174  0.          0.        ]]","[ 1.18713285  2.29345626 -0.12341922 -0.5305981  -0.83927891 -0.56523277
  0.90471197  0.46894701  2.0013453   0.38750958  0.        ]",[-2.81549382  0.9504683 ],[-0.17803699 -0.28621516]
3,-0.300252852969,[-2.37502943  0.7328247 ],-1.42784,"[[ -0.33547556   0.21029371  -0.09608842  -0.06561436]
 [-11.64214669   9.41029645   0.           0.        ]]","[ 1.12395615  2.26422352 -0.4045247   0.01109269 -0.83927796 -0.56523228
  0.79912119  0.89660224  1.96460725  0.19058768  0.        ]",[-2.52351451  1.0967983 ],[-0.17803699 -0.28621516]
4,-0.286734132006,[-2.15372628  2.05236557],-1.2289,"[[ -0.60571153   0.42575612  -0.09608842  -0.06561436]
 [-15.36909674  12.12682706   0.           0.        ]]","[ 0.95578083  2.16872687 -0.76138656  0.72543952 -0.83927701 -0.56523178
  0.69561776  1.2607887   1.86884061 -0.06453676  0.        ]",[-2.12073588  1.34830117],[-0.17803699 -0.28621516]
5,-0.264421485036,[-0.63153369  2.20617855],-1.04519,"[[ -0.94975518   0.70561891  -0.09608842  -0.06561436]
 [-19.02321373  15.84693001   0.           0.        ]]","[ 0.62507421  1.95640014 -1.12389046  1.54901274 -0.83927606 -0.56523129
  0.59413713  1.75951515  1.68281934 -0.3309565   0.        ]",[-1.61084652  1.61046755],[-0.17803699 -0.28621516]
6,-0.232083688897,[-2.09990984  2.2520838 ],-0.709251,"[[ -1.3515369    1.05913199  -0.09608842  -0.06561436]
 [-21.14800174  19.49209172   0.           0.        ]]","[ 0.1234352   1.57073885 -1.36580855  2.33036808 -0.83927511 -0.56523079
  0.53512822  2.24818975  1.40681707 -0.51313547  0.        ]",[-1.2930218   1.72710669],[-0.17803699 -0.28621516]
7,-0.188796940487,[-1.40784079  1.61044111],-0.633088,"[[ -1.81002938   1.48481853  -0.09608842  -0.06561436]
 [-24.68965899  23.06444162   0.           0.        ]]","[-0.50223014  0.9973845  -1.35906074  2.76531697 -0.83927416 -0.5652303
  0.43677086  2.72709541  1.06739023 -0.53853756  0.        ]",[-1.21818733  1.62198329],[-0.17803699 -0.28621516]
8,-0.137201354016,[-2.62184704  1.73269491],-0.461182,"[[ -2.3386637    1.98123033  -0.09608842  -0.06561436]
 [-28.16235335  26.56491954   0.           0.        ]]","[-1.13227326  0.30883439 -0.98436742  2.48777448 -0.83927321 -0.5652298
  0.34032874  3.19635514  0.72498229 -0.35233     0.        ]",[-1.17293096  1.38881814],[-0.17803699 -0.28621516]
9,-0.100030560429,[-3.349692    0.11641444],-0.430097,"[[ -2.93606762   2.54695093  -0.09608842  -0.06561436]
 [-31.56662815  29.99577349   0.           0.        ]]","[-1.52373939 -0.30085024 -0.21854698  1.24020835 -0.83927226 -0.56522931
  0.24578676  3.656267    0.50833603  0.05874929  0.        ]",[-1.24729836  1.17919326],[-0.17803699 -0.28621516]
