timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.404221917198,[-5.45916192  0.00565542],-3.78327,"[[ -4.98518283e-02  -5.49113742e-02  -1.71827189e-01  -1.51238562e-01]
 [  4.09348661e-03  -4.32106895e-05   0.00000000e+00   0.00000000e+00]]","[ 1.26359945  2.41784888  0.04075618 -0.99987223 -1.48912067 -1.31626317
  1.52659331 -0.36992625  2.64842371  1.27440327  0.        ]",[-5.65864706 -0.19604796],[-0.37644175 -0.36620489]
1,-0.400777396194,[-5.79731931  0.16270821],-3.7244,"[[-0.08946138 -0.05467211 -0.17182719 -0.15123856]
 [-3.95187724  0.02388503  0.          0.        ]]","[ 1.2597796   2.41786506 -0.01715497 -0.99889232 -1.48911982 -1.31626254
  1.42349552 -0.36686792  2.64231444  1.20239848  0.        ]",[-5.5768528  -0.09782201],[-0.37644175 -0.36620489]
2,-0.389942846719,[-4.08251843  0.91737277],-3.7722,"[[-0.2074077  -0.04771992 -0.17182719 -0.15123856]
 [-7.82984063  0.66918049  0.          0.        ]]","[ 1.23562615  2.41838102 -0.18802883 -0.97042347 -1.48911898 -1.3162619
  1.32243082 -0.28439281  2.61103927  0.99611909  0.        ]",[-5.3270278   0.20639563],[-0.37644175 -0.36620489]
3,-0.37166734186,[-5.55232201  0.01429482],-3.46992,"[[ -4.02155237e-01   1.99097009e-03  -1.71827189e-01  -1.51238562e-01]
 [ -1.16322484e+01   4.28983466e+00   0.00000000e+00   0.00000000e+00]]","[ 1.15478554  2.42003548 -0.45988494 -0.76666916 -1.48911813 -1.31626127
  1.22333531  0.17836214  2.52867108  0.7023118   0.        ]",[-4.91875553  0.7523244 ],[-0.37644175 -0.36620489]
4,-0.34297058153,[-3.14337021  1.37196176],-3.35858,"[[ -0.67218228   0.08751774  -0.17182719  -0.15123856]
 [-15.35805908   4.26291153   0.           0.        ]]","[ 0.96392966  2.41445358 -0.79889026 -0.41644361 -1.48911728 -1.31626063
  1.12623609  0.17492106  2.35322759  0.34435536  0.        ]",[-4.0100255   1.86170959],[-0.37644175 -0.36620489]
5,-0.301081266464,[-3.59463535  3.03823772],-2.89844,"[[ -1.01600215   0.21166973  -0.17182719  -0.15123856]
 [-19.01178879   8.13932129   0.           0.        ]]","[ 0.60966957  2.38748194 -1.13206389  0.08660538 -1.48911644 -1.31626
  1.03101546  0.67036411  2.04521092 -0.01601122  0.        ]",[-2.83585358  3.08354568],[-0.37644175 -0.36620489]
6,-0.246770793975,[-1.06762058  5.36488809],-2.58034,"[[ -1.43217406   0.41257604  -0.17182719  -0.15123856]
 [-22.59355763  11.93854231   0.           0.        ]]","[ 0.07128957  2.29765206 -1.33784531  0.86925745 -1.48911559 -1.31625936
  0.93767028  1.15594141  1.61293324 -0.26499173  0.        ]",[-1.52833486  4.28067589],[-0.37644175 -0.36620489]
7,-0.180467370032,[-0.71416025  6.2341639 ],-2.2904,"[[ -1.91927688   0.68870419  -0.17182719  -0.15123856]
 [-26.10519236  15.6616756    0.           0.        ]]","[-0.59325031  2.08760175 -1.26380536  1.83104474 -1.48911475 -1.31625873
  0.84615293  1.63179335  1.09562119 -0.30809399  0.        ]",[-1.04424393  4.61130285],[-0.37644175 -0.36620489]
8,-0.111604061447,[-1.51977533  5.37950649],-2.07294,"[[ -2.46457975   1.03853948  -0.17182719  -0.15123856]
 [-28.4175911   19.30947885   0.           0.        ]]","[-1.20005536  1.70170583 -0.80441784  2.75822245 -1.4891139  -1.31625809
  0.78588902  2.09801629  0.61006936 -0.07938553  0.        ]",[-1.3753258   4.54185438],[-0.37644175 -0.36620489]
9,-0.0761287833711,[-2.9187274   3.17745602],-2.09896,"[[ -3.06703245   1.46059504  -0.17182719  -0.15123856]
 [-31.81662379  22.8838836    0.           0.        ]]","[-1.50177453  1.12196722  0.0046142   3.30055846 -1.48911305 -1.31625746
  0.69730627  2.55485651  0.29784199  0.39324042  0.        ]",[-2.55202579  3.91316891],[-0.37644175 -0.36620489]
