timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.189574828837,[ 0.62487509  3.4956281 ],-0.620914,"[[-0.04543296 -0.04409889  0.12443435  0.15506287]
 [ 0.00468132  0.00118253  0.          0.        ]]","[ 1.21451461  2.35299306  0.02220441 -0.90493307  1.07261419  1.34287915
  1.22496771 -0.36936746  0.40625617 -1.41311999  0.        ]",[-0.3534241   2.83806992],[-0.21427177 -0.25601062]
1,-0.181295059627,[ 0.45931052  4.11088211],-0.493879,"[[-0.0205541  -0.00435728  0.12443435  0.15506287]
 [ 2.47498443  3.95978883  0.          0.        ]]","[ 1.21564341  2.35437206  0.05904585 -0.75966903  1.07261298  1.34287719
  1.29124458  0.15854067  0.40984326 -1.33103612  0.        ]",[-0.39861989  2.59693623],[-0.21427177 -0.25601062]
2,-0.157183662346,[-0.34833782  0.81567572],-0.541258,"[[ 0.04666966  0.11377286  0.12443435  0.15506287]
 [ 4.24152642  7.84029309  0.          0.        ]]","[ 1.21443305  2.34506292  0.1586226  -0.32862163  1.07261178  1.34287522
  1.33863925  0.67603319  0.39907675 -1.09935235  0.        ]",[-0.51738864  2.26416588],[-0.21427177 -0.25601062]
3,-0.124229360584,[-0.14453717  1.98542933],-0.344154,"[[  0.11682186   0.30143192   0.12443435   0.15506287]
 [  2.77859637  10.91536101   0.           0.        ]]","[ 1.20654314  2.28940917  0.26219724  0.34183752  1.07261057  1.34287325
  1.29938678  1.08611439  0.33560191 -0.80712686  0.        ]",[-0.62425375  1.96586156],[-0.21427177 -0.25601062]
4,-0.0867591760136,[-1.69012467  2.20695178],-0.29028,"[[  0.16609486   0.55730101   0.12443435   0.15506287]
 [  2.15087639  14.65906727   0.           0.        ]]","[ 1.19697415  2.1363547   0.33446738  1.19018274  1.07260937  1.34287128
  1.28254319  1.58536161  0.19781431 -0.52422012  0.        ]",[-0.72469997  1.68822312],[-0.21427177 -0.25601062]
5,-0.0510306675618,[-0.39095997  2.09157568],-0.387091,"[[  0.16898609   0.88731205   0.12443435   0.15506287]
 [ -1.84842064  18.32976689   0.           0.        ]]","[ 1.19630855  1.8234342   0.33869109  2.09143288  1.07260816  1.34286932
  1.17524003  2.07486964 -0.01055993 -0.32510328  0.        ]",[-0.82526553  1.48976576],[-0.21427177 -0.25601062]
6,-0.0356053732132,[-0.63839567  0.85988979],-0.488936,"[[  0.11686436   1.28999833   0.12443435   0.15506287]
 [ -3.35863023  21.9268465    0.           0.        ]]","[ 1.20653172  1.31285934  0.26225917  2.76954703  1.07260695  1.34286735
  1.13471955  2.55455479 -0.27082148 -0.25991852  0.        ]",[-0.95787627  1.39067268],[-0.21427177 -0.25601062]
7,-0.065581111442,[ 0.37524804  1.53816405],-0.56464,"[[  0.02501903   1.75834545   0.12443435   0.15506287]
 [ -5.81773936  24.89790421   0.           0.        ]]","[ 1.21549399  0.64495728  0.12656343  2.84862181  1.07260575  1.34286538
  1.06874014  2.95074958 -0.56834688 -0.34697798  0.        ]",[-1.10441339  1.29559207],[-0.21427177 -0.25601062]
8,-0.117605316283,[-1.72495336  0.75319643],-0.767491,"[[ -0.07526512   2.29108299   0.12443435   0.15506287]
 [ -4.21581961  28.36433973   0.           0.        ]]","[ 1.21202403 -0.03673919 -0.02191685  2.0045271   1.07260454  1.34286342
  1.11171855  3.41299674 -0.88547107 -0.60104307  0.        ]",[-1.27185035  1.29624021],[-0.21427177 -0.25601062]
9,-0.177691002092,[-1.47457432  2.19236639],-0.892631,"[[ -0.19845149   2.88265766   0.12443435   0.15506287]
 [ -8.09019524  30.78501314   0.           0.        ]]","[ 1.18888831 -0.47914518 -0.20261911  0.19250401  1.07260334  1.34286145
  1.00776751  3.7357769  -1.13695871 -1.04255456  0.        ]",[-1.5635221   1.33938122],[-0.21427177 -0.25601062]
