timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.291469153793,[-0.39328922  4.22408388],-1.68143,"[[ 0.07544172 -0.02315326 -0.0219156   0.19040444]
 [ 0.00224083  0.00377837  0.          0.        ]]","[ 1.23608033  2.42930709  0.20685368 -0.87169939 -0.19274204  1.64707517
  1.40823056 -0.37291849  1.50393448 -1.46835908  0.        ]",[-1.25118864  3.98578382],[-0.31923091 -0.32118517]
1,-0.29074665,[-0.48062133  3.38651434],-1.72673,"[[ 0.0598608   0.01665547 -0.0219156   0.19040444]
 [-1.55514208  3.96389488  0.          0.        ]]","[ 1.23753153  2.42949147  0.18392394 -0.7151112  -0.19274198  1.64707324
  1.36755336  0.1471051   1.50344165 -1.45880117  0.        ]",[-1.28239083  3.83255315],[-0.31923091 -0.32118517]
2,-0.288724284611,[-0.96552277  4.17223062],-1.55852,"[[ 0.00997536  0.13488111 -0.0219156   0.19040444]
 [-3.42716385  7.84572776  0.          0.        ]]","[ 1.23993146  2.41636834  0.11039332 -0.25164108 -0.19274191  1.6470713
  1.31865849  0.65684877  1.4985676  -1.43729632  0.        ]",[-1.29336309  3.74905133],[-0.31923091 -0.32118517]
3,-0.287499190308,[-0.33392865  4.13577761],-1.57607,"[[ -0.09622491   0.32997932  -0.0219156    0.19040444]
 [ -7.18037521  11.65138826   0.           0.        ]]","[ 1.23362088  2.35055639 -0.04603726  0.4940119  -0.19274185  1.64706937
  1.22063066  1.15658938  1.4815039  -1.44596956  0.        ]",[-1.25764811  3.75564194],[-0.31923091 -0.32118517]
4,-0.284485106083,[-1.66525914  2.52828836],-1.54377,"[[ -0.25167603   0.60042387  -0.0219156    0.19040444]
 [ -8.36079684  15.3806152    0.           0.        ]]","[ 1.19656236  2.17315445 -0.27164635  1.44193072 -0.19274179  1.64706744
  1.18979934  1.64629196  1.43457752 -1.47354612  0.        ]",[-1.36811984  3.65617037],[-0.31923091 -0.32118517]
5,-0.277646256295,[-2.43765891  3.66104488],-1.38501,"[[ -0.4569409    0.94471893  -0.0219156    0.19040444]
 [-12.15314226  19.03661017   0.           0.        ]]","[ 1.09854576  1.8224339  -0.55511584  2.40704086 -0.19274172  1.6470655
  1.09074963  2.12637602  1.33567327 -1.51898572  0.        ]",[-1.59182     3.44562316],[-0.31923091 -0.32118517]
6,-0.267745676898,[-1.15391498  4.22274697],-1.48475,"[[ -7.37305965e-01   1.36140086e+00  -2.19155980e-02   1.90404443e-01]
 [ -1.58711201e+01   2.26194948e+01   0.00000000e+00   0.00000000e+00]]","[ 0.8819096   1.26788262 -0.89598449  3.06721557 -0.19274166  1.64706357
  0.9936424   2.59685642  1.16023744 -1.60881617  0.        ]",[-1.80098689  3.22641563],[-0.31923091 -0.32118517]
7,-0.251622659974,[-3.06313275  2.36212584],-1.55164,"[[ -1.09130139e+00   1.84901954e+00  -2.19155980e-02   1.90404443e-01]
 [ -1.95164345e+01   2.61305162e+01   0.00000000e+00   0.00000000e+00]]","[ 0.49730347  0.56019135 -1.21301742  3.00185902 -0.1927416   1.64706164
  0.8984331   3.0578956   0.88352638 -1.69684516  0.        ]",[-1.95510209  2.88445354],[-0.31923091 -0.32118517]
8,-0.226506177487,[-1.4699202  3.006435 ],-1.58953,"[[ -1.51748736e+00   2.40615337e+00  -2.19155980e-02   1.90404443e-01]
 [ -2.30903244e+01   2.95713424e+01   0.00000000e+00   0.00000000e+00]]","[-0.0652947  -0.12457908 -1.37726415  1.85857977 -0.19274153  1.64705971
  0.80508937  3.50971115  0.50204402 -1.7085193   0.        ]",[-2.02055287  2.61958647],[-0.31923091 -0.32118517]
9,-0.190759179572,[-1.40538963  1.95152482],-1.49465,"[[ -2.01444157e+00   3.03142090e+00  -2.19155980e-02   1.90404443e-01]
 [ -2.65935329e+01   2.70583337e+01   0.00000000e+00   0.00000000e+00]]","[-0.7305701  -0.49476769 -1.23656421 -0.34811627 -0.19274147  1.64705777
  0.71359178  3.17970673  0.05825744 -1.55528605  0.        ]",[-2.1514163   2.83773851],[-0.31923091 -0.32118517]
10,-0.178403500644,[-3.38230709  4.7429473 ],-0.774535,"[[ -2.58077132e+00   3.22246765e+00  -2.19155980e-02   1.90404443e-01]
 [ -3.00276201e+01  -4.61162092e-01   0.00000000e+00   0.00000000e+00]]","[-1.3063159  -0.49886562 -0.68886455 -1.09842439 -0.19274141  1.64705584
  0.62389956 -0.43397824 -0.03299725 -1.46476512  0.        ]",[-2.00872803  3.92973757],[-0.31923091 -0.32118517]
11,-0.191391194431,[-2.64293804  4.36899559],-0.821184,"[[ -3.21508724e+00   3.16115456e+00  -2.19155980e-02   1.90404443e-01]
 [ -3.33926843e+01  -4.00374811e+00   0.00000000e+00   0.00000000e+00]]","[-1.51379239 -0.50337876  0.20399348 -0.85757482 -0.19274134  1.64705391
  0.53601013 -0.8991677   0.02256717 -1.56846265  0.        ]",[-1.83253074  4.18771839],[-0.31923091 -0.32118517]
12,-0.202860759239,[-2.93770881  3.55001175],-0.923379,"[[ -3.91603283e+00   3.09013565e+00  -2.19155980e-02   1.90404443e-01]
 [ -3.66908609e+01  -2.88570686e+00   0.00000000e+00   0.00000000e+00]]","[-1.12430958 -0.50171786  1.12720332 -0.57829757 -0.19274128  1.64705197
  0.4498677  -0.75235322 -0.02946803 -1.67765087  0.        ]",[-1.77455509  4.00141859],[-0.31923091 -0.32118517]
13,-0.200557006506,[-3.34328463  4.56612368],-0.683653,"[[ -4.68228613e+00   3.04614379e+00  -2.19155980e-02   1.90404443e-01]
 [ -3.99236973e+01  -1.58271222e+00   0.00000000e+00   0.00000000e+00]]","[-0.18025516 -0.49698302  1.57005489 -0.40572457 -0.19274122  1.64705004
  0.36543186 -0.58125193 -0.1284116  -1.66817145  0.        ]",[-1.88172174  3.58131552],[-0.31923091 -0.32118517]
14,-0.187621277626,[-2.15501532  3.57439148],-0.860597,"[[ -5.51255429e+00   3.02336757e+00  -2.19155980e-02   1.90404443e-01]
 [ -4.30925646e+01  -7.74656764e-01   0.00000000e+00   0.00000000e+00]]","[ 0.85046111 -0.49342077  1.12317724 -0.31664103 -0.19274116  1.64704811
  0.28266678 -0.47514297 -0.16902717 -1.55830983  0.        ]",[-2.09242439  3.18707895],[-0.31923091 -0.32118517]
15,-0.175848261813,[-2.94220002  3.8613879 ],-0.870251,"[[ -6.40557073e+00   3.01255352e+00  -2.19155980e-02   1.90404443e-01]
 [ -4.61987327e+01  -3.56094509e-01   0.00000000e+00   0.00000000e+00]]","[ 1.22968589 -0.49146469 -0.08439228 -0.27442594 -0.19274109  1.64704618
  0.20153931 -0.42017983 -0.106774   -1.4520725   0.        ]",[-2.41436434  2.94325137],[-0.31923091 -0.32118517]
16,-0.178146532166,[-3.03964149  2.38248971],-1.17293,"[[ -7.36009380e+00   3.00767483e+00  -2.19155980e-02   1.90404443e-01]
 [ -4.92434306e+01  -1.57311507e-01   0.00000000e+00   0.00000000e+00]]","[ 0.51484498 -0.49052643 -1.2030872  -0.2553999  -0.19274103  1.64704424
  0.12201732 -0.39407674  0.01169337 -1.45435466  0.        ]",[-2.40027571  3.26318336],[-0.31923091 -0.32118517]
17,-0.194065092664,[-1.43796152  3.3414012 ],-1.32717,"[[ -8.37490620e+00   3.00554675e+00  -2.19155980e-02   1.90404443e-01]
 [ -5.22278655e+01  -6.76185067e-02   0.00000000e+00   0.00000000e+00]]","[-0.82494115 -0.49010621 -1.18370858 -0.24710459 -0.19274097  1.64704231
  0.04406929 -0.38229867  0.07669089 -1.58011763  0.        ]",[-2.04614449  3.79029322],[-0.31923091 -0.32118517]
18,-0.207887022473,[-1.55734698  4.87275902],-1.15764,"[[ -9.44881458e+00   3.00464032e+00  -2.19155980e-02   1.90404443e-01]
 [ -5.51532245e+01  -2.84918893e-02   0.00000000e+00   0.00000000e+00]]","[-1.51711552 -0.48992511  0.13113406 -0.243572   -0.1927409   1.64704038
 -0.03233578 -0.37716067  0.01128277 -1.71505421  0.        ]",[-1.76890922  4.03472614],[-0.31923091 -0.32118517]
19,-0.205015837399,[-2.01917578  3.39487774],-1.05496,"[[ -1.05806491e+01   3.00426098e+00  -2.19155980e-02   1.90404443e-01]
 [ -5.80206742e+01  -1.18271112e-02   0.00000000e+00   0.00000000e+00]]","[-0.69456314 -0.48984886  1.44556047 -0.24209368 -0.19274084  1.64703845
 -0.10722837 -0.37497222 -0.12816563 -1.7067875   0.        ]",[-1.8186599   3.69531941],[-0.31923091 -0.32118517]
