timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.0947557966622,[ 0.78412399  2.40902451],-0.112497,"[[ -5.50910826e-03   7.92013466e-02   1.83737616e-01   9.86775848e-02]
 [ -2.19879272e-03  -1.61818864e-04   0.00000000e+00   0.00000000e+00]]","[ 1.15563388  2.10093935  0.05289985 -0.40304872  1.60050838  0.85383852
  0.83000161 -0.34419577 -0.05519904 -0.75998927  0.        ]",[-0.24269831  1.75208819],[-0.14202909 -0.26056895]
1,-0.0841178578267,[ 0.03515401  2.11483807],-0.0606412,"[[ 0.02555429  0.11891389  0.18373762  0.09867758]
 [ 3.09822524  3.9582277   0.          0.        ]]","[ 1.15520256  2.09559846  0.09951196 -0.2824892   1.60050159  0.85383676
  0.93081516  0.19063007 -0.06148711 -0.66928808  0.        ]",[-0.28686595  1.62398648],[-0.14202909 -0.26056895]
2,-0.0582838346039,[-0.69327769  2.87523127],-0.0549567,"[[ 0.08828461  0.23701966  0.18373762  0.09867758]
 [ 3.17457581  7.83941363  0.          0.        ]]","[ 1.15029272  2.06723874  0.19348254  0.0719487   1.60049481  0.853835
  0.93329575  0.71502432 -0.09715275 -0.45520233  0.        ]",[-0.33898607  1.49071205],[-0.14202909 -0.26056895]
3,-0.029707611008,[-0.51062718  0.14978553],-0.129034,"[[  0.12361615   0.43198918   0.18373762   0.09867758]
 [  0.36794868  11.64484734   0.           0.        ]]","[ 1.1451517   1.98053297  0.24620388  0.63293161  1.60048803  0.85383325
  0.84203171  1.22918143 -0.17701545 -0.23445298  0.        ]",[-0.37606725  1.37501454],[-0.14202909 -0.26056895]
4,-0.0119971985132,[-1.63805425  2.06620052],-0.232281,"[[  0.11063536   0.668531     0.18373762   0.09867758]
 [ -1.65929008  12.00811105   0.           0.        ]]","[ 1.14723451  1.81312258  0.22685703  1.2466462   1.60048125  0.85383149
  0.77611104  1.27825878 -0.28471633 -0.08394199  0.        ]",[-0.37464425  1.33913255],[-0.14202909 -0.26056895]
5,-0.0231460178095,[-0.84623283  3.14448989],-0.284759,"[[  0.03807421   0.94604846   0.18373762   0.09867758]
 [ -5.58378607  15.73117729   0.           0.        ]]","[ 1.15464221  1.54202281  0.11828951  1.83021405  1.60047447  0.85382973
  0.64849808  1.78128119 -0.40525261 -0.02472327  0.        ]",[-0.40940049  1.24462771],[-0.14202909 -0.26056895]
6,-0.0441128082655,[ 0.34442182  1.62195444],-0.259333,"[[ -0.10609589   1.29728234   0.18373762   0.09867758]
 [ -8.82248627  19.37997365   0.           0.        ]]","[ 1.14790329  1.11501032 -0.09775349  2.29307804  1.60046768  0.85382798
  0.54318515  2.2742597  -0.55295455 -0.0568071   0.        ]",[-0.50377053  1.15481293],[-0.14202909 -0.26056895]
7,-0.0760879343661,[-0.22841553  0.7574454 ],-0.296001,"[[ -0.26712238   1.72075395   0.18373762   0.09867758]
 [ -7.28506345  22.95531333   0.           0.        ]]","[ 1.10686197  0.54592009 -0.3349533   2.37223032  1.6004609   0.85382622
  0.59317627  2.75729943 -0.77415129 -0.12987026  0.        ]",[-0.63039339  1.05791616],[-0.14202909 -0.26056895]
8,-0.120163828113,[ 0.31748587  1.34118734],-0.329305,"[[ -0.42044232   2.20539054   0.18373762   0.09867758]
 [ -8.04438051  25.49985222   0.           0.        ]]","[ 1.03586553 -0.055648   -0.55136423  1.81248428  1.60045412  0.85382446
  0.56848479  3.10105293 -1.07064992 -0.26524699  0.        ]",[-0.76474941  0.98895669],[-0.14202909 -0.26056895]
9,-0.174150510373,[-2.0626426 -0.0937559],-0.632746,"[[ -0.56711331   2.7500482    0.18373762   0.09867758]
 [ -6.62737575  28.95444399   0.           0.        ]]","[ 0.94035417 -0.50530333 -0.74500602  0.51982582  1.60044734  0.85382271
  0.61456032  3.56773977 -1.40565072 -0.51933324  0.        ]",[-0.89989626  0.92791784],[-0.14202909 -0.26056895]
10,-0.217747943662,[-1.65145064  1.2971108 ],-0.742259,"[[ -0.73807228   3.17665985   0.18373762   0.09867758]
 [-10.45623672   6.63538363   0.           0.        ]]","[ 0.7977649  -0.6071312  -0.94859439 -0.75141589  1.60044056  0.85382095
  0.490057    0.55228355 -1.63872143 -0.80584962  0.        ]",[-0.98548412  1.08151579],[-0.14202909 -0.26056895]
11,-0.214401794033,[-1.97366582  1.54339813],-0.680212,"[[ -0.98485096   3.17950659   0.18373762   0.09867758]
 [-14.20898685  -3.15357593   0.           0.        ]]","[ 0.5409122  -0.60698932 -1.18919328 -0.76009382  1.60043378  0.8538192
  0.36802867 -0.77027044 -1.6244971  -0.77605699  0.        ]",[-1.00755274  1.21415758],[-0.14202909 -0.26056895]
12,-0.203214614721,[ 0.50774777  1.46431239],-0.809071,"[[ -1.30593381   3.10985229   0.18373762   0.09867758]
 [-17.88700744  -3.22067513   0.           0.        ]]","[ 0.14045059 -0.60727994 -1.3871891  -0.54762761  1.60042699  0.85381744
  0.24843038 -0.77933451 -1.55231875 -0.73540142  0.        ]",[-1.02329481  1.23731732],[-0.14202909 -0.26056895]
13,-0.195709641982,[-0.73331836  0.8402456 ],-0.89161,"[[ -1.63995008   3.05817709   0.18373762   0.09867758]
 [-15.5224995   -1.94448215   0.           0.        ]]","[-0.31455605 -0.60324541 -1.43592857 -0.39024907  1.60042021  0.85381568
  0.3253166  -0.60691095 -1.48681493 -0.74815218  0.        ]",[-1.05147064  1.22101176],[-0.14202909 -0.26056895]
14,-0.193638262614,[ 0.14044647  2.3874892 ],-0.721686,"[[ -1.97644727   3.02938914   0.18373762   0.09867758]
 [-18.11857109  -1.00739036   0.           0.        ]]","[-0.7621955  -0.59943096 -1.31772321 -0.30284173  1.60041343  0.85381393
  0.24089981 -0.48030252 -1.44959334 -0.79228598  0.        ]",[-1.0717895   1.22439599],[-0.14202909 -0.26056895]
15,-0.195817892804,[-2.01784498  1.3134026 ],-0.871994,"[[ -2.32964027   3.01527281   0.18373762   0.09867758]
 [-17.20378179  -0.46676303   0.           0.        ]]","[-1.16575625 -0.59715161 -1.02776565 -0.26007983  1.60040665  0.85381217
  0.27064571 -0.40725931 -1.43998508 -0.84760175  0.        ]",[-1.09310937  1.2200501 ],[-0.14202909 -0.26056895]
16,-0.20100276431,[ 0.52379981  1.80316825],-0.900969,"[[ -2.71002347   3.00886218   0.18373762   0.09867758]
 [-20.82248109  -0.20728617   0.           0.        ]]","[-1.46859951 -0.59602739 -0.56654799 -0.24068504  1.60039987  0.85381041
  0.15297597 -0.37220158 -1.45462289 -0.90221265  0.        ]",[-1.08609724  1.23921371],[-0.14202909 -0.26056895]
17,-0.207699653144,[ 0.44482773  0.13857254],-1.13211,"[[ -3.10152928   3.00605336   0.18373762   0.09867758]
 [-18.33638598  -0.08942172   0.           0.        ]]","[ -1.59357724e+00  -5.95516864e-01   1.08150010e-03  -2.32192202e-01
   1.60039309e+00   8.53808657e-01   2.33816336e-01  -3.56276731e-01
  -1.48839589e+00  -9.44427172e-01   0.00000000e+00]",[-1.07642317  1.23776054],[-0.14202909 -0.26056895]
18,-0.213783960915,[-1.42678273  1.12598843],-1.00154,"[[ -3.44694423   3.00393968   0.18373762   0.09867758]
 [-16.21218708  -0.10090027   0.           0.        ]]","[-1.53106156 -0.59512546  0.51234046 -0.22580328  1.60038631  0.8538069
  0.30288886 -0.35782709 -1.52828139 -0.96611049  0.        ]",[-1.05914092  1.23451877],[-0.14202909 -0.26056895]
19,-0.21935038444,[-0.74438585  0.18731281],-1.11926,"[[ -3.80769261e+00   3.00321587e+00   1.83737616e-01   9.86775848e-02]
 [ -1.98505277e+01   9.31855851e-04   0.00000000e+00   0.00000000e+00]]","[-1.30071346 -0.59498941  0.98850394 -0.22361572  1.60037953  0.85380514
  0.18458    -0.34406832 -1.57376775 -0.96925995  0.        ]",[-1.03298903  1.23615587],[-0.14202909 -0.26056895]
20,-0.224065969291,[-0.88460404  1.75668569],-0.851737,"[[ -4.23033099   3.00256847   0.18373762   0.09867758]
 [-22.40479786  -0.04520463   0.           0.        ]]","[-0.85703973 -0.59486703  1.39086431 -0.22165923  1.60037275  0.85380339
  0.10152209 -0.35030126 -1.62400411 -0.94853367  0.        ]",[-1.00358081  1.22723532],[-0.14202909 -0.26056895]
21,-0.226215380863,[-2.53450602  0.37570101],-0.950083,"[[ -4.70911752   3.00261646   0.18373762   0.09867758]
 [-25.46366276   0.02613939   0.           0.        ]]","[-0.22401078 -0.59487509  1.56186539 -0.22180394  1.60036596  0.85380163
  0.00205615 -0.34066166 -1.66592391 -0.89834875  0.        ]",[-0.97295535  1.20789182],[-0.14202909 -0.26056895]
22,-0.224203125612,[-2.03665394  1.01279302],-0.813298,"[[ -5.25305794e+00   3.00251250e+00   1.83737616e-01   9.86775848e-02]
 [ -2.89188638e+01  -2.03820216e-02   0.00000000e+00   0.00000000e+00]]","[ 0.48829426 -0.59485459  1.3478165  -0.22148955  1.60035918  0.85379987
 -0.11029755 -0.34694662 -1.68353133 -0.82158815  0.        ]",[-0.95011199  1.19026446],[-0.14202909 -0.26056895]
23,-0.216912964309,[-1.5993034   0.41153774],-0.823617,"[[ -5.86541604e+00   3.00275720e+00   1.83737616e-01   9.86775848e-02]
 [ -3.23056607e+01   2.71984337e-02   0.00000000e+00   0.00000000e+00]]","[ 1.03737432 -0.59489961  0.67003886 -0.22222864  1.6003524   0.85379812
 -0.22042693 -0.34051765 -1.65972722 -0.73703068  0.        ]",[-0.92029798  1.195755  ],[-0.14202909 -0.26056895]
24,-0.205364773883,[-1.90959362  0.64276364],-0.690833,"[[ -6.54483744e+00   3.00266162e+00   1.83737616e-01   9.86775848e-02]
 [ -3.56254146e+01  -2.03376674e-02   0.00000000e+00   0.00000000e+00]]","[ 1.10883516 -0.5948807  -0.32702167 -0.22193958  1.60034562  0.85379636
 -0.3283762  -0.34693972 -1.59058697 -0.68066275  0.        ]",[-0.91342598  1.22099447],[-0.14202909 -0.26056895]
25,-0.194237279111,[-1.12118448  1.71132153],-0.582537,"[[ -7.28999448e+00   3.00248817e+00   1.83737616e-01   9.86775848e-02]
 [ -3.88794460e+01  -1.71727468e-03   0.00000000e+00   0.00000000e+00]]","[ 0.51558572 -0.59484714 -1.20710726 -0.22141521  1.60033884  0.85379461
 -0.43418829 -0.34442348 -1.49884115 -0.69168787  0.        ]",[-0.95181447  1.25372052],[-0.14202909 -0.26056895]
26,-0.191323565495,[-0.50961665  0.94075861],-0.862556,"[[ -8.09958582e+00   3.00287601e+00   1.83737616e-01   9.86775848e-02]
 [ -4.20690601e+01   2.76649548e-02   0.00000000e+00   0.00000000e+00]]","[-0.55387865 -0.59491903 -1.39447948 -0.22258682  1.60033206  0.85379285
 -0.53790558 -0.34045323 -1.43569026 -0.78148244  0.        ]",[-1.01659632  1.28615594],[-0.14202909 -0.26056895]
27,-0.20051611234,[-1.94890961  0.69384079],-0.97529,"[[ -8.95285555e+00   3.00331352e+00   1.83737616e-01   9.86775848e-02]
 [ -4.32539636e+01   1.62621485e-02   0.00000000e+00   0.00000000e+00]]","[-1.44436371 -0.59500001 -0.62103385 -0.22390858  1.60032528  0.85379109
 -0.57643473 -0.3419934  -1.45047776 -0.90208424  0.        ]",[-1.05821383  1.2982862 ],[-0.14202909 -0.26056895]
28,-0.215772451681,[-0.2269145   1.17409064],-0.972872,"[[ -9.84906839e+00   3.00328952e+00   1.83737616e-01   9.86775848e-02]
 [ -4.63569792e+01  -9.87005835e-03   0.00000000e+00   0.00000000e+00]]","[-1.47273466 -0.59499457  0.67897782 -0.22383579  1.6003185   0.85378934
 -0.67733588 -0.34552364 -1.54321873 -0.96958698  0.        ]",[-1.02460134  1.31207204],[-0.14202909 -0.26056895]
29,-0.225611631055,[-0.00288258  0.72962142],-0.928733,"[[ -1.07760145e+01   3.00340506e+00   1.83737616e-01   9.86775848e-02]
 [ -4.63376953e+01   1.29668308e-02   0.00000000e+00   0.00000000e+00]]","[-0.51901963 -0.59501521  1.52584352 -0.22418465  1.60031172  0.85378758
 -0.67670764 -0.34243771 -1.64887968 -0.92384157  0.        ]",[-0.96081161  1.28035474],[-0.14202909 -0.26056895]
30,-0.222750612299,[-2.4894608   2.47007609],-0.510289,"[[ -1.16936791e+01   3.00337061e+00   1.83737616e-01   9.86775848e-02]
 [ -4.54317874e+01  -8.92734158e-03   0.00000000e+00   0.00000000e+00]]","[ 0.66439523 -0.59500781  1.21079672 -0.22408026  1.60030494  0.85378582
 -0.64724864 -0.34539536 -1.68126053 -0.79898219  0.        ]",[-0.92082775  1.23875642],[-0.14202909 -0.26056895]
31,-0.20884906504,[-0.14814342  1.64306536],-0.596166,"[[ -1.26330159e+01   3.00347151e+00   1.83737616e-01   9.86775848e-02]
 [ -4.84916882e+01   1.14787236e-02   0.00000000e+00   0.00000000e+00]]","[ 1.15259147 -0.5950257  -0.03876681 -0.2243849   1.60029816  0.85378407
 -0.74674779 -0.34263785 -1.61365418 -0.69166154  0.        ]",[-0.88726079  1.25918329],[-0.14202909 -0.26056895]
32,-0.194097132141,[-1.53950214  1.93074492],-0.515612,"[[ -1.35991030e+01   3.00369523e+00   1.83737616e-01   9.86775848e-02]
 [ -4.81182685e+01   9.66315466e-03   0.00000000e+00   0.00000000e+00]]","[ 0.48521856 -0.5950665  -1.22747342 -0.2250607   1.60029138  0.85378231
 -0.73460374 -0.34288269 -1.49677952 -0.69391506  0.        ]",[-0.94071388  1.28457928],[-0.14202909 -0.26056895]
33,-0.192595728664,[ 0.05371689  0.55297489],-0.958396,"[[ -1.45916357e+01   3.00384627e+00   1.83737616e-01   9.86775848e-02]
 [ -5.11249878e+01   5.55612662e-03   0.00000000e+00   0.00000000e+00]]","[-0.82318896 -0.59509369 -1.2871848  -0.22551686  1.6002846   0.85378056
 -0.83237336 -0.34343714 -1.43154088 -0.81124164  0.        ]",[-1.0161103   1.31762838],[-0.14202909 -0.26056895]
