timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.01769915  2.07621742  0.29654747  1.01764841  0.36548569 -0.30729918
 -0.84983981  0.36646022  1.14161385  0.81787998  0.        ]","[[ 0.06910238 -0.00399804  0.04163644 -0.03596508]
 [ 0.00121596  0.00303044  0.          0.        ]]",[-1.89746398 -3.62270801],-2.51503,-0.175186471722,[-0.32727343 -0.28594315],[-1.65880454 -2.81712079]
1,"[ 1.02057902  2.07488037  0.23615527  0.90960542  0.36548556 -0.30729907
 -0.95532532 -0.2148871   1.14500271  0.68907362  0.        ]","[[ 0.02945139 -0.04365043  0.04163644 -0.03596508]
 [-3.95315479 -3.95508275  0.          0.        ]]",[-1.66292018 -1.7371776 ],-2.48229,-0.172404234019,[-0.32727343 -0.28594315],[-1.18484831 -2.67660332]
2,"[ 1.01544529  2.05780821  0.0564523   0.58977503  0.36548543 -0.30729896
 -1.05872669 -0.78472744  1.11445205  0.30838064  0.        ]","[[-0.08850295 -0.16167908  0.04163644 -0.03596508]
 [-7.8294025  -7.83485158  0.          0.        ]]",[-1.34835854 -1.41717263],-2.25503,-0.164548642675,[-0.32727343 -0.28594315],[-0.35743487 -2.55778551]
3,"[ 0.96245785  1.98742744 -0.23491883  0.07720573  0.3654853  -0.30729886
 -1.1600927  -1.34327959  0.93638141 -0.2764656   0.        ]","[[ -0.283216    -0.35653218   0.04163644  -0.03596508]
 [-11.62935575 -11.63776948   0.           0.        ]]",[ 0.63496284 -1.81640356],-1.96945,-0.153837572869,[-0.32727343 -0.28594315],[ 1.04504037 -2.1426754 ]
4,"[ 0.84885103  1.80789684 -0.52417147 -0.57003175  0.36548517 -0.30729875
 -1.08693586 -1.89111565  0.55023254 -0.80572426  0.        ]","[[ -0.48828655  -0.62671172   0.04163644  -0.03596508]
 [ -8.88694268 -15.36773808   0.           0.        ]]",[ 1.07870784 -0.13655064],-1.78557,-0.145193945773,[-0.32727343 -0.28594315],[ 1.62582469 -1.25215471]
5,"[ 0.74275911  1.50107263 -0.70053158 -1.16689052  0.36548504 -0.30729865
 -0.97674021 -1.92601526  0.10714706 -1.03735226  0.        ]","[[ -0.62457938  -0.93645091   0.04163644  -0.03596508]
 [ -4.75604526 -15.60537215   0.           0.        ]]",[ 1.37690106 -1.25225691],-1.64528,-0.138574199398,[-0.32727343 -0.28594315],[ 1.67080224 -0.42399684]
6,"[ 0.69401634  1.06208295 -0.76657643 -1.5867363   0.36548491 -0.30729854
 -0.86869292 -2.46235002 -0.27102166 -0.99598855  0.        ]","[[ -0.67906172  -1.28519728   0.04163644  -0.03596508]
 [ -0.70567935 -19.25705862   0.           0.        ]]",[ 2.04879236  0.99363134],-1.6092,-0.128576861431,[-0.32727343 -0.28594315],[ 1.29423618  0.90361011]
7,"[ 0.71745067  0.584923   -0.73575225 -1.6928327   0.36548478 -0.30729844
 -0.76280405 -1.82860471 -0.49775584 -0.7909853   0.        ]","[[ -0.65335195  -1.62704662   0.04163644  -0.03596508]
 [  3.26377741 -14.942197     0.           0.        ]]",[ 1.27145128  1.68609387],-1.50644,-0.11345154563,[-0.32727343 -0.28594315],[ 0.72388643  1.2391212 ]
8,"[ 0.80444906  0.23035594 -0.60460175 -1.56521265  0.36548465 -0.30729833
 -0.65896478 -1.20364975 -0.54566546 -0.5836515   0.        ]","[[ -0.54902277  -1.88319915   0.04163644  -0.03596508]
 [  7.15640294 -10.68717104   0.           0.        ]]",[-0.13466239  1.29753714],-1.36666,-0.0964620404567,[-0.32727343 -0.28594315],[-0.0642187   1.06256402]
9,"[ 0.89740011  0.00693958 -0.42037448 -1.38369825  0.36548452 -0.30729823
 -0.67696676 -0.59097594 -0.51469972 -0.43027349  0.        ]","[[-0.41266592 -2.05508928  0.04163644 -0.03596508]
 [ 6.48154877 -6.51575666  0.          0.        ]]",[ 0.28068349  1.93880819],-1.23421,-0.0811899456998,[-0.32727343 -0.28594315],[-0.31826687  0.63079858]
10,"[ 0.96652198 -0.10186793 -0.22019301 -1.26092323  0.36548439 -0.30729812
 -0.65075231  0.00955023 -0.44777427 -0.33982135  0.        ]","[[-0.27317536 -2.14438117  0.04163644 -0.03596508]
 [ 7.46424204 -2.42704906  0.          0.        ]]",[-1.4481211   0.11059661],-1.21521,-0.0696459138204,[-0.32727343 -0.28594315],[-0.6487776  -0.05788207]
11,"[ 1.00115999 -0.15290187 -0.0593772  -1.19418163  0.36548426 -0.30729802
 -0.7602895   0.08097241 -0.38917167 -0.28503726  0.        ]","[[-0.16508957 -2.1880428   0.04163644 -0.03596508]
 [ 3.35799492 -1.94076816  0.          0.        ]]",[-1.08370545 -0.13694035],-1.17047,-0.0619891205413,[-0.32727343 -0.28594315],[-0.43187571 -0.03493834]
