timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.61571091 -0.5587436 ],"[[-0.03260272 -0.08663399 -0.02295802  0.09488857]
 [-0.00265074 -0.00051403  0.          0.        ]]",[ 0.65802507 -3.95059866],"[ 1.00310691  2.0021326   0.23314138  0.93859929 -0.20135048  0.8099625
 -0.7552225   0.36579558  1.80773742 -0.78444955  0.        ]",-4.09553,-0.257399135903,[ 0.42399552 -3.19402456]
1,[-0.61571091 -0.5587436 ],"[[-0.00652241 -0.12638215 -0.02295802  0.09488857]
 [ 2.60200536 -3.96109745  0.          0.        ]]",[ 0.95157124 -2.63356004],"[ 1.00389075  1.99608184  0.27325379  0.83618644 -0.20135044  0.80996225
 -0.68837433 -0.23910723  1.80653512 -0.77191756  0.        ]",-4.1061,-0.256794434336,[ 0.44553119 -2.96776319]
2,[-0.61571091 -0.5587436 ],"[[ 0.082785   -0.24455938 -0.02295802  0.09488857]
 [ 6.31637216 -7.84367279  0.          0.        ]]",[-0.32837279 -3.18061171],"[ 0.99865855  1.96489901  0.41049646  0.53537022 -0.2013504   0.809962
 -0.59304569 -0.83209571  1.79951321 -0.70699176  0.        ]",-4.04239,-0.253634540515,[ 0.42620009 -2.8094368 ]
3,[-0.61571091 -0.5587436 ],"[[  0.19484009  -0.43959677  -0.02295802   0.09488857]
 [  4.89383997 -11.6473936    0.           0.        ]]",[ 0.78413342 -1.97710742],"[ 0.97483656  1.87138316  0.58113157  0.05999044 -0.20135037  0.80996175
 -0.62955454 -1.41304017  1.76998851 -0.68273931  0.        ]",-3.93187,-0.249655933373,[ 0.7021535  -2.53313875]
4,[-0.61571091 -0.5587436 ],"[[  0.32288328  -0.70996891  -0.02295802   0.09488857]
 [  7.90048484 -15.37734808   0.           0.        ]]",[ 1.07739566 -1.86305188],"[ 0.92448613  1.66159131  0.77141678 -0.52627448 -0.20135033  0.8099615
 -0.55238944 -1.9827171   1.6991665  -0.71086294  0.        ]",-3.7529,-0.243322381499,[ 1.32853782 -2.33211374]
5,[-0.61571091 -0.5587436 ],"[[  0.51903359  -1.05419864  -0.02295802   0.09488857]
 [ 11.7019701  -19.03334213   0.           0.        ]]",[ 2.89252584 -2.40070088],"[ 0.80146959  1.28298935  1.04638409 -1.09040586 -0.20135029  0.80996125
 -0.45482493 -2.54109599  1.56646885 -0.67379692  0.        ]",-3.45425,-0.228170417446,[ 2.00249457 -2.28054762]
6,[-0.61571091 -0.5587436 ],"[[  0.79046513  -1.47081521  -0.02295802   0.09488857]
 [ 15.42890694 -22.61623068   0.           0.        ]]",[ 2.92165131 -2.54306797],"[ 0.54816111  0.71877528  1.37657913 -1.41562828 -0.20135025  0.809961
 -0.3591737  -3.08830632  1.34370693 -0.57981788  0.        ]",-3.25126,-0.201566017324,[ 2.77538633 -2.30271816]
7,[-0.61571091 -0.5587436 ],"[[  1.13570407e+00  -1.95836905e+00  -2.29580190e-02   9.48885706e-02]
 [  1.90829571e+01  -2.61273125e+01   0.00000000e+00   0.00000000e+00]]",[ 4.06986845 -2.14462679],"[ 0.11463497  0.03481121  1.67833103 -1.23636327 -0.20135021  0.80996075
 -0.26539311 -3.62454524  1.00524318 -0.48784156  0.        ]",-2.90311,-0.163643607889,[ 3.56394625 -2.52010393]
8,[-0.61571091 -0.5587436 ],"[[  1.55330558e+00  -2.51544037e+00  -2.29580190e-02   9.48885706e-02]
 [  2.26653053e+01  -2.95683186e+01   0.00000000e+00   0.00000000e+00]]",[ 4.66928859 -3.67718482],"[-0.50640574 -0.58414199  1.8214228  -0.35581409 -0.20135017  0.8099605
 -0.17345274 -4.15007572  0.5496562  -0.49140967  0.        ]",-2.36057,-0.122166862491,[ 4.64984751 -3.01870966]
9,[-0.61571091 -0.5587436 ],"[[  2.04184146e+00  -3.14065048e+00  -2.29580190e-02   9.48885706e-02]
 [  2.61767005e+01  -2.66009322e+01   0.00000000e+00   0.00000000e+00]]",[ 5.33157729 -2.82809795],"[-1.23090593 -0.85573519  1.65411958  1.16038064 -0.20135013  0.80996025
 -0.08333336 -3.69685827  0.02723105 -0.70039785  0.        ]",-1.99899,-0.107357503409,[ 5.51114702 -3.03791642]
