timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.08717501  1.82502296 -0.0081147   0.56292484 -0.16357096  0.34291231
 -0.83010152  0.29751473  1.34361726 -0.28022805  0.        ]","[[ 0.01616194 -0.02993554 -0.01932312  0.03733593]
 [-0.00172422  0.0015178   0.          0.        ]]",[-0.56640424 -2.13407635],-1.22053,-0.232303147141,[-0.01130234 -0.08832648],[-0.15444997 -1.56392336]
1,"[ 1.08732271  1.82245983 -0.04232756  0.46366344 -0.16357058  0.34291143
 -0.95237697 -0.23072185  1.34156108 -0.35142142  0.        ]","[[-0.00633765 -0.06962458 -0.01932312  0.03733593]
 [-2.24078666 -3.95723126  0.          0.        ]]",[-1.1180931  -2.13064515],-1.22297,-0.233640425297,[-0.01130234 -0.08832648],[-0.11220545 -1.51558387]
2,"[ 1.08168804  1.80293009 -0.16994669  0.17060168 -0.16357019  0.34291054
 -1.16591038 -0.74841231  1.31166273 -0.58855015  0.        ]","[[-0.09038453 -0.18769569 -0.01932312  0.03733593]
 [-6.15091226 -7.83695241  0.          0.        ]]",[ 0.45418117 -2.12616736],-1.18969,-0.237373380838,[-0.01130234 -0.08832648],[ 0.00703484 -1.40135682]
3,"[ 1.06130371  1.73236267 -0.32606264 -0.29706125 -0.1635698   0.34290966
 -1.06107305 -1.25614521  1.20744766 -0.90268191  0.        ]","[[ -0.19414256  -0.3826129   -0.01932312   0.03733593]
 [ -4.23132979 -11.642081     0.           0.        ]]",[ 2.25159483 -0.89305293],-1.16339,-0.239899726052,[-0.01130234 -0.08832648],[ 0.1942779  -1.23297238]
4,"[ 1.0481934   1.56380503 -0.39153717 -0.87491797 -0.16356942  0.34290878
 -0.84041063 -1.69741147  1.04357566 -1.13466864  0.        ]","[[ -0.2382295   -0.64863567  -0.01932312   0.03733593]
 [ -0.19083672 -14.9491547    0.           0.        ]]",[-0.31116708 -2.18526108],-1.03766,-0.236579433038,[-0.01130234 -0.08832648],[ 0.37432045 -1.06549716]
5,"[ 1.04273917  1.24996191 -0.41531963 -1.44793901 -0.16356903  0.3429079
 -0.9074237  -2.18618561  0.8077564  -1.2937807   0.        ]","[[ -0.25435656  -0.98437304  -0.01932312   0.03733593]
 [ -1.41798303 -18.61238456   0.           0.        ]]",[-0.58176036 -1.29999943],-0.933408,-0.225415914036,[-0.01130234 -0.08832648],[ 0.5833621  -0.85034382]
6,"[ 1.02313678  0.76517166 -0.49011296 -1.8266785  -0.16356864  0.34290702
 -1.03166841 -2.66522987  0.45266051 -1.37248032  0.        ]","[[ -3.05539888e-01  -1.39264512e+00  -1.93231183e-02   3.73359313e-02]
 [ -3.69311744e+00  -2.22028817e+01   0.00000000e+00   0.00000000e+00]]",[-0.71802944  0.21354787],-0.84906,-0.203237480391,[-0.01130234 -0.08832648],[ 0.80261445 -0.59900492]
7,"[ 0.97399423  0.2142057  -0.63494313 -1.78657205 -0.16356826  0.34290613
 -1.1830342  -2.49363526  0.05747147 -1.27288148  0.        ]","[[ -4.07211414e-01  -1.82380268e+00  -1.93231183e-02   3.73359313e-02]
 [ -6.46489619e+00  -2.09171843e+01   0.00000000e+00   0.00000000e+00]]",[ 1.23872111  0.53244219],-0.69224,-0.169549266811,[-0.01130234 -0.08832648],[ 0.83411658 -0.51188624]
8,"[ 0.92061131 -0.23906322 -0.75576531 -1.36161842 -0.16356787  0.34290525
 -0.95999996 -2.15707739 -0.19484733 -1.01282518  0.        ]","[[ -0.49553812  -2.21684121  -0.01932312   0.03733593]
 [ -2.38098998 -18.39504691   0.           0.        ]]",[ 1.19863632 -0.82953521],-0.55747,-0.130864407161,[-0.01130234 -0.08832648],[ 0.82272333 -0.48656285]
9,"[ 0.91567113 -0.57672413 -0.76569461 -0.6227429  -0.16356748  0.34290437
 -0.74128492 -2.54671007 -0.26621167 -0.68018188  0.        ]","[[ -5.02977579e-01  -2.61404457e+00  -1.93231183e-02   3.73359313e-02]
 [  1.62385567e+00  -2.13155195e+01   0.00000000e+00   0.00000000e+00]]",[ 2.73256867 -2.09538356],-0.243497,-0.0882950258511,[-0.01130234 -0.08832648],[ 0.82841814 -0.43883294]
10,"[ 0.96050462 -0.74914873 -0.66812526  0.47338756 -0.1635671   0.34290349
 -0.52683904 -2.38683415 -0.19371414 -0.30048586  0.        ]","[[ -4.31106355e-01  -3.07584743e+00  -1.93231183e-02   3.73359313e-02]
 [  5.55054485e+00  -2.01175729e+01   0.00000000e+00   0.00000000e+00]]",[ 0.35280969 -0.61114326],-0.178099,-0.0405111816581,[-0.01130234 -0.08832648],[ 0.82533872 -0.42593986]
