timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.03637319  2.08101974  0.11699193  1.17872964 -1.40367951  1.12786149
 -0.88286631  0.36442445  2.74303788 -0.99590415  0.        ]","[[-0.02802829  0.06768046 -0.16265337  0.12972149]
 [ 0.00089204 -0.00440689  0.          0.        ]]",[ 0.89553142 -3.44939393],-3.64885,-0.393957708744,[-0.27753374 -0.25985453],[ 0.83129609 -2.53212738]
1,"[ 1.03690337  2.08367925  0.17092994  1.06729257 -1.40367798  1.12786055
 -0.78652597 -0.20990246  2.74345939 -0.96553315  0.        ]","[[ 0.00754892  0.02785154 -0.16265337  0.12972149]
 [ 3.54502243 -3.96528117  0.          0.        ]]",[ 1.34302664 -1.51475606],-3.72888,-0.393014911292,[-0.27753374 -0.25985453],[ 0.77563727 -2.61550426]
2,"[ 1.02690188  2.0784978   0.33716001  0.7363684  -1.40367645  1.12785961
 -0.68085817 -0.77287719  2.73821449 -0.8667728   0.        ]","[[ 0.1174515  -0.09040942 -0.16265337  0.12972149]
 [ 7.43229241 -7.84786578  0.          0.        ]]",[ 0.10395216 -2.72054059],-3.62206,-0.389306827543,[-0.27753374 -0.25985453],[ 0.54680294 -2.69347048]
3,"[ 0.98461501  2.02750164  0.56210657  0.20024839 -1.40367493  1.12785867
 -0.67363485 -1.32449588  2.71528806 -0.76825125  0.        ]","[[  0.2687634   -0.28553634  -0.16265337   0.12972149]
 [  7.69800899 -11.65213849   0.           0.        ]]",[ 1.26543318 -1.47306336],-3.54886,-0.383697395052,[-0.27753374 -0.25985453],[ 0.50915754 -2.68740988]
4,"[ 0.88484272  1.87322591  0.8338435  -0.48921083 -1.4036734   1.12785773
 -0.57019589 -1.86536246  2.65691174 -0.6766279   0.        ]","[[  0.4609026   -0.55600534  -0.16265337   0.12972149]
 [ 11.50328665 -15.38227168   0.           0.        ]]",[ 0.43958951 -2.19191513],-3.38558,-0.3741657601,[-0.27753374 -0.25985453],[ 0.29104605 -2.63483191]
5,"[ 0.68837646  1.55384675  1.14338835 -1.20557736 -1.40367188  1.1278568
 -0.52906304 -2.39534894  2.53700367 -0.58186404  0.        ]","[[  0.70615026  -0.90032441  -0.16265337   0.12972149]
 [ 13.0164624  -19.03739268   0.           0.        ]]",[ 0.03443958 -2.55189293],-3.21316,-0.357194496978,[-0.27753374 -0.25985453],[ 0.22738986 -2.56668711]
6,"[ 0.40898504  1.0351896   1.40614829 -1.72223998 -1.40367035  1.12785586
 -0.53232177 -2.91472914  2.34709231 -0.57539272  0.        ]","[[  0.96527741  -1.31701193  -0.16265337   0.12972149]
 [ 12.89657187 -22.61940233   0.           0.        ]]",[ 0.55665172 -1.58469877],-3.0309,-0.333941885898,[-0.27753374 -0.25985453],[ 0.98982006 -2.42251801]
7,"[ 0.04894618  0.3589681   1.59487381 -1.735728   -1.40366882  1.12785492
 -0.47934859 -3.42384672  2.06920979 -0.65661963  0.        ]","[[  1.24276111  -1.80463057  -0.16265337   0.12972149]
 [ 14.84532722 -26.13068482   0.           0.        ]]",[ 0.84323071 -1.25359297],-2.82437,-0.302809646889,[-0.27753374 -0.25985453],[ 2.11489272 -2.17632675]
8,"[-0.4198282  -0.31242665  1.67572164 -0.98041298 -1.4036673   1.12785398
 -0.39658248 -3.92283101  1.68718702 -0.797451    0.        ]","[[  1.57021605  -2.36177423  -0.16265337   0.12972149]
 [ 17.89009778 -29.57214802   0.           0.        ]]",[ 3.53665263 -1.95244633],-2.41313,-0.263185366046,[-0.27753374 -0.25985453],[ 2.94484782 -2.10542822]
9,"[-0.97941713 -0.70047684  1.55989832  0.55812846 -1.40366577  1.12785304
 -0.29857808 -4.41192353  1.22195884 -1.02631379  0.        ]","[[  1.96419185  -2.98706213  -0.16265337   0.12972149]
 [ 21.49545098 -32.94547498   0.           0.        ]]",[ 3.93457462 -2.33224405],-2.0674,-0.224087374245,[-0.27753374 -0.25985453],[ 3.74822831 -2.32960749]
10,"[-1.52415186 -0.70429965  1.15013468  1.36811484 -1.40366424  1.12785211
 -0.20248064  0.33574839  1.03690355 -1.19116694  0.        ]","[[  2.429573    -3.27724433  -0.16265337   0.12972149]
 [ 25.03065186  -0.20223019   0.           0.        ]]",[ 3.16551132 -0.6012291 ],-2.1238,-0.216795040575,[-0.27753374 -0.25985453],[ 3.06386805 -1.27602839]
11,"[-1.85560243 -0.71427653  0.42592854  1.16914685 -1.40366272  1.12785117
 -0.10831604  1.09522338  1.13678496 -1.10044583  0.        ]","[[  2.96494328  -3.20584494  -0.16265337   0.12972149]
 [ 28.49474796   5.03564136   0.           0.        ]]",[ 2.45821965 -0.75002709],-2.18216,-0.220187156416,[-0.27753374 -0.25985453],[ 2.82940102 -1.03316724]
