timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.06236631  2.09596688  0.07344228  0.81175717  0.02485113 -0.56601338
 -0.93188452  0.36416559  1.38116902  0.72431448  0.        ]","[[-0.02172995 -0.04115164  0.00186029 -0.06632399]
 [-0.00407825  0.00466923  0.          0.        ]]",[-2.43086849 -3.81922888],-2.40022,-0.215634277137,[-0.22922637 -0.22737509],[-1.85057139 -2.71394563]
1,"[ 1.05999727  2.09261602  0.01362352  0.69551771  0.02485112 -0.56601303
 -1.04347832 -0.19938989  1.37296055  0.60649376  0.        ]","[[ -6.14858094e-02  -8.07715865e-02   1.86029394e-03  -6.63239922e-02]
 [ -3.95835022e+00  -3.95347673e+00   0.00000000e+00   0.00000000e+00]]",[-0.62684877 -2.81753987],-2.28276,-0.211591678923,[-0.22922637 -0.22737509],[-1.40743959 -2.49139118]
2,"[ 1.04331566  2.06983636 -0.14080961  0.35223054  0.0248511  -0.56601269
 -1.1112089  -0.75187209  1.3168196   0.29194943  0.        ]","[[ -1.64732619e-01  -1.98774187e-01   1.86029394e-03  -6.63239922e-02]
 [ -6.35836956e+00  -7.83385074e+00   0.00000000e+00   0.00000000e+00]]",[-0.67016599 -1.92503928],-2.08831,-0.199892187314,[-0.22922637 -0.22737509],[-0.78919721 -2.04641628]
3,"[ 0.99124883  1.99112792 -0.36362035 -0.19469212  0.02485109 -0.56601234
 -1.18244544 -1.29340279  1.13782247 -0.15005172  0.        ]","[[ -3.17225675e-01  -3.93612665e-01   1.86029394e-03  -6.63239922e-02]
 [ -8.88262594e+00  -1.16373133e+01   0.00000000e+00   0.00000000e+00]]",[-0.51064687 -1.75828485],-1.8203,-0.180274278434,[-0.22922637 -0.22737509],[ 0.10270005 -1.38453913]
4,"[ 0.87809598  1.80281668 -0.6334925  -0.87830505  0.02485108 -0.56601199
 -1.23448767 -1.82423259  0.75739049 -0.5946628   0.        ]","[[ -5.13378873e-01  -6.63766574e-01   1.86029394e-03  -6.63239922e-02]
 [ -1.07267524e+01  -1.53656337e+01   0.00000000e+00   0.00000000e+00]]",[ 0.60240977 -0.25995221],-1.50931,-0.152841944482,[-0.22922637 -0.22737509],[ 1.07995427 -0.56579226]
5,"[ 0.7242018   1.4849863  -0.86623164 -1.50587164  0.02485107 -0.56601164
 -1.16127726 -1.92754444  0.25376839 -0.81085091  0.        ]","[[ -7.01886209e-01  -9.78359992e-01   1.86029394e-03  -6.63239922e-02]
 [ -8.13264410e+00  -1.60912772e+01   0.00000000e+00   0.00000000e+00]]",[ 3.12366865  1.4245525 ],-1.30682,-0.124413919355,[-0.22922637 -0.22737509],[ 1.42938662  0.08301955]
6,"[ 0.60421571  1.13849736 -0.99831473 -1.86351566  0.02485106 -0.56601129
 -1.0451398  -1.31855905 -0.13418963 -0.76841069  0.        ]","[[ -8.23252722e-01  -1.25727091e+00   1.86029394e-03  -6.63239922e-02]
 [ -4.01744054e+00  -1.18140570e+01   0.00000000e+00   0.00000000e+00]]",[ 1.96894264 -0.44374869],-1.17808,-0.103776928486,[-0.22922637 -0.22737509],[ 1.33041811  0.21382844]
7,"[ 0.56159928  0.79681776 -1.03823077 -2.00116583  0.02485105 -0.56601094
 -0.93123208 -1.53554144 -0.35358137 -0.6117634   0.        ]","[[ -8.63105985e-01  -1.50884313e+00   1.86029394e-03  -6.63239922e-02]
 [  1.87619270e-02  -1.33380585e+01   0.00000000e+00   0.00000000e+00]]",[ 0.54438783  0.54503977],-1.10346,-0.087654796336,[-0.22922637 -0.22737509],[ 1.13231361  0.6966241 ]
8,"[ 0.58528782  0.46214779 -1.01643736 -1.95904122  0.02485104 -0.56601059
 -0.87046394 -1.19071902 -0.45571971 -0.4200953   0.        ]","[[ -8.41127940e-01  -1.75130516e+00   1.86029394e-03  -6.63239922e-02]
 [  2.17200821e+00  -1.09161922e+01   0.00000000e+00   0.00000000e+00]]",[ 1.72638561  0.27460677],-0.922157,-0.0717630890489,[-0.22922637 -0.22737509],[ 0.86190784  0.76555139]
9,"[ 0.67021896  0.18945344 -0.92964652 -1.79078321  0.02485102 -0.56601025
 -0.75998106 -1.00518623 -0.45869583 -0.25560025  0.        ]","[[ -7.58410156e-01  -1.95655517e+00   1.86029394e-03  -6.63239922e-02]
 [  6.08686218e+00  -9.61310071e+00   0.00000000e+00   0.00000000e+00]]",[ 1.14624614  1.89738422],-0.770428,-0.0562677898498,[-0.22922637 -0.22737509],[ 0.36485559  0.75730544]
10,"[ 0.81405075  0.00264723 -0.74193267 -1.59397828  0.02485101 -0.5660099
 -0.65167232 -0.41433403 -0.37739821 -0.14845169  0.        ]","[[ -5.98167774e-01  -2.10718068e+00   1.86029394e-03  -6.63239922e-02]
 [  9.92468083e+00  -5.46322453e+00   0.00000000e+00   0.00000000e+00]]",[-0.40767125  0.84298059],-0.667624,-0.041083963027,[-0.22922637 -0.22737509],[-0.33523515  0.23758227]
11,"[ 0.93949766 -0.08427968 -0.50496081 -1.47484683  0.024851   -0.56600955
 -0.70275812  0.07635942 -0.26715374 -0.0974116   0.        ]","[[ -4.17836168e-01  -2.18186598e+00   1.86029394e-03  -6.63239922e-02]
 [  8.11447926e+00  -2.01681755e+00   0.00000000e+00   0.00000000e+00]]",[ 0.88954478 -0.21340995],-0.619929,-0.031341334625,[-0.22922637 -0.22737509],[-0.63589907 -0.23347893]
12,"[ 1.02760806 -0.13828819 -0.22517584 -1.3904077   0.02485099 -0.5660092
 -0.60790785 -0.03823981 -0.1468272  -0.04773969  0.        ]","[[ -2.21825554e-01  -2.23027850e+00   1.86029394e-03  -6.63239922e-02]
 [  1.14754077e+01  -2.82170998e+00   0.00000000e+00   0.00000000e+00]]",[-1.62855492  0.74983251],-0.640854,-0.0278399944773,[-0.22922637 -0.22737509],[-1.17012858 -0.26930255]
13,"[ 1.06185278 -0.16656523  0.05450348 -1.342651    0.02485098 -0.56600885
 -0.72603701  0.39250323 -0.03251874  0.00665667  0.        ]","[[ -3.43147707e-02  -2.25635796e+00   1.86029394e-03  -6.63239922e-02]
 [  7.28957969e+00   2.03631201e-01   0.00000000e+00   0.00000000e+00]]",[-1.03851581 -0.52826241],-0.642751,-0.0323392584633,[-0.22922637 -0.22737509],[-1.24770951 -0.7535032 ]
14,"[ 1.05915643 -0.18462673  0.21197915 -1.31077618  0.02485097 -0.5660085
 -0.84182509  0.09414907  0.02434297  0.04784594  0.        ]","[[  7.03113241e-02  -2.27330991e+00   1.86029394e-03  -6.63239922e-02]
 [  3.18670172e+00  -1.89186914e+00   0.00000000e+00   0.00000000e+00]]",[-0.5171101   0.82274409],-0.6886,-0.0363158823182,[-0.22922637 -0.22737509],[-0.98697054 -0.45258504]
15,"[ 1.05358113 -0.18966785  0.27580525 -1.30167999  0.02485095 -0.56600816
 -0.9013787   0.56332319  0.04765469  0.06504782  0.        ]","[[  1.12872525e-01  -2.27808480e+00   1.86029394e-03  -6.63239922e-02]
 [  1.07644247e+00   1.40339225e+00   0.00000000e+00   0.00000000e+00]]",[-1.70970651 -1.29907431],-0.692193,-0.0383699233772,[-0.22922637 -0.22737509],[-1.00181413 -0.91096222]
16,"[ 1.05630726 -0.20218097  0.24823875 -1.27871913  0.02485094 -0.56600781
 -1.0136961  -0.00437476  0.02794337  0.06578042  0.        ]","[[  9.44698308e-02  -2.29002230e+00   1.86029394e-03  -6.63239922e-02]
 [ -2.90346444e+00  -2.58385064e+00   0.00000000e+00   0.00000000e+00]]",[-0.50411652 -1.04743177],-0.680488,-0.0359728585004,[-0.22922637 -0.22737509],[-0.51804018 -0.24258429]
17,"[ 1.06248584 -0.29306215  0.13170462 -1.09381888  0.02485093 -0.56600746
 -1.06839664 -0.56083873 -0.07760577  0.10590458  0.        ]","[[  1.69535041e-02  -2.38091300e+00   1.86029394e-03  -6.63239922e-02]
 [ -4.84176992e+00  -6.49219189e+00   0.00000000e+00   0.00000000e+00]]",[ 0.55212624  0.14838883],-0.70423,-0.0217640705521,[-0.22922637 -0.22737509],[-0.12931457  0.33683008]
18,"[ 1.0603655  -0.40243896  0.0203856  -0.81807411  0.02485092 -0.56600711
 -1.00401099 -0.45887852 -0.18394785  0.19353206  0.        ]","[[ -5.69920969e-02  -2.50357177e+00   1.86029394e-03  -6.63239922e-02]
 [ -2.56035161e+00  -5.77607381e+00   0.00000000e+00   0.00000000e+00]]",[-0.60260813  0.43934047],-0.722325,-0.0060329271894,[-0.22922637 -0.22737509],[-0.17461357  0.31362492]
19,"[ 1.05030155 -0.47710378 -0.09149636 -0.58136648  0.02485091 -0.56600676
 -1.06991184 -0.19491196 -0.25883678  0.27880489  0.        ]","[[ -1.31628755e-01  -2.60049173e+00   1.86029394e-03  -6.63239922e-02]
 [ -4.89553114e+00  -3.92209988e+00   0.00000000e+00   0.00000000e+00]]",[-1.48821128 -0.66858062],-0.740604,-0.010082792536,[-0.22922637 -0.22737509],[ 0.072523    0.22843492]
20,"[ 1.01145724 -0.54493404 -0.29306179 -0.31102742  0.0248509  -0.56600641
 -1.17891392 -0.56077283 -0.33827366  0.39012122  0.        ]","[[ -2.68292065e-01  -2.70471578e+00   1.86029394e-03  -6.63239922e-02]
 [ -8.75797555e+00  -6.49173251e+00   0.00000000e+00   0.00000000e+00]]",[ 1.33864517 -0.33726374],-0.670845,-0.0254701067212,[-0.22922637 -0.22737509],[ 0.40539822  0.43991357]
21,"[ 0.94853045 -0.61527055 -0.48307656  0.07825999  0.02485088 -0.56600606
 -1.06229384 -0.73258099 -0.3795608   0.55399983  0.        ]","[[ -4.01991221e-01  -2.84665754e+00   1.86029394e-03  -6.63239922e-02]
 [ -4.62567668e+00  -7.69843341e+00   0.00000000e+00   0.00000000e+00]]",[-0.2415572   1.09845036],-0.692092,-0.0434283648522,[-0.22922637 -0.22737509],[ 0.11233184  0.31903094]
