timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.59333801 -0.55502301],"[[-0.05734    -0.08031676  0.08553136  0.19729698]
 [ 0.00070674 -0.00376379  0.          0.        ]]",[ 5.40646106 -1.73694589],"[ 1.00208488  2.01278355  0.18859691  0.94276617  0.73960504  1.68912762
 -0.76358921  0.36557809  0.85482059 -1.97381664  0.        ]",-3.1156,-0.250541986664,[ 3.65175915 -2.29963756]
1,[-0.59333801 -0.55502301],"[[-0.01762001 -0.12013454  0.08553136  0.19729698]
 [ 3.95811173 -3.96480528  0.          0.        ]]",[ 3.34394373 -1.98199027],"[ 1.0043637   2.00707947  0.24962928  0.83979609  0.73960482  1.68912635
 -0.66192432 -0.23713254  0.85609496 -1.92975738  0.        ]",-3.18251,-0.247178516177,[ 3.60947371 -2.11468697]
2,[-0.59333801 -0.55502301],"[[ 0.10046266 -0.23838576  0.08553136  0.19729698]
 [ 7.83724692 -7.84736024  0.          0.        ]]",[ 3.15465354 -1.228046  ],"[ 0.99687919  1.97691674  0.43094952  0.53753394  0.73960459  1.68912508
 -0.5622702  -0.82790057  0.85184601 -1.79866312  0.        ]",-3.08226,-0.236795547301,[ 3.4182291  -1.99549198]
3,[-0.59333801 -0.55502301],"[[  0.29535909  -0.43351538   0.08553136   0.19729698]
 [ 11.63976875 -11.65287535   0.           0.        ]]",[ 3.48358591 -2.53893613],"[ 0.93828467  1.8849878   0.72433587  0.05945742  0.73960437  1.68912381
 -0.46458427 -1.40694573  0.81871404 -1.58649836  0.        ]",-2.77978,-0.218622529636,[ 3.30937767 -1.8969574 ]
4,[-0.59333801 -0.55502301],"[[  0.56555427  -0.70399585   0.08553136   0.19729698]
 [ 15.36742247 -15.38264689   0.           0.        ]]",[ 2.77820084 -2.45941093],"[ 0.7661385   1.67711278  1.10077706 -0.53110359  0.73960415  1.68912254
 -0.36882171 -1.9744646   0.72142286 -1.31425452  0.        ]",-2.59772,-0.192033296636,[ 3.2817502  -1.81878209]
5,[-0.59333801 -0.55502301],"[[  0.90956902  -1.04832403   0.08553136   0.19729698]
 [ 19.02203095 -19.0378333    0.           0.        ]]",[ 1.63019238 -2.14997702],"[ 0.41358608  1.30033624  1.49037295 -1.10116729  0.73960392  1.68912127
 -0.27493566 -2.53063253  0.5222043  -1.03251736  0.        ]",-2.47792,-0.158241628588,[ 3.11668134 -1.93489385]
6,[-0.59333801 -0.55502301],"[[  1.32596043  -1.46501955   0.08553136   0.19729698]
 [ 22.60536711 -22.61958416   0.           0.        ]]",[ 2.90109251 -1.97081742],"[-0.15564285  0.73719356  1.76860861 -1.43340874  0.7396037   1.68912
 -0.18288059 -3.07562335  0.2005708  -0.8314041   0.        ]",-2.10151,-0.124967095552,[ 3.42920756 -2.19970417]
7,[-0.59333801 -0.55502301],"[[  1.81331831  -1.95262719   0.08553136   0.19729698]
 [ 26.11886946 -26.12932606   0.           0.        ]]",[ 4.80205571 -2.79034965],"[-0.89464978  0.05273968  1.76946569 -1.2607486   0.73960348  1.68911873
 -0.09261953 -3.60965284 -0.2169769  -0.83107743  0.        ]",-1.79515,-0.115499130898,[ 4.20368576 -2.55420446]
8,[-0.59333801 -0.55502301],"[[  2.37025474  -2.50972618   0.08553136   0.19729698]
 [ 29.56326793 -29.56913762   0.           0.        ]]",[ 5.99638884 -3.45529094],"[-1.62489346 -0.56888899  1.34867534 -0.383941    0.73960325  1.68911746
 -0.00413373 -4.13303586 -0.62956591 -1.13596708  0.        ]",-1.79156,-0.150820548773,[ 5.32889032 -3.13898373]
9,[-0.59333801 -0.55502301],"[[  2.9953874   -3.13494579   0.08553136   0.19729698]
 [ 32.938693   -26.62494231   0.           0.        ]]",[ 5.56415349 -2.95766451],"[-2.04198988 -0.84520597  0.50074584  1.13402891  0.73960303  1.68911619
  0.08258015 -3.68504156 -0.86523105 -1.75006602  0.        ]",-2.19149,-0.21194515158,[ 6.23422241 -3.60395479]
10,[-0.59333801 -0.55502301],"[[  3.68735852  -3.29536364   0.08553136   0.19729698]
 [ 36.24706297   2.35872266   0.           0.        ]]",[ 5.23685397 -1.79229796],"[-1.8358515  -0.82834855 -0.5214835   1.54941922  0.73960281  1.68911492
  0.16757141  0.72505327 -0.80701    -1.86688654  0.        ]",-2.70886,-0.219578603551,[ 4.72826767 -2.57502055]
11,[-0.59333801 -0.55502301],"[[  4.44482895  -3.20081244   0.08553136   0.19729698]
 [ 39.48909804   5.34232599   0.           0.        ]]",[ 3.31397294 -1.74326311],"[-0.93174961 -0.84272797 -1.2063126   1.30514051  0.73960258  1.68911365
  0.25085853  1.17903173 -0.87235041 -1.65691323  0.        ]",-3.17564,-0.204456614242,[ 4.3230691  -2.37825847]
12,[-0.59333801 -0.55502301],"[[  5.26649217  -3.10946634   0.08553136   0.19729698]
 [ 42.66659993   3.61440762   0.           0.        ]]",[ 3.98299055 -2.17059399],"[ 0.27896497 -0.84449818 -1.03093798  1.06781389  0.73960236  1.68911238
  0.33248781  0.91611488 -1.02270788 -1.66821522  0.        ]",-3.0729,-0.212472132318,[ 4.24065828 -1.99472737]
13,[-0.59333801 -0.55502301],"[[  6.15107308  -3.05500753   0.08553136   0.19729698]
 [ 45.78111304   1.93802625   0.           0.        ]]",[ 4.0759303  -2.11492749],"[ 0.99125655 -0.83987455  0.07415553  0.92652874  0.73960214  1.68911111
  0.4124989   0.66103993 -1.04481464 -1.83299954  0.        ]",-3.17158,-0.226919774061,[ 4.26239491 -1.62559843]
14,[-0.59333801 -0.55502301],"[[  7.0973259   -3.02727659   0.08553136   0.19729698]
 [ 48.83400278   0.93761493   0.           0.        ]]",[ 4.17590468 -1.25850306],"[ 0.52447768 -0.83589405  1.39487103  0.85481472  0.73960191  1.68910984
  0.4909269   0.50881925 -0.92781727 -1.91308229  0.        ]",-3.19687,-0.228207619991,[ 4.43871164 -1.52501822]
15,[-0.59333801 -0.55502301],"[[  8.10403058  -3.01423152   0.08553136   0.19729698]
 [ 51.82649852   0.427974     0.           0.        ]]",[ 5.18745524 -2.65000641],"[-0.90582612 -0.83364302  1.76664221  0.82115466  0.73960169  1.68910857
  0.56780337  0.43127321 -0.81502267 -1.80164863  0.        ]",-2.50941,-0.214322940705,[ 4.66635418 -1.8211894 ]
16,[-0.59333801 -0.55502301],"[[  9.16999109  -3.00838095   0.08553136   0.19729698]
 [ 54.75978073   0.18817322   0.           0.        ]]",[ 4.33679218 -2.41571738],"[-2.00888592 -0.83255482  0.66429115  0.80607627  0.73960147  1.6891073
  0.64315863  0.3947855  -0.84429462 -1.60975306  0.        ]",-2.45093,-0.199322523826,[ 4.74566031 -2.25043631]
17,[-0.59333801 -0.55502301],"[[ 10.29403478  -3.00583934   0.08553136   0.19729698]
 [ 57.63500872   0.08061022   0.           0.        ]]",[ 4.22591582 -2.14768134],"[-1.51525934 -0.83206679 -0.89788816  0.7995294   0.73960124  1.68910603
  0.71702247  0.37841884 -0.99994527 -1.55845921  0.        ]",-2.90624,-0.202476102021,[ 4.64896822 -2.40518022]
18,[-0.59333801 -0.55502301],"[[  1.14750120e+01  -3.00476001e+00   8.55313579e-02   1.97296985e-01]
 [  6.04533243e+01   3.38794406e-02   0.00000000e+00   0.00000000e+00]]",[ 5.50044126 -2.75200833],"[ 0.1795731  -0.83185661 -1.08765323  0.79674973  0.73960102  1.68910476
  0.7894242   0.3713083  -1.10273279 -1.73034095  0.        ]",-2.95892,-0.221637144161,[ 4.61828423 -1.97775412]
19,[-0.59333801 -0.55502301],"[[  1.27117958e+01  -3.00430934e+00   8.55313579e-02   1.97296985e-01]
 [  6.32158504e+01   1.40351818e-02   0.00000000e+00   0.00000000e+00]]",[ 4.28088419 -1.46393292],"[ 0.98843697 -0.8317682   0.49955914  0.79558907  0.7396008   1.68910349
  0.86039268  0.36828875 -1.00960486 -1.92222804  0.        ]",-3.22936,-0.232557869827,[ 4.59869576 -1.52893209]
