timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.32340077 -0.27832857],"[[ 0.01134209 -0.02143931 -0.13446462 -0.07555374]
 [ 0.00038336 -0.00486912  0.          0.        ]]",[-2.25692422 -1.97977502],"[ 1.02529377  2.05887186  0.21295029  0.97829926 -1.17550453 -0.65457504
 -0.84710925  0.36583509  2.59374704  1.08565243  0.        ]",-4.18696,-0.352646424941,[-3.54354906 -2.04373932]
1,[-0.32340077 -0.27832857],"[[-0.02832539 -0.06124812 -0.13446462 -0.07555374]
 [-3.95397336 -3.96282591  0.          0.        ]]",[-1.52101871 -1.45864785],"[ 1.0247954   2.05655594  0.15258955  0.86954177 -1.17550363 -0.65457474
 -0.95291493 -0.21653946  2.58992684  0.95755135  0.        ]",-4.13799,-0.349685117399,[-3.10887837 -1.88484669]
2,[-0.32340077 -0.27832857],"[[-0.14629605 -0.17943008 -0.13446462 -0.07555374]
 [-7.83021796 -7.84244024  0.          0.        ]]",[-3.06349977 -2.18234568],"[ 1.009603    2.03662297 -0.02615318  0.54889676 -1.17550274 -0.65457445
 -1.05663045 -0.78738652  2.53808686  0.58299645  0.        ]",-3.90749,-0.338596789424,[-2.43230963 -1.80155969]
3,[-0.32340077 -0.27832857],"[[ -0.34102554  -0.37443342  -0.13446462  -0.07555374]
 [-11.63018828 -11.64520454   0.           0.        ]]",[-2.06259134 -2.33305174],"[ 0.94029254  1.96180243 -0.31328893  0.03678916 -1.17550185 -0.65457415
 -1.15830496 -1.3469251   2.32750986  0.01947743  0.        ]",-3.37676,-0.313180178133,[-1.47077775 -1.61355519]
4,[-0.32340077 -0.27832857],"[[ -0.61100954  -0.64473521  -0.13446462  -0.07555374]
 [-15.35606535 -15.37250668   0.           0.        ]]",[-1.56236004  0.28603193],"[ 0.75803509  1.77703397 -0.67737079 -0.60647905 -1.17550095 -0.65457385
 -1.25799677 -1.89535846  1.82890738 -0.54939738  0.        ]",-2.83051,-0.264944290253,[ 0.03442162 -0.73525649]
5,[-0.32340077 -0.27832857],"[[ -0.95480393  -0.93774801  -0.13446462  -0.07555374]
 [-19.01135923 -13.93349189   0.           0.        ]]",[ 0.26111524  0.00544548],"[ 0.40147838  1.48516796 -1.046421   -1.16771028 -1.17550006 -0.65457355
 -1.35579979 -1.68361959  1.07213502 -0.79187851  0.        ]",-2.11613,-0.192316916928,[ 1.52069521  0.16605115]
6,[-0.32340077 -0.27832857],"[[ -1.32091849  -1.213425    -0.13446462  -0.07555374]
 [-17.60478303 -13.63518863   0.           0.        ]]",[ 2.67100285  2.30438217],"[-0.08685877  1.14531993 -1.27886643 -1.52481206 -1.17549916 -0.65457325
 -1.31816306 -1.63972531  0.35118704 -0.52625968  0.        ]",-1.82703,-0.10869879138,[ 2.1586709   0.96899515]
7,[-0.32340077 -0.27832857],"[[ -1.62984882  -1.44369146  -0.13446462  -0.07555374]
 [-13.30226134  -9.40559982   0.           0.        ]]",[ 1.50784063  0.62981288],"[-0.53946722  0.8318153  -1.32347638 -1.67551779 -1.17549827 -0.65457295
 -1.20304014 -1.01738315 -0.05601312  0.00227376  0.        ]",-1.50573,-0.0369046304496,[ 2.30386996  1.13181281]
8,[-0.32340077 -0.27832857],"[[-1.85356354 -1.60491578 -0.13446462 -0.07555374]
 [-9.08307469 -6.72580338  0.          0.        ]]",[ 2.66220172  1.14175774],"[-0.8645429   0.6056988  -1.26569192 -1.69598326 -1.17549738 -0.65457266
 -1.09014719 -0.62307775 -0.19252081  0.46210798  0.        ]",-1.41522,-0.0139554119667,[ 2.25351286  1.21204424]
9,[-0.32340077 -0.27832857],"[[-1.993724   -1.69837187 -0.13446462 -0.07555374]
 [-4.94660822 -2.63347094  0.          0.        ]]",[ 2.69863454  1.09675105],"[-1.05873142  0.47481961 -1.19204124 -1.67535021 -1.17549648 -0.65457236
 -0.97946773 -0.02093203 -0.21177574  0.74581724  0.        ]",-1.37978,-0.041912583622,[ 2.15003014  0.78258246]
