timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.56633019 -0.09623749],"[ 1.28290019  0.94117126  0.10921877  0.48723928 -0.21772769 -1.46100866
  1.76302056 -0.22470329  1.29446717  1.12607554  0.        ]",[-3.00689554  1.58145142],"[[ 0.01389676 -0.01945679 -0.02471566 -0.16861581]
 [ 0.0018081  -0.0038605   0.          0.        ]]",-2.62126,-0.289448416399,[-2.35612535  0.6754403 ]
1,[-0.56633019 -0.09623749],"[ 1.28257279  0.94138553  0.05146378  0.53878518 -0.21772765 -1.46100787
  1.65852167  0.03246316  1.29422732  1.09283076  0.        ]",[-2.95209646  0.36215159],"[[-0.02576837  0.007316   -0.02471566 -0.16861581]
 [-3.95514257  2.67221548  0.          0.        ]]",-2.44598,-0.286298767617,[-2.86147201  0.32791271]
2,[-0.56633019 -0.09623749],"[ 1.2687088   0.93787785 -0.11966903  0.66565082 -0.21772761 -1.46100707
  1.55610433  0.15229691  1.28682758  0.98490906  0.        ]",[-2.90673351 -0.75914061],"[[-0.14378171  0.07327187 -0.02471566 -0.16861581]
 [-7.83328021  3.91920642  0.          0.        ]]",-2.24489,-0.275598700845,[-3.01599178  0.32105954]
3,[-0.56633019 -0.09623749],"[ 1.20421839  0.92378017 -0.39469739  0.83838104 -0.21772757 -1.46100628
  1.45571237  0.26714294  1.25109614  0.79785213  0.        ]",[-2.88657713 -1.56137586],"[[ -0.33858829   0.1636469   -0.02471566  -0.16861581]
 [-11.63472951   5.11429516   0.           0.        ]]",-2.2854,-0.255359144557,[-2.96959305 -0.40134513]
4,[-0.56633019 -0.09623749],"[ 1.03373791  0.90070472 -0.74361679  0.9991584  -0.21772753 -1.46100548
  1.35733353  0.10481786  1.14693247  0.52896053  0.        ]",[-2.84019089 -2.19508243],"[[ -0.60865903   0.2489853   -0.02471566  -0.16861581]
 [-15.35995487   3.42514026   0.           0.        ]]",-2.41736,-0.221972223882,[-2.04586584 -0.78061318]
5,[-0.56633019 -0.09623749],"[ 0.69952226  0.88785973 -1.0976056   1.06753041 -0.21772749 -1.46100469
  1.26091518 -0.19862992  0.9072494   0.19778145  0.        ]",[-2.79302168 -2.75588036],"[[ -0.95248969   0.28580646  -0.02471566  -0.16861581]
 [-19.01094792   0.26746221   0.           0.        ]]",-2.17351,-0.170207222118,[-3.03594132 -2.48538599]
6,[-0.56633019 -0.09623749],"[ 0.17361889  0.89992021 -1.33753921  1.00363139 -0.21772745 -1.46100389
  1.16641619 -0.57956711  0.4576948  -0.09460001  0.        ]",[-2.75176167 -3.0800643 ],"[[ -1.36861132   0.25138349  -0.02471566  -0.16861581]
 [-22.58926554  -3.69657103   0.           0.        ]]",-2.0479,-0.0971888305135,[-2.52506435 -1.29415775]
7,[-0.56633019 -0.09623749],"[-0.49515689  0.92878191 -1.30854635  0.79045093 -0.21772741 -1.4610031
  1.07379114 -0.95296356 -0.20611855 -0.14375915  0.        ]",[-2.69291615 -2.91212797],"[[ -1.85558720e+00   1.38466694e-01  -2.47156630e-02  -1.68615812e-01]
 [ -2.60966271e+01  -7.58213676e+00   0.00000000e+00   0.00000000e+00]]",-1.91824,-0.0410608844178,[-1.61998269 -3.21689143]
8,[-0.56633019 -0.09623749],"[-1.13996139  0.93967595 -0.88164286  0.42579995 -0.21772737 -1.4610023
  0.98299462 -1.31893444 -0.89152763  0.28322959  0.        ]",[-2.61962891 -1.83354986],"[[ -2.41201470e+00  -5.13869192e-02  -2.47156630e-02  -1.68615812e-01]
 [ -2.95347510e+01  -1.13904351e+01   0.00000000e+00   0.00000000e+00]]",-1.50061,-0.139432664267,[-2.66663798 -1.48270328]
9,[-0.56633019 -0.09623749],"[-1.48565757  0.87577975 -0.06372375 -0.07483137 -0.21772734 -1.46100151
  0.89396802 -1.67757443 -1.16785886  1.19915466  0.        ]",[-2.88462973  3.57089233],"[[ -3.03653033e+00  -3.16642217e-01  -2.47156630e-02  -1.68615812e-01]
 [ -3.29058569e+01  -1.51224539e+01   0.00000000e+00   0.00000000e+00]]",0.536917,-0.257038210981,[-3.42146079  5.01341001]
