timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.65919209 -0.49023074],"[ 1.29317766  1.05590638  0.11310162  0.74670513  1.69366165 -0.07038471
  1.86793753 -0.22658877 -0.00564437  0.16861638  0.        ]",[-3.51600337 -5.94229078],"[[ 0.02021679  0.0180429   0.19641818 -0.00784723]
 [-0.00180937 -0.00055846  0.          0.        ]]",-4.28871,-0.0194904299225,[-3.69493343 -6.77409386]
1,[-0.65919209 -0.49023074],"[ 1.29319733  1.0558078   0.05550031  0.67059153  1.6936611  -0.07038471
  1.76260729 -0.56380268 -0.00571082  0.08917367  0.        ]",[-3.47034883 -5.89270544],"[[-0.0194941  -0.02168055  0.19641818 -0.00784723]
 [-3.95611846 -3.95860101  0.          0.        ]]",-4.41931,-0.0135398015155,[-3.60594422 -5.49042034]
2,[-0.65919209 -0.49023074],"[ 1.28032709  1.04284463 -0.11506444  0.44515788  1.69366055 -0.0703847
  1.65935841 -0.89434208 -0.03579748 -0.14439771  0.        ]",[-3.42967558 -5.59210491],"[[-0.13750701 -0.13977888  0.19641818 -0.00784723]
 [-7.83229269 -7.83830204  0.          0.        ]]",-4.64511,-0.0369436031566,[-2.5220161 -6.0255636]
3,[-0.65919209 -0.49023074],"[ 1.2173508   0.98055283 -0.38940739  0.08268291  1.69365999 -0.0703847
  1.55814245 -1.21833421 -0.17866116 -0.49997547  0.        ]",[-3.41616392 -5.08795691],"[[ -3.32276940e-01  -3.34700348e-01   1.96418178e-01  -7.84723093e-03]
 [ -1.16321497e+01  -1.16411561e+01   0.00000000e+00   0.00000000e+00]]",-4.45835,-0.0940942529335,[-3.27792188 -5.15592745]
4,[-0.65919209 -0.49023074],"[ 1.04861226  0.81444949 -0.73805014 -0.37761447  1.69365944 -0.07038469
  1.4589016  -1.53589726 -0.53398703 -0.8677463   0.        ]",[-3.42586231 -4.21588564],"[[ -6.02298595e-01  -6.04922088e-01   1.96418178e-01  -7.84723093e-03]
 [ -1.53578597e+01  -1.53685512e+01   0.00000000e+00   0.00000000e+00]]",-4.43122,-0.169102223996,[-3.68248558 -2.9172467 ]
5,[-0.65919209 -0.49023074],"[ 0.71577917  0.48757745 -1.09288534 -0.84537214  1.69365889 -0.07038468
  1.36156874 -1.84714117 -1.12038856 -1.02988182  0.        ]",[-3.59094644 -2.78144717],"[[ -9.46113796e-01  -9.48947951e-01   1.96418178e-01  -7.84723093e-03]
 [ -1.90119419e+01  -1.90217789e+01   0.00000000e+00   0.00000000e+00]]",-3.98179,-0.247870684029,[-3.14034043 -3.35958778]
6,[-0.65919209 -0.49023074],"[ 0.18999083 -0.02790001 -1.33542409 -1.16376677  1.69365833 -0.07038468
  1.26607666 -2.15217583 -1.73886224 -0.75905996  0.        ]",[-3.96043992 -1.40131748],"[[ -1.36231575e+00  -1.36530736e+00   1.96418178e-01  -7.84723093e-03]
 [ -2.25969193e+01  -2.26021303e+01   0.00000000e+00   0.00000000e+00]]",-3.86151,-0.307296728681,[-3.98866327 -1.25090609]
7,[-0.65919209 -0.49023074],"[-0.48086768 -0.68447363 -1.31084303 -1.12851965  1.69365778 -0.07038467
  1.17238036 -2.45112972 -1.98204007 -0.10593686  0.        ]",[-4.38170767 -0.81514537],"[[ -1.84954159e+00  -1.85255727e+00   1.96418178e-01  -7.84723093e-03]
 [ -2.61144808e+01  -2.61111149e+01   0.00000000e+00   0.00000000e+00]]",-4.16321,-0.318500820631,[-4.0031337 -1.8891407]
8,[-0.65919209 -0.49023074],"[-1.13010033 -1.31856919 -0.88914407 -0.56901716  1.69365722 -0.07038467
  1.08048867 -2.74417469 -1.63614529  0.39450133  0.        ]",[-4.77253199 -1.12020838],"[[ -2.40644400e+00  -2.40928947e+00   1.96418178e-01  -7.84723093e-03]
 [ -2.95642946e+01  -2.95507513e+01   0.00000000e+00   0.00000000e+00]]",-4.88364,-0.264059462143,[-4.38751162 -1.82761312]
9,[-0.65919209 -0.49023074],"[-1.48107027 -1.65986128 -0.07539728  0.50663226  1.69365667 -0.07038466
  0.99049077 -2.5293909  -1.21261653  0.2094343   0.        ]",[-4.75495291 -3.06835198],"[[ -3.03164161e+00  -3.03414264e+00   1.96418178e-01  -7.84723093e-03]
 [ -3.29430127e+01  -2.70297454e+01   0.00000000e+00   0.00000000e+00]]",-4.45984,-0.189527172182,[-4.77217748 -3.31861691]
