timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.65833449 -0.49662793],"[ 1.29357145  1.06051272  0.06047406  0.64535932  0.17816186  0.18986754
  1.87118623 -0.22676002  1.04240079 -0.10556424  0.        ]",[-3.54367971 -3.40068078],"[[-0.01596381 -0.03812382  0.02124155  0.02212619]
 [ 0.00135475  0.00019898  0.          0.        ]]",-4.00685,-0.190904446016,[-3.16984188 -3.53361723]
1,[-0.65833449 -0.49662793],"[ 1.2915972   1.05737591  0.00300641  0.5694074   0.17816185  0.18986752
  1.76581673 -0.56273935  1.03666698 -0.18472466  0.        ]",[-3.50310802 -3.01738811],"[[-0.05561208 -0.07783228  0.02124155  0.02212619]
 [-3.95302411 -3.95785838  0.          0.        ]]",-3.94137,-0.192338819707,[-3.89994539 -2.45318997]
2,[-0.65833449 -0.49662793],"[ 1.27284078  1.03542289 -0.16685771  0.34539574  0.17816183  0.18986751
  1.66252848 -0.89206826  0.99004831 -0.41509605  0.        ]",[-3.45178461 -2.44326878],"[[-0.17356405 -0.19591587  0.02124155  0.02212619]
 [-7.82930012 -7.83757018  0.          0.        ]]",-4.18964,-0.196467666066,[-3.52875257 -1.25293103]
3,[-0.65833449 -0.49662793],"[ 1.20044328  0.958705   -0.43854814 -0.01154043  0.17816182  0.18986749
  1.56127226 -1.21487333  0.82266657 -0.75762792  0.        ]",[-3.36601353 -1.71965647],"[[ -0.36827563  -0.39082276   0.02124155   0.02212619]
 [-11.62931911 -11.64042807   0.           0.        ]]",-3.9606,-0.202414257675,[-3.66122961 -1.21747352]
4,[-0.65833449 -0.49662793],"[ 1.0198109   0.77433916 -0.78053462 -0.45795114  0.1781618   0.18986747
  1.46198987 -1.53127229  0.44409553 -1.09466877  0.        ]",[-3.36688852 -0.49059802],"[[ -0.63824291  -0.66102991   0.02124155   0.02212619]
 [-15.35526569 -15.36782002   0.           0.        ]]",-3.73925,-0.207526419392,[-3.63115603 -0.46899662]
5,[-0.65833449 -0.49662793],"[ 0.67498905  0.45312155 -1.12260021 -0.87711048  0.17816179  0.18986746
  1.36460416 -1.66290043 -0.13399885 -1.21447416  0.        ]",[-3.39709806  0.74346864],"[[ -0.98201436  -0.9839455    0.02124155   0.02212619]
 [-19.01003397 -16.91849194   0.           0.        ]]",-3.70996,-0.206967306891,[-3.04884451  0.50887575]
6,[-0.65833449 -0.49662793],"[ 0.14119974  0.06457978 -1.34527678 -1.12720583  0.17816177  0.18986744
  1.2690793  -1.46320521 -0.70425021 -0.97127156  0.        ]",[-3.44120789  1.35403359],"[[ -1.39818284e+00  -1.29871256e+00   2.12415516e-02   2.21261878e-02]
 [ -2.25949691e+01  -1.45659553e+01   0.00000000e+00   0.00000000e+00]]",-3.49851,-0.197218743753,[-4.36327872  0.80314888]
7,[-0.65833449 -0.49662793],"[-0.5283395  -0.28052802 -1.29566694 -1.19745949  0.17816176  0.18986742
  1.17543557 -1.16850437 -1.02692219 -0.45083046  0.        ]",[-3.53865814  1.38701451],"[[ -1.88534337e+00  -1.55519932e+00   2.12415516e-02   2.21261878e-02]
 [ -2.61093090e+01  -1.10941878e+01   0.00000000e+00   0.00000000e+00]]",-4.18334,-0.17871277688,[-4.68035602  0.96875371]
8,[-0.65833449 -0.49662793],"[-1.16257764 -0.5264658  -0.85023359 -1.17149263  0.17816174  0.18986741
  1.0836606  -0.82392403 -1.00562025  0.13135851  0.        ]",[-3.68856859  2.72481441],"[[ -2.44208799e+00  -1.73635503e+00   2.12415516e-02   2.21261878e-02]
 [ -2.95535176e+01  -7.03480553e+00   0.00000000e+00   0.00000000e+00]]",-5.25687,-0.153956589847,[-4.83798083  2.03563947]
9,[-0.65833449 -0.49662793],"[-1.48550209 -0.65896159 -0.02443127 -1.13076367  0.17816173  0.18986739
  0.99372901 -0.47560669 -0.68491078  0.57115324  0.        ]",[-4.00848675  5.88910198],"[[ -3.06702292e+00  -1.83588153e+00   2.12415516e-02   2.21261878e-02]
 [ -3.29285475e+01  -2.93139818e+00   0.00000000e+00   0.00000000e+00]]",-4.59445,-0.127193616044,[-3.24379612  5.40446173]
