timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.55642062 -0.11676203],"[ 1.28046592  0.95020354  0.19728528  0.50447667 -0.76424609  0.124364
  1.77555632 -0.2252072   1.66758138  0.07363241  0.        ]",[-2.98211956 -0.26510459],"[[ 0.0749417  -0.01964187 -0.08782518  0.01457214]
 [-0.00195925 -0.00430362  0.          0.        ]]",-2.64917,-0.29737804712,[-2.2805505  -0.56394577]
1,[-0.55642062 -0.11676203],"[ 1.28350167  0.94928568  0.13956454  0.46122572 -0.76424589  0.12436398
  1.67104001 -0.43648245  1.66985115  0.00682417  0.        ]",[-2.97837019 -0.16224337],"[[ 0.0352211  -0.04211599 -0.08782518  0.01457214]
 [-3.95693577 -2.23567658  0.          0.        ]]",-2.32094,-0.297994414036,[ -3.25804353e+00   2.85064405e-03]
2,[-0.55642062 -0.11676203],"[ 1.27960242  0.9455415  -0.03209716  0.37641705 -0.7642457   0.12436396
  1.56856741 -0.4310795   1.65893662 -0.17596072  0.        ]",[-2.93127918 -0.9652251 ],"[[-0.08282317 -0.08625698 -0.08782518  0.01457214]
 [-7.83458248 -2.17861449  0.          0.        ]]",-2.19601,-0.298789576383,[-3.63672842 -1.38098793]
3,[-0.55642062 -0.11676203],"[ 1.23118757  0.93159349 -0.31060778  0.21823455 -0.7642455   0.12436394
  1.46816077 -0.80176114  1.58379395 -0.47380856  0.        ]",[-2.89407253 -1.20674682],"[[ -0.27763578  -0.16910915  -0.08782518   0.01457214]
 [-11.63405671  -6.09354976   0.           0.        ]]",-2.13368,-0.297007702864,[-2.76961303 -1.23591392]
4,[-0.55642062 -0.11676203],"[ 1.08125535  0.87932451 -0.66957195 -0.08068571 -0.7642453   0.12436392
  1.36973132 -1.16509464  1.34927836 -0.85563953  0.        ]",[-2.84756088 -1.32451248],"[[ -5.47686603e-01  -3.29481631e-01  -8.78251811e-02   1.45721404e-02]
 [ -1.53587167e+01  -9.93088027e+00   0.00000000e+00   0.00000000e+00]]",-1.83183,-0.286660458876,[-2.85850109 -0.8706487 ]
5,[-0.55642062 -0.11676203],"[ 0.76814838  0.74797359 -1.04406755 -0.4816075  -0.76424511  0.1243639
  1.27322057 -1.4727131   0.87722677 -1.16728226  0.        ]",[-2.79668236 -0.98592091],"[[ -8.91501048e-01  -5.60697210e-01  -8.78251811e-02   1.45721404e-02]
 [ -1.90107753e+01  -1.31797831e+01   0.00000000e+00   0.00000000e+00]]",-1.51145,-0.259672953777,[-2.63309408  0.01967985]
6,[-0.55642062 -0.11676203],"[ 0.25696672  0.52937711 -1.31705897 -0.86662122 -0.76424491  0.12436388
  1.17855357 -1.4403992   0.23854368 -1.18498106  0.        ]",[-2.73321867 -0.47179651],"[[ -1.30765700e+00  -8.20869828e-01  -8.78251811e-02   1.45721404e-02]
 [ -2.25930679e+01  -1.28385092e+01   0.00000000e+00   0.00000000e+00]]",-1.21874,-0.211891097178,[-2.66231345  0.47422806]
7,[-0.55642062 -0.11676203],"[-0.41262374  0.27888515 -1.33080698 -1.13379816 -0.76424472  0.12436386
  1.08572451 -1.23824277 -0.32531795 -0.80845154  0.        ]",[-2.70488405  0.78667748],"[[ -1.79476218e+00  -1.05621959e+00  -8.78251811e-02   1.45721404e-02]
 [ -2.61058132e+01  -1.07034502e+01   0.00000000e+00   0.00000000e+00]]",-1.32839,-0.149000414547,[-2.05924149 -0.46408504]
8,[-0.55642062 -0.11676203],"[ -1.08140078e+00  -1.12934511e-03  -9.45760696e-01  -1.30588382e+00
  -7.64244519e-01   1.24363837e-01   9.94735895e-01  -1.39179153e+00
  -5.58807732e-01  -1.25743372e-01   0.00000000e+00]",[-2.82094622  4.31097794],"[[ -2.35142159e+00  -1.28656118e+00  -8.78251811e-02   1.45721404e-02]
 [ -2.95489168e+01  -1.23251544e+01   0.00000000e+00   0.00000000e+00]]",-1.5319,-0.0859560735547,[-2.28809492  5.49146693]
9,[-0.55642062 -0.11676203],"[-1.4738738  -0.26634579 -0.15119895 -1.37698721 -0.76424432  0.12436382
  0.90550332 -0.9933164  -0.31201842  0.54801288  0.        ]",[-3.08899117  6.80199671],"[[ -2.97628059e+00  -1.49084079e+00  -8.78251811e-02   1.45721404e-02]
 [ -3.29255716e+01  -8.11668293e+00   0.00000000e+00   0.00000000e+00]]",-0.122929,-0.0844691375642,[-2.5126975   6.99747958]
10,[-0.55642062 -0.11676203],"[-1.30482004 -0.4261485   0.81957612 -1.38152116 -0.76424413  0.1243638
  0.81806598 -0.60264625  0.26726561  0.8743623   0.        ]",[-3.50108671  8.63561153],"[[ -3.66799153e+00  -1.61177804e+00  -8.78251811e-02   1.45721404e-02]
 [ -3.62342946e+01  -3.99064133e+00   0.00000000e+00   0.00000000e+00]]",0.735933,-0.14196052439,[-3.12546471  6.59112766]
11,[-0.55642062 -0.11676203],"[-0.49753723 -0.47792426  1.48417738 -1.37694697 -0.76424393  0.12436378
  0.73239272 -0.21962076  0.89780961  0.72282261  0.        ]",[-3.59329772  9.01105976],"[[ -4.42520734e+00  -1.65100471e+00  -8.78251811e-02   1.45721404e-02]
 [ -3.94762637e+01   5.46622155e-02   0.00000000e+00   0.00000000e+00]]",2.19712,-0.196830738472,[-3.86661309  8.69986968]
12,[-0.55642062 -0.11676203],"[ 0.60279966 -0.42395511  1.34099034 -1.38164815 -0.76424373  0.12436376
  0.64845128  0.15592447  1.27604512  0.1528993   0.        ]",[-3.20766878  7.04037619],"[[ -5.24660520e+00  -1.61011823e+00  -8.78251811e-02   1.45721404e-02]
 [ -4.26526997e+01   4.02096339e+00   0.00000000e+00   0.00000000e+00]]",0.280942,-0.231440444958,[-3.06593455  5.9061245 ]
13,[-0.55642062 -0.11676203],"[ 1.26828927 -0.26613546  0.30912323 -1.3769601  -0.76424354  0.12436374
  0.56620994  0.5241498   1.1629314  -0.57862094  0.        ]",[-2.78339243  0.77219248],"[[ -6.13088644e+00  -1.49068152e+00  -8.78251811e-02   1.45721404e-02]
 [ -4.57648030e+01   7.90995608e+00   0.00000000e+00   0.00000000e+00]]",-1.71948,-0.237224142861,[-2.47583804  1.27233393]
14,[-0.55642062 -0.11676203],"[ 0.86957774 -0.0108683  -0.94925888 -1.30996395 -0.76424334  0.12436371
  0.48563569  0.88519453  0.5220511  -1.04282607  0.        ]",[-2.65762782 -2.759377  ],"[[ -7.07677670e+00  -1.29422545e+00  -8.78251811e-02   1.45721404e-02]
 [ -4.88138219e+01   1.17231124e+01   0.00000000e+00   0.00000000e+00]]",-1.43793,-0.208961280501,[-2.72146813 -2.22845786]
15,[-0.55642062 -0.11676203],"[-0.4194829   0.2258621  -1.32915005 -1.17515388 -0.76424315  0.12436369
  0.40671022  0.48934295 -0.3368571  -0.77456502  0.        ]",[-2.59372425 -2.52445865],"[[ -8.08301715e+00  -1.10171106e+00  -8.78251811e-02   1.45721404e-02]
 [ -5.18004496e+01   7.54234932e+00   0.00000000e+00   0.00000000e+00]]",-2.04108,-0.144281046688,[-1.9266468  -3.27011321]
16,[-0.55642062 -0.11676203],"[-1.44011068  0.35144751 -0.30883341 -1.06949854 -0.76424295  0.12436367
  0.32931524  0.10137583 -0.63049346  0.26733146  0.        ]",[-2.54844618 -0.36080202],"[[ -9.14840863e+00  -9.91976451e-01  -8.78251811e-02   1.45721404e-02]
 [ -5.47291622e+01   3.44485727e+00   0.00000000e+00   0.00000000e+00]]",-2.17148,-0.0962918111181,[-2.54166672 -2.51157582]
17,[-0.55642062 -0.11676203],"[-1.02375754  0.38281352  1.17892139 -1.03871364 -0.76424275  0.12436365
  0.25341427 -0.27884301  0.19175469  1.11428765  0.        ]",[-3.22814965  6.72823477],"[[ -1.02718067e+01  -9.63371302e-01  -8.78251811e-02   1.45721404e-02]
 [ -5.76013397e+01  -5.70801842e-01   0.00000000e+00   0.00000000e+00]]",1.8264,-0.173888696148,[-2.57232511  6.45876148]
18,[-0.55642062 -0.11676203],"[ 0.5079203   0.41350934  1.39472407 -1.00669176 -0.76424256  0.12436363
  0.17895392  0.09838299  1.32926009  0.66642663  0.        ]",[-3.13099146  4.57893372],"[[ -1.14521068e+01  -9.34815618e-01  -8.78251811e-02   1.45721404e-02]
 [ -6.04190028e+01   3.41324761e+00   0.00000000e+00   0.00000000e+00]]",1.53522,-0.258183801689,[-3.07147675  6.04850705]
19,[-0.55642062 -0.11676203],"[ 1.27407269  0.52307508 -0.08854625 -0.87510764 -0.76424236  0.12436361
  0.10600827  0.46818918  1.39428664 -0.63864773  0.        ]",[-2.74587488 -2.87816763],"[[ -1.26881846e+01  -8.27363722e-01  -8.78251811e-02   1.45721404e-02]
 [ -6.31793479e+01   7.31893344e+00   0.00000000e+00   0.00000000e+00]]",-2.26254,-0.276699131154,[-2.70767401 -2.80925315]
20,[-0.55642062 -0.11676203],"[ 0.11464079  0.62046604 -1.34896621 -0.73024014 -0.76424216  0.12436359
  0.03457112  0.08082876  0.1746428  -1.19636947  0.        ]",[-2.6731472  -3.59835315],"[[ -1.39788918e+01  -7.22031739e-01  -8.78251811e-02   1.45721404e-02]
 [ -6.58826095e+01   3.22785137e+00   0.00000000e+00   0.00000000e+00]]",-2.07526,-0.211112049695,[-2.08493892 -3.85145803]
21,[-0.55642062 -0.11676203],"[-1.39125066  0.64142863 -0.45806136 -0.69472122 -0.76424197  0.12436357
 -0.03549125 -0.298849   -0.73762029 -0.03308673  0.        ]",[-2.49408078 -2.06223464],"[[ -1.53231421e+01  -6.97708838e-01  -8.78251811e-02   1.45721404e-02]
 [ -6.85338482e+01  -7.82090797e-01   0.00000000e+00   0.00000000e+00]]",-2.04844,-0.111032467821,[-2.08979629 -3.06223745]
22,[-0.55642062 -0.11676203],"[-0.84046641  0.5931286   1.32235456 -0.77405855 -0.76424177  0.12436355
 -0.10421079 -0.67089225  0.24077638  1.18193634  0.        ]",[-3.21818018  6.49787045],"[[ -1.67199068e+01  -7.52777880e-01  -8.78251811e-02   1.45721404e-02]
 [ -7.11342727e+01  -4.71140214e+00   0.00000000e+00   0.00000000e+00]]",2.68355,-0.186746013164,[-4.02780211  7.10179017]
