timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.6511476  -0.47130215],"[ 1.28710101  1.04588999 -0.05071719  0.56292706 -0.8864305   0.67313362
  1.86410352 -0.22623782  1.76516442 -0.57913868  0.        ]",[-3.72462153 -2.9245429 ],"[[-0.09296006 -0.07382237 -0.10194448  0.07798748]
 [-0.00160151  0.00083594  0.          0.        ]]",-3.31061,-0.327457447718,[-3.51182389 -3.04241032]
1,[-0.6511476  -0.47130215],"[ 1.2808818   1.04084045 -0.10795395  0.48718542 -0.88643036  0.67313353
  1.75881741 -0.56499493  1.75180608 -0.65718851  0.        ]",[-3.68889999 -2.28097558],"[[-0.13266695 -0.11351824 -0.10194448  0.07798748]
 [-3.95593067 -3.95723534  0.          0.        ]]",-3.1577,-0.329603421825,[-4.12948823 -2.23549073]
2,[-0.6511476  -0.47130215],"[ 1.24962077  1.01328453 -0.27592959  0.26438304 -0.88643022  0.67313345
  1.65561033 -0.89704643  1.68325655 -0.88088695  0.        ]",[-3.64155912 -1.58188093],"[[-0.25067671 -0.23158948 -0.10194448  0.07798748]
 [-7.832179   -7.83695838  0.          0.        ]]",-3.43623,-0.333818858023,[-2.63971851 -1.69171774]
3,[-0.6511476  -0.47130215],"[ 1.15733738  0.92776889 -0.54113676 -0.08854971 -0.88643008  0.67313336
  1.55443268 -1.22251978  1.48423179 -1.20265758  0.        ]",[-3.55854559 -0.82904601],"[[ -0.44544591  -0.42648421  -0.10194448   0.07798748]
 [-11.63220974 -11.63982301   0.           0.        ]]",-3.12867,-0.33359861333,[-3.42108203 -0.36503283]
4,[-0.6511476  -0.47130215],"[ 0.95191797  0.75435308 -0.8677393  -0.4880637  -0.88642995  0.67313327
  1.4552075  -1.32635191  1.09342528 -1.49298442  0.        ]",[-3.44476533 -0.65282989],"[[ -0.71547949  -0.67145343  -0.10194448   0.07798748]
 [-15.3589118  -12.85301138   0.           0.        ]]",-2.73684,-0.319982282603,[-2.77518254 -1.41331977]
5,[-0.6511476  -0.47130215],"[ 0.58278168  0.46323484 -1.18116958 -0.87196232 -0.88642981  0.67313319
  1.35792602 -1.6432793   0.5265167  -1.56992094  0.        ]",[-3.41141987  1.39332378],"[[ -1.05931265  -0.96566801  -0.10194448   0.07798748]
 [-19.0126148  -16.55602764   0.           0.        ]]",-2.79696,-0.283284818728,[-3.25511371  2.21595345]
6,[-0.6511476  -0.47130215],"[ 0.0340965   0.11356381 -1.36026572 -1.11676666 -0.88642967  0.6731331
  1.26247521 -1.27611256 -0.02282064 -1.30473717  0.        ]",[-3.36303234  1.16522861],"[[ -1.47553414  -1.2537465   -0.10194448   0.07798748]
 [-22.59756329 -12.26601888   0.           0.        ]]",-2.86715,-0.221870816152,[-3.19160595  1.41737135]
7,[-0.6511476  -0.47130215],"[-0.62972226 -0.15584109 -1.25682738 -1.19986564 -0.88642953  0.67313302
  1.16892558 -0.91616101 -0.33766159 -0.79593696  0.        ]",[-3.36013746  1.32802522],"[[ -1.96273908  -1.45687076  -0.10194448   0.07798748]
 [-26.11110863  -8.0603112    0.           0.        ]]",-3.48807,-0.146378664835,[-3.59025731  1.22423745]
8,[-0.6511476  -0.47130215],"[-1.22895266 -0.31849178 -0.76146747 -1.21225607 -0.88642939  0.67313293
  1.07724965 -0.56327554 -0.34281634 -0.21009125  0.        ]",[-3.43139505  2.98412728],"[[ -2.5195093   -1.57670935  -0.10194448   0.07798748]
 [-29.55428292  -3.93716335   0.           0.        ]]",-4.49126,-0.0632540698726,[-3.9182069   2.19927029]
9,[-0.6511476  -0.47130215],"[-1.48959423 -0.37040804  0.08810056 -1.21042595 -0.88642925  0.67313285
  0.9874153  -0.21730757 -0.04413204  0.28162935  0.        ]",[-3.75209427  7.29493666],"[[ -3.14444929  -1.61489612  -0.10194448   0.07798748]
 [-32.92829206   0.10515995   0.           0.        ]]",-2.21745,-0.0329513559133,[-3.78866667  6.91016822]
