timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.49060458 -0.00912216],"[ 1.24273274  0.94473464  0.19901205  0.45990046 -1.02550262  0.30063555
  1.4784527  -0.19738128  1.81848963  0.00810629  0.        ]",[-1.92144489 -1.21058774],"[[ 0.06487909  0.08600037 -0.11834907  0.03524538]
 [-0.00284989  0.00257102  0.          0.        ]]",-0.976134,-0.32711763365,[-1.36391787 -0.96437651]
1,[-0.49060458 -0.00912216],"[ 1.24519809  0.94809345  0.14052193  0.3918723  -1.02550153  0.30063538
  1.37062464 -0.64042627  1.82519618 -0.06945209  0.        ]",[-1.88422656 -0.70270169],"[[ 0.02514699  0.04775409 -0.11834907  0.03524538]
 [-3.95719528 -3.814483    0.          0.        ]]",-0.832258,-0.328954639186,[-1.552997   -2.21698407]
2,[-0.49060458 -0.00912216],"[ 1.23968396  0.94659835 -0.03322412  0.18654052 -1.02550045  0.30063521
  1.26493023 -1.09107428  1.81622539 -0.30157625  0.        ]",[-1.84912884 -0.15332958],"[[-0.09288694 -0.06749058 -0.11834907  0.03524538]
 [-7.8333066  -7.69704609  0.          0.        ]]",-0.683491,-0.332356729819,[-0.81892348 -0.23807384]
3,[-0.49060458 -0.00912216],"[ 1.19169889  0.91516753 -0.30450721 -0.09853173 -1.02549936  0.30063504
  1.1808221  -1.18265674  1.72137943 -0.64030655  0.        ]",[-1.82569051 -0.05176234],"[[ -0.28050014  -0.2293483   -0.11834907   0.03524538]
 [-10.9177849   -8.48608642   0.           0.        ]]",-0.2883,-0.331630264469,[-2.19245175 -0.22452282]
4,[-0.49060458 -0.00912216],"[ 1.05183519  0.84257446 -0.64963681 -0.39778727 -1.02549827  0.30063488
  1.07883533 -1.26615267  1.47619459 -1.00518346  0.        ]",[-1.79332709  0.04590023],"[[ -0.53638121  -0.40628803  -0.11834907   0.03524538]
 [-14.65794461  -9.20545946   0.           0.        ]]",-0.212967,-0.321061081488,[-1.64503267  0.82963766]
5,[-0.49060458 -0.00912216],"[ 0.75936056  0.75186075 -1.01944155 -0.6335464  -1.02549719  0.30063471
  0.97881645 -0.86348645  1.06551343 -1.28393554  0.        ]",[-1.78604937 -0.43658173],"[[ -0.86634225  -0.55559053  -0.11834907   0.03524538]
 [-18.32594285  -5.73629806   0.           0.        ]]",-0.0704373,-0.297102282151,[-2.2303072   0.59289822]
6,[-0.49060458 -0.00912216],"[ 0.27594166  0.68501279 -1.30359689 -0.76588693 -1.0254961   0.30063454
  0.88078746 -0.57755227  0.54320986 -1.37129984  0.        ]",[-1.78104675 -0.72054338],"[[ -1.2689313   -0.64560049  -0.11834907   0.03524538]
 [-21.92097165  -3.27283777   0.           0.        ]]",-0.167181,-0.259257659451,[-1.46475158 -0.13376461]
7,[-0.49060458 -0.00912216],"[-0.37036692  0.62703761 -1.34851    -0.8629829  -1.02549502  0.30063437
  0.78472365 -0.63119071 -0.01843189 -1.17826515  0.        ]",[-1.76344228 -0.3412692 ],"[[ -1.74269727  -0.71569479  -0.11834907   0.03524538]
 [-25.44393597  -3.73496305   0.           0.        ]]",0.0176622,-0.203837641425,[-1.40627774 -1.81431864]
8,[-0.49060458 -0.00912216],"[-1.03947498  0.5228161  -1.00890321 -1.00800914 -1.02549393  0.3006342
  0.69057302 -1.08180659 -0.45049902 -0.62155938  0.        ]",[-1.75597727  1.08015239],"[[ -2.28621697  -0.82934755  -0.11834907   0.03524538]
 [-28.89674141  -7.6172486    0.           0.        ]]",-0.164383,-0.127185561917,[-2.71212009  1.45316947]
9,[-0.49060458 -0.00912216],"[-1.47357211  0.40989144 -0.25177108 -1.1333541  -1.02549285  0.30063403
  0.59820692 -0.60422452 -0.48501734  0.15399094  0.        ]",[-1.85666728  1.68023109],"[[ -2.89813948  -0.94041092  -0.11834907   0.03524538]
 [-32.28410517  -3.50264998   0.           0.        ]]",0.0769247,-0.0640461610283,[-1.14409016  2.28368328]
10,[-0.49060458 -0.00912216],"[-1.38543644  0.37814523  0.72522207 -1.16380273 -1.02549176  0.30063386
  0.5076919  -0.13599602 -0.05592828  0.80119645  0.        ]",[-1.97043133  1.56951571],"[[ -3.57712858e+00  -9.69990753e-01  -1.18349070e-01   3.52453818e-02]
 [ -3.56035856e+01   5.31364790e-01   0.00000000e+00   0.00000000e+00]]",0.80542,-0.115841583558,[-2.48404628  2.19301138]
11,[-0.49060458 -0.00912216],"[-0.65965731  0.43173389  1.4662022  -1.11126185 -1.02549067  0.30063369
  0.41899554  0.32305264  0.6896787   1.0293991   0.        ]",[-2.04513335  1.00914693],"[[ -4.32183823e+00  -9.19683541e-01  -1.18349070e-01   3.52453818e-02]
 [ -3.88563710e+01   4.48629100e+00   0.00000000e+00   0.00000000e+00]]",0.725614,-0.203965453964,[-2.90988878  0.36399535]
12,[-0.49060458 -0.00912216],"[ 0.4265502   0.53536531  1.4499575  -0.99221325 -1.02548959  0.30063352
  0.33209464  0.48077535  1.44013654  0.65794702  0.        ]",[-2.02721906  0.390986  ],"[[ -5.13094188e+00  -8.16324542e-01  -1.18349070e-01   3.52453818e-02]
 [ -4.20433121e+01   5.84514988e+00   0.00000000e+00   0.00000000e+00]]",0.705734,-0.278606114772,[-2.14100448  1.63019667]
13,[-0.49060458 -0.00912216],"[ 1.19187986  0.67287725  0.51077797 -0.78738213 -1.0254885   0.30063335
  0.24690686  0.92769939  1.75754655 -0.21710941  0.        ]",[-1.98605466 -1.32770264],"[[ -6.00315452e+00  -6.60788357e-01  -1.18349070e-01   3.52453818e-02]
 [ -4.51674275e+01   9.69561941e+00   0.00000000e+00   0.00000000e+00]]",-0.43395,-0.32026670665,[-1.91627641 -1.49538208]
14,[-0.49060458 -0.00912216],"[ 0.96087615  0.78328055 -0.7930985  -0.56114507 -1.02548742  0.30063318
  0.16347545  0.44655102  1.3134265  -1.13990374  0.        ]",[-1.88539743 -2.03085446],"[[ -6.93720055e+00  -5.08466475e-01  -1.18349070e-01   3.52453818e-02]
 [ -4.82271316e+01   5.55030144e+00   0.00000000e+00   0.00000000e+00]]",-0.728326,-0.311601124119,[-1.27062769 -2.89166529]
15,[-0.49060458 -0.00912216],"[-0.24165081  0.82536184 -1.36576599 -0.44972167 -1.02548633  0.30063301
  0.08167265 -0.025108    0.21996415 -1.34849169  0.        ]",[-1.82120275 -1.75975645],"[[ -7.93184159e+00  -4.38231363e-01  -1.18349070e-01   3.52453818e-02]
 [ -5.12271089e+01   1.48673786e+00   0.00000000e+00   0.00000000e+00]]",-0.409698,-0.237387904835,[-2.12777445 -3.27712936]
16,[-0.49060458 -0.00912216],"[-1.38348148  0.81959372 -0.52274759 -0.46619201 -1.02548525  0.30063285
  0.00146708 -0.48739814 -0.59796248 -0.39231114  0.        ]",[ -1.84002399e+00  -2.04533339e-04],"[[ -8.98589434e+00  -4.48458921e-01  -1.18349070e-01   3.52453818e-02]
 [ -5.41685110e+01  -2.49610891e+00   0.00000000e+00   0.00000000e+00]]",-0.376177,-0.112395909391,[-1.47413471 -1.45384744]
17,[-0.49060458 -0.00912216],"[-1.21300773  0.76418733  1.02256711 -0.60604931 -1.02548416  0.30063268
 -0.0771802  -0.94040216 -0.10404144  0.89207836  0.        ]",[-1.94326496  1.8649981 ],"[[ -1.00982009e+01  -5.37542430e-01  -1.18349070e-01   3.52453818e-02]
 [ -5.70527650e+01  -6.39895517e+00   0.00000000e+00   0.00000000e+00]]",0.77389,-0.130082341197,[-2.50581423  0.99683   ]
