timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
15,[-0.63326877 -0.45942399],"[-0.64179804  0.0434403  -1.25165987 -1.15448662  0.47558893  0.21311682
  0.48044522  0.07377294 -1.30214265 -0.55873809  0.        ]",[-3.20930147 -3.49339962],"[[ -8.25512762e+00  -1.30263369e+00   5.56924635e-02   2.47482324e-02]
 [ -5.18039590e+01   3.48135227e+00   0.00000000e+00   0.00000000e+00]]",-4.81371,-0.227973635429,[-2.97109246 -2.06310341]
16,[-0.63326877 -0.45942399],"[-1.48223033  0.08167719 -0.06668446 -1.13879584  0.47558887  0.21311679
  0.40246125 -0.27202519 -1.26865839  0.49244865  0.        ]",[-3.46719885  1.18519926],"[[ -9.32060736e+00  -1.27330290e+00   5.56924635e-02   2.47482324e-02]
 [ -5.47345336e+01  -5.34686243e-01   0.00000000e+00   0.00000000e+00]]",-4.37517,-0.208890457397,[-3.54804552  1.27649746]
17,[-0.63326877 -0.45942399],"[-0.82743269  0.11950126  1.32016824 -1.12156219  0.47558882  0.21311677
  0.32597214  0.07100546 -0.31184301  0.9857224   0.        ]",[-3.85775948  7.23047161],"[[ -1.04441409e+01  -1.24402692e+00   5.56924635e-02   2.47482324e-02]
 [ -5.76089325e+01   3.44921065e+00   0.00000000e+00   0.00000000e+00]]",-0.323912,-0.149938212598,[-4.63757885  8.20024118]
18,[-0.63326877 -0.45942399],"[ 0.71992348  0.25577131  1.25754398 -1.04451907  0.47558877  0.21311675
  0.25104486  0.40733284  0.57697965  0.29763505  0.        ]",[-3.40717745  2.01496506],"[[ -1.16245733e+01  -1.13585339e+00   5.56924635e-02   2.47482324e-02]
 [ -6.04246394e+01   7.35525701e+00   0.00000000e+00   0.00000000e+00]]",-3.17582,-0.116429517969,[-3.86453521  1.76751235]
19,[-0.63326877 -0.45942399],"[ 1.23278742  0.47306821 -0.3368104  -0.86569184  0.47558871  0.21311673
  0.17764206  0.73703153  0.36312067 -0.9068107   0.        ]",[-3.1237092  -4.45218086],"[[ -1.28607444e+01  -9.50329706e-01   5.56924635e-02   2.47482324e-02]
 [ -6.31830573e+01   1.11843194e+01   0.00000000e+00   0.00000000e+00]]",-3.53527,-0.174969660827,[-3.64402572 -5.4290959 ]
20,[-0.63326877 -0.45942399],"[-0.11852341  0.65984562 -1.36670379 -0.63836343  0.47558866  0.21311671
  0.10574866  0.3782682  -0.88992692 -1.186337    0.        ]",[-3.34627533 -3.99799776],"[[ -1.41515097e+01  -7.68446702e-01   5.56924635e-02   2.47482324e-02]
 [ -6.58847533e+01   7.01770742e+00   0.00000000e+00   0.00000000e+00]]",-4.14215,-0.243396506875,[-3.539162   -4.47343905]
21,[-0.63326877 -0.45942399],"[-1.45857447  0.74863943 -0.22137245 -0.49505654  0.47558861  0.21311669
  0.035236    0.02654404 -1.59101324  0.09665127  0.        ]",[-3.36312366 -2.12586761],"[[ -1.54957887e+01  -6.69076560e-01   5.56924635e-02   2.47482324e-02]
 [ -6.85345625e+01   2.93284691e+00   0.00000000e+00   0.00000000e+00]]",-3.71312,-0.252182349923,[-4.19886676 -1.74276372]
22,[-0.63326877 -0.45942399],"[-0.6226047   0.76402102  1.4283729  -0.46706256  0.47558855  0.21311667
 -0.03392022 -0.31821045 -0.47164228  1.16670873  0.        ]",[-3.66470432  4.4072156 ],"[[ -1.68925524e+01  -6.50593300e-01   5.56924635e-02   2.47482324e-02]
 [ -7.11333975e+01  -1.07106920e+00   0.00000000e+00   0.00000000e+00]]",-0.710897,-0.185671969133,[-4.99046173  4.91927936]
23,[-0.63326877 -0.45942399],"[ 1.11644376  0.77917897  0.79098165 -0.43839153  0.4755885   0.21311665
 -0.10178086  0.0258093   0.7544434   0.14490355  0.        ]",[-2.98736286 -3.67715311],"[[ -1.83408093e+01  -6.31928733e-01   5.56924635e-02   2.47482324e-02]
 [ -7.36835456e+01   2.92431310e+00   0.00000000e+00   0.00000000e+00]]",-4.33681,-0.141195827338,[-2.56068245 -4.26368095]
24,[-0.63326877 -0.45942399],"[ 0.664798    0.793691   -1.12889782 -0.40985614  0.47558845  0.21311663
 -0.16822547 -0.31882793 -0.11236286 -1.28354258  0.        ]",[-3.15236521 -3.95498633],"[[ -1.98395302e+01  -6.13602356e-01   5.56924635e-02   2.47482324e-02]
 [ -7.61804805e+01  -1.07824043e+00   0.00000000e+00   0.00000000e+00]]",-3.89446,-0.218334661565,[-3.48910968 -4.37095173]
