timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.49835131  0.00268696],"[ 1.24974984  0.94003614  0.05535237  0.3772571   0.79250308 -0.25849073
  1.5101603  -0.2016826   0.58650057  0.24386975  0.        ]",[-1.96760988 -1.93315351],"[[-0.03185267  0.02800127  0.09214632 -0.02923217]
 [-0.00224772 -0.0010975   0.          0.        ]]",-1.44597,-0.120556719723,[-1.05308052 -1.54525416]
1,[-0.49835131  0.00268696],"[ 1.24691425  0.94046014 -0.00302885  0.30561157  0.79250248 -0.2584906
  1.40342821 -0.65440339  0.58304389  0.16516326  0.        ]",[-1.94815421 -1.52145422],"[[-0.07157223 -0.01173287  0.09214632 -0.02923217]
 [-3.9565477  -3.95912969  0.          0.        ]]",-1.14596,-0.117927974896,[-1.95281738 -2.98956402]
2,[-0.49835131  0.00268696],"[ 1.2257098   0.92948458 -0.1751655   0.09328302  0.79250187 -0.25849047
  1.29880557 -1.09816297  0.54338747 -0.06484261  0.        ]",[-1.93400133 -1.07253015],"[[-0.18959359 -0.12984167  0.09214632 -0.02923217]
 [-7.83270707 -7.83882124  0.          0.        ]]",-1.30564,-0.113107347616,[-1.84661763  0.20606789]
3,[-0.49835131  0.00268696],"[ 1.14970723  0.89048987 -0.44972385 -0.16613668  0.79250127 -0.25849034
  1.19619742 -0.98690637  0.40687591 -0.38526294  0.        ]",[-1.9242425  -1.23978841],"[[ -0.38438936  -0.27685898   0.09214632  -0.02923217]
 [-11.63424161  -6.86613978   0.           0.        ]]",-1.33636,-0.115680795784,[-1.6839879 -1.0782578]
4,[-0.49835131  0.00268696],"[ 0.96521242  0.80823261 -0.79374619 -0.46170804  0.79250067 -0.25849021
  1.09565705 -1.42406333  0.10602558 -0.72141058  0.        ]",[-1.92494011 -0.90561283],"[[ -0.65444626  -0.45252925   0.09214632  -0.02923217]
 [-15.35917535 -10.68811432   0.           0.        ]]",-0.958553,-0.135016626719,[-2.65181214 -1.20267847]
5,[-0.49835131  0.00268696],"[ 0.61783536  0.62813376 -1.13495622 -0.84028603  0.79250007 -0.25849008
  0.99707382 -1.85252729 -0.41804201 -0.93139852  0.        ]",[-1.93134689 -0.37637979],"[[ -0.99827294  -0.70387702   0.09214632  -0.02923217]
 [-19.01160568 -14.43410572   0.           0.        ]]",-0.784942,-0.172039325944,[-2.70675573 -0.13774347]
6,[-0.49835131  0.00268696],"[ 0.08489709  0.34162612 -1.35171611 -1.18589973  0.79249947 -0.25848995
  0.9003661  -1.8819303  -1.04388226 -0.8023659   0.        ]",[-1.95740175  0.06084746],"[[ -1.41445146  -0.99513979   0.09214632  -0.02923217]
 [-22.59455516 -14.69120441   0.           0.        ]]",-0.590746,-0.213442404081,[-1.34482057 -1.82005697]
7,[-0.49835131  0.00268696],"[-0.57843433 -0.05507051 -1.28986948 -1.42265135  0.79249886 -0.25848983
  0.80554057 -2.30118026 -1.4914743  -0.26193161  0.        ]",[-2.01110601  1.20058787],"[[ -1.90158676  -1.32574203   0.09214632  -0.02923217]
 [-26.10777528 -18.35667416   0.           0.        ]]",-0.595323,-0.240805711614,[-1.67270651  0.42081947]
8,[-0.49835131  0.00268696],"[-1.20065746 -0.50741535 -0.82702338 -1.4672111   0.79249826 -0.2584897
  0.71251098 -2.0685635  -1.46730615  0.44474759  0.        ]",[-2.04191804  2.24495029],"[[ -2.45832357e+00  -1.67247203e+00   9.21463196e-02  -2.92321717e-02]
 [ -2.95544608e+01  -1.63229972e+01   0.00000000e+00   0.00000000e+00]]",-1.04858,-0.237325923118,[-1.28110129  2.54528382]
9,[-0.49835131  0.00268696],"[-1.50821652 -0.86782262  0.01649562 -1.34443623  0.79249766 -0.25848957
  0.6213305  -1.57818876 -1.03363893  0.87622456  0.        ]",[-2.05256391  2.82213211],"[[ -3.08330950e+00  -1.95591741e+00   9.21463196e-02  -2.92321717e-02]
 [ -3.29326400e+01  -1.20357656e+01   0.00000000e+00   0.00000000e+00]]",-0.658081,-0.202039147782,[-2.43405313  3.17954375]
