timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.65968353 -0.40239155],"[ 1.28544661  1.01902342 -0.04848042  0.53433697  0.24944639 -1.24848107
  1.84511718 -0.22603163  0.97764618  0.81073353  0.        ]",[-3.51139355  0.73383331],"[[-0.09196153 -0.06789848  0.02965234 -0.1439306 ]
 [-0.00382124 -0.00457393  0.          0.        ]]",-3.74494,-0.213576595418,[-3.66048112  0.77474472]
1,[-0.65968353 -0.40239155],"[ 1.27927167  1.02119716 -0.1058635   0.59318734  0.24944637 -1.24848074
  1.73996883  0.0421198   0.97402946  0.77996468  0.        ]",[-3.45924926 -0.57233453],"[[-0.13173967 -0.03719468  0.02965234 -0.1439306 ]
 [-3.96081361  3.06472039  0.          0.        ]]",-3.82881,-0.210394216609,[-2.98524068 -0.3920817 ]
2,[-0.65968353 -0.40239155],"[ 1.24813676  1.02208698 -0.27412604  0.67978389  0.24944634 -1.24848041
  1.63694858 -0.09868354  0.95094123  0.65872724  0.        ]",[-3.39353609 -1.33696997],"[[-0.24985411  0.00792955  0.02965234 -0.1439306 ]
 [-7.83772396  1.45306814  0.          0.        ]]",-3.73552,-0.197261561421,[-3.35767505 -0.77390186]
3,[-0.65968353 -0.40239155],"[ 1.15603555  1.02210511 -0.53972713  0.67602575  0.24944631 -1.24848008
  1.53598133 -0.36878645  0.86850397  0.41763307  0.        ]",[-3.32982159 -2.00294065],"[[ -4.44731611e-01   5.97161928e-03   2.96523408e-02  -1.43930601e-01]
 [ -1.16373785e+01  -1.63856298e+00   0.00000000e+00   0.00000000e+00]]",-3.44953,-0.169117860587,[-3.78056964 -2.51796681]
4,[-0.65968353 -0.40239155],"[ 0.95085132  1.01917711 -0.86678302  0.53761362  0.24944628 -1.24847975
  1.43701937 -0.71175686  0.6527664   0.08571357  0.        ]",[-3.26166487 -2.53468037],"[[ -0.71484497  -0.06618736   0.02965234  -0.1439306 ]
 [-15.36157229  -5.56424465   0.           0.        ]]",-3.2466,-0.123994815426,[-4.42657447 -2.31858263]
5,[-0.65968353 -0.40239155],"[ 0.58202467  0.99077894 -1.18068096  0.25303219  0.24944626 -1.24847943
  1.34000863 -1.04792638  0.22053269 -0.22225246  0.        ]",[-3.24316168 -2.79671049],"[[ -1.05870491  -0.21607925   0.02965234  -0.1439306 ]
 [-19.01233896  -9.41208368   0.           0.        ]]",-3.33827,-0.0706686200418,[-3.35923759 -2.86702341]
6,[-0.65968353 -0.40239155],"[ 0.03375774  0.89247886 -1.36023276 -0.15675195  0.24944623 -1.2484791
  1.24489589 -1.3774082  -0.4278865  -0.28850814  0.        ]",[-3.23626852 -2.43434072],"[[ -1.47486227  -0.44216043   0.02965234  -0.1439306 ]
 [-22.59168127 -13.18337666   0.           0.        ]]",-3.45838,-0.0823729550441,[-2.32748946 -3.21972324]
7,[-0.65968353 -0.40239155],"[-0.62965569  0.66690127 -1.25727825 -0.63381399  0.2494462  -1.24847877
  1.15161716 -1.7003043  -1.0835128   0.11067788  0.        ]",[-3.42725134  0.91507602],"[[ -1.96191199  -0.74291181   0.02965234  -0.1439306 ]
 [-26.10200649 -16.87929214   0.           0.        ]]",-3.48529,-0.167518267057,[-3.33694306  0.91313271]
8,[-0.65968353 -0.40239155],"[-1.22889758  0.35548499 -0.76230928 -0.99157877  0.24944618 -1.24847844
  1.06007709 -1.35490389 -1.34538188  0.89157066  0.        ]",[-3.71421576  5.08278465],"[[ -2.51851551  -1.04083279   0.02965234  -0.1439306 ]
 [-29.54690336 -12.92580114   0.           0.        ]]",-2.44993,-0.2482804374,[-3.46059357  5.21109527]
9,[-0.65968353 -0.40239155],"[-1.49024174  0.09012448  0.08736349 -1.16115235  0.24944615 -1.24847811
  0.97035348 -0.98619904 -1.05954849  1.63088011  0.        ]",[-4.18476534  9.57888603],"[[ -3.14333265e+00  -1.25700753e+00   2.96523408e-02  -1.43930601e-01]
 [ -3.29234431e+01  -8.70556208e+00   0.00000000e+00   0.00000000e+00]]",-0.511731,-0.297664232652,[-4.42266079  9.12318913]
10,[-0.65968353 -0.40239155],"[-1.16907232 -0.08305999  1.01273844 -1.22345491  0.24944612 -1.24847779
  0.88243027 -0.62470413 -0.39958835  1.97337544  0.        ]",[ -4.76042175  12.24216747],"[[ -3.83500148e+00  -1.38960544e+00   2.96523408e-02  -1.43930601e-01]
 [ -3.62322299e+01  -4.56784767e+00   0.00000000e+00   0.00000000e+00]]",1.2882,-0.308257347291,[ -4.86593292  12.38126252]
