timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.55658668 -0.10560408],"[ 1.28237867  0.93278953  0.07157218  0.3449496  -1.01254639 -1.24555841
  1.75776275 -0.22388177  1.83304054  0.89075357  0.        ]",[-3.07353687  2.26052976],"[[-0.0121405  -0.08988786 -0.11665953 -0.14387758]
 [-0.00264572  0.00231477  0.          0.        ]]",-1.82861,-0.351582070965,[-3.67467791  2.3013858 ]
1,[-0.55658668 -0.10560408],"[ 1.28061149  0.93646073  0.01369836  0.42136333 -1.01254603 -1.24555784
  1.65327791  0.15903558  1.83229044  0.86625659  0.        ]",[-3.00512648  0.69482338],"[[-0.05189886 -0.05009876 -0.11665953 -0.14387758]
 [-3.96000725  3.96339006  0.          0.        ]]",-2.16212,-0.349999417124,[-2.25751207  1.96813776]
2,[-0.55658668 -0.10560408],"[ 1.26246699  0.93505527 -0.15718376  0.64883857 -1.01254566 -1.24555728
  1.55086065  0.53436882  1.82458155  0.79390394  0.        ]",[-2.96150231 -0.96545815],"[[-0.17001876  0.06812474 -0.11665953 -0.14387758]
 [-7.839066    7.84601203  0.          0.        ]]",-2.81995,-0.344671840968,[-2.12620188 -1.43875866]
3,[-0.55658668 -0.10560408],"[ 1.19108281  0.91589697 -0.43052628  0.86961049 -1.01254529 -1.24555671
  1.45054937  0.13671497  1.7869752   0.62481834  0.        ]",[-2.91933107 -1.26025987],"[[ -0.36491939   0.18377297  -0.11665953  -0.14387758]
 [-11.63836552   3.73249735   0.           0.        ]]",-2.35508,-0.330318599077,[-2.57874007 -1.27702238]
4,[-0.55658668 -0.10560408],"[ 1.0118745   0.90689503 -0.77475985  0.93411672 -1.01254493 -1.24555614
  1.35222096 -0.25308025  1.66574018  0.32618866  0.        ]",[-2.86951208 -1.71002412],"[[ -0.63505277   0.21796657  -0.11665953  -0.14387758]
 [-15.36256884  -0.29972401   0.           0.        ]]",-2.14837,-0.300410828843,[-2.64095498 -2.66074536]
5,[-0.55658668 -0.10560408],"[ 0.66885739  0.91857387 -1.11948137  0.84789933 -1.01254456 -1.24555558
  1.25583965 -0.63516964  1.37553881 -0.03505952  0.        ]",[-2.80586767 -2.15331101],"[[ -0.9789305    0.17231539  -0.11665953  -0.14387758]
 [-19.0130294   -4.25223336   0.           0.        ]]",-1.91102,-0.249257696111,[-3.03984948 -2.94933656]
6,[-0.55658668 -0.10560408],"[ 0.13710137  0.93656962 -1.34480219  0.61092445 -1.0125442  -1.24555501
  1.16136659 -1.0096918   0.84446091 -0.30238574  0.        ]",[-2.73416901 -2.31466699],"[[ -1.39509206   0.04839904  -0.11665953  -0.14387758]
 [-22.59121801  -8.1264654    0.           0.        ]]",-1.8771,-0.170217177439,[-1.65216342 -2.13555117]
7,[-0.55658668 -0.10560408],"[-0.53068096  0.92285501 -1.29721618  0.22581816 -1.01254383 -1.24555444
  1.0687543  -1.37676801  0.12591623 -0.22756355  0.        ]",[-2.680511   -1.75113535],"[[ -1.88210928  -0.1522298   -0.11665953  -0.14387758]
 [-26.09893208 -11.92367673   0.           0.        ]]",-1.49251,-0.0618786776787,[-3.14872591 -1.52013749]
8,[-0.55658668 -0.10560408],"[-1.16444063  0.81906979 -0.85237079 -0.28140073 -1.01254347 -1.24555388
  0.97794266 -1.7365017  -0.47816649  0.38395204  0.        ]",[-2.76871777  1.88678706],"[[ -2.43859458  -0.42804174  -0.11665953  -0.14387758]
 [-29.53844874 -15.64493992   0.           0.        ]]",-1.03357,-0.0820124187267,[-2.70373339  2.63875901]
9,[-0.55658668 -0.10560408],"[-1.48926585  0.62946119 -0.02475689 -0.71970211 -1.0125431  -1.24555331
  0.88881515 -1.32344788 -0.51995932  1.31344354  0.        ]",[-3.05147982  6.05271673],"[[ -3.06323263  -0.69807223  -0.11665953  -0.14387758]
 [-32.91418011 -11.37212689   0.           0.        ]]",0.335023,-0.212702274115,[-2.84304806  5.7768589 ]
10,[-0.55658668 -0.10560408],"[-1.24070648  0.45579016  0.92735191 -0.97039837 -1.01254274 -1.24555274
  0.801453   -0.91844674  0.06612783  1.99972782  0.        ]",[-3.62973356  8.98253059],"[[ -3.75471594  -0.8834821   -0.11665953  -0.14387758]
 [-36.22304972  -7.18261051   0.           0.        ]]",2.32826,-0.312261650046,[-4.19890466  9.39166799]
11,[-0.55658668 -0.10560408],"[-0.38219494  0.34710521  1.51650895 -1.08751168 -1.01254237 -1.24555218
  0.71583927 -0.5213469   0.93833772  2.05248784  0.        ]",[-3.85522723  9.99312496],"[[ -4.51171308  -0.98592152  -0.11665953  -0.14387758]
 [-39.4656981   -3.07482698   0.           0.        ]]",2.88971,-0.364188891388,[ -5.02376534  10.13963625]
12,[-0.55658668 -0.10560408],"[ 0.70154307  0.32374383  1.27421427 -1.10956887 -1.012542   -1.24555161
  0.63194887 -0.13200407  1.58836763  1.43110322  0.        ]",[-3.54167485  8.06665611],"[[ -5.33290869  -1.0070101   -0.11665953  -0.14387758]
 [-42.64307602   0.95271491   0.           0.        ]]",0.418,-0.359128020226,[-3.68750569  6.5088787 ]
13,[-0.55658668 -0.10560408],"[ 1.27944164  0.38792856  0.18556967 -1.04643767 -1.01254164 -1.24555104
  0.54975111  0.24971552  1.59849628  0.48395924  0.        ]",[-3.04437923  2.37559175],"[[ -6.21700869  -0.94833859  -0.11665953  -0.14387758]
 [-45.75634559   4.90139846   0.           0.        ]]",-1.6172,-0.293752536735,[-3.89361295  1.66183591]
14,[-0.55658668 -0.10560408],"[ 0.77931636  0.52700045 -1.03290257 -0.87865287 -1.01254127 -1.24555048
  0.46921014  0.62392385  0.89536841 -0.1822792   0.        ]",[-2.80959463 -1.66998363],"[[ -7.16274411  -0.81147207  -0.11665953  -0.14387758]
 [-48.80686369   8.77238254   0.           0.        ]]",-2.41634,-0.172500602814,[-2.72696408 -3.0535208 ]
15,[-0.55658668 -0.10560408],"[-0.53538264  0.64676669 -1.29561888 -0.68896346 -1.01254091 -1.24554991
  0.39032909  0.22516798 -0.12940356  0.00919048  0.        ]",[-2.69551611 -1.75956869],"[[ -8.16885562  -0.67741073  -0.11665953  -0.14387758]
 [-51.79451227   4.64746996   0.           0.        ]]",-2.07933,-0.0130379161582,[-2.50098414 -0.37119976]
16,[-0.55658668 -0.10560408],"[-1.46838011  0.70760874 -0.18672067 -0.56941032 -1.01254054 -1.24554935
  0.31296731  0.07499094 -0.57815827  1.12071191  0.        ]",[-2.74359798 -0.41779962],"[[ -9.23414385  -0.60004819  -0.11665953  -0.14387758]
 [-54.72461785   3.09397038   0.           0.        ]]",-1.20003,-0.187778052887,[-3.55976034 -1.05330703]
17,[-0.55658668 -0.10560408],"[-0.93234125  0.72346301  1.25912273 -0.53480232 -1.01254018 -1.24554878
  0.2371404  -0.31287966  0.20662095  2.14099204  0.        ]",[-3.3085742   6.36594582],"[[-10.35744979  -0.57842646  -0.11665953  -0.14387758]
 [-57.59659016  -0.91833974   0.           0.        ]]",1.66857,-0.33780183937,[-3.48356954  6.05405802]
18,[-0.55658668 -0.10560408],"[ 0.61057775  0.73880994  1.33692982 -0.49968079 -1.01253981 -1.24554821
  0.16273962  0.07254044  1.47976548  1.80485399  0.        ]",[-3.3010745   5.16740322],"[[-11.53765688  -0.55679161  -0.11665953  -0.14387758]
 [-60.41454735   3.06862012   0.           0.        ]]",0.270778,-0.386035901788,[-3.06446206  5.30441601]
19,[-0.55658668 -0.10560408],"[ 1.252768    0.8031673  -0.21049131 -0.33041148 -1.01253945 -1.24554765
  0.08983682  0.45032135  1.68607611  0.42218895  0.        ]",[-2.89234328 -1.61545455],"[[-12.77365334  -0.45620838  -0.11665953  -0.14387758]
 [-63.17576789   6.97655694   0.           0.        ]]",-2.26068,-0.306262399674,[-3.33161201 -1.66235368]
20,[-0.55658668 -0.10560408],"[-0.00446635  0.85459073 -1.36336101 -0.15632731 -1.01253908 -1.24554708
  0.018449    0.05496993  0.45752905 -0.29988697  0.        ]",[-2.7592473 -2.6961987],"[[-14.0642955   -0.35770872  -0.11665953  -0.14387758]
 [-65.8796077    2.88686459   0.           0.        ]]",-2.13365,-0.111482997757,[-2.75378249 -0.73541121]
21,[-0.55658668 -0.10560408],"[-1.43174744  0.86704988 -0.34043131 -0.10553164 -1.01253871 -1.24554651
 -0.05155707 -0.23132676 -0.61593853  0.80578116  0.        ]",[-2.65791535 -1.93723416],"[[-15.40849002  -0.32968592  -0.11665953  -0.14387758]
 [-68.53111351  -0.07471685   0.           0.        ]]",-1.65564,-0.14746036461,[-2.83994325 -3.06100194]
22,[-0.55658668 -0.10560408],"[-0.73854106  0.84842959  1.3854461  -0.17990369 -1.01253835 -1.24554595
 -0.12018739 -0.61317455  0.26117141  2.19215507  0.        ]",[-3.28242803  5.830441  ],"[[-16.80519122  -0.37081418  -0.11665953  -0.14387758]
 [-71.13051229  -4.02472187   0.           0.        ]]",1.76919,-0.347469808842,[-4.16874752  5.82182293]
23,[-0.55658668 -0.10560408],"[ 1.04304869  0.82839223  0.90702139 -0.25087828 -1.01253798 -1.24554538
 -0.18754058 -0.22175498  1.72349828  1.43919281  0.        ]",[-3.14822388  2.80233264],"[[ -1.82533983e+01  -4.10685897e-01  -1.16659534e-01  -1.43877581e-01]
 [ -7.36815392e+01   2.42954873e-02   0.00000000e+00   0.00000000e+00]]",-1.04831,-0.378294032047,[-2.90113002  3.20399402]
24,[-0.55658668 -0.10560408],"[ 0.75449455  0.84864    -1.05395459 -0.1791115  -1.01253762 -1.24554481
 -0.25353502  0.16197176  1.15322789 -0.1662083   0.        ]",[-2.81311393 -2.62581515],"[[-19.75210958  -0.37037281  -0.11665953  -0.14387758]
 [-76.18110357   3.99373491   0.           0.        ]]",-2.47631,-0.214620597447,[-2.40413148 -3.59678089]
25,[-0.55658668 -0.10560408],"[-1.17524867  0.86652004 -0.83882113 -0.10778186 -1.01253725 -1.24554425
 -0.31814619 -0.22751159 -0.46554867  0.33488551  0.        ]",[-2.66771197 -2.3965745 ],"[[ -2.13002833e+01  -3.30921563e-01  -1.16659534e-01  -1.43877581e-01]
 [ -7.86282757e+01  -3.52528470e-02   0.00000000e+00   0.00000000e+00]]",-1.78641,-0.0756908444094,[-2.04530616 -2.00747275]
26,[-0.55658668 -0.10560408],"[-0.96202404  0.84822127  1.23536639 -0.18068096 -1.01253689 -1.24554368
 -0.3815048  -0.60922909  0.04473475  2.10303482  0.        ]",[-3.19818354  4.78590679],"[[-22.8969242   -0.37124744  -0.11665953  -0.14387758]
 [-81.02800718  -3.98390767   0.           0.        ]]",1.74061,-0.3286664359,[-3.21354411  5.97926435]
27,[-0.55658668 -0.10560408],"[ 1.04657049  0.82860142  0.90154824 -0.25017333 -1.01253652 -1.24554311
 -0.44369051 -0.21764865  1.72548474  1.43410995  0.        ]",[-3.13433051  2.36978507],"[[ -2.45411177e+01  -4.10286623e-01  -1.16659534e-01  -1.43877581e-01]
 [ -8.33833146e+01   6.67713590e-02   0.00000000e+00   0.00000000e+00]]",-0.845185,-0.378089396881,[-3.54020351  2.90739963]
28,[-0.55658668 -0.10560408],"[ 0.52506314  0.84924243 -1.20824144 -0.17683942 -1.01253616 -1.24554255
 -0.50461631  0.16623596  0.93154555 -0.25793624  0.        ]",[-2.79645061 -2.76820946],"[[-26.23193852  -0.36910724  -0.11665953  -0.14387758]
 [-85.69090341   4.03784133   0.           0.        ]]",-2.24411,-0.181749527273,[-3.73626296 -1.87076153]
29,[-0.55658668 -0.10560408],"[-1.42908234  0.86744248 -0.34938568 -0.10384573 -1.01253579 -1.24554198
 -0.56425937 -0.22312563 -0.61493403  0.7969824   0.        ]",[-2.69599938 -1.91322684],"[[ -2.79684201e+01  -3.28760770e-01  -1.16659534e-01  -1.43877581e-01]
 [ -8.79499080e+01   1.01156591e-02   0.00000000e+00   0.00000000e+00]]",-1.64988,-0.146222234469,[-2.412284   -2.75706551]
30,[-0.55658668 -0.10560408],"[-0.23785562  0.84968879  1.53910151 -0.17515136 -1.01253542 -1.24554141
 -0.62275084 -0.6047245   0.71552915  2.235774    0.        ]",[-3.32804966  5.75856733],"[[-29.74964392  -0.36816735  -0.11665953  -0.14387758]
 [-90.16529656  -3.93730957   0.           0.        ]]",1.18941,-0.375167847776,[-2.5370277   5.78276461]
