timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.65195167 -0.40170994],"[ 1.28925515  1.01951554  0.00957813  0.67645932  1.34014672  1.0080595
  1.84332904 -0.2257521   0.23552214 -0.70872641  0.        ]",[-3.18057394 -6.4059248 ],"[[-0.05192482  0.00842203  0.15582495  0.11656406]
 [ 0.00488948 -0.00103849  0.          0.        ]]",-2.43687,-0.137553555868,[-3.08264899 -6.74892746]
1,[-0.65195167 -0.40170994],"[ 1.28531113  1.01890295 -0.04773201  0.60019454  1.34014633  1.00805929
  1.73826951 -0.57228432  0.22952132 -0.78747053  0.        ]",[-3.16337156 -6.40698671],"[[-0.09150306 -0.03131093  0.15582495  0.11656406]
 [-3.94955276 -3.95907126  0.          0.        ]]",-2.32181,-0.148896890512,[-2.61110617 -7.24964536]
2,[-0.65195167 -0.40170994],"[ 1.26075372  1.0045564  -0.21684895  0.37452149  1.34014594  1.00805908
  1.63528586 -0.91195751  0.18221877 -1.01683698  0.        ]",[-3.14256954 -6.38674736],"[[-0.20938601 -0.14941856  0.15582495  0.11656406]
 [-7.82586326 -7.83876211  0.          0.        ]]",-2.09198,-0.18163166739,[-3.3842039  -6.43010862]
3,[-0.65195167 -0.40170994],"[ 1.17915412  0.94049842 -0.4858278   0.01223702  1.34014555  1.00805887
  1.53432964 -1.24490238  0.01392654 -1.35808069  0.        ]",[-3.12197161 -6.17877197],"[[ -0.40402878  -0.34434912   0.15582495   0.11656406]
 [-11.62586455 -11.6416051    0.           0.        ]]",-2.52524,-0.231328295042,[-2.25705119 -5.14880962]
4,[-0.65195167 -0.40170994],"[ 0.98708533  0.77311675 -0.82110697 -0.44662719  1.34014516  1.00805866
  1.43534311 -1.57124037 -0.36595201 -1.69397397  0.        ]",[-3.18274879 -5.55908298],"[[ -0.67392626  -0.61457973   0.15582495   0.11656406]
 [-15.35172952 -15.36898832   0.           0.        ]]",-1.61506,-0.288475395028,[-3.40054359 -5.86846664]
5,[-0.65195167 -0.40170994],"[ 0.63108088  0.44670094 -1.15038815 -0.91076985  1.34014477  1.00805844
  1.33825941 -1.89108454 -0.95937284 -1.80690375  0.        ]",[-3.40757513 -4.56443977],"[[ -1.01762048  -0.95861421   0.15582495   0.11656406]
 [-19.00597454 -19.02220454   0.           0.        ]]",-1.69375,-0.336390613575,[-3.08436289 -3.71432703]
6,[-0.65195167 -0.40170994],"[ 0.09046647 -0.06520921 -1.35329428 -1.22270588  1.34014438  1.00805823
  1.24301181 -2.20454806 -1.55173917 -1.48805302  0.        ]",[-3.78488207 -3.2043035 ],"[[ -1.4337047   -1.37498204   0.15582495   0.11656406]
 [-22.59111087 -22.60254822   0.           0.        ]]",-1.34453,-0.351942932289,[-4.40716568 -2.26327525]
7,[-0.65195167 -0.40170994],"[-0.57649387 -0.71424074 -1.27888439 -1.17843844  1.34014399  1.00805802
  1.14955603 -2.51176342 -1.74314759 -0.82181827  0.        ]",[-4.15708113 -2.50949979],"[[ -1.92081577  -1.86224031   0.15582495   0.11656406]
 [-26.10880441 -26.11153425   0.           0.        ]]",-1.48927,-0.31361931681,[-4.43662434 -3.43173588]
8,[-0.65195167 -0.40170994],"[-1.19484364 -1.33747318 -0.80978594 -0.60928247  1.3401436   1.00805781
  1.05790163 -2.81290766 -1.3630193  -0.35665836  0.        ]",[-4.48168516 -2.49552083],"[[ -2.47760553  -2.41898103   0.15582495   0.11656406]
 [-29.55869556 -29.55118687   0.           0.        ]]",-2.63422,-0.22558623412,[-4.32384858 -3.07798996]
9,[-0.65195167 -0.40170994],"[-1.48926176 -1.66763789  0.02846794  0.47294337  1.34014321  1.0080576
  0.96813802 -2.58864478 -0.96001029 -0.57739204  0.        ]",[-4.34780169 -4.10853434],"[[ -3.10269134  -3.04384322   0.15582495   0.11656406]
 [-32.93741816 -26.98971296   0.           0.        ]]",-2.65082,-0.180737842645,[-4.8045297  -3.65639118]
