timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.56927627 -0.04283049],"[ 1.27599316  0.9193337   0.0221132   0.45261984 -0.7905713  -0.36503047
  1.71401482 -0.22139656  1.67733969  0.27139145  0.        ]",[-2.58536816 -0.1568024 ],"[[-0.04764875 -0.00843016 -0.09106374 -0.04223596]
 [ 0.00301495  0.00063655  0.          0.        ]]",-1.91221,-0.302402301691,[-2.07755846 -0.5259268 ]
1,[-0.56927627 -0.04283049],"[ 1.27228937  0.91881584 -0.03556495  0.41257948 -0.79057102 -0.36503037
  1.60971392 -0.43155096  1.67238703  0.20626266  0.        ]",[-2.58301497 -0.06040251],"[[-0.08727143 -0.02929604 -0.09106374 -0.04223596]
 [-3.95211722 -2.08029479  0.          0.        ]]",-1.84026,-0.300652720287,[-2.46280566 -0.81375332]
2,[-0.56927627 -0.04283049],"[ 1.24847428  0.9124378  -0.20571026  0.27183764 -0.79057074 -0.36503028
  1.50748687 -0.75264325  1.63616114  0.00788635  0.        ]",[-2.57687974  0.02314693],"[[-0.20520769 -0.10280218 -0.09106374 -0.04223596]
 [-7.82861578 -5.25972411  0.          0.        ]]",-1.69047,-0.294014565151,[-3.35024389 -1.33986904]
3,[-0.56927627 -0.04283049],"[  1.16816612e+00   8.79581002e-01  -4.76458858e-01   1.60157167e-04
  -7.90570454e-01  -3.65030192e-01   1.40728450e+00  -1.14185256e+00
   1.50169945e+00  -3.09106802e-01   0.00000000e+00]",[-2.5631609   0.15753105],"[[ -0.39990322  -0.24666442  -0.09106374  -0.04223596]
 [-11.62834384  -9.11364479   0.           0.        ]]",-1.77483,-0.278192202496,[-1.96290333  1.28203663]
4,[-0.56927627 -0.04283049],"[ 0.97793729  0.82194789 -0.81432344 -0.25625156 -0.79057017 -0.3650301
  1.308978   -0.72358148  1.22189588 -0.63362795  0.        ]",[-2.48719549 -1.20321715],"[[ -0.66987267  -0.38738279  -0.09106374  -0.04223596]
 [-15.35618535  -4.97196497   0.           0.        ]]",-1.42849,-0.251649145692,[-1.90716814 -3.45731151]
5,[-0.56927627 -0.04283049],"[ 0.62420897  0.74193785 -1.14681001 -0.49408681 -0.79056989 -0.36503001
  1.21268628 -1.11332914  0.77361286 -0.8609829   0.        ]",[-2.45726252 -1.06940305],"[[ -1.01363109  -0.52554376  -0.09106374  -0.04223596]
 [-19.00762919  -8.83121601   0.           0.        ]]",-1.24496,-0.212169320369,[-2.16175305 -0.41582391]
6,[-0.56927627 -0.04283049],"[ 0.08600935  0.59570713 -1.35298943 -0.79230114 -0.7905696  -0.36502992
  1.11825397 -1.26171486  0.17137713 -0.83911813  0.        ]",[-2.44697523 -0.43942454],"[[ -1.42971071  -0.71691107  -0.09106374  -0.04223596]
 [-22.58856759 -10.30052491   0.           0.        ]]",-0.953539,-0.155745756135,[-2.34453517 -1.14061151]
7,[-0.56927627 -0.04283049],"[-0.57906282  0.35799101 -1.2810614  -1.10411508 -0.79056932 -0.36502983
  1.02567118 -1.64069456 -0.38404607 -0.41760451  0.        ]",[-2.49969196  2.0037353 ],"[[ -1.91670346  -0.96057436  -0.09106374  -0.04223596]
 [-26.09937345 -14.05316103   0.           0.        ]]",-1.0972,-0.0943201427872,[-3.26865536  2.617201  ]
8,[-0.56927627 -0.04283049],"[-1.19717748  0.08208396 -0.81256651 -1.31943168 -0.79056904 -0.36502974
  0.93483266 -1.21231979 -0.58010283  0.29995479  0.        ]",[-2.58688593  4.37505245],"[[ -2.47325312  -1.19908054  -0.09106374  -0.04223596]
 [-29.54403852  -9.81143758   0.           0.        ]]",-1.12701,-0.0897964088715,[-2.18157971  3.17269583]
9,[-0.56927627 -0.04283049],"[-1.49416819 -0.11213361  0.02803617 -1.4054098  -0.79056876 -0.36502964
  0.84581107 -0.79233222 -0.31442253  0.9663071   0.        ]",[-2.88062453  6.27724695],"[[ -3.09800561  -1.35358549  -0.09106374  -0.04223596]
 [-32.91980633  -5.6527593    0.           0.        ]]",0.305219,-0.14888113064,[-2.59809756  5.60921709]
10,[-0.56927627 -0.04283049],"[-1.21442528 -0.20542702  0.97231648 -1.4303493  -0.79056847 -0.36502955
  0.7585795  -0.38056333  0.28407192  1.30385016  0.        ]",[-3.0948596   7.23301077],"[[ -3.78959282  -1.42573345  -0.09106374  -0.04223596]
 [-36.22769648  -1.57546023   0.           0.        ]]",2.64537,-0.209121029459,[-4.04943014  9.31147743]
11,[-0.56927627 -0.04283049],"[-0.33768407 -0.19424741  1.53072276 -1.42789267 -0.79056819 -0.36502946
  0.67310711  0.02315506  0.9597116   1.15871127  0.        ]",[-3.0719769   7.00175095],"[[ -4.54666874  -1.41713533  -0.09106374  -0.04223596]
 [-39.46887879   2.42212382   0.           0.        ]]",2.57552,-0.250616254312,[-3.35261957  8.9425709 ]
12,[-0.56927627 -0.04283049],"[ 0.73622988 -0.08112621  1.24828375 -1.39484196 -0.79056791 -0.36502937
  0.58936157  0.41898595  1.39414555  0.55429671  0.        ]",[-2.79486752  4.91900587],"[[ -5.36791141e+00  -1.32936913e+00  -9.10637395e-02  -4.22359609e-02]
 [ -4.26445785e+01   6.34160672e+00   0.00000000e+00   0.00000000e+00]]",-0.269741,-0.264265615741,[-2.5766859   3.60662577]
13,[-0.56927627 -0.04283049],"[ 1.27689241  0.12477969  0.13707235 -1.29386306 -0.79056762 -0.36502928
  0.5073086   0.80707383  1.30541766 -0.25554839  0.        ]",[-2.51104641  0.04662868],"[[ -6.25202395e+00  -1.16398210e+00  -9.10637395e-02  -4.22359609e-02]
 [ -4.57560950e+01   1.01844201e+01   0.00000000e+00   0.00000000e+00]]",-1.63699,-0.243782854445,[-2.02516283 -0.6046104 ]
