timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.5455302  -0.06877179],"[ 1.28023786  0.93057334  0.03952466  0.58948371 -1.63610184  1.56840852
  1.74497452 -0.22359232  2.25971237 -1.05437601  0.        ]",[-2.62166452 -2.93930912],"[[-0.03460717  0.04562613 -0.18871982  0.18176094]
 [ 0.00412313 -0.00138699  0.          0.        ]]",-0.594356,-0.439071411223,[-1.9706129  -5.20154197]
1,[-0.5455302  -0.06877179],"[ 1.27725001  0.93192092 -0.01808321  0.51304483 -1.6361007   1.56840749
  1.64062098 -0.61137479  2.25696767 -1.1325097   0.        ]",[-2.62690258 -2.56952286],"[[-0.07420059  0.00588626 -0.18871982  0.18176094]
 [-3.95030273 -3.95941415  0.          0.        ]]",-0.298092,-0.444112757596,[-3.14136332 -3.69181506]
2,[-0.5455302  -0.06877179],"[ 1.25554418  0.92365732 -0.18826868  0.28621697 -1.63609955  1.56840646
  1.53833001 -0.99148189  2.21943777 -1.36151833  0.        ]",[-2.62902284 -2.33266258],"[[-0.19209821 -0.11222819 -0.18871982  0.18176094]
 [-7.82657489 -7.83910197  0.          0.        ]]",-0.216889,-0.4562843091,[-2.64912587 -3.47056242]
3,[-0.5455302  -0.06877179],"[ 1.17857819  0.87029359 -0.45970196 -0.08009223 -1.63609841  1.56840542
  1.438054   -1.36406     2.06647301 -1.70700049  0.        ]",[-2.62044811 -2.0772965 ],"[[ -0.3867545   -0.30716556  -0.18871982   0.18176094]
 [-11.62649683 -11.64194656   0.           0.        ]]",0.00121188,-0.466777204685,[-2.90739512 -1.25987822]
4,[-0.5455302  -0.06877179],"[ 0.99249816  0.71841208 -0.799665   -0.54862958 -1.63609726  1.56840439
  1.33973587 -1.72924488  1.70291456 -2.05732588  0.        ]",[-2.60725403 -1.53502727],"[[ -0.65666341  -0.57740305  -0.18871982   0.18176094]
 [-15.35223101 -15.36933619   0.           0.        ]]",0.232226,-0.461229560208,[-1.78467303 -1.46318934]
5,[-0.5455302  -0.06877179],"[ 0.64277546  0.41123795 -1.13656495 -1.03089493 -1.63609612  1.56840336
  1.24330891 -2.08716244  1.11668838 -2.19665933  0.        ]",[-2.61894703 -0.10979423],"[[ -1.00036598  -0.92144457  -0.18871982   0.18176094]
 [-19.00630365 -19.0225593    0.           0.        ]]",0.766135,-0.422265395795,[-2.73649256  0.12038374]
6,[-0.5455302  -0.06877179],"[ 0.10679471 -0.02438044 -1.34997013 -1.34891568 -1.63609497  1.56840232
  1.14869545 -2.00330304  0.52257448 -1.9338631   0.        ]",[-2.62196755  1.45935392],"[[ -1.41646247  -1.29330906  -0.18871982   0.18176094]
 [-22.591658   -18.16664018   0.           0.        ]]",0.635052,-0.342827406714,[-3.07275644  2.58042306]
7,[-0.5455302  -0.06877179],"[-0.55977825 -0.44112996 -1.28734561 -1.42078758 -1.63609382  1.56840129
  1.05592143 -1.57981262  0.22476201 -1.37477123  0.        ]",[-2.61888528  2.75080419],"[[ -1.9035704   -1.6132739   -0.18871982   0.18176094]
 [-26.10731028 -13.84415369   0.           0.        ]]",-0.0719023,-0.24199478529,[-2.07337426  3.18800282]
8,[-0.5455302  -0.06877179],"[-1.18430118 -0.74520251 -0.8278341  -1.3492519  -1.63609268  1.56840026
  0.96500759 -1.16465465  0.3076439  -0.80526108  0.        ]",[-2.65482569  3.99975896],"[[ -2.46028485  -1.84764215  -0.18871982   0.18176094]
 [-29.55247374  -9.60670851   0.           0.        ]]",-0.714802,-0.158799951023,[-2.92499871  2.75928817]
9,[-0.5455302  -0.06877179],"[-1.49187097 -0.93104267  0.00782435 -1.24950795 -1.63609153  1.56839922
  0.87592291 -0.75766659  0.66745822 -0.44298549  0.        ]",[-2.72884822  5.12909555],"[[ -3.08520722  -1.99809816  -0.18871982   0.18176094]
 [-32.92832318  -5.45264902   0.           0.        ]]",-0.886361,-0.154211319798,[-3.31375752  3.20255474]
10,[-0.5455302  -0.06877179],"[-1.22329213 -1.01145566  0.95478473 -1.19109834 -1.63609039  1.56839819
  0.78863122 -0.35867827  1.13356016 -0.38556591  0.        ]",[-2.85561228  5.99905157],"[[ -3.77696483  -2.06629248  -0.18871982   0.18176094]
 [-36.2362297   -1.38024031   0.           0.        ]]",0.927657,-0.22107656478,[-3.7213504   6.60427058]
11,[-0.5455302  -0.06877179],"[-0.35243038 -0.99697782  1.52411406 -1.20235936 -1.63608924  1.56839716
  0.70309705  0.03249118  1.53567158 -0.63716403  0.        ]",[-2.86845517  5.81457043],"[[ -4.53421244  -2.05383984  -0.18871982   0.18176094]
 [-39.47753584   2.61236249   0.           0.        ]]",-0.188353,-0.299455336544,[-2.3672964   4.95991614]
12,[-0.5455302  -0.06877179],"[ 0.72575093 -0.88781021  1.25596328 -1.27691233 -1.6360881   1.56839613
  0.61928864  0.41603056  1.70648939 -1.13027268  0.        ]",[-2.75253439  3.05529547],"[[ -5.35563033  -1.96231716  -0.18871982   0.18176094]
 [-42.65344609   6.52708664   0.           0.        ]]",-0.899785,-0.362616428529,[-1.29041371  2.37093366]
13,[-0.5455302  -0.06877179],"[ 1.27976911 -0.67580476  0.15297233 -1.3750988  -1.63608695  1.56839509
  0.5371776   0.79212631  1.49494385 -1.68137655  0.        ]",[-2.57397938 -1.25337243],"[[ -6.23992147  -1.79326282  -0.18871982   0.18176094]
 [-45.76503504  10.3658359    0.           0.        ]]",0.476419,-0.392403201135,[-3.20030129 -0.85643782]
14,[-0.5455302  -0.06877179],"[ 0.75317038 -0.45251867 -1.05391837 -1.42000337 -1.63608581  1.56839406
  0.45673116  0.44076147  0.85748223 -1.91717903  0.        ]",[-2.50136137 -2.8189733 ],"[[ -7.1858079   -1.62193146  -0.18871982   0.18176094]
 [-48.8135446    6.77951474   0.           0.        ]]",0.646082,-0.361696521214,[-3.16724354 -3.10112549]
15,[-0.5455302  -0.06877179],"[-0.56673567 -0.32792657 -1.28479838 -1.42069801 -1.63608466  1.56839303
  0.37785462  0.04080146  0.20459265 -1.4253769   0.        ]",[-2.45502639 -2.18979025],"[[ -8.19206636  -1.52730274  -0.18871982   0.18176094]
 [-51.80256346   2.69719051   0.           0.        ]]",-0.18895,-0.249290656634,[-2.20739126 -2.00998218]
16,[-0.5455302  -0.06877179],"[-1.47471375 -0.30976451 -0.15264321 -1.41935887 -1.63608352  1.56839199
  0.30049807 -0.35110918  0.29501784 -0.48179549  0.        ]",[-2.58376646  2.14896011],"[[ -9.25752646  -1.51349616  -0.18871982   0.18176094]
 [-54.73398261  -1.30297521   0.           0.        ]]",-1.1269,-0.112330326019,[-1.73132649  0.20946578]
17,[-0.5455302  -0.06877179],"[-0.90653253 -0.33257517  1.28058191 -1.42097993 -1.63608237  1.56839096
  0.22462933 -0.2659328   1.19592066 -0.12360048  0.        ]",[-2.90145397  5.8081851 ],"[[-10.38105293  -1.53083522  -0.18871982   0.18176094]
 [-57.60902142  -0.43359512   0.           0.        ]]",1.65556,-0.220825265511,[-2.62770963  6.4249718 ]
18,[-0.5455302  -0.06877179],"[ 0.63751533 -0.29141906  1.31998504 -1.41763213 -1.63608123  1.56838993
  0.15027906  0.12437119  1.90868191 -0.84198672  0.        ]",[-2.80231762  2.70692015],"[[-11.56150561  -1.4995391   -0.18871982   0.18176094]
 [-60.42651811   3.55016991   0.           0.        ]]",-0.192416,-0.370670488378,[-2.49785649  1.84589547]
19,[-0.5455302  -0.06877179],"[ 1.24409716 -0.14750751 -0.24419714 -1.39092393 -1.63608008  1.56838889
  0.07745395  0.50708328  1.56307133 -1.85948719  0.        ]",[-2.55818629 -2.84130192],"[[-12.79772833  -1.38934494  -0.18871982   0.18176094]
 [-63.18621866   7.45644605   0.           0.        ]]",0.313296,-0.421499370627,[-2.76093643 -2.20969102]
20,[-0.5455302  -0.06877179],"[-0.03910254 -0.00912196 -1.36557017 -1.34241171 -1.63607894  1.56838786
  0.00611783  0.10645994  0.43772006 -1.88159146  0.        ]",[-2.52728128 -3.20259786],"[[-14.08857249  -1.28124498  -0.18871982   0.18176094]
 [-65.88949438   3.36735496   0.           0.        ]]",0.0969288,-0.330570325028,[-2.54402545 -3.43084778]
21,[-0.5455302  -0.06877179],"[-1.44193846  0.02499651 -0.3057596  -1.32682168 -1.63607779  1.56838683
 -0.06385839 -0.28611821  0.09150115 -0.64490178  0.        ]",[-2.51718283 -0.11561702],"[[-15.43296455  -1.25410339  -0.18871982   0.18176094]
 [-68.54123682  -0.63962031   0.           0.        ]]",-0.901189,-0.121665916224,[-2.13128961  0.13484287]
22,[-0.5455302  -0.06877179],"[-0.70863756  0.01609605  1.40282678 -1.33103123 -1.63607665  1.5683858
 -0.1325033  -0.23053513  1.23627226 -0.0182264   0.        ]",[-2.90081835  4.84165859],"[[-16.82988938  -1.26120621  -0.18871982   0.18176094]
 [-71.14252927  -0.07229442   0.           0.        ]]",1.71602,-0.225740244423,[-2.86483246  4.88344545]
23,[-0.5455302  -0.06877179],"[ 1.06076942  0.06410655  0.87783154 -1.30709627 -1.6360755   1.56838476
 -0.19977612  0.15971265  2.03352121 -1.11839479  0.        ]",[-2.70788574 -0.16733803],"[[-18.27832181  -1.22268956  -0.18871982   0.18176094]
 [-73.69182684   3.91089356   0.           0.        ]]",-0.214327,-0.409407545418,[-2.50756761 -0.51648037]
24,[-0.5455302  -0.06877179],"[ 0.72564375  0.13409876 -1.07615461 -1.26664723 -1.63607436  1.56838373
 -0.26566272 -0.04595888  1.05125076 -2.12196509  0.        ]",[-2.59033871 -3.22174621],"[[-19.77720727  -1.16553586  -0.18871982   0.18176094]
 [-76.18859355   1.81164223   0.           0.        ]]",0.347829,-0.406313758089,[-2.99960601 -4.09134452]
25,[-0.5455302  -0.06877179],"[-1.19788884  0.12972307 -0.80994895 -1.26937536 -1.63607321  1.5683827
 -0.33027975 -0.43501287 -0.01116496 -1.09401957  0.        ]",[-2.46572709 -1.93663359],"[[-21.32554309  -1.16914796  -0.18871982   0.18176094]
 [-78.63725035  -2.15936008   0.           0.        ]]",-0.62474,-0.190932812852,[-2.92001027 -2.09699044]
26,[-0.5455302  -0.06877179],"[-0.93465701  0.02841204  1.25917942 -1.32517545 -1.63607207  1.56838166
 -0.39368994 -0.81617503  1.041832    0.00972148  0.        ]",[-2.98525667  5.91039753],"[[-22.92239236  -1.25137324  -0.18871982   0.18176094]
 [-81.04017445  -6.04981306   0.           0.        ]]",1.53107,-0.192554884149,[-2.71092575  4.91586951]
27,[-0.5455302  -0.06877179],"[ 1.06476374 -0.07256658  0.87126629 -1.36752038 -1.63607092  1.56838063
 -0.45589959 -0.4136873   1.98719278 -1.17977718  0.        ]",[-2.79573727  1.60848117],"[[-24.56685341  -1.33115514  -0.18871982   0.18176094]
 [-83.39760447  -1.94169792   0.           0.        ]]",0.0505178,-0.407413653762,[-3.1478657  2.0489373]
28,[-0.5455302  -0.06877179],"[ 0.49150265 -0.07053972 -1.22501284 -1.36679366 -1.63606978  1.5683796
 -0.51680275 -0.01898199  0.7736719  -2.02717794  0.        ]",[-2.60383415 -2.71730614],"[[-26.25796644  -1.32957075  -0.18871982   0.18176094]
 [-85.70552549   2.08698388   0.           0.        ]]",-0.0529325,-0.371922160568,[-1.35257976 -2.07465849]
29,[-0.5455302  -0.06877179],"[-1.44019723 -0.06808787 -0.31218352 -1.36590806 -1.63606863  1.56837856
 -0.57645369 -0.40781296  0.13021526 -0.6228762   0.        ]",[-2.59393191  0.54961389],"[[-27.99475203  -1.32765331  -0.18871982   0.18176094]
 [-87.96599434  -1.88173986   0.           0.        ]]",-0.695432,-0.120112276316,[-3.04823037 -0.08735879]
30,[-0.5455302  -0.06877179],"[-0.20189721 -0.11997171  1.54373519 -1.38309181 -1.63606749  1.56837753
 -0.63498889 -0.43471957  1.60580673 -0.24323064  0.        ]",[-3.0580101   5.77275038],"[[-29.77632718  -1.36804686  -0.18871982   0.18176094]
 [-90.18418311  -2.15637133   0.           0.        ]]",1.22078,-0.292560379785,[-2.56083099  4.27397612]
31,[-0.5455302  -0.06877179],"[ 1.25716082 -0.12334515 -0.17939676 -1.38409747 -1.63606634  1.5683765
 -0.69235281 -0.03908506  1.61022598 -1.83283135  0.        ]",[-2.67147017 -1.60159254],"[[-31.60182659  -1.37066092  -0.18871982   0.18176094]
 [-92.3579873    1.88179241   0.           0.        ]]",0.176769,-0.423688528276,[-2.57284416 -2.49890375]
32,[-0.5455302  -0.06877179],"[-0.75170641 -0.12604685 -1.20017111 -1.38489305 -1.6360652   1.56837547
 -0.74853635 -0.4269985   0.1242696  -1.39540767  0.        ]",[-2.54551697 -1.66459274],"[[-33.47034266  -1.37275344  -0.18871982   0.18176094]
 [-94.48706151  -2.07756419   0.           0.        ]]",-0.473525,-0.242101691231,[-2.60316701 -0.96010705]
33,[-0.5455302  -0.06877179],"[-1.04954584 -0.2286251   1.15890289 -1.40886075 -1.63606405  1.56837443
 -0.80369593 -0.79156453  1.04048795 -0.07110616  0.        ]",[-3.10755444  6.43076086],"[[-35.38105048  -1.45164294  -0.18871982   0.18176094]
 [-96.57733435  -5.79861951   0.           0.        ]]",2.27985,-0.193552799452,[-3.23449911  7.01055218]
34,[-0.5455302  -0.06877179],"[ 1.18919623 -0.32663659  0.61137978 -1.42060075 -1.63606291  1.5683734
 -0.85780402 -0.38831041  1.83100027 -1.44188374  0.        ]",[-2.84918666  1.88023043],"[[-37.33317568  -1.52632207  -0.18871982   0.18176094]
 [-98.62776187  -1.68268631   0.           0.        ]]",-0.128712,-0.408899189819,[-2.53286267 -0.86050299]
35,[-0.5455302  -0.06877179],"[-0.18412185 -0.41496005 -1.36500892 -1.4220113  -1.63606176  1.56837237
 -0.91080062 -0.71461888  0.34130285 -1.60303854  0.        ]",[-2.61468744 -0.57545525],"[[ -39.32587561   -1.59339539   -0.18871982    0.18176094]
 [-100.6360712    -5.01325301    0.            0.        ]]",-0.171886,-0.282686601286,[-3.22801928  1.62427146]
