timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.0779417220506,[-0.28590602 -0.10885088],[-0.7597903  -0.64558899],0.22589,"[ 0.95392986  2.18052024  0.23072425  1.16883588  1.66290572 -0.47544433
 -0.41382417  0.39333378 -0.07781523  0.79668496  0.        ]","[[ 0.05876628  0.07631316  0.19251636 -0.05552949]
 [-0.0030836   0.00362734  0.          0.        ]]",[-1.49002468 -1.28246385]
1,-0.0658726748621,[-0.28590602 -0.10885088],[-0.11665004 -0.08898017],0.216316,"[ 0.95623622  2.18363641  0.16903641  1.03717871  1.66290261 -0.47544404
 -0.60935175 -0.18328998 -0.0702705   0.68154146  0.        ]","[[ 0.01903012  0.03667256  0.19251636 -0.05552949]
 [-3.95736854 -3.95450111  0.          0.        ]]",[-0.4410931   0.64561884]
2,-0.0411992458132,[-0.28590602 -0.10885088],[ 0.30218205 -0.07880938],0.345432,"[ 0.95209855  2.18439014  0.02018656  0.86205665  1.6628995  -0.47544375
 -0.69181204  0.20062622 -0.074708    0.44582703  0.        ]","[[-0.07684935 -0.01597641  0.19251636 -0.05552949]
 [-5.62502446 -1.31917949  0.          0.        ]]",[ 1.53486418  0.34543591]
3,-0.0259118709588,[-0.28590602 -0.10885088],[ 0.19295931 -0.2515434 ],0.47734,"[ 0.94006006  2.18399972 -0.09048285  0.82076794  1.66289639 -0.47544346
 -0.49073007  0.4034614  -0.09040434  0.29757735  0.        ]","[[-0.14854848 -0.02839039  0.19251636 -0.05552949]
 [-1.55842639  0.07314561  0.          0.        ]]",[-0.71245434  0.5631588 ]
4,-0.0174159290902,[-0.28590602 -0.10885088],[ 0.40795639 -0.38242149],0.505912,"[ 0.92441349  2.18454117 -0.18091098  0.90003924  1.66289328 -0.47544317
 -0.62860916  0.72825844 -0.10416569  0.2099948   0.        ]","[[-0.2076941  -0.00455804  0.19251636 -0.05552949]
 [-4.34684773  2.30265594  0.          0.        ]]",[ 1.07315179 -0.05844514]
5,-0.0136007758105,[-0.28590602 -0.10885088],[ 0.22214648 -0.52588207],0.555653,"[ 0.9085649   2.1835048  -0.25105776  1.04391551  1.66289017 -0.47544288
 -0.42874519  0.68767493 -0.11285573  0.1658156   0.        ]","[[-0.25407683  0.0387      0.19251636 -0.05552949]
 [-0.30488361  2.02408178  0.          0.        ]]",[-0.66062314 -0.32224892]
6,-0.0112330861642,[-0.28590602 -0.10885088],[ 0.54094017 -0.36058286],0.517435,"[ 0.89570954  2.18150684 -0.29934853  1.13456626  1.66288706 -0.47544259
 -0.55764414  0.49609859 -0.12033697  0.13273889  0.        ]","[[-0.28632934  0.06598749  0.19251636 -0.05552949]
 [-2.91169079  0.70904574  0.          0.        ]]",[ 1.16533421  0.07841655]
7,-0.0103092001369,[-0.28590602 -0.10885088],[ 0.27440363 -0.52440524],0.572805,"[ 0.88790092  2.17971947 -0.32605458  1.19142565  1.66288395 -0.4754423
 -0.35919446  0.53906033 -0.12450419  0.11623373  0.        ]","[[-0.30429594  0.08312722  0.19251636 -0.05552949]
 [ 1.10166915  1.00395045  0.          0.        ]]",[-1.05283407 -0.75274409]
8,-0.00951524771954,[-0.28590602 -0.10885088],[ 0.77381021 -0.11509663],0.510896,"[ 0.87968091  2.18080309 -0.35245932  1.15822567  1.66288085 -0.47544201
 -0.55582169  0.10217753 -0.13416676  0.07371473  0.        ]","[[-0.32216006  0.0731174   0.19251636 -0.05552949]
 [-2.87484397 -1.9949431   0.          0.        ]]",[ 1.31360752 -0.04455381]
9,-0.0128937987106,[-0.28590602 -0.10885088],[ 0.59995925 -0.14416057],0.50302,"[ 0.87132182  2.1838178  -0.37778585  1.02106693  1.66287774 -0.47544172
 -0.35739961  0.08200432 -0.15200463  0.00249649  0.        ]","[[-0.33939533  0.03182913  0.19251636 -0.05552949]
 [ 1.13795476 -2.13341769  0.          0.        ]]",[ 1.4811825   1.26166723]
10,-0.0103689302195,[-0.28590602 -0.10885088],[-0.08081403 -0.65102267],0.566572,"[ 0.89950204  2.18391949 -0.28570351  1.01264616  1.66287463 -0.47544143
 -0.16298169  0.66477319 -0.12378728  0.1138374   0.        ]","[[-0.27718717  0.02929703  0.19251636 -0.05552949]
 [ 5.0697757   1.86688108  0.          0.        ]]",[-0.44171706 -0.42928641]
11,-0.0249282505268,[-0.28590602 -0.10885088],[-0.16723084 -0.54300368],0.500904,"[ 0.92839421  2.1828226  -0.16055295  1.07885987  1.66287152 -0.47544114
 -0.25430986  0.41186339 -0.09207524  0.28804804  0.        ]","[[-0.19432295  0.04921638  0.19251636 -0.05552949]
 [ 3.22279316  0.13083657  0.          0.        ]]",[-0.28219769 -1.1502616 ]
12,-0.03133014455,[-0.28590602 -0.10885088],[-0.05844992 -0.15827839],0.393238,"[ 0.94153334  2.1844038  -0.07993954  0.95539285  1.66286841 -0.47544085
 -0.31258588 -0.16528635 -0.08355297  0.35062746  0.        ]","[[-0.14169179  0.01208387  0.19251636 -0.05552949]
 [ 2.04424204 -3.83088537  0.          0.        ]]",[ 0.11455686  0.80339667]
13,-0.0356249729518,[-0.28590602 -0.10885088],[-0.2556392  -0.36362913],0.441031,"[ 0.94952374  2.18379152 -0.01050352  0.80922914  1.6628653  -0.47544056
 -0.29223925  0.30916995 -0.07934506  0.39231245  0.        ]","[[-0.09667852 -0.03185727  0.19251636 -0.05552949]
 [ 2.45571966 -0.57408166  0.          0.        ]]",[-0.40241963 -0.04316576]
14,-0.0407206180376,[-0.28590602 -0.10885088],[-0.20728171 -0.29270583],0.406401,"[ 0.95343646  2.18308502  0.04006794  0.76575984  1.66286219 -0.47544027
 -0.37335419  0.28601857 -0.07538319  0.44141724  0.        ]","[[-0.06402308 -0.04493334  0.19251636 -0.05552949]
 [ 0.8152854  -0.73299817  0.          0.        ]]",[ 0.32351309 -0.44753063]
15,-0.0430843777718,[-0.28590602 -0.10885088],[-0.29654515 -0.1591776 ],0.356801,"[ 0.95557863  2.18032824  0.0850553   0.65851407  1.66285908 -0.47543998
 -0.31083598  0.02990798 -0.07459298  0.46445607  0.        ]","[[-0.03503191 -0.07723206  0.19251636 -0.05552949]
 [ 2.07961993 -2.49101221  0.          0.        ]]",[-0.35856846  1.52035412]
16,-0.0474380397845,[-0.28590602 -0.10885088],[-0.3752228  -0.42154112],0.436413,"[ 0.95644491  2.17922558  0.12688958  0.62671104  1.66285597 -0.47543969
 -0.38308531  0.61401456 -0.07263956  0.50621539  0.        ]","[[-0.0080996  -0.08682395  0.19251636 -0.05552949]
 [ 0.61848082  1.51845822  0.          0.        ]]",[-0.0500884  -1.23177824]
17,-0.0484676218,[-0.28590602 -0.10885088],[-0.25870824 -0.09366855],0.428136,"[ 0.95648945  2.17798598  0.14285289  0.59471076  1.66285286 -0.4754394
 -0.39341143  0.03280668 -0.07256511  0.5161997   0.        ]","[[  2.17476830e-03  -9.64834315e-02   1.92516362e-01  -5.55294920e-02]
 [  4.09646034e-01  -2.47111052e+00   0.00000000e+00   0.00000000e+00]]",[-1.33133191 -1.69659775]
