timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.372258717261,[-0.01342013 -0.19314776],[ 1.019454   -1.85802972],-0.873554,"[ 1.1103816   1.96990866 -0.23607501  0.91503425 -1.21320149  1.14364193
 -0.93285497  0.35415601  2.20715741 -1.13071057  0.        ]","[[-0.08863097  0.08044074 -0.13468169  0.13182462]
 [-0.00096619 -0.00205494  0.          0.        ]]",[ 3.05442842 -2.4968925 ]
1,-0.371028811214,[-0.01342013 -0.19314776],[ 0.97101003 -1.84030426],-1.04285,"[ 1.1141282   1.97304355 -0.17581068  0.79729653 -1.21319365  1.14363503
 -0.67083834 -0.19258518  2.20905829 -1.09918174  0.        ]","[[-0.04894415  0.04065678 -0.13468169  0.13182462]
 [ 3.95646642 -3.96313577  0.          0.        ]]",[-0.32890044 -1.68572165]
2,-0.370673982084,[-0.01342013 -0.19314776],[ 0.9465391  -1.82720089],-1.0968,"[ 1.11558525  1.97015866 -0.07643472  0.44710501 -1.21318581  1.14362813
 -0.76205984 -0.72821545  2.20834697 -1.09343206  0.        ]","[[ 0.01636091 -0.07754117 -0.13468169  0.13182462]
 [ 2.57862112 -7.84372681  0.          0.        ]]",[ 0.52249832 -0.82402542]
3,-0.370997705432,[-0.01342013 -0.19314776],[ 0.92974466 -1.78850603],-0.856067,"[ 1.11041783  1.92804763  0.03270252 -0.10149539 -1.21317797  1.14362123
 -0.62850694 -1.15724043  2.19485491 -1.13753802  0.        ]","[[  0.08817184  -0.26560214  -0.13468169   0.13182462]
 [  4.59574993 -10.95200301   0.           0.        ]]",[ 1.08503715 -2.74171084]
4,-0.366325327046,[-0.01342013 -0.19314776],[ 0.89477205 -1.71990895],-1.0224,"[ 1.08292788  1.79909772  0.22918581 -0.8021337  -1.21317013  1.14361433
 -0.3725108  -1.67402012  2.15726183 -1.14180464  0.        ]","[[  0.21888039  -0.52220858  -0.13468169   0.13182462]
 [  8.46225546 -14.69612226   0.           0.        ]]",[ 0.39968173 -0.86170304]
5,-0.354783167886,[-0.01342013 -0.19314776],[ 0.87226343 -1.61850667],-0.731998,"[ 1.00588635  1.5302099   0.49468589 -1.54573422 -1.21316229  1.14360743
 -0.2788249  -2.10481533  2.07706225 -1.11833454  0.        ]","[[  0.40232261  -0.84744829  -0.13468169   0.13182462]
 [  9.87725631 -17.81740629   0.           0.        ]]",[ 2.64236095 -2.05435367]
6,-0.334005611874,[-0.01342013 -0.19314776],[ 0.83551008 -1.4601922 ],-0.616406,"[ 0.84539275  1.08769378  0.80479591 -2.12739485 -1.21315445  1.14360053
 -0.02970641 -2.6026767   1.93291992 -1.07513396  0.        ]","[[  0.63761817  -1.23999159  -0.13468169   0.13182462]
 [ 13.63988099 -21.42477689   0.           0.        ]]",[ 1.53292753 -1.82431397]
7,-0.300781855351,[-0.01342013 -0.19314776],[ 0.77982378 -1.26650882],-0.43219,"[ 0.54303401  0.48702809  1.13454862 -2.26186627 -1.21314661  1.14359363
  0.21453632 -3.09052346  1.70139222 -1.00735602  0.        ]","[[  0.94742698  -1.70395752  -0.13468169   0.13182462]
 [ 17.3288638  -24.95987978   0.           0.        ]]",[-0.64266302 -2.07183695]
8,-0.260039008388,[-0.01342013 -0.19314776],[ 0.72426105 -1.10274518],-0.319654,"[ 0.15394976 -0.15089371  1.35024569 -1.65245004 -1.21313877  1.14358673
  0.02346182 -3.56852628  1.37242868 -1.01723019  0.        ]","[[  1.26505219  -2.23791077  -0.13468169   0.13182462]
 [ 14.44293611 -28.42405074   0.           0.        ]]",[-0.24708933 -1.1011306 ]
9,-0.216648203135,[-0.01342013 -0.19314776],[ 0.63456094 -1.01448429],-0.181535,"[-0.2195403  -0.59233744  1.4201638  -0.20256411 -1.21313093  1.14357983
 -0.0602454  -4.03710421  0.94969105 -1.10078099  0.        ]","[[  1.54122712  -2.84046784  -0.13468169   0.13182462]
 [ 13.17864975 -31.82043488   0.           0.        ]]",[ 1.36666389 -0.79551438]
