timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[-0.03796408  0.03246825 -0.08965859 -0.03629997]
 [-0.00375955  0.00418265  0.          0.        ]]",[-2.37099791 -3.01011825],-0.301278447565,[-0.69147605 -0.60726291],-4.05399,"[ 0.79961232  1.46327865  0.39492988  0.3721757  -0.77343745 -0.30982057
 -0.05898735 -0.01368716  2.6859847   0.9032393   0.        ]",[-2.31756992 -3.31101736]
1,"[[-0.07771358 -0.00716133 -0.08965859 -0.03629997]
 [-3.95802948 -3.95395425  0.          0.        ]]",[-2.12216878 -2.53596115],-0.299578210428,[-0.69147605 -0.60726291],-4.01009,"[ 0.79502624  1.46392684  0.32499407  0.30528465 -0.7734372  -0.3098205
 -0.62553862 -0.56931611  2.67952279  0.72988919  0.        ]",[-1.9735918  -2.66689791]
2,"[[-0.19576426 -0.12516766 -0.08965859 -0.03629997]
 [-7.83415657 -7.83374876  0.          0.        ]]",[-1.87223053 -1.92379749],-0.292678167291,[-0.69147605 -0.60726291],-3.9084,"[ 0.76292703  1.45383101  0.11899443  0.10662329 -0.77343695 -0.30982043
 -1.18089357 -1.11394736  2.60882113  0.22332687  0.        ]",[-1.37644842 -2.52280583]
3,"[[ -0.39057087  -0.31999899  -0.08965859  -0.03629997]
 [-11.63395074 -11.63669621   0.           0.        ]]",[-1.44898975 -1.07711363],-0.275499656128,[-0.69147605 -0.60726291],-3.60068,"[ 0.65074297  1.39823806 -0.20917862 -0.21366045 -0.7734367  -0.30982036
 -1.725311   -1.64779032  2.33313908 -0.53755602  0.        ]",[-1.96405887 -1.38223688]
4,"[[ -0.66062775  -0.59013247  -0.08965859  -0.03629997]
 [-15.35957779 -15.36418476   0.           0.        ]]",[ 0.15125985  0.36414209],-0.240968228544,[-0.69147605 -0.60726291],-3.19432,"[ 0.38112859  1.24499539 -0.6196525  -0.62203353 -0.77343644 -0.30982029
 -2.25910044 -2.17103918  1.68825755 -1.30235219  0.        ]",[ 0.64292655  1.19755623]
5,"[[ -0.93928104  -0.85464042  -0.08965859  -0.03629997]
 [-12.51508581 -11.10080818   0.           0.        ]]",[ 1.08227193 -0.69976366],-0.19614257813,[-0.69147605 -0.60726291],-2.89494,"[-0.01653023  1.01924362 -0.96072859 -0.95605741 -0.77343619 -0.30982022
 -1.85155221 -1.57256112  0.8715041  -1.60594833  0.        ]",[ 1.28267202 -1.23343962]
6,"[[ -1.14740477  -1.11418774  -0.08965859  -0.03629997]
 [ -8.31133939 -14.84146092   0.           0.        ]]",[ 1.38263535  0.58301306],-0.152255663106,[-0.69147605 -0.60726291],-2.36445,"[-0.37481981  0.7401462  -1.14502468 -1.1978307  -0.77343594 -0.30982016
 -1.24925717 -2.09765758  0.21197242 -1.4414634   0.        ]",[ 0.77866871  0.93443728]
7,"[[ -1.2810926   -1.37095167  -0.08965859  -0.03629997]
 [ -5.06800551 -10.84823612   0.           0.        ]]",[ 1.25853729  0.35892144],-0.113246485095,[-0.69147605 -0.60726291],-2.19613,"[-0.62467854  0.42634481 -1.22720443 -1.33717757 -0.77343569 -0.30982009
 -0.78456629 -1.53710304 -0.1971667  -1.05334923  0.        ]",[ 1.25531543  0.32346668]
8,"[[-1.341752   -1.57291839 -0.08965859 -0.03629997]
 [-1.01129046 -9.35340265  0.          0.        ]]",[ 0.29263365  0.45719156],-0.08599032867,[-0.69147605 -0.60726291],-2.10617,"[-0.7416803   0.16659422 -1.25461956 -1.37077154 -0.77343544 -0.30982002
 -0.20333789 -1.32726339 -0.3624406  -0.70590118  0.        ]",[ 0.97872941  0.44098207]
9,"[[-1.32291903 -1.74061537 -0.08965859 -0.03629997]
 [ 2.88174714 -7.42269975  0.          0.        ]]",[-1.08167064  0.1038821 ],-0.0693668459352,[-0.69147605 -0.60726291],-2.09031,"[-0.70515572 -0.04945377 -1.24677869 -1.34649112 -0.77343519 -0.30981995
  0.35443951 -1.05623843 -0.36921925 -0.47881246  0.        ]",[-1.15206345  0.47830053]
10,"[[-1.3055713  -1.8685879  -0.08965859 -0.03629997]
 [-1.13364286 -5.38138089  0.          0.        ]]",[-0.05423577  0.59684801],-0.0569319512303,[-0.69147605 -0.60726291],-2.01293,"[-0.67166494 -0.21051134 -1.23901987 -1.2964729  -0.77343494 -0.30981988
 -0.22086814 -0.76968585 -0.35467405 -0.30664357  0.        ]",[-0.36284036  0.74555542]
11,"[[-1.34243312 -1.94552571 -0.08965859 -0.03629997]
 [-2.54780939 -2.32259474  0.          0.        ]]",[ 0.37910086  0.43580088],-0.0451938211066,[-0.69147605 -0.60726291],-1.97488,"[-0.74300372 -0.30451467 -1.25488978 -1.25362683 -0.77343469 -0.30981981
 -0.42348374 -0.34030533 -0.38011867 -0.14861808  0.        ]",[-0.60316986  0.502188  ]
12,"[[-1.41684019 -1.97156284 -0.08965859 -0.03629997]
 [-4.88510296 -0.28789046  0.          0.        ]]",[ 1.28860462  0.59805453],-0.0356820905231,[-0.69147605 -0.60726291],-1.91908,"[-0.88877318 -0.33571942 -1.27979974 -1.23700723 -0.77343443 -0.30981974
 -0.75836092 -0.05468144 -0.43340339 -0.01990695  0.        ]",[ 1.09807645  1.06240481]
13,"[[-1.47386116 -1.93753867 -0.08965859 -0.03629997]
 [-0.83051808  3.67707439  0.          0.        ]]",[ 0.13124035 -0.95892096],-0.0345597240147,[-0.69147605 -0.60726291],-1.95944,"[-1.00167094 -0.29487689 -1.29237133 -1.25851055 -0.77343418 -0.30981967
 -0.17743725  0.50190491 -0.48530009  0.00381623  0.        ]",[-0.74608233 -0.68461574]
14,"[[-1.51993345 -1.89192285 -0.08965859 -0.03629997]
 [-3.76690651  0.89379589  0.          0.        ]]",[ 1.22506571  0.11433944],-0.0360116804234,[-0.69147605 -0.60726291],-1.90601,"[ -1.09336674e+00  -2.39285188e-01  -1.29836533e+00  -1.28447366e+00
  -7.73433932e-01  -3.09819603e-01  -5.98150384e-01   1.11198924e-01
  -5.32719832e-01  -2.51468877e-04   0.00000000e+00]",[ 1.32808856 -0.61938199]
15,"[[-1.55480784 -1.8988351  -0.08965859 -0.03629997]
 [ 0.26602764 -1.57679374  0.          0.        ]]",[ 0.15274864  0.39278832],-0.0327924584453,[-0.69147605 -0.60726291],-1.94072,"[-1.16292932 -0.24776656 -1.30041864 -1.28075162 -0.77343368 -0.30981953
 -0.02032858 -0.23561299 -0.5551675   0.05837372  0.        ]",[ 0.14493055 -0.48080912]
16,"[[-1.54378267 -1.94915982 -0.08965859 -0.03629997]
 [ 0.83459025 -3.44943595  0.          0.        ]]",[-0.03496112  1.03814113],-0.0280215821127,[-0.69147605 -0.60726291],-1.95364,"[-1.14092893 -0.30888954 -1.30000017 -1.25136763 -0.77343343 -0.30981946
  0.06113267 -0.4984873  -0.52916751  0.11454106  0.        ]",[-0.2803993   0.69381021]
17,"[[-1.53839512 -1.98989876 -0.08965859 -0.03629997]
 [-0.29207705 -0.63384431  0.          0.        ]]",[ 0.24008469  0.63022804],-0.0239115910922,[-0.69147605 -0.60726291],-1.92931,"[-1.1301802  -0.35749009 -1.29971741 -1.22466749 -0.77343318 -0.3098194
 -0.10029151 -0.10324511 -0.50905557  0.16434568  0.        ]",[ 0.79224753  1.20742805]
18,"[[-1.51271826 -1.9627245  -0.08965859 -0.03629997]
 [ 2.84926917  3.33803652  0.          0.        ]]",[-0.63075489 -1.02225006],-0.0287570096122,[-0.69147605 -0.60726291],-1.94515,"[-1.07898531 -0.32516387 -1.29767015 -1.24276332 -0.77343293 -0.30981933
  0.34978752  0.4543126  -0.50372564  0.09161541  0.        ]",[-0.56236855 -1.51953033]
19,"[[-1.47862948 -1.93635238 -0.08965859 -0.03629997]
 [ 0.56723944 -0.68741267  0.          0.        ]]",[-0.2048496 -0.0054217],-0.0343113015939,[-0.69147605 -0.60726291],-1.97241,"[-1.01114251 -0.29344251 -1.29316051 -1.25922357 -0.77343268 -0.30981926
  0.02282767 -0.11076501 -0.48911098  0.00830521  0.        ]",[-1.3956014  -0.60491822]
20,"[[-1.5071094  -1.97399244 -0.08965859 -0.03629997]
 [-3.40204245 -3.06865609  0.          0.        ]]",[ 1.14684212  1.51299345],-0.0279481515583,[-0.69147605 -0.60726291],-1.9204,"[-1.0678105  -0.33861362 -1.29706726 -1.2353973  -0.77343242 -0.30981919
 -0.54587472 -0.44503509 -0.49578952  0.10003477  0.        ]",[ 1.1640707   1.69409066]
