timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[-0.04035973  0.00139789 -0.19874808 -0.1653546 ]
 [ 0.0023916   0.00036049  0.          0.        ]]",[-4.0028615  -2.92931128],-0.437721591449,[-0.52617669 -0.39871794],-3.99182,"[ 0.78025905  1.56066836  0.28402335  0.33760487 -1.72473311 -1.43335027
 -0.11662697 -0.00891901  3.53275022  2.30285474  0.        ]",[-3.0454272  -2.60998855]
1,"[[-0.07998743 -0.03830737 -0.19874808 -0.1653546 ]
 [-3.95200186 -3.95769989  0.          0.        ]]",[-3.03266454 -1.98729861],-0.43247492964,[-0.52617669 -0.39871794],-3.9012,"[ 0.77561294  1.55972477  0.21579809  0.26676856 -1.72473104 -1.43334895
 -0.61208619 -0.53781928  3.52390018  2.14684864  0.        ]",[-2.62684759 -1.54187303]
2,"[[-0.19791891 -0.15638784 -0.19874808 -0.1653546 ]
 [-7.8282687  -7.83741731  0.          0.        ]]",[-2.56139755 -1.27645922],-0.41416832045,[-0.52617669 -0.39871794],-3.62085,"[ 0.74378611  1.54497618  0.01445675  0.05717657 -1.72472897 -1.43334763
 -1.09775628 -1.05625053  3.4502228   1.69225994  0.        ]",[-2.55252703 -0.23691084]
3,"[[ -0.39262057  -0.32097589  -0.19874808  -0.1653546 ]
 [-11.62929635  -8.61876936   0.           0.        ]]",[-2.16729093 -0.80203646],-0.378335547121,[-0.52617669 -0.39871794],-3.34235,"[ 0.63350148  1.4950018  -0.30634085 -0.22787801 -1.7247269  -1.43334631
 -1.57399844 -1.16065882  3.20454995  1.04545546  0.        ]",[-1.02425931 -0.60325025]
4,"[[ -0.66258744  -0.51558838  -0.19874808  -0.1653546 ]
 [-15.35511297 -10.83505552   0.           0.        ]]",[-1.51374006  0.28451407],-0.319686696562,[-0.52617669 -0.39871794],-2.78156,"[ 0.36932105  1.39352666 -0.70746016 -0.54471842 -1.72472483 -1.43334499
 -2.04081541 -1.45681132  2.68164851  0.39314406  0.        ]",[-1.24339493  0.21387522]
5,"[[ -1.00635033  -0.72162082  -0.19874808  -0.1653546 ]
 [-19.0090985   -9.77166347   0.           0.        ]]",[ 0.19723576  2.01549911],-0.236662963228,[-0.52617669 -0.39871794],-2.08457,"[-0.1248101   1.24018482 -1.10371196 -0.84371652 -1.72472277 -1.43334367
 -2.49862971 -1.31471326  1.87129778  0.02324849  0.        ]",[-0.16250897  1.83782011]
6,"[[ -1.38923576  -0.87537319  -0.19874808  -0.1653546 ]
 [-19.27844144  -5.61738604   0.           0.        ]]",[ 2.03570294  3.20365906],-0.147511399313,[-0.52617669 -0.39871794],-1.48875,"[-0.81570769  1.09872454 -1.34291515 -1.03497642 -1.7247207  -1.43334234
 -2.53237085 -0.75959295  1.02348168  0.14915238  0.        ]",[ 1.98788394  2.98956347]
7,"[[ -1.73129935  -0.94687966  -0.19874808  -0.1653546 ]
 [-14.94221696  -1.5468901    0.           0.        ]]",[ 2.49046063  3.45574713],-0.0861550775748,[-0.52617669 -0.39871794],-1.35653,"[-1.47930316  1.02609236 -1.34909585 -1.11316034 -1.72471863 -1.43334102
 -1.98906992 -0.21566826  0.42904822  0.58139885  0.        ]",[ 2.75527002  3.73201908]
8,"[[ -1.98749234  -0.93778857  -0.19874808  -0.1653546 ]
 [-10.69118215   2.44264098   0.           0.        ]]",[ 2.29965115  3.0510149 ],-0.0715189645765,[-0.52617669 -0.39871794],-1.54238,"[-1.95680405  1.03554679 -1.22366818 -1.10362222 -1.72471656 -1.4333397
 -1.45644473  0.31743739  0.10807881  0.98638994  0.        ]",[ 2.39619006  2.45914465]
9,"[[-2.15950682 -0.84970283 -0.19874808 -0.1653546 ]
 [-6.52417276  6.3528518   0.          0.        ]]",[ 1.8278923   2.13006973],-0.0758156149606,[-0.52617669 -0.39871794],-1.69067,"[-2.2503042   1.12378843 -1.08089191 -1.00517642 -1.72471449 -1.43333838
 -0.93434833  0.8399436  -0.05135726  1.20060734  0.        ]",[ 1.22083087  2.26351855]
