timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[ 0.06742171 -0.0100345  -0.16559145  0.12479843]
 [ 0.00262947 -0.00348202  0.          0.        ]]","[ 0.78947511  1.52112427  0.51691659  0.31557098 -1.42604354  1.09286037
 -0.08924508 -0.01088641  3.3316545  -1.05340181  0.        ]",-0.391472829803,[-0.5902313  -0.50481379],-3.59028,[ 0.72173727  1.95642424],[-0.00762865  2.31924695]
1,"[[ 0.06715555  0.02962451 -0.16559145  0.12479843]
 [-0.02913449  3.95618657  0.          0.        ]]","[ 0.78951028  1.52062153  0.51645614  0.38443998 -1.42604247  1.09285977
 -0.09353755  0.53001649  3.32834468 -0.997677    0.        ]",-0.389950491757,[-0.5902313  -0.50481379],-3.6357,[ 1.2745775   2.88745856],[ 1.42641928  1.82994607]
2,"[[ 0.10625421  0.14767479 -0.16559145  0.12479843]
 [ 3.92585313  7.83591652  0.          0.        ]]","[ 0.78279668  1.50713458  0.58396554  0.58853743 -1.42604139  1.09285918
  0.440929    1.05999923  3.29500594 -0.72636849  0.        ]",-0.381453345231,[-0.5902313  -0.50481379],-3.46598,[ 1.44155884  3.72812462],[ 1.69568842  3.72497076]
3,"[[  0.22367008   0.34254922  -0.16559145   0.12479843]
 [  7.80291298  11.6388505    0.           0.        ]]","[ 0.74458511  1.44617616  0.78460041  0.91634571 -1.42604032  1.09285858
  0.96486438  1.57949057  3.1401491  -0.16867238  0.        ]",-0.358597573672,[-0.5902313  -0.50481379],-3.30239,[ 1.52326012  4.44495344],[ 2.28282653  4.21536475]
4,"[[  0.41786541   0.61272651  -0.16559145   0.12479843]
 [ 11.60418815  15.36643622   0.           0.        ]]","[ 0.62336465  1.28631654  1.10352248  1.33178912 -1.42603924  1.09285799
  1.47855771  2.0886875   2.71863783  0.52895001  0.        ]",-0.313728131956,[-0.5902313  -0.50481379],-2.84768,[ 0.23906136  4.72643232],[ -3.24427678e-03   5.59863723e+00]
5,"[[  0.64752395   0.95672771  -0.16559145   0.12479843]
 [ 11.36272726  19.02147921   0.           0.        ]]","[ 0.39259928  0.974024    1.44567376  1.75244097 -1.42603817  1.09285739
  1.44592621  2.58797229  2.00343424  0.98788303  0.        ]",-0.24591026833,[-0.5902313  -0.50481379],-2.51818,[-0.86883795  4.32222319],[-0.28355865  3.47221776]
6,"[[  0.86128869   1.37310583  -0.16559145   0.12479843]
 [ 10.01845739  22.60437723   0.           0.        ]]","[ 0.10285821  0.48368403  1.71514214  2.03589373 -1.4260371   1.0928568
  1.26426434  3.07739812  1.22063333  0.88745344  0.        ]",-0.16729219118,[-0.5902313  -0.50481379],-1.93501,[-1.63917923  3.99053574],[-0.71798961  3.82434888]
7,"[[  1.03119607   1.86043308  -0.16559145   0.12479843]
 [  6.98239471  26.11662556   0.           0.        ]]","[-0.17012272 -0.13862593  1.88713458  1.99737916 -1.42603602  1.0928562
  0.8539786   3.55716793  0.69742159  0.24444816  0.        ]",-0.111016792866,[-0.5902313  -0.50481379],-1.5699,[-1.5078038  3.7975688],[-0.80400546  4.07564688]
8,"[[  1.13756423   2.41730675  -0.16559145   0.12479843]
 [  3.665215    29.55923815   0.           0.        ]]","[-0.35648915 -0.73686909  1.97327466  1.48374694 -1.42603495  1.09285561
  0.40570369  4.02741882  0.66204069 -0.61793661  0.        ]",-0.132402635816,[-0.5902313  -0.50481379],-1.59162,[-0.64767891  3.26714945],[-0.06606689  3.6983812 ]
9,"[[  1.20754131   3.0423474   -0.16559145   0.12479843]
 [  3.33292491  27.00378796   0.           0.        ]]","[-0.48436215 -1.05461035  2.02029833  0.50507067 -1.42603388  1.09285501
  0.36079878  3.67832703  1.11178702 -1.28730311  0.        ]",-0.199889831745,[-0.5902313  -0.50481379],-2.07288,[-0.04521906  3.03495049],[ 1.1491463   3.13699776]
10,"[[ 1.31324753  3.23009697 -0.16559145  0.12479843]
 [ 7.22503303 -0.66145267  0.          0.        ]]","[-0.68385763 -1.05590967  2.07623152  0.17948469 -1.4260328   1.09285442
  0.8867677  -0.10077679  1.32888333 -1.37789926  0.        ]",-0.221196287514,[-0.5902313  -0.50481379],-2.36943,[-0.86234552  1.5652411 ],[-0.20214989  0.7182671 ]
11,"[[ 1.44828048  3.16499393 -0.16559145  0.12479843]
 [ 6.28148194 -4.16449428  0.          0.        ]]","[-0.94659503 -1.06060882  2.12040443  0.29235382 -1.42603173  1.09285382
  0.75925837 -0.57929624  1.26289582 -1.35574451  0.        ]",-0.214945450482,[-0.5902313  -0.50481379],-2.30875,[-1.00554347  1.19340968],[-0.4284147   0.99984009]
