timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
16,"[[-0.65754296  1.55938839  0.18310145 -0.01963634]
 [ 4.82479635  6.37629196  0.          0.        ]]","[ 0.65655739  0.57191985 -0.94619454  2.32487407  1.57765627 -0.15689978
  0.107304    0.85942728 -0.49346366  0.43710231  0.        ]",-0.0573120917631,[-0.14128542 -0.12953186],-0.656611,[-0.0349603   0.85932189],[ 0.58088307  1.7028934 ]
17,"[[ -0.538939     1.72537051   0.18310145  -0.01963634]
 [  7.02841542  10.20914196   0.           0.        ]]","[ 0.75350101  0.35757161 -0.79333277  2.29923708  1.57764931 -0.15689958
  0.28631218  1.33956458 -0.64008592  0.65728382  0.        ]",-0.0898842335425,[-0.14128542 -0.12953186],-0.855287,[-0.22160874  0.79453397],[-1.17533789  1.77017986]
18,"[[ -0.43947151   1.96725689   0.18310145  -0.01963634]
 [  2.93195227  13.96696564   0.           0.        ]]","[ 0.82135038  0.05659959 -0.65636455  2.15739917  1.57764234 -0.15689938
 -0.04645983  1.81029778 -0.8701634   0.80164642  0.        ]",-0.123648744172,[-0.14128542 -0.12953186],-0.894745,[-0.21278514  0.65495127],[-0.01398779  1.4235389 ]
19,"[[ -0.38196062   2.28354941   0.18310145  -0.01963634]
 [  2.81958703  17.650012     0.           0.        ]]","[ 0.85468957 -0.29047386 -0.57408641  1.79903252  1.57763538 -0.15689917
 -0.05558765  2.27165438 -1.14585508  0.79653889  0.        ]",-0.152804697706,[-0.14128542 -0.12953186],-0.976211,[-0.27990985  0.36817515],[-0.51405719 -0.13056674]
20,"[[ -0.34653628   2.62785664   0.18310145  -0.01963634]
 [  0.72965436  16.7835863    0.           0.        ]]","[ 0.8730132  -0.57174201 -0.52243127  1.22622187  1.57762842 -0.15689897
 -0.22536136  2.16310248 -1.39697039  0.64663407  0.        ]",-0.174993138856,[-0.14128542 -0.12953186],-0.983474,[-0.15650648 -0.04472777],[ 0.36546443 -0.53710837]
21,"[[ -0.31756619   2.93885671   0.18310145  -0.01963634]
 [  2.16251016  14.32462011   0.           0.        ]]","[ 0.88672496 -0.71251409 -0.47969022  0.59950116  1.57762145 -0.15689877
 -0.10896419  1.85506103 -1.56135081  0.42228449  0.        ]",-0.18853705621,[-0.14128542 -0.12953186],-0.951321,[-0.07263826 -0.17979479],[ 1.34035353 -0.30419083]
22,"[[-0.23502623  3.07535687  0.18310145 -0.01963634]
 [ 6.07847953  1.06397112  0.          0.        ]]","[ 0.91941195 -0.73621736 -0.35579641  0.30748522  1.57761449 -0.15689856
  0.20914696  0.19392417 -1.61588198  0.2948002   0.        ]",-0.193185280033,[-0.14128542 -0.12953186],-1.08515,[ 0.04369581  0.25876623],[ 0.2087987   0.29199037]
23,"[[-0.10637095  3.06348167  0.18310145 -0.01963634]
 [ 6.78473325 -1.35776014  0.          0.        ]]","[ 0.95112535 -0.73510596 -0.15806765  0.33307393  1.57760752 -0.15689836
  0.26651877 -0.10944179 -1.62118259  0.30081202  0.        ]",-0.194014978441,[-0.14128542 -0.12953186],-1.09624,[-0.01710595  0.30713916],[ 0.38822457  1.46255348]
24,"[[ 0.04339829  3.03775681  0.18310145 -0.01963634]
 [ 8.18752124 -1.09197984  0.          0.        ]]","[ 0.95796363 -0.73207533  0.07533257  0.38842005  1.57760056 -0.15689816
  0.38047313 -0.07614781 -1.62960538  0.31424624  0.        ]",-0.195406141125,[-0.14128542 -0.12953186],-1.11621,[-0.18914738  0.29055047],[ 0.0892341   1.30172812]
25,"[[ 0.20906744  3.0208016   0.18310145 -0.01963634]
 [ 8.3787556  -0.62021305  0.          0.        ]]","[ 0.92770689 -0.72961078  0.33153031  0.42481962  1.5775936  -0.15689795
  0.39600741 -0.01705023 -1.64299643  0.31510914  0.        ]",-0.197253592895,[-0.14128542 -0.12953186],-1.15549,[-0.29028583  0.27770895],[-0.97549203  0.50624504]
26,"[[ 0.33622712  3.01127657  0.18310145 -0.01963634]
 [ 4.35063673 -0.34500454  0.          0.        ]]","[ 0.87801235 -0.72806331  0.52252003  0.44523555  1.57758664 -0.15689775
  0.06878402  0.01742478 -1.65401918  0.31031244  0.        ]",-0.198676992906,[-0.14128542 -0.12953186],-1.1704,[-0.17914717  0.33823472],[-1.57978279  1.56574932]
27,"[[ 0.38265096  3.00681811  0.18310145 -0.01963634]
 [ 0.30522743 -0.13387262  0.          0.        ]]","[ 0.85429877 -0.72729816  0.59033362  0.45478281  1.57757967 -0.15689755
 -0.25984393  0.04387298 -1.65831369  0.30903031  0.        ]",-0.199243261214,[-0.14128542 -0.12953186],-1.09602,[-0.02066739  0.37782663],[ 0.93153513  0.05825586]
28,"[[ 0.42569996  3.00409073  0.18310145 -0.01963634]
 [ 3.9874029  -0.12086219  0.          0.        ]]","[ 0.82971382 -0.72681696  0.65209834  0.46062006  1.57757271 -0.15689734
  0.03927742  0.04550273 -1.66203068  0.3062028   0.        ]",-0.199704137622,[-0.14128542 -0.12953186],-1.10414,[-0.21434958  0.3391313 ],[ 0.77592354  1.4530111 ]
29,"[[  5.35479526e-01   3.00318068e+00   1.83101446e-01  -1.96363428e-02]
 [  6.98057726e+00  -1.85749522e-03   0.00000000e+00   0.00000000e+00]]","[ 0.75604797 -0.72665333  0.80393915  0.46256682  1.57756575 -0.15689714
  0.28242776  0.06041028 -1.66963963  0.29292682  0.        ]",-0.200525583663,[-0.14128542 -0.12953186],-1.10722,[-0.38482901  0.2758106 ],[ 0.98732318 -1.64916384]
30,"[[  0.71292394   2.96341726   0.18310145  -0.01963634]
 [ 10.75128918  -3.96129951   0.           0.        ]]","[ 0.60563999 -0.71852781  1.02834834  0.54739487  1.57755878 -0.15689694
  0.58874116 -0.43558591 -1.69532024  0.30029786  0.        ]",-0.204166140871,[-0.14128542 -0.12953186],-1.17383,[-0.61979806  0.12691079],[-0.76407681  0.50998584]
31,"[[ 0.895462    2.90523663  0.18310145 -0.01963634]
 [ 7.51331348 -1.86374704  0.          0.        ]]","[ 0.41497267 -0.70300958  1.2256866   0.67038496  1.57755182 -0.15689673
  0.325703   -0.17282632 -1.73466358  0.31188058  0.        ]",-0.209748972426,[-0.14128542 -0.12953186],-1.17189,[-0.50900662  0.25135583],[-0.09729358  1.48248855]
32,"[[ 1.04037252  2.90805897  0.18310145 -0.01963634]
 [ 6.97952726  2.13266329  0.          0.        ]]","[ 0.24178289 -0.70385987  1.35380192  0.66445362  1.57754486 -0.15689653
  0.28234032  0.3278022  -1.74233752  0.278554    0.        ]",-0.210281275226,[-0.14128542 -0.12953186],-1.18096,[-0.52847034  0.23260112],[-0.77537551  0.00706532]
33,"[[ 1.14777557  2.95056766  0.18310145 -0.01963634]
 [ 3.77146394  2.118259    0.          0.        ]]","[ 0.10326779 -0.7154666   1.43067379  0.57468098  1.5775379  -0.15689633
  0.02173193  0.32599732 -1.71935683  0.23059014  0.        ]",-0.206491470762,[-0.14128542 -0.12953186],-1.17086,[-0.38673091  0.3080644 ],[-0.9375388   0.89640929]
34,"[[ 1.18521347  3.01725634  0.18310145 -0.01963634]
 [-0.01511797  3.20985505  0.          0.        ]]","[ 0.05328615 -0.72903657  1.4536505   0.43241324  1.57753093 -0.15689612
 -0.28587263  0.46274078 -1.66667345  0.18560564  0.        ]",-0.19876010979,[-0.14128542 -0.12953186],-1.11787,[-0.2214434   0.33160961],[ 0.38942033  0.62136304]
35,"[[ 1.20038185  3.03686528  0.18310145 -0.01963634]
 [ 1.52686008 -0.26575904  0.          0.        ]]","[ 0.03281361 -0.73193983  1.46238112  0.39032574  1.57752397 -0.15689592
 -0.16060889  0.02735033 -1.65893912  0.17911818  0.        ]",-0.197635754962,[-0.14128542 -0.12953186],-1.10659,[-0.23168816  0.36443549],[ 1.10492616  2.06904127]
36,"[[ 1.27034043  3.02620215  0.18310145 -0.01963634]
 [ 5.45591257 -0.60261317  0.          0.        ]]","[-0.06309954 -0.73042029  1.49830734  0.41322338  1.57751701 -0.15689572
  0.15857029 -0.01484745 -1.66500155  0.17528699  0.        ]",-0.198440689015,[-0.14128542 -0.12953186],-1.1592,[-0.39071926  0.29163253],[-1.25702104 -0.45208573]
37,"[[ 1.33864931  2.99630731  0.18310145 -0.01963634]
 [ 1.38853181 -2.38094013  0.          0.        ]]","[-0.1587834  -0.72538277  1.52635008  0.47726042  1.57751005 -0.15689551
 -0.17184647 -0.23761884 -1.68467052  0.17683148  0.        ]",-0.201170162141,[-0.14128542 -0.12953186],-1.14611,[-0.18922067  0.39759344],[ 0.18303502  0.75090859]
38,"[[ 1.37341646  2.97899371  0.18310145 -0.01963634]
 [ 2.08585971  0.63951339  0.          0.        ]]","[-0.20811029 -0.72194026  1.53790632  0.51422297  1.57750309 -0.15689531
 -0.11519826  0.14075481 -1.69627902  0.1772644   0.        ]",-0.202777532168,[-0.14128542 -0.12953186],-1.08928,[-0.25343153  0.37712568],[ 2.60260015 -0.6971236 ]
39,"[[ 1.45444292  2.96396333  0.18310145 -0.01963634]
 [ 6.00372677 -2.13331584  0.          0.        ]]","[-0.32430162 -0.71864062  1.55764896  0.54622635  1.57749612 -0.15689511
  0.20307339 -0.20659915 -1.70439695  0.16804811  0.        ]",-0.203825075598,[-0.14128542 -0.12953186],-1.17482,[-0.35574248  0.35464394],[-0.54262447  0.817481  ]
40,"[[ 1.55177068  2.95419635  0.18310145 -0.01963634]
 [ 3.73660763  1.14569305  0.          0.        ]]","[-0.46526318 -0.71634143  1.56791166  0.56697652  1.57748916 -0.1568949
  0.01890141  0.20416479 -1.70713655  0.15313194  0.        ]",-0.204096257834,[-0.14128542 -0.12953186],-1.14725,[-0.26758775  0.38667613],[ 0.68986306  1.08497078]
41,"[[ 1.65316718  3.01661143  0.18310145 -0.01963634]
 [ 6.39414194  3.85785619  0.          0.        ]]","[-0.6123757  -0.72892286  1.56289594  0.43379024  1.5774822  -0.1568947
  0.23478913  0.54391928 -1.65129138  0.1310389   0.        ]",-0.196241999991,[-0.14128542 -0.12953186],-1.13701,[-0.38591766  0.18801142],[ 0.07221584 -0.00393447]
42,"[[ 1.78264654  3.04047761  0.18310145 -0.01963634]
 [ 6.55331046 -0.29877697  0.          0.        ]]","[-0.7982464  -0.73241113  1.53329101  0.38255676  1.57747524 -0.1568945
  0.24771906  0.02321321 -1.62058653  0.11980354  0.        ]",-0.191938587622,[-0.14128542 -0.12953186],-1.18281,[-0.28560892  0.26605541],[-2.24710665 -0.32816631]
43,"[[ 1.87268558  3.02121688  0.18310145 -0.01963634]
 [ 2.46422138 -1.60756627  0.          0.        ]]","[-0.92466843 -0.72965053  1.49759827  0.42391375  1.57746828 -0.15689429
 -0.08446375 -0.1407403  -1.62930864  0.10963664  0.        ]",-0.193100145237,[-0.14128542 -0.12953186],-1.15982,[-0.02434592  0.38440621],[-0.35066366  0.81219583]
44,"[[ 1.90755115  3.00466964  0.18310145 -0.01963634]
 [ 1.02711327 -0.33169789  0.          0.        ]]","[-0.97273675 -0.72689738  1.48051214  0.45936788  1.57746131 -0.15689409
 -0.20120913  0.01908952 -1.63927346  0.10339391  0.        ]",-0.194455302787,[-0.14128542 -0.12953186],-1.14791,[ 0.0302776   0.38424903],[ 0.17132515 -0.22175466]
45,"[[ 1.93469488  2.98929201  0.18310145 -0.01963634]
 [ 1.68506711 -1.20316064  0.          0.        ]]","[-1.00975761 -0.72402354  1.46596837  0.49224371  1.57745435 -0.15689389
 -0.147759   -0.09007988 -1.64818171  0.09771306  0.        ]",-0.195669128104,[-0.14128542 -0.12953186],-1.15871,[ 0.03081567  0.41055512],[-0.00249551 -0.02953557]
46,"[[ 1.96796234  2.96429437  0.18310145 -0.01963634]
 [ 1.64182257 -1.29629301  0.          0.        ]]","[-1.05460872 -0.71870654  1.44668075  0.54551773  1.57744739 -0.15689368
 -0.15127185 -0.1017466  -1.66406973  0.08871646  0.        ]",-0.197842189088,[-0.14128542 -0.12953186],-1.1475,[ 0.04662433  0.431692  ],[ 0.82836584  2.16002789]
47,"[[ 2.03338099  2.97835515  0.18310145 -0.01963634]
 [ 4.88922583  2.6890861   0.          0.        ]]","[-1.14094913 -0.72179343  1.40413527  0.51557774  1.57744043 -0.15689348
  0.11253669  0.3975088  -1.64600183  0.08454546  0.        ]",-0.195332391968,[-0.14128542 -0.12953186],-1.14352,[-0.07280484  0.27790809],[ 0.6326419   0.29200745]
48,"[[ 2.15532581  3.02299405  0.18310145 -0.01963634]
 [ 7.29717993  0.68282221  0.          0.        ]]","[-1.29421909 -0.72991816  1.30904309  0.42009738  1.57743347 -0.15689328
  0.30815103  0.14617987 -1.59789733  0.09195823  0.        ]",-0.188696310326,[-0.14128542 -0.12953186],-1.16659,[-0.09422684  0.19508521],[-0.62361707  0.46417147]
49,"[[ 2.27504627  3.02239335  0.18310145 -0.01963634]
 [ 4.68359144 -0.3862711   0.          0.        ]]","[-1.43312662 -0.72982438  1.19687234  0.42138541  1.57742651 -0.15689307
  0.0958308   0.0122522  -1.58643847  0.08590939  0.        ]",-0.187094724409,[-0.14128542 -0.12953186],-1.17564,[ 0.08956517  0.23290037],[-0.93267262 -0.6192725 ]
