timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[-0.06870447  0.026949   -0.16289762  0.16826494]
 [ 0.00356539  0.00324933  0.          0.        ]]","[ 0.89384613  1.8851918  -0.06911235  0.25611661 -1.4276371   1.48700153
 -0.30137925  0.04527751  2.54128251 -1.55098777  0.        ]",-0.413648638282,[-0.17025816 -0.16339913],-2.51899,[ 1.12825739  2.12441206],[ 1.5445275   2.69742915]
1,"[[-0.02895878  0.06672574 -0.16289762  0.16826494]
 [ 3.9578449   3.96123826  0.          0.        ]]","[ 0.89675852  1.88274099 -0.00587747  0.34112445 -1.42763285  1.48699685
  0.03487097  0.53922251  2.54285053 -1.43581291  0.        ]",-0.408480188006,[-0.17025816 -0.16339913],-2.34487,[ 1.00493324  2.17965579],[-1.07593266  2.30463236]
2,"[[ 0.00970722  0.18490716 -0.16289762  0.16826494]
 [-0.0777986   7.84395777  0.          0.        ]]","[ 0.89731595  1.86329381  0.05571043  0.59184266 -1.42762859  1.48699217
 -0.30829803  1.02377306  2.52812285 -1.24557918  0.        ]",-0.398530459634,[-0.17025816 -0.16339913],-2.40736,[ 1.02466166  2.34488297],[ 2.09824603  1.93758074]
3,"[[  0.04784433   0.37994082  -0.16289762   0.16826494]
 [  3.8784165   11.64674338   0.           0.        ]]","[ 0.89566627  1.79211278  0.11643366  0.99197238 -1.42762434  1.48698749
  0.02811741  1.49834535  2.46851844 -0.99033527  0.        ]",-0.381530639786,[-0.17025816 -0.16339913],-2.25424,[ 0.7809428   2.62448406],[ 1.82348629  1.99326977]
4,"[[  0.16432762   0.65027523  -0.16289762   0.16826494]
 [  7.75720432  15.37427547   0.           0.        ]]","[ 0.87714833  1.61797351  0.3008432   1.49379511 -1.42762009  1.4869828
  0.3579488   1.96352107  2.27467013 -0.573828    0.        ]",-0.344612537077,[-0.17025816 -0.16339913],-1.85366,[ 0.40375155  2.9056828 ],[ 0.44722962  3.27623043]
5,"[[  0.33568953   0.99442723  -0.16289762   0.16826494]
 [  9.37390023  19.02873446   0.           0.        ]]","[ 0.81354073  1.28885848  0.5650111   1.99240602 -1.42761584  1.48697812
  0.49542366  2.41956928  1.87342725 -0.18058631  0.        ]",-0.28496659681,[-0.17025816 -0.16339913],-1.59891,[ 0.14580972  3.06139612],[ 0.20878756  1.04152667]
6,"[[  0.52961751   1.4109446   -0.16289762   0.16826494]
 [ 10.01708413  22.61105398   0.           0.        ]]","[ 0.69159549  0.78284788  0.84503162  2.31077489 -1.42761158  1.48697344
  0.55011604  2.86660295  1.31767149 -0.05991991  0.        ]",-0.209995163405,[-0.17025816 -0.16339913],-1.13982,[ 0.05050672  3.07250214],[-0.0809799   2.88302755]
7,"[[  0.72479349   1.89839877  -0.16289762   0.16826494]
 [  9.5023962   26.12266114   0.           0.        ]]","[ 0.51980967  0.15206505  1.09636864  2.2242483  -1.42760733  1.48696876
  0.50634895  3.30479617  0.81338119 -0.35245951  0.        ]",-0.149925022886,[-0.17025816 -0.16339913],-0.926106,[ 0.09659912  2.76663446],[ 0.25776142  2.79419093]
8,"[[  0.92323733   2.45538669  -0.16289762   0.16826494]
 [ 10.33916097  29.56468585   0.           0.        ]]","[ 0.30141266 -0.44059869  1.31074735  1.5540994  -1.42760308  1.48696408
  0.5775025   3.73428556  0.61898171 -0.95847641  0.        ]",-0.163089177788,[-0.17025816 -0.16339913],-0.929912,[ 0.12581991  2.00118923],[-1.01318456  1.27946308]
9,"[[  1.0882746    3.08053305  -0.16289762   0.16826494]
 [  6.17749079  26.84898189   0.           0.        ]]","[ 0.09228075 -0.73501527  1.45135506  0.32899932 -1.42759883  1.4869594
  0.22361435  3.39534453  0.88981935 -1.49755156  0.        ]",-0.231177400274,[-0.17025816 -0.16339913],-1.34421,[ 0.2554121   0.95220029],[ 0.18961011  1.60820997]
