timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.350311632648,"[[-0.04427768 -0.04272492 -0.12622964  0.0860819 ]
 [ 0.00152773  0.0004365   0.          0.        ]]",[ 1.96383238  1.71753645],-1.98812,"[ 1.12155746  2.17788669 -0.1319637  -0.86087867 -1.06669242  0.74139621
 -1.03766936 -0.36916696  2.2250205  -0.88819603  0.        ]",[-0.13144919 -0.23617847],[ 2.90499207  1.32185362]
1,-0.347393731162,"[[ -4.57236696e-03  -3.00386716e-03  -1.26229643e-01   8.60818993e-02]
 [  3.95584177e+00   3.95848238e+00   0.00000000e+00   0.00000000e+00]]",[ 1.86623549  1.66230583],-2.04713,"[ 1.12289297  2.17911771 -0.07208905 -0.73078564 -1.06668823  0.7413941
 -0.8743135   0.1763864   2.22870669 -0.7850073   0.        ]",[-0.13144919 -0.23617847],[ 1.6776489   1.10709019]
2,-0.336441376163,"[[ 0.11343495  0.11509213 -0.12622964  0.0860819 ]
 [ 7.83200607  7.83818834  0.          0.        ]]",[ 1.61585414  1.59143376],-2.05013,"[ 1.11402011  2.16996488  0.10556087 -0.34471207 -1.06668405  0.74139199
 -0.71418679  0.71114118  2.20322909 -0.47980677  0.        ]",[-0.13144919 -0.23617847],[ 0.74005549  1.47070934]
3,-0.312180765364,"[[  0.29788137   0.31001544  -0.12622964   0.0860819 ]
 [ 10.60349535  11.64145483   0.           0.        ]]",[ 1.22368002  1.4870522 ],-1.91917,"[ 1.06203046  2.11324722  0.37755307  0.27853454 -1.06667986  0.74138988
 -0.59969469  1.23535667  2.05323286 -0.02490883  0.        ]",[-0.13144919 -0.23617847],[ 0.23092827  3.05095647]
4,-0.27035316686,"[[  0.51700652   0.58025533  -0.12622964   0.0860819 ]
 [ 11.30685235  15.3700854    0.           0.        ]]",[ 0.83858871  1.32586265],-1.56539,"[ 0.94225527  1.95302925  0.68044067  1.07518457 -1.06667567  0.74138777
 -0.5706375   1.74927696  1.69808554  0.42359097  0.        ]",[-0.13144919 -0.23617847],[-0.39199113  0.83057812]
5,-0.213055922987,"[[  0.72534652   0.91760391  -0.12622964   0.0860819 ]
 [  9.53321738  18.35480668   0.           0.        ]]",[ 0.6574266   1.13057423],-1.08479,"[ 0.77496999  1.63733357  0.93555211  1.88081968 -1.06667148  0.74138566
 -0.6439051   2.16064999  1.18717298  0.65723815  0.        ]",[-0.13144919 -0.23617847],[-0.41293595  1.11483098]
6,-0.145961767454,"[[  0.89774272   1.32078404  -0.12622964   0.0860819 ]
 [  7.71265136  21.95120566   0.           0.        ]]",[ 0.68155622  0.94348609],-0.725529,"[ 0.60235046  1.13975814  1.11434918  2.45333923 -1.06666729  0.74138355
 -0.71911119  2.65631275  0.67093865  0.57477052  0.        ]",[-0.13144919 -0.23617847],[ 0.44083265 -0.22165711]
7,-0.0793325775015,"[[  1.06800592   1.74663577  -0.12622964   0.0860819 ]
 [  9.30838362  20.6383485    0.           0.        ]]",[ 0.79381424  0.82474923],-0.501901,"[ 0.40677272  0.55650969  1.25662721  2.50464525 -1.0666631   0.74138144
 -0.65318927  2.47532747  0.29283929  0.22539193  0.        ]",[-0.13144919 -0.23617847],[ 1.13100012  1.34037406]
8,-0.0571296499309,"[[  1.29207314   2.19502246  -0.12622964   0.0860819 ]
 [ 13.08606317  24.18850622   0.           0.        ]]",[ 0.92769611  0.7761308 ],-0.521669,"[ 0.12102503 -0.00904015  1.38509538  1.93732083 -1.06665892  0.74137933
 -0.49713083  2.96459261  0.14726901 -0.29557245  0.        ]",[-0.13144919 -0.23617847],[ 0.55907237 -0.44080685]
9,-0.112208774076,"[[  1.57343887   2.65646936  -0.12622964   0.0860819 ]
 [ 15.04367113  21.96364434   0.           0.        ]]",[ 1.07885814  0.76112223],-0.705649,"[-0.26289083 -0.42353131  1.44329973  0.80674042 -1.06665473  0.74137722
 -0.41626033  2.65790479  0.32692927 -0.75368855  0.        ]",[-0.13144919 -0.23617847],[ 0.03091253  0.91207969]
10,-0.151018040846,"[[  1.87256708   3.06270671  -0.12622964   0.0860819 ]
 [ 14.86906208  12.18085826   0.           0.        ]]",[ 1.27648163  0.79183161],-0.853674,"[-0.67002319 -0.57857409  1.37513009 -0.46279349 -1.06665054  0.74137511
 -0.4234726   1.3095706   0.61016004 -0.88136718  0.        ]",[-0.13144919 -0.23617847],[ 0.63089503  0.84077991]
11,-0.162237512027,"[[  2.19205006   3.13624698  -0.12622964   0.0860819 ]
 [ 17.07204361  -1.06878843   0.           0.        ]]",[ 1.34775746  0.8341518 ],-0.797974,"[-1.06371205 -0.58284756  1.16142448 -0.70344981 -1.06664635  0.741373
 -0.33246556 -0.51657891  0.74308435 -0.84025849  0.        ]",[-0.13144919 -0.23617847],[ 2.03979443  0.02467441]
12,-0.162875337226,"[[  2.56982391   3.09230994  -0.12622964   0.0860819 ]
 [ 20.69330613  -2.52907624   0.           0.        ]]",[ 1.33857298  0.84261024],-0.905416,"[-1.42152569 -0.58118917  0.75106111 -0.55957093 -1.06664217  0.74137089
 -0.18286865 -0.71784335  0.73997662 -0.85394731  0.        ]",[-0.13144919 -0.23617847],[ 1.99399991  1.62180756]
