timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.26096585392,"[[-0.04836558 -0.06932908  0.04160367  0.18235065]
 [-0.00256601 -0.00201509  0.          0.        ]]",[ 4.05432129  2.04372072],-4.6238,"[ 0.9431059   1.50952724 -0.07345845  1.01593307  0.37035876  1.59588297
 -0.3659761   0.32114982  1.15828201 -2.4208665   0.        ]",[-0.59916705 -0.3112182 ],[ 4.32036506  3.0751572 ]
1,-0.251927043446,"[[-0.00874131 -0.02965656  0.04160367  0.18235065]
 [ 3.9518301   3.95608088  0.          0.        ]]",[ 3.26209259  1.26838326],-4.53557,"[ 0.94496996  1.51201577 -0.01441335  1.12175414  0.37035857  1.59588038
 -0.13760962  0.930042    1.16614423 -2.26185664  0.        ]",[-0.59916705 -0.3112182 ],[ 3.14207434  1.88287274]
2,-0.223391337925,"[[ 0.10918646  0.08839191  0.04160367  0.18235065]
 [ 7.82805876  7.83583772  0.          0.        ]]",[ 2.09025431 -0.14558005],-4.15436,"[ 0.93521484  1.50761681  0.1610734   1.43672169  0.37035838  1.5958778
  0.08624268  1.5268814   1.13986453 -1.78937818  0.        ]",[-0.59916705 -0.3112182 ],[ 1.39079189  0.47260346]
3,-0.173881578221,"[[  0.30387961   0.26231238   0.04160367   0.18235065]
 [ 11.6286617    9.5504821    0.           0.        ]]",[ 1.02863491 -1.7886343 ],-3.32158,"[ 0.86949706  1.46915563  0.44471062  1.89353157  0.37035818  1.59587521
  0.30572758  1.79064982  0.95131915 -1.07989672  0.        ]",[-0.59916705 -0.3112182 ],[ 0.55995216 -2.25066755]
4,-0.112609823393,"[[  0.55638964   0.41168747   0.04160367   0.18235065]
 [ 13.61571133   5.40083387   0.           0.        ]]",[-0.3870973  -2.40763116],-2.47012,"[ 0.69636779  1.4065263   0.78596058  2.26969046  0.37035799  1.59587263
  0.42047964  1.15228921  0.54487832 -0.39475447  0.        ]",[-0.59916705 -0.3112182 ],[-0.63228739 -2.18847906]
5,-0.0597775066552,"[[  0.80092207   0.47891074   0.04160367   0.18235065]
 [ 10.84669466   1.33505228   0.           0.        ]]",[-1.37789083 -2.39011192],-2.11878,"[ 0.4439294   1.36978336  1.06903016  2.43168559  0.3703578   1.59587005
  0.26056851  0.5268312   0.08750179  0.02946991  0.        ]",[-0.59916705 -0.3112182 ],[-1.6610441  -1.59373438]
6,-0.0301457428447,"[[ 0.97602547  0.46563219  0.04160367  0.18235065]
 [ 6.67750547 -2.64960695  0.          0.        ]]",[-1.5495795  -1.84807622],-2.11437,"[ 0.22017086  1.37744782  1.23343569  2.4000958   0.37035761  1.59586746
  0.01979727 -0.08614724 -0.21959719  0.21469637  0.        ]",[-0.59916705 -0.3112182 ],[-0.85998909 -2.0294067 ]
7,-0.0244892025162,"[[ 1.07412948  0.373451    0.04160367  0.18235065]
 [ 3.14467968 -6.55548186  0.          0.        ]]",[-1.16586864 -1.1248014 ],-2.18676,"[ 0.08198275  1.42508446  1.30931553  2.17532201  0.37035741  1.59586488
 -0.18422389 -0.68700578 -0.30913496  0.27970418  0.        ]",[-0.59916705 -0.3112182 ],[-1.6858635 -1.1452064]
8,-0.0357078973713,"[[  1.09672254   0.20393087   0.04160367   0.18235065]
 [ -0.87196473 -10.38376873   0.           0.        ]]",[-0.0641464  -0.01514101],-1.88928,"[ 0.04903834  1.48626042  1.32502759  1.74181795  0.37035722  1.59586229
 -0.41618561 -1.27592766 -0.17189673  0.25329624  0.        ]",[-0.59916705 -0.3112182 ],[ 0.15872881 -0.00415666]
9,-0.0565861726909,"[[  1.08575632e+00  -1.84952816e-03   4.16036674e-02   1.82350654e-01]
 [ -2.26824983e-01  -1.01948996e+01   0.00000000e+00   0.00000000e+00]]",[ 0.48128575  0.70504808],-1.78015,"[ 0.06507789  1.51255511  1.31748288  1.19598352  0.37035703  1.59585971
 -0.37892846 -1.2468716   0.05710154  0.13637378  0.        ]",[-0.59916705 -0.3112182 ],[ 0.60870613  0.28096601]
