timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.283192058702,[-0.89668992  1.21078594],-0.283192058702,[-0.0266077   0.10155434],"[[ 0.03542924  0.00341453 -0.06801942 -0.04681165]
 [-0.00163091  0.00382707  0.          0.        ]]","[ 1.05176327  1.154143    0.1167399  -0.03290982 -0.69331124 -0.3828298
  0.10455697 -0.05321431  1.50859357  0.34084144  0.        ]",[ 0.02979506  0.06236709]
1,-0.282653241037,[-0.43553478 -0.68432475],-0.282653241037,[-0.0262007   0.10216332],"[[ -2.08569104e-04   4.32319970e-02  -6.80194226e-02  -4.68116516e-02]
 [ -3.55032995e+00   3.96471433e+00   0.00000000e+00   0.00000000e+00]]","[ 1.05250574  1.15280189  0.0620028   0.03246322 -0.6932495  -0.38280341
 -0.21639901  0.47508485  1.50857449  0.31927822  0.        ]",[ 0.02979506  0.06236709]
2,-0.280328860424,[-0.76816511 -0.74598582],-0.280328860424,[-0.02597785  0.10218263],"[[-0.08778638  0.09455839 -0.06801942 -0.04681165]
 [-5.2019572   1.17721068  0.          0.        ]]","[ 1.04699908  1.14815352 -0.0723597   0.11655155 -0.69318779 -0.38277702
 -0.36576756  0.10324219  1.50646974  0.23085611  0.        ]",[ 0.02979506  0.06236709]
3,-0.274802439936,[-1.3397643  -0.17893468],-0.274802439936,[-0.02581119  0.1014609 ],"[[-0.22127053  0.08824362 -0.06801942 -0.04681165]
 [-8.1366862  -1.7987752   0.          0.        ]]","[ 1.01821984  1.14872553 -0.27482304  0.10621565 -0.69312609 -0.38275063
 -0.63118132 -0.29374104  1.48706026  0.03284411  0.        ]",[ 0.02979506  0.06236709]
4,-0.263816852529,[ 0.37442227  0.23925408],-0.263816852529,[-0.02534113  0.1007864 ],"[[ -0.4220773    0.04553124  -0.06801942  -0.04681165]
 [-11.93135595  -2.47022972   0.           0.        ]]","[ 0.92965397  1.15219065 -0.56698343  0.03621139 -0.69306441 -0.38272425
 -0.97433406 -0.3832929   1.40409305 -0.27880945  0.        ]",[ 0.02979506  0.06236709]
5,-0.249160873763,[ 1.90657223  1.14916021],-0.249160873763,[-0.02569856  0.10104425],"[[ -6.43479406e-01   6.11550391e-03  -6.80194226e-02  -4.68116516e-02]
 [ -1.02145722e+01  -1.47465591e+00   0.00000000e+00   0.00000000e+00]]","[ 0.77293812  1.15332189 -0.85932506 -0.02851387 -0.69300275 -0.38269788
 -0.81895059 -0.25045127  1.24498679 -0.58469008  0.        ]",[ 0.02979506  0.06236709]
6,-0.238335627111,[-1.46425593 -0.09651486],-0.238335627111,[-0.02615885  0.10247537],"[[-0.8060688   0.01662691 -0.06801942 -0.04681165]
 [-6.0582014   2.5125134   0.          0.        ]]","[ 0.62259764  1.15300862 -1.04601374 -0.01124506 -0.6929411  -0.38267151
 -0.44292366  0.28151322  1.10749467 -0.75685567  0.        ]",[ 0.02979506  0.06236709]
7,-0.228234832178,[-0.72203862 -1.56454642],-0.228234832178,[-0.02614908  0.1023143 ],"[[-0.96571943  0.06255865 -0.06801942 -0.04681165]
 [-9.89409225  2.08208641  0.          0.        ]]","[ 0.45015738  1.15053865 -1.20084982  0.0641517  -0.69287947 -0.38264514
 -0.78986706  0.22406675  0.97003885 -0.88434627  0.        ]",[ 0.02979506  0.06236709]
8,-0.210646021532,[ 0.05336992 -1.04708158],-0.210646021532,[-0.02694388  0.10195956],"[[ -1.19028032   0.06406897  -0.06801942  -0.04681165]
 [-12.55314439  -1.91773047   0.           0.        ]]","[ 0.17455801  1.15025669 -1.36350178  0.06662433 -0.69281785 -0.38261879
 -1.0303006  -0.30964309  0.71349077 -1.0476297   0.        ]",[ 0.02979506  0.06236709]
9,-0.187164084798,[-0.69096181  1.31918036],-0.187164084798,[-0.02833711  0.10171679],"[[ -1.43671828  -0.01363463  -0.06801942  -0.04681165]
 [-12.09219496  -5.83955051   0.           0.        ]]","[-0.15729151  1.15258355 -1.45933014 -0.06098252 -0.69275625 -0.38259243
 -0.98848181 -0.8329092   0.34732215 -1.1596624   0.        ]",[ 0.02979506  0.06236709]
10,-0.162492481394,[ 0.70205964  0.68723653],-0.162492481394,[-0.02826072  0.10200974],"[[ -1.70360322  -0.08952776  -0.06801942  -0.04681165]
 [-14.58798502  -1.76333812   0.           0.        ]]","[-0.52873694  1.14745479 -1.45931557 -0.18549093 -0.69269467 -0.38256609
 -1.21409189 -0.28892649 -0.0581712  -1.14635027  0.        ]",[ 0.02979506  0.06236709]
