timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.314334730372,[-1.53407361  0.02131754],-0.314334730372,[ 0.14707215  1.15517628],"[[-0.0279504   0.04371515 -0.06825791  0.14525479]
 [-0.00249     0.00077014  0.          0.        ]]","[ 1.06977649  1.63716859 -0.02869407 -0.47298081 -0.61502415  1.3002631
  0.12095182 -0.29491186  1.64173133 -1.16389685  0.        ]",[ 0.05286819 -0.04186475]
1,-0.318074402635,[-2.08213402  2.41718625],-0.318074402635,[ 0.15089138  1.15181506],"[[-0.06769055  0.04459274 -0.06825791  0.14525479]
 [-3.95835366  0.08669599  0.          0.        ]]","[ 1.06712751  1.6370761  -0.08942373 -0.47090912 -0.61501788  1.3002372
 -0.24212675 -0.28309481  1.64029284 -1.22613857  0.        ]",[ 0.05286819 -0.04186475]
2,-0.326623202885,[ 0.2615474   1.71704038],-0.326623202885,[ 0.15508042  1.1464684 ],"[[-0.18577806  0.08605234 -0.06825791  0.14525479]
 [-7.83747963  4.04606     0.          0.        ]]","[ 1.04644161  1.63368672 -0.26854781 -0.37335433 -0.6150116   1.30021129
 -0.59816047  0.26131887  1.62662437 -1.3781375   0.        ]",[ 0.05286819 -0.04186475]
3,-0.332584003108,[ 1.37278885  1.24117905],-0.332584003108,[ 0.15562595  1.14509189],"[[-0.33060663  0.20589277 -0.06825791  0.14525479]
 [-6.64932776  7.92505459  0.          0.        ]]","[ 0.99523137  1.6121103  -0.48260695 -0.09392524 -0.61500532  1.30018539
 -0.48910274  0.79467783  1.59943    -1.50448374  0.        ]",[ 0.05286819 -0.04186475]
4,-0.328818185862,[ 1.04408153  0.94188877],-0.328818185862,[ 0.15138468  1.1435914 ],"[[ -0.42259707   0.40253152  -0.06825791   0.14525479]
 [ -2.56326379  11.72617173   0.           0.        ]]","[ 0.94835746  1.53938371 -0.61344207  0.34777373 -0.61499905  1.30015949
 -0.11406475  1.31731285  1.58209378 -1.48236897  0.        ]",[ 0.05286819 -0.04186475]
5,-0.310987867713,[ 0.90558779  2.04007054],-0.310987867713,[ 0.13845761  1.13250422],"[[ -0.43367097   0.67213023  -0.06825791   0.14525479]
 [  1.44269919  15.22207364   0.           0.        ]]","[ 0.94197372  1.36930594 -0.62885004  0.89227818 -0.61499277  1.30013359
  0.25362105  1.79794784  1.55798102 -1.27695744  0.        ]",[ 0.05286819 -0.04186475]
6,-0.274832518606,[ 0.55120316  0.45558256],-0.274832518606,[ 0.11281973  1.09822083],"[[ -0.36915641   1.01326397  -0.06825791   0.14525479]
 [  4.99723476  18.87913464   0.           0.        ]]","[ 0.97688159  1.05607458 -0.53799495  1.42498069 -0.61498649  1.30010769
  0.57987104  2.30068326  1.44667931 -0.92930947  0.        ]",[ 0.05286819 -0.04186475]
7,-0.220544711773,[ 0.28080173  0.51552994],-0.220544711773,[ 0.0776348  1.0315913],"[[ -0.24830085   1.40518906  -0.06825791   0.14525479]
 [  7.08162178  20.30861928   0.           0.        ]]","[ 1.02771811  0.60585286 -0.3619224   1.74977718 -0.61498022  1.30008179
  0.77117992  2.49709609  1.17503534 -0.58047223  0.        ]",[ 0.05286819 -0.04186475]
8,-0.157235311317,[ 1.29063109  1.47895124],-0.157235311317,[ 0.03208231  0.92654294],"[[ -0.09689525   1.82780414  -0.06825791   0.14525479]
 [  8.05583582  21.94743196   0.           0.        ]]","[ 1.06369744  0.08790387 -0.13391609  1.70453781 -0.61497394  1.3000559
  0.86058851  2.72224595  0.77365174 -0.40831325  0.        ]",[ 0.05286819 -0.04186475]
9,-0.105731400934,[ 2.44050295  0.91713563],-0.105731400934,[-0.01556788  0.80411631],"[[  0.10237152   2.30211427  -0.06825791   0.14525479]
 [ 11.85843664  25.47186218   0.           0.        ]]","[ 1.0629259  -0.42339992  0.17047708  1.17899198 -0.61496767  1.30003001
  1.20959447  3.2065269   0.33984567 -0.51984743  0.        ]",[ 0.05286819 -0.04186475]
