timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.128209741581,[ 0.62176232  1.58954673],-0.128209741581,"[ 0.95450202  1.92163173  0.08942827 -0.82980723  1.31595029  1.06630961
  0.38484993 -0.36783148  0.14334991 -1.17126473  0.        ]","[[  4.06488609e-02   2.20857738e-02   1.51583428e-01   1.25240780e-01]
 [ -2.87281483e-05  -3.71878525e-03   0.00000000e+00   0.00000000e+00]]",[-0.10092707 -0.13636957],[ 1.53030884  0.89369202]
1,-0.11943365457,[ 0.37344299  0.75469924],-0.11943365457,"[ 0.95256063  1.91944244  0.12746756 -0.71142599  1.31594579  1.06630676
  0.61217513  0.2092563   0.13679746 -1.08378882  0.        ]","[[ 0.06531092  0.06173038  0.15158343  0.12524078]
 [ 2.45805742  3.95498877  0.          0.        ]]",[-0.10092707 -0.13636957],[ 0.8271625   0.27653188]
2,-0.0958198192553,[ 0.99233348 -0.00355896],-0.0958198192553,"[ 0.94342571  1.90302025  0.22504974 -0.39008712  1.3159413   1.06630391
  0.7441988   0.6333848   0.09910895 -0.85574649  0.        ]","[[ 0.12879534  0.17002151  0.15158343  0.12524078]
 [ 3.88564821  6.86442878  0.          0.        ]]",[-0.10092707 -0.13636957],[ 0.04863879 -0.22650295]
3,-0.05844731156,[-1.88771864 -0.33612254],-0.05844731156,"[ 0.91133575  1.86108198  0.40150628  0.00397258  1.3159368   1.06630106
  1.10014916  0.61129847 -0.01192511 -0.51852256  0.        ]","[[ 0.24512548  0.30579005  0.15158343  0.12524078]
 [ 7.73457863  6.71292853  0.          0.        ]]",[-0.10092707 -0.13636957],[-1.30628598 -0.65897804]
4,-0.0235230363791,[-1.76049117 -0.71471605],-0.0235230363791,"[ 0.86126981  1.80504139  0.56876433  0.33758     1.3159323   1.0662982
  0.7202097   0.39812402 -0.16919755 -0.23376402  0.        ]","[[ 0.35859777  0.42537665  0.15158343  0.12524078]
 [ 3.62630025  5.25060277  0.          0.        ]]",[-0.10092707 -0.13636957],[-0.98310113 -0.45107222]
5,-0.0100884484031,[-1.46374961  0.32000728],-0.0100884484031,"[ 0.84381221  1.76075369  0.61494158  0.53965429  1.3159278   1.06629535
  0.34781825 -0.0293641  -0.25089544 -0.13326904  0.        ]","[[ 0.39072337  0.50096632  0.15158343  0.12524078]
 [-0.40036854  2.31813145  0.          0.        ]]",[-0.10092707 -0.13636957],[-0.25659823  0.00631225]
6,-0.0119459106999,[ 2.19184701 -0.62354681],-0.0119459106999,"[ 0.86917588  1.72186342  0.54627978  0.69080104  1.3159233   1.0662925
 -0.01735722  0.14886367 -0.24464104 -0.16725865  0.        ]","[[ 0.34309823  0.55959587  0.15158343  0.12524078]
 [-4.34901194  3.54073311  0.          0.        ]]",[-0.10092707 -0.13636957],[ 0.57137644  0.05644059]
7,-0.0156749041517,[-1.17148134  0.08220183],-0.0156749041517,"[ 0.89084425  1.6891723   0.47822757  0.80393657  1.3159188   1.06628965
  0.35655078 -0.22148814 -0.23189924 -0.20855171  0.        ]","[[ 0.29668321  0.60492046  0.15158343  0.12524078]
 [-0.30594349  1.00020837  0.          0.        ]]",[-0.10092707 -0.13636957],[ 0.00625892  0.07699516]
8,-0.0220346937465,[ 1.73988243 -0.86754977],-0.0220346937465,"[ 0.90921019  1.67166215  0.41019353  0.86023075  1.3159143   1.0662868
 -0.00877488 -0.17672802 -0.20592444 -0.26351221  0.        ]","[[ 0.25093029  0.62800542  0.15158343  0.12524078]
 [-4.25620157  1.30724989  0.          0.        ]]",[-0.10092707 -0.13636957],[ 0.90662038  0.28118318]
9,-0.0317293707987,[-0.04229045  0.10558737],-0.0317293707987,"[ 0.92420789  1.67823703  0.34314017  0.83937685  1.31590981  1.06628395
  0.36499802 -0.68147424 -0.16158773 -0.33897019  0.        ]","[[ 0.20635681  0.61941055  0.15158343  0.12524078]
 [-0.21460323 -2.15518584  0.          0.        ]]",[-0.10092707 -0.13636957],[ 0.4384003   0.47986519]
