timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.3736560174,[ 4.61487415  2.42509334],-0.3736560174,"[ 0.94935479  1.81195819 -0.08833535 -0.89587935 -0.8613702   1.70235921
  0.3695544  -0.36087004  2.25437787 -2.16562825  0.        ]","[[-0.06650025  0.01989766 -0.09941331  0.19821329]
 [-0.00211159  0.00079069  0.          0.        ]]",[-0.13452092 -0.16613889],[ 3.233917    1.97577715]
1,-0.366886808174,[ 2.90383236  2.75508576],-0.366886808174,"[ 0.95216859  1.80991794 -0.02785534 -0.78134842 -0.86136859  1.70235211
  0.74827624  0.22715176  2.25644859 -2.04346456  0.        ]","[[-0.02686699  0.05962571 -0.09941331  0.19821329]
 [ 3.95227903  3.9588282   0.          0.        ]]",[-0.13452092 -0.16613889],[ 2.838871   1.5764761]
2,-0.344422647835,[ 2.16563881 -0.24995566],-0.344422647835,"[ 0.9464069   1.79192726  0.15212647 -0.44317811 -0.86136699  1.70234502
  1.11951561  0.80353389  2.2201666  -1.68327091  0.        ]","[[ 0.09107011  0.17772851 -0.09941331  0.19821329]
 [ 7.82855579  7.83852178  0.          0.        ]]",[-0.13452092 -0.16613889],[ 2.31962442  1.19026911]
3,-0.305024469807,[ 3.29268744  1.87835915],-0.305024469807,"[ 0.89096324  1.74564896  0.44387615 -0.0374599  -0.86136538  1.70233792
  1.4836133   0.63320949  2.05485948 -1.17473305  0.        ]","[[  0.28578485   0.32299624  -0.09941331   0.19821329]
 [ 11.63028936   6.69205853   0.           0.        ]]",[-0.13452092 -0.16613889],[ 1.70935941  1.23092723]
4,-0.244177089368,[-1.21805713  1.23930998],-0.244177089368,"[ 0.72357446  1.65759725  0.81921785  0.41788665 -0.86136378  1.70233083
  1.84036696  1.20152466  1.658973   -0.62438098  0.        ]","[[  0.55576425   0.49521929  -0.09941331   0.19821329]
 [ 15.35538309  10.51746035   0.           0.        ]]",[-0.13452092 -0.16613889],[ 0.13090104  0.36042565]
5,-0.169118648544,[ 0.36492073 -0.92061883],-0.169118648544,"[ 0.46875369  1.47285387  1.13032963  0.99909165 -0.86136217  1.70232373
  1.43236757  1.75899189  1.05940978 -0.28824151  0.        ]","[[  0.82012877   0.74321777  -0.09941331   0.19821329]
 [ 11.09534092  14.2698762    0.           0.        ]]",[-0.13452092 -0.16613889],[-0.33176121 -0.5029853 ]
6,-0.0996002135084,[-0.93033004 -0.32196103],-0.0996002135084,"[ 0.18202056  1.23231156  1.34168219  1.45763668 -0.86136057  1.70231663
  1.54987231  1.17533737  0.46684427 -0.27118491  0.        ]","[[  1.05434672   0.98919837  -0.09941331   0.19821329]
 [ 12.32231693  10.34125447   0.           0.        ]]",[-0.13452092 -0.16613889],[-1.29041588 -1.05445504]
7,-0.0558551870705,[ 0.71700754 -0.68328096],-0.0558551870705,"[-0.10624931  1.01416554  1.46840288  1.715781   -0.86135897  1.70230954
  1.17411702  0.95562208  0.01604104 -0.45288953  0.        ]","[[ 1.2614297   1.18118485 -0.09941331  0.19821329]
 [ 8.39892075  8.86233952  0.          0.        ]]",[-0.13452092 -0.16613889],[-1.07461739 -1.4815824 ]
8,-0.0610386567413,[-2.01138228 -1.83414605],-0.0610386567413,"[-0.39572518  0.83288302  1.53090872  1.84842756 -0.86135736  1.70230244
  1.43007052  0.52746085 -0.30609952 -0.72609765  0.        ]","[[  1.4562231    1.32951586  -0.09941331   0.19821329]
 [ 11.07149425   5.98034379   0.           0.        ]]",[-0.13452092 -0.16613889],[-1.7024138  -1.86776948]
9,-0.0892565826819,[-1.58759994 -0.90108033],-0.0892565826819,"[-0.66862469  0.73370263  1.53769656  1.89394675 -0.86135576  1.70229535
  1.030213   -0.0783004  -0.51253784 -0.98773771  0.        ]","[[ 1.63576456  1.40821204 -0.09941331  0.19821329]
 [ 6.89642228  1.90290041  0.          0.        ]]",[-0.13452092 -0.16613889],[-1.35889578 -1.86918235]
10,-0.103163814186,[ 0.72668267 -2.23991399],-0.103163814186,"[-0.8150913   0.73130227  1.52095268  1.89481467 -0.86135415  1.70228825
  0.63821456 -0.61385069 -0.59872549 -1.10276335  0.        ]","[[ 1.73262671  1.41010117 -0.09941331  0.19821329]
 [ 2.8033965  -1.70194728  0.          0.        ]]",[-0.13452092 -0.16613889],[-0.90069461 -1.65738773]
11,-0.108348491462,[-1.44661348 -0.76094767],-0.108348491462,"[-0.940844    0.82393764  1.49483982  1.8532582  -0.86135255  1.70228116
  0.90838247 -1.19719552 -0.6688158  -1.13077578  0.        ]","[[ 1.81699849  1.33666589 -0.09941331  0.19821329]
 [ 5.62436053 -5.62851699  0.          0.        ]]",[-0.13452092 -0.16613889],[-1.27207971 -1.41927481]
12,-0.10543718658,[ 0.03130805 -1.71149075],-0.10543718658,"[-1.04563126  0.99767814  1.46436604  1.73061512 -0.86135094  1.70227406
  0.51881181 -1.62813053 -0.72582266 -1.07587959  0.        ]","[[ 1.88867241  1.19499142 -0.09941331  0.19821329]
 [ 1.55668499 -8.52922506  0.          0.        ]]",[-0.13452092 -0.16613889],[-0.59036797 -0.84138721]
13,-0.0891595089689,[ 0.67569956  1.24078866],-0.0891595089689,"[-1.09177112  1.23533428  1.44829898  1.45309866 -0.86134934  1.70226697
  0.5278517  -2.1912874  -0.72755469 -0.90115767  0.        ]","[[  1.92075265   0.98637297  -0.09941331   0.19821329]
 [  1.65108203 -12.3199867    0.           0.        ]]",[-0.13452092 -0.16613889],[-0.34265867 -0.0149011 ]
14,-0.0783409454825,[-1.2007102  -1.11220761],-0.0783409454825,"[-1.17590153  1.43823529  1.41460314  1.08022942 -0.86134773  1.70225987
  0.78065107 -1.56692192 -0.73366471 -0.77628624  0.        ]","[[ 1.9802594   0.78214    -0.09941331  0.19821329]
 [ 4.29068408 -8.11733661  0.          0.        ]]",[-0.13452092 -0.16613889],[-1.09233153 -0.39155573]
15,-0.0653934558055,[-0.07562621  0.42181275],-0.0653934558055,"[-1.23849657  1.60052412  1.38563092  0.63196909 -0.86134613  1.70225278
  0.39375838 -2.13108258 -0.70474403 -0.64720575  0.        ]","[[  2.02554041   0.58169115  -0.09941331   0.19821329]
 [  0.25097617 -11.91486974   0.           0.        ]]",[-0.13452092 -0.16613889],[-0.21529391  0.56251144]
16,-0.0417166519339,[-1.50198647  0.60907224],-0.0417166519339,"[-1.24117769  1.72851175  1.3843063   0.06989883 -0.86134452  1.70224568
  0.36458497 -1.84788318 -0.58472464 -0.4641568   0.        ]","[[  2.02750402   0.36251932  -0.09941331   0.19821329]
 [ -0.053631   -10.0086646    0.           0.        ]]",[-0.13452092 -0.16613889],[-0.40487266  0.68266833]
17,-0.0166094364657,[-0.80211532  0.90044595],-0.0166094364657,"[-1.18493318  1.78932993  1.41061754 -0.41251771 -0.86134292  1.70223859
 -0.01426667 -1.45993466 -0.40168363 -0.2992259   0.        ]","[[ 1.98674222  0.18854629 -0.09941331  0.19821329]
 [-4.00937684 -7.3973425   0.          0.        ]]",[-0.13452092 -0.16613889],[ 0.0345553  0.8742221]
18,-0.0283594292345,[ 0.76433155  1.38196298],-0.0283594292345,"[-1.0265232   1.80822804  1.47050192 -0.72890516 -0.86134132  1.70223149
 -0.3106977  -0.90831855 -0.13095942 -0.15027814  0.        ]","[[ 1.87550009  0.07785347 -0.09941331  0.19821329]
 [-7.10453556 -3.68431736  0.          0.        ]]",[-0.13452092 -0.16613889],[ 0.47931322  0.90727794]
19,-0.0544929053814,[-1.18462885  0.42300728],-0.0544929053814,"[-0.86378565  1.81083698  1.51211012 -0.82462353 -0.86133971  1.7022244
 -0.0078095  -0.3094208   0.08758921 -0.07753865  0.        ]","[[ 1.76514041  0.04461437 -0.09941331  0.19821329]
 [-3.94196187  0.34697852  0.          0.        ]]",[-0.13452092 -0.16613889],[ 0.17972538  0.61017472]
20,-0.076577763543,[ 0.23882912  1.2587428 ],-0.076577763543,"[-0.68624965  1.80910855  1.53638618 -0.756378   -0.86133811  1.7022173
 -0.37926961 -0.06138745  0.27288259 -0.04323529  0.        ]","[[ 1.64738642  0.06830525 -0.09941331  0.19821329]
 [-7.8205224   2.01653763  0.          0.        ]]",[-0.13452092 -0.16613889],[ 0.88458228  0.78290355]
21,-0.0982344356123,[ 1.03543438  1.48297561],-0.0982344356123,"[-0.46508279  1.79804216  1.53724458 -0.52795726 -0.8613365   1.70221021
 -0.27411695  0.5208597   0.45741084 -0.03490041  0.        ]","[[ 1.50199184  0.14795879 -0.09941331  0.19821329]
 [-6.72258793  5.93575431  0.          0.        ]]",[-0.13452092 -0.16613889],[ 1.00341618  0.59584713]
22,-0.100336741719,[ 0.30567485  1.23291153],-0.100336741719,"[-0.32381712  1.75262692  1.52079015 -0.08630505 -0.8613349   1.70220311
  0.11734746  1.09140944  0.47701124 -0.05276324  0.        ]","[[ 1.40855005  0.30520662 -0.09941331  0.19821329]
 [-2.63516632  9.77624311  0.          0.        ]]",[-0.13452092 -0.16613889],[ 0.69125789  0.1032491 ]
23,-0.0832964653378,[-0.36311741 -1.91385119],-0.0832964653378,"[-0.26383919  1.6299795   1.50969168  0.52644037 -0.86133329  1.70219602
  0.23803673  1.65082436  0.33527208 -0.1082694   0.        ]","[[  1.36848959   0.53851257  -0.09941331   0.19821329]
 [ -1.37500487  13.54180922   0.           0.        ]]",[-0.13452092 -0.16613889],[ 0.44581142 -0.5130021 ]
24,-0.0688702604333,[ 2.31768421  1.60693992],-0.0688702604333,"[-0.20204264  1.45185071  1.49561706  1.04888417 -0.86133169  1.70218893
  0.10321504  1.02281767  0.21121248 -0.19948215  0.        ]","[[ 1.32686623  0.76693581 -0.09941331  0.19821329]
 [-2.78272243  9.31459113  0.          0.        ]]",[-0.13452092 -0.16613889],[ 0.69079804 -0.44032109]
25,-0.055203886878,[ 0.63072736 -1.85872323],-0.055203886878,"[-0.17931213  1.23019123  1.48974822  1.46058856 -0.86133008  1.70218183
  0.48733728  1.58347437  0.0662925  -0.33275653  0.        ]","[[  1.31145103   0.99109236  -0.09941331   0.19821329]
 [  1.22802984  13.08851875   0.           0.        ]]",[-0.13452092 -0.16613889],[ -4.76300716e-04  -1.26238608e+00]
26,-0.0494828693554,[-0.06505955 -1.16873267],-0.0494828693554,"[-0.25241795  0.97895544  1.50727971  1.7467359  -0.86132848  1.70217474
  0.72420125  0.95663028 -0.13680092 -0.53807613  0.        ]","[[ 1.36082608  1.21052799 -0.09941331  0.19821329]
 [ 3.70121419  8.86911747  0.          0.        ]]",[-0.13452092 -0.16613889],[-0.48945075 -1.51360345]
