timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.225405144384,[-1.11335487  1.49656557],-0.225405144384,"[ 0.98122506  1.59866314  0.11523839 -1.12285557  0.0621868  -0.73646925
  0.31868169 -0.34528785  1.44212521  0.89458636  0.        ]","[[ 0.07881215 -0.00847238  0.00726077 -0.08409602]
 [-0.00143645  0.00116612  0.          0.        ]]",[-0.2172281 -0.2330514],[-1.73907745  1.23644638]
1,-0.223892576767,[-2.16379476  0.82594876],-0.223892576767,"[ 0.98491723  1.59808607  0.0566132  -1.01521298  0.06218675 -0.7364684
 -0.09902453  0.27502842  1.4442809   0.85172739  0.        ]","[[ 0.03907776  0.03129399  0.00726077 -0.08409602]
 [-3.95882126  3.9622648   0.          0.        ]]",[-0.2172281 -0.2330514],[-1.6456641   0.77323866]
2,-0.218650010767,[-1.65193429 -0.08988257],-0.218650010767,"[ 0.98119677  1.58588994 -0.11780399 -0.71523135  0.0621867  -0.73646754
 -0.50843916  0.77513017  1.44256519  0.71597218  0.        ]","[[ -7.90160943e-02   1.42580422e-01   7.26077393e-03  -8.40960159e-02]
 [ -7.83765191e+00   7.15572291e+00   0.00000000e+00   0.00000000e+00]]",[-0.2172281 -0.2330514],[-1.23790216  0.50903177]
3,-0.207233048891,[-1.97553614  0.08211032],-0.207233048891,"[ 0.92729333  1.54928224 -0.40094308 -0.34990525  0.06218666 -0.73646668
 -0.90961533  0.69742285  1.41304345  0.44123847  0.        ]","[[ -2.73903271e-01   2.80716611e-01   7.26077393e-03  -8.40960159e-02]
 [ -1.16384359e+01   6.65951983e+00   0.00000000e+00   0.00000000e+00]]",[-0.2172281 -0.2330514],[-0.53618681  0.56852156]
4,-0.188288119116,[ 0.12317384  0.46252184],-0.188288119116,"[ 0.75827332  1.49109856 -0.76620786 -0.00627948  0.06218661 -0.73646582
 -1.30290212  0.72786524  1.30580305  0.01358956  0.        ]","[[ -5.44056199e-01   4.15858000e-01   7.26077393e-03  -8.40960159e-02]
 [ -1.53644881e+01   6.85391815e+00   0.00000000e+00   0.00000000e+00]]",[-0.2172281 -0.2330514],[ 0.73455     0.52935576]
5,-0.166386043484,[ 1.14479623 -0.04638672],-0.166386043484,"[ 0.45733563  1.39914521 -1.10514588  0.36083947  0.06218656 -0.73646497
 -1.2194891   0.99329863  1.10022475 -0.40383875  0.        ]","[[ -8.43417147e-01   5.69942566e-01   7.26077393e-03  -8.40960159e-02]
 [ -1.45742484e+01   8.54887858e+00   0.00000000e+00   0.00000000e+00]]",[-0.2172281 -0.2330514],[ 1.48412812  0.25380689]
6,-0.148266709897,[ 1.93412326  0.19507108],-0.148266709897,"[ 0.13464624  1.2707754  -1.31322497  0.72022512  0.06218652 -0.73646411
 -0.77149853  0.93773721  0.88575365 -0.64837217  0.        ]","[[ -1.09231838e+00   7.37359949e-01   7.26077393e-03  -8.40960159e-02]
 [ -1.03299589e+01   8.19409423e+00   0.00000000e+00   0.00000000e+00]]",[-0.2172281 -0.2330514],[ 1.50928271  0.33296841]
7,-0.135957678309,[ 3.19696998 -1.04149402],-0.135957678309,"[-0.10509827  1.11372113 -1.40711939  1.03300573  0.06218647 -0.73646325
 -0.33236629  1.03304894  0.74722444 -0.71137504  0.        ]","[[ -1.25717605e+00   9.07347904e-01   7.26077393e-03  -8.40960159e-02]
 [ -6.16958898e+00   8.80272683e+00   0.00000000e+00   0.00000000e+00]]",[-0.2172281 -0.2330514],[ 1.27646232  0.24115615]
8,-0.129097805847,[ 1.44840427  2.19731942],-0.129097805847,"[-0.23038769  0.97325613 -1.43989679  1.23739086  0.06218642 -0.7364624
  0.09826772  0.38547923  0.69073855 -0.67655829  0.        ]","[[-1.3396337   1.04191305  0.00726077 -0.08409602]
 [-2.0897313   4.66760928  0.          0.        ]]",[-0.2172281 -0.2330514],[ 0.72643459  0.85268188]
9,-0.127913021443,[-0.22393583  0.91944085],-0.127913021443,"[-0.23298355  0.82409794 -1.44046361  1.39698767  0.06218637 -0.73646154
  0.52018781  0.99091832  0.71972978 -0.5260387   0.        ]","[[ -1.34132341e+00   1.17405485e+00   7.26077393e-03  -8.40960159e-02]
 [  1.90757105e+00   8.53370674e+00   0.00000000e+00   0.00000000e+00]]",[-0.2172281 -0.2330514],[-0.44890749  0.22818083]
