timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.262042667348,[-0.43833975 -0.32082355],-0.262042667348,"[ 1.0631626   1.31367421 -0.04383385 -0.51480087 -0.3877909   0.15274384
  0.06746489 -0.18036558  1.36223737 -0.24403981  0.        ]","[[-0.02074965 -0.08265995 -0.04975066  0.0254553 ]
 [-0.0019955   0.00304717  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.00541056  0.48587954]
1,-0.262399662116,[ 1.58994338  0.85823752],-0.262399662116,"[ 1.06241846  1.31224257 -0.07058198 -0.53828332 -0.38778439  0.15274156
 -0.09500664 -0.34677834  1.35932155 -0.27921586  0.        ]","[[-0.03818217 -0.09533848 -0.04975066  0.0254553 ]
 [-1.73548724 -1.26667073  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.00567047  0.48448572]
2,-0.262272547849,[ 0.04893761 -0.46607331],-0.262272547849,"[ 1.0626467   1.31318968 -0.06243163 -0.52160232 -0.38777788  0.15273928
  0.27885626  0.10171201  1.36066414 -0.26462453  0.        ]","[[-0.03287025 -0.0863399  -0.04975066  0.0254553 ]
 [ 2.2534017   2.15513066  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.0053217  0.4873988]
3,-0.261273217721,[-0.64735082  1.80403285],-0.261273217721,"[ 1.06323168  1.31533138  0.00905218 -0.47677651 -0.38777138  0.152737
  0.29288733 -0.14577132  1.36510708 -0.17778594  0.        ]","[[ 0.01370027 -0.06218203 -0.04975066  0.0254553 ]
 [ 2.40315041  0.2669492   0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.0047303   0.48703191]
4,-0.260427957222,[-1.93383524 -0.36127163],-0.260427957222,"[ 1.06245241  1.31746453  0.04262608 -0.3930813  -0.38776487  0.15273472
  0.04826075  0.3726562   1.36541586 -0.11102239  0.        ]","[[ 0.03557725 -0.01715805 -0.04975066  0.0254553 ]
 [-0.20675789  4.22226351  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.00556863  0.48880455]
5,-0.260525103412,[-1.26546985  0.34899964],-0.260525103412,"[ 1.06324902  1.3159305  -0.02457168 -0.26425376 -0.38775836  0.15273244
 -0.32208456  0.17439741  1.36518104 -0.12200975  0.        ]","[[-0.00820148  0.0521114  -0.04975066  0.0254553 ]
 [-4.15796197  2.70971602  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.00693043  0.48872009]
6,-0.2619093963,[ 0.90311149  0.38238395],-0.2619093963,"[ 1.05153779  1.30878883 -0.2113488  -0.13909277 -0.38775185  0.15273016
 -0.68520447  0.34868793  1.36032302 -0.24904928  0.        ]","[[-0.13023136  0.11964746 -0.04975066  0.0254553 ]
 [-8.03213022  4.03944813  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.00859537  0.48945349]
7,-0.262258842823,[ 0.14281971  0.15074702],-0.262258842823,"[ 1.01900062  1.28935598 -0.3969129   0.03541732 -0.38774535  0.15272788
 -0.33548895  0.5364663   1.34460754 -0.35522458  0.        ]","[[-0.25344065  0.21481056 -0.04975066  0.0254553 ]
 [-4.30121281  5.47209606  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.00870025  0.49221519]
8,-0.260913843529,[-0.96366118  0.43328213],-0.260913843529,"[ 0.98716459  1.25172895 -0.51372461  0.24021142 -0.38773884  0.1527256
 -0.2745702   0.60045969  1.33024224 -0.38162742  0.        ]","[[-0.33294467  0.32915169 -0.04975066  0.0254553 ]
 [-3.65134929  5.96039084  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.00851805  0.49362543]
9,-0.258632746868,[-0.11007219  0.65995101],-0.258632746868,"[ 0.92921917  1.18775524 -0.67073807  0.47211172 -0.38773234  0.15272332
 -0.62519141  0.810031    1.30302465 -0.43414975  0.        ]","[[-0.4435027   0.46440254 -0.04975066  0.0254553 ]
 [-7.39202367  7.5593392   0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.00906965  0.49364287]
10,-0.254235915335,[ 1.25971064 -1.19927625],-0.254235915335,"[ 0.82578052  1.07488875 -0.87151224  0.75034018 -0.38772583  0.15272104
 -0.6523839   1.13290494  1.25412965 -0.50631755  0.        ]","[[ -0.59425528   0.64030601  -0.04975066   0.0254553 ]
 [ -7.68226404  10.02278836   0.           0.        ]]",[ 0.0616802   0.03856946],[ 0.00859593  0.49380589]
11,-0.248637629222,[-1.3540172   1.11445734],-0.248637629222,"[ 0.73155645  0.94693342 -1.00875721  0.9721587  -0.38771933  0.15271876
 -0.26715912  0.58766653  1.20785433 -0.53331365  0.        ]","[[-0.70666816  0.79902796 -0.04975066  0.0254553 ]
 [-3.57267847  5.86330947  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.0067752   0.49415457]
12,-0.241923745127,[ 0.70103364  3.16236156],-0.241923745127,"[ 0.62602198  0.80040497 -1.1313538   1.15735338 -0.38771282  0.15271648
 -0.63151617  1.09158968  1.15490156 -0.5544736   0.        ]","[[-0.81712174  0.95486882 -0.04975066  0.0254553 ]
 [-7.45977354  9.70791604  0.          0.        ]]",[ 0.0616802   0.03856946],[ 0.00669619  0.49236774]
13,-0.229523106111,[ 0.56887786  1.25622663],-0.229523106111,"[ 0.49844261  0.55177628 -1.24893677  1.36370958 -0.38770632  0.1527142
 -0.3577575   1.58521992  1.08002366 -0.52352465  0.        ]","[[ -0.93701773   1.18681671  -0.04975066   0.0254553 ]
 [ -4.539407    13.47436364   0.           0.        ]]",[ 0.0616802   0.03856946],[ 0.00513853  0.49051413]
14,-0.208789213627,[ 0.77847391 -0.79497537],-0.208789213627,"[ 0.42153709  0.18791349 -1.30723106  1.49354217 -0.38769981  0.15271192
 -0.13833505  2.069036    0.98289857 -0.37882275  0.        ]","[[ -1.00432279   1.49334921  -0.04975066   0.0254553 ]
 [ -2.19868252  17.16661819   0.           0.        ]]",[ 0.0616802   0.03856946],[ 0.00192957  0.48572397]
15,-0.183135756045,[-2.21319952 -0.52175406],-0.183135756045,"[ 0.40673758 -0.18692632 -1.3174649   1.44968339 -0.38769331  0.15270964
  0.1546964   1.61175518  0.85145861 -0.20118562  0.        ]","[[ -1.01693282   1.8016837   -0.04975066   0.0254553 ]
 [  0.92728709  13.67849541   0.           0.        ]]",[ 0.0616802   0.03856946],[-0.00087419  0.4812901 ]
16,-0.159740858419,[-0.9565594   0.42981066],-0.159740858419,"[ 0.38143168 -0.47317128 -1.3343465   1.2878894  -0.3876868   0.15270737
 -0.21800264  1.30547767  0.71266527 -0.09955139  0.        ]","[[ -1.03827539   2.05181246  -0.04975066   0.0254553 ]
 [ -3.04849952  11.3421271    0.           0.        ]]",[ 0.0616802   0.03856946],[-0.00182709  0.47566745]
17,-0.136937777057,[-1.87299732 -0.92706191],-0.136937777057,"[ 0.26087969 -0.71641954 -1.40443325  1.03392687 -0.3876803   0.15270509
 -0.56730484  1.49904862  0.56644971 -0.08009218  0.        ]","[[ -1.13663098   2.29347888  -0.04975066   0.0254553 ]
 [ -6.77473062  12.81954406   0.           0.        ]]",[ 0.0616802   0.03856946],[-0.00317335  0.46862406]
18,-0.116992669492,[-2.33963416 -2.03937919],-0.116992669492,"[ 0.03476258 -0.89509976 -1.49508292  0.73624217 -0.3876738   0.15270281
 -0.92584694  0.98461948  0.43262555 -0.10873551  0.        ]","[[ -1.3105011    2.51049179  -0.04975066   0.0254553 ]
 [-10.59963972   8.89478257   0.           0.        ]]",[ 0.0616802   0.03856946],[-0.00437024  0.46182275]
19,-0.105800187007,[ 1.56092542  1.69203468],-0.105800187007,"[-0.30683936 -0.98410697 -1.5466333   0.52179292 -0.3876673   0.15270053
 -1.27730124  0.44251301  0.34644104 -0.16836256  0.        ]","[[ -1.56011411   2.64688904  -0.04975066   0.0254553 ]
 [-14.34918928   4.75869443   0.           0.        ]]",[ 0.0616802   0.03856946],[-0.00507051  0.45715714]
20,-0.0936929033045,[-1.72048798  1.24683612],-0.0936929033045,"[-0.64235204 -1.05204465 -1.50490716  0.29519353 -0.38766079  0.15269825
 -0.87951206  0.94908769  0.25725839 -0.19303038  0.        ]","[[ -1.80452604   2.78084324  -0.04975066   0.0254553 ]
 [-10.10610351   8.62389751   0.           0.        ]]",[ 0.0616802   0.03856946],[-0.00744048  0.45279652]
