timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.164526566618,"[[ 0.0904639   0.04014754  0.04650759  0.05124382]
 [-0.00038893  0.00280437  0.          0.        ]]",[ 0.68644619 -1.53083944],-1.52574,"[ 1.03473806  2.15810769 -0.02682463  0.89165731  0.38238841  0.45514898
 -0.38280242  0.36985788  0.95178267 -0.18173954  0.        ]",[-0.17054026 -0.2251737 ],[-0.01850875 -1.31198809]
1,-0.165832585486,"[[  8.97370249e-02   4.75515090e-04   4.65075874e-02   5.12438203e-02]
 [ -7.20653178e-02  -3.95681069e+00   0.00000000e+00   0.00000000e+00]]",[ 0.76502913 -1.45180941],-1.57628,"[ 1.03482703  2.15919139 -0.02793502  0.76304882  0.38238749  0.45514782
 -0.38792943 -0.17832119  0.95540704 -0.22051094  0.        ]",[-0.17054026 -0.2251737 ],[ 2.72614283 -2.0096292 ]
2,-0.166897933939,"[[ 0.12801565 -0.117618    0.04650759  0.05124382]
 [ 3.88674245 -7.83959329  0.          0.        ]]",[ 0.64921403 -1.37904596],-1.55113,"[ 1.02887648  2.14965105  0.03043018  0.3809951   0.38238656  0.45514665
 -0.10470291 -0.71586256  0.95559207 -0.26341055  0.        ]",[-0.17054026 -0.2251737 ],[ 0.80840388 -2.10601867]
3,-0.164385192602,"[[  0.23708012  -0.31259233   0.04650759   0.05124382]
 [  7.00931181 -11.64513836   0.           0.        ]]",[ 0.46543455 -1.28610241],-1.42431,"[ 1.0005808   2.0924042   0.1948654  -0.23568355  0.38238563  0.45514549
  0.11869632 -1.24270709  0.93886379 -0.25236288  0.        ]",[-0.17054026 -0.2251737 ],[ 0.97934511 -1.06667149]
4,-0.15624567171,"[[  0.41476206  -0.5829225    0.04650759   0.05124382]
 [ 10.74648126 -15.37539152   0.           0.        ]]",[ 0.18944839 -1.1555686 ],-1.32466,"[ 0.9193516   1.93169585  0.45272826 -1.02344177  0.3823847   0.45514433
  0.38606605 -1.75911884  0.88824471 -0.19448494  0.        ]",[-0.17054026 -0.2251737 ],[ 0.08176235 -1.14409165]
5,-0.141569254107,"[[  0.63081896  -0.92710118   0.04650759   0.05124382]
 [ 10.85879406 -19.03027176   0.           0.        ]]",[ 0.04491189 -0.9854393 ],-1.14031,"[ 0.76542388  1.60846473  0.73931683 -1.83219194  0.38238378  0.45514316
  0.39410037 -2.26507935  0.78577245 -0.15144733  0.        ]",[-0.17054026 -0.2251737 ],[ 0.24004918 -0.44746357]
6,-0.120020639024,"[[  0.85537508  -1.32170061   0.04650759   0.05124382]
 [ 11.5943777  -20.42498693   0.           0.        ]]",[-0.17284009 -0.84569454],-0.98507,"[ 0.54867627  1.12146482  0.9924282  -2.38097694  0.38238285  0.455142
  0.44672575 -2.45812855  0.6240112  -0.15871277  0.        ]",[-0.17054026 -0.2251737 ],[ 0.0955885  -0.78538373]
7,-0.0915158328464,"[[  1.0887633   -1.75733921   0.04650759   0.05124382]
 [ 11.74387292 -23.12985145   0.           0.        ]]",[-0.3448599  -0.74305338],-0.790476,"[ 0.27367917  0.52655234  1.19373144 -2.42476675  0.38238192  0.45514084
  0.45742006 -2.83253475  0.39598371 -0.20713872  0.        ]",[-0.17054026 -0.2251737 ],[-1.01082259  0.11763634]
8,-0.0646791225789,"[[  1.28159253  -2.21065967   0.04650759   0.05124382]
 [  7.55280196 -22.20540614   0.           0.        ]]",[-0.35818329 -0.71932644],-0.738401,"[ 0.0186422  -0.04031049  1.30480674 -1.83955524  0.38238099  0.45513968
  0.1575732  -2.70450924  0.11571385 -0.31678375  0.        ]",[-0.17054026 -0.2251737 ],[-0.5515746  -0.72361734]
9,-0.0576435192353,"[[  1.40923401  -2.67910284   0.04650759   0.05124382]
 [  5.21902225 -24.63087678   0.           0.        ]]",[-0.44831222 -0.72195417],-0.776878,"[-0.15910335 -0.45050346  1.34852481 -0.68521481  0.38238006  0.45513851
 -0.00939536 -3.04021499 -0.21836873 -0.43853431  0.        ]",[-0.17054026 -0.2251737 ],[-0.97415921  1.02006352]
