timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.80957645 -0.55313003],-4.31854,"[ 1.02149613  1.64563389 -0.25776665  1.0562919  -0.90110981 -1.66328223
  0.411629    0.37531377  2.46542792  1.86062454  0.        ]",-0.358724638766,[-5.22612381 -6.73164749],[-5.4322447  -7.06346466],"[[ -9.10737882e-02   1.88437689e-02  -1.04400018e-01  -1.91034490e-01]
 [ -4.02662214e-03   7.79200446e-05   0.00000000e+00   0.00000000e+00]]"
1,[-0.80957645 -0.55313003],-4.27906,"[ 1.01509429  1.64558144 -0.31768006  0.94913934 -0.90110931 -1.66328034
  0.28955053 -0.26074998  2.45210266  1.73177278  0.        ]",-0.351513078101,[-4.62720728 -5.78820038],[-4.04341129 -5.4633644 ],"[[-0.13082858 -0.02086709 -0.10440002 -0.19103449]
 [-3.9582918  -3.95797726  0.          0.        ]]"
2,[-0.80957645 -0.55313003],-4.03189,"[ 0.98271119  1.63371052 -0.49339276  0.63168732 -0.90110882 -1.66327845
  0.16988427 -0.88422391  2.36617897  1.35873138  0.        ]",-0.327836873823,[-3.91477919 -4.60674572],[-3.8492573  -5.03531334],"[[-0.24888452 -0.13895306 -0.10440002 -0.19103449]
 [-7.8344225  -7.83769073  0.          0.        ]]"
3,[-0.80957645 -0.55313003],-3.538,"[ 0.88670075  1.57628576 -0.77084851  0.12116562 -0.90110833 -1.66327656
  0.05257414 -1.49534748  2.08353731  0.8091884   0.        ]",-0.282172435325,[-2.93721771 -3.01773977],[-2.94871241 -4.14128425],"[[ -0.44369661  -0.33386243  -0.10440002  -0.19103449]
 [-11.63423592 -11.64055706   0.           0.        ]]"
4,[-0.80957645 -0.55313003],-2.88211,"[ 0.67252919  1.42288744 -1.11266596 -0.52729151 -0.90110784 -1.66327467
 -0.06244688 -2.0943425   1.46650178  0.2799921   0.        ]",-0.208399455936,[-0.86758208 -0.49766821],[-0.33318267 -0.41722309],"[[ -0.71375955  -0.60407231  -0.10440002  -0.19103449]
 [-15.35990205 -15.36796422   0.           0.        ]]"
5,[-0.80957645 -0.55313003],-2.16069,"[ 0.32047412  1.14426213 -1.42083417 -1.1495297  -0.90110734 -1.66327278
 -0.09381955 -2.31075256  0.59075428  0.11921197  0.        ]",-0.114490384715,[ 0.42502445  1.00007558],[ 0.06674561  0.42949177],"[[ -1.03115124  -0.92494388  -0.10440002  -0.19103449]
 [-16.37610015 -16.7146551    0.           0.        ]]"
6,[-0.80957645 -0.55313003],-2.03189,"[-0.1122825   0.79654255 -1.60045178 -1.54572397 -0.90110685 -1.66327089
 -0.07576917 -1.98414895 -0.18258668  0.45182439  0.        ]",-0.0482638157908,[ 1.79435754  2.42915583],[ 1.79129644  2.12615729],"[[ -1.35280754  -1.23884593  -0.10440002  -0.19103449]
 [-15.79142836 -14.68230174   0.           0.        ]]"
7,[-0.80957645 -0.55313003],-2.42316,"[-0.50680177  0.48783402 -1.63404289 -1.68420011 -0.90110636 -1.663269
  0.05595413 -1.30114688 -0.59006062  0.98669429  0.        ]",-0.0890300411648,[ 2.21254778  2.81084704],[ 2.53688765  2.89766938],"[[ -1.62583064  -1.48984851  -0.10440002  -0.19103449]
 [-11.52475976 -10.43215521   0.           0.        ]]"
8,[-0.80957645 -0.55313003],-2.68318,"[-0.77751805  0.27787084 -1.5915812  -1.68308507 -0.90110587 -1.66326711
  0.18512388 -0.63169946 -0.70986826  1.4074034   0.        ]",-0.131744949095,[ 2.12608194  2.17988873],[ 2.13444536  2.21330674],"[[-1.81434927 -1.65669443 -0.10440002 -0.19103449]
 [-7.34080312 -6.26635022  0.          0.        ]]"
9,[-0.80957645 -0.55313003],-2.83358,"[-0.92441125  0.1724897  -1.54480407 -1.6540158  -0.90110537 -1.66326522
  0.31177034  0.02447168 -0.72402467  1.63289521  0.        ]",-0.153776367126,[ 1.53440452  1.2284044 ],[ 1.79473762  1.57530882],"[[-1.92000764 -1.74105327 -0.10440002 -0.19103449]
 [-3.23857863 -2.18315923  0.          0.        ]]"
10,[-0.80957645 -0.55313003],-2.87109,"[-0.95763468  0.16813658 -1.531706   -1.65239419 -0.90110488 -1.66326333
  0.43592262  0.66764154 -0.73081895  1.66869158  0.        ]",-0.157356352053,[ 0.86949563  0.36300269],[ 1.0844956   0.88655467],"[[-1.94443101 -1.74456014 -0.10440002 -0.19103449]
 [ 0.78285704  1.81912856  0.          0.        ]]"
