timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
16,[-0.75049132 -0.49772748],-1.39073,"[-1.3312459   0.77588555  1.06330538 -1.65248377 -0.57035181  1.05958557
  0.3091795  -0.03778478  0.14065335  0.53247362  0.        ]",-0.07899599783,[ 0.51220036  0.62939751],[ 0.78622659  1.57734636],"[[ 2.25611087 -1.28726607 -0.06618918  0.12346342]
 [-3.30084564 -2.61815614  0.          0.        ]]"
17,[-0.75049132 -0.49772748],-1.36706,"[-1.29241184  0.76116416  1.09533811 -1.66158566 -0.57035157  1.05958483
  0.40722218  0.59806549  0.20367752  0.52386949  0.        ]",-0.0842532199792,[ 0.14526752 -0.48023492],[ 0.22467784  0.18497623],"[[ 2.22195519 -1.2993884  -0.06618918  0.12346342]
 [-0.12527617  1.39255319  0.          0.        ]]"
18,[-0.75049132 -0.49772748],-1.34686,"[-1.29980996  0.80342856  1.0894057  -1.63431108 -0.57035132  1.0595841
  0.43474228  0.70977959  0.16485991  0.54658556  0.        ]",-0.0819559584907,[-0.09943405 -0.76434183],[-0.24030128 -0.05857436],"[[ 2.22839313 -1.26446732 -0.06618918  0.12346342]
 [ 0.76609446  2.09720635  0.          0.        ]]"
19,[-0.75049132 -0.49772748],-1.34137,"[-1.30624908  0.85031944  1.08417726 -1.59989675 -0.57035107  1.05958336
  0.40491791  0.66646385  0.12268451  0.57025191  0.        ]",-0.0796476725344,[-0.09594461 -0.72138143],[-0.0325619  0.1367732],"[[ 2.23402284 -1.22526448 -0.06618918  0.12346342]
 [-0.19989982  1.8239888   0.          0.        ]]"
20,[-0.75049132 -0.49772748],-1.32402,"[-1.30024011  0.89930056  1.08905502 -1.55909478 -0.57035082  1.05958263
  0.40105756  0.74660228  0.09492303  0.59404325  0.        ]",-0.0788045005871,[-0.18395278 -0.90838861],[ 0.18842006 -0.20147057],"[[ 2.22877038 -1.183713   -0.06618918  0.12346342]
 [-0.32493025  2.32947439  0.          0.        ]]"
21,[-0.75049132 -0.49772748],-1.22074,"[-1.30144007  0.94351582  1.08808314 -1.51780481 -0.57035058  1.05958189
  0.42428067  0.61278741  0.05929745  0.6142158   0.        ]",-0.0772713195812,[-0.39454505 -0.83792758],[-0.30287509 -1.79920757],"[[ 2.22981876 -1.14559216 -0.06618918  0.12346342]
 [ 0.42726172  1.48542213  0.          0.        ]]"
22,[-0.75049132 -0.49772748],-1.35184,"[-1.29736386  0.93162734  1.09136859 -1.52933184 -0.57035033  1.05958116
  0.38705049 -0.01957128  0.07430036  0.60918718  0.        ]",-0.0781237057931,[-0.10797432  0.20111504],[-0.07993701  0.81191306],"[[ 2.22626529 -1.15590344 -0.06618918  0.12346342]
 [-0.7786028  -2.50325832  0.          0.        ]]"
23,[-0.75049132 -0.49772748],-1.32618,"[-1.27585215  0.91154719  1.10832055 -1.54808507 -0.57035008  1.05958042
  0.37773418  0.49797396  0.11981203  0.60083012  0.        ]",-0.0813094643513,[-0.02791065 -0.52877986],[ 0.24285398 -0.11795937],"[[ 2.2076656  -1.17321501 -0.06618918  0.12346342]
 [-1.08034943  0.76122235  0.          0.        ]]"
24,[-0.75049132 -0.49772748],-1.34113,"[-1.26210842  0.92360949  1.11881245 -1.53692366 -0.57034984  1.05957969
  0.40806642  0.42149628  0.12977743  0.60697887  0.        ]",-0.0825343007838,[-0.14684787 -0.49757415],[ 0.22145491  0.12429041],"[[ 2.19591588 -1.16283054 -0.06618918  0.12346342]
 [-0.09789669  0.2788312   0.          0.        ]]"
25,[-0.75049132 -0.49772748],-1.29505,"[-1.27013608  0.93570117  1.11271302 -1.52541038 -0.57034959  1.05957895
  0.43517638  0.498608    0.10944712  0.61253611  0.        ]",-0.0812025277689,[-0.3259314  -0.68262619],[-0.29518541 -0.68266844],"[[ 2.20276805 -1.15237379 -0.06618918  0.12346342]
 [ 0.78018775  0.76522379  0.          0.        ]]"
26,[-0.75049132 -0.49772748],-1.31972,"[-1.27449661  0.92185923  1.10936212 -1.53855843 -0.57034934  1.05957822
  0.39865962  0.06771173  0.11388355  0.60582239  0.        ]",-0.0811347257194,[-0.08171412  0.0623841 ],[ 0.0407339   0.05446448],"[[ 2.20650492 -1.16433916 -0.06618918  0.12346342]
 [-0.40256797 -1.95270449  0.          0.        ]]"
27,[-0.75049132 -0.49772748],-1.31274,"[-1.26707083  0.87919951  1.11504848 -1.57643729 -0.57034909  1.05957748
  0.40387918  0.10802393  0.15582246  0.58500942  0.        ]",-0.0833985666574,[ 0.01226848  0.05963179],[-0.47862911 -0.30831795],"[[ 2.20014981 -1.20084204 -0.06618918  0.12346342]
 [-0.23350392 -1.69843049  0.          0.        ]]"
28,[-0.75049132 -0.49772748],-1.43443,"[-1.2391708   0.82473111  1.13575317 -1.61920699 -0.57034885  1.05957675
  0.34555547 -0.08011635  0.23173019  0.55525494  0.        ]",-0.0884880256094,[ 0.52106792  0.55854881],[ 0.20725937  1.56039489],"[[ 2.1765263  -1.24671735 -0.06618918  0.12346342]
 [-2.12257668 -2.88514663  0.          0.        ]]"
29,[-0.75049132 -0.49772748],-1.39191,"[-1.19844223  0.80383931  1.16417627 -1.6340051  -0.5703486   1.05957601
  0.372143    0.55665628  0.29873248  0.53924645  0.        ]",-0.0939214035376,[ 0.48280472 -0.41456836],[ 0.5973118  -0.18889419],"[[ 2.14271484 -1.26412126 -0.06618918  0.12346342]
 [-1.2614152   1.13136857  0.          0.        ]]"
30,[-0.75049132 -0.49772748],-1.34558,"[-1.19690433  0.82172304  1.16520776 -1.62138743 -0.57034835  1.05957528
  0.44589324  0.43443717  0.28896947  0.54939383  0.        ]",-0.093498815733,[ 0.1241093  -0.41592646],[ 0.34438175 -0.94314046],"[[ 2.14145353 -1.24922868 -0.06618918  0.12346342]
 [ 1.12732345  0.36045924  0.          0.        ]]"
31,[-0.75049132 -0.49772748],-1.47456,"[-1.24027705  0.78520538  1.13494696 -1.64647006 -0.57034811  1.05957454
  0.48730578 -0.15879697  0.25675001  0.53337451  0.        ]",-0.0896774937264,[-0.03069636  0.44280317],[ 0.43977905  2.1637862 ],"[[ 2.17745804 -1.27956314 -0.06618918  0.12346342]
 [ 2.46866073 -3.3814291   0.          0.        ]]"
32,[-0.75049132 -0.49772748],-1.39327,"[-1.31734431  0.75213671  1.07500485 -1.66692978 -0.57034786  1.05957381
  0.53949896  0.47951041  0.17596466  0.5199489   0.        ]",-0.0814983432935,[-0.48636964 -0.56046683],[-0.98357615  0.76976073],"[[ 2.24379271 -1.30679573 -0.06618918  0.12346342]
 [ 4.15917797  0.64476316  0.          0.        ]]"
33,[-0.75049132 -0.49772748],-1.29961,"[-1.3655269   0.80465997  1.03305204 -1.6334311  -0.57034761  1.05957307
  0.41676841  0.96085169  0.07192249  0.54519562  0.        ]",-0.073774290709,[-0.22855982 -1.09090531],[ 0.45135958 -0.47836337],"[[ 2.28709211 -1.26343805 -0.06618918  0.12346342]
 [ 0.1840058   3.680877    0.          0.        ]]"
34,[-0.75049132 -0.49772748],-1.27528,"[-1.3888666   0.86891571  1.01135112 -1.58496914 -0.57034737  1.05957234
  0.4718116   0.64893853 -0.00997575  0.57123732  0.        ]",-0.0688856988934,[-0.68180454 -0.85896504],[-0.90639631 -0.42426786],"[[ 2.30865987 -1.20956031 -0.06618918  0.12346342]
 [ 1.96683109  1.71345439  0.          0.        ]]"
